C12002A_001E,C12002A_001EA,C12002A_001M,C12002A_001MA,C12002A_002E,C12002A_002EA,C12002A_002M,C12002A_002MA,C12002A_003E,C12002A_003EA,C12002A_003M,C12002A_003MA,C12002A_004E,C12002A_004EA,C12002A_004M,C12002A_004MA,C12002A_005E,C12002A_005EA,C12002A_005M,C12002A_005MA,C12002A_006E,C12002A_006EA,C12002A_006M,C12002A_006MA,GEO_ID,NAME,state
2679530,null,3951,null,581552,null,9323,null,1526129,null,17733,null,43345,null,3417,null,207003,null,4943,null,321501,null,12085,null,0400000US01,Alabama,01
385271,null,2142,null,115935,null,4602,null,197723,null,5765,null,8068,null,1889,null,12949,null,1378,null,50596,null,3910,null,0400000US02,Alaska,02
4148643,null,17829,null,1205930,null,20896,null,2088789,null,23578,null,65642,null,5180,null,257907,null,7884,null,530375,null,13689,null,0400000US04,Arizona,04
1827510,null,3791,null,397484,null,8205,null,1031493,null,14331,null,33540,null,3166,null,136478,null,4344,null,228515,null,8154,null,0400000US05,Arkansas,05
18530288,null,47160,null,6041629,null,34784,null,8987317,null,46711,null,391175,null,11662,null,1097995,null,13142,null,2012172,null,21465,null,0400000US06,California,06
3384907,null,10238,null,968833,null,14694,null,1792214,null,19221,null,51529,null,4297,null,165661,null,6010,null,406670,null,11367,null,0400000US08,Colorado,08
2316526,null,7737,null,668107,null,10925,null,1229206,null,16231,null,26060,null,2573,null,161184,null,5480,null,231969,null,8406,null,0400000US09,Connecticut,09
523208,null,2241,null,143709,null,4592,null,278455,null,6877,null,7455,null,1508,null,35880,null,2046,null,57709,null,4160,null,0400000US10,Delaware,10
197031,null,2767,null,111536,null,4101,null,64634,null,3839,null,2553,null,982,null,5748,null,1114,null,12560,null,1689,null,0400000US11,District of Columbia,11
11924483,null,20094,null,3005452,null,25672,null,6203737,null,36887,null,235774,null,10568,null,964877,null,14784,null,1514643,null,22477,null,0400000US12,Florida,12
4809102,null,11801,null,1191649,null,19113,null,2694081,null,26505,null,75537,null,5840,null,294761,null,6359,null,553074,null,13862,null,0400000US13,Georgia,13
296890,null,2443,null,91611,null,4423,null,152623,null,5899,null,3204,null,822,null,13316,null,1667,null,36136,null,3491,null,0400000US15,Hawaii,15
1105246,null,3624,null,266757,null,7380,null,636500,null,11584,null,13842,null,2085,null,56118,null,3113,null,132029,null,5648,null,0400000US16,Idaho,16
