B17020A_001E,B17020A_001EA,B17020A_001M,B17020A_001MA,B17020A_002E,B17020A_002EA,B17020A_002M,B17020A_002MA,B17020A_003E,B17020A_003EA,B17020A_003M,B17020A_003MA,B17020A_004E,B17020A_004EA,B17020A_004M,B17020A_004MA,B17020A_005E,B17020A_005EA,B17020A_005M,B17020A_005MA,B17020A_006E,B17020A_006EA,B17020A_006M,B17020A_006MA,B17020A_007E,B17020A_007EA,B17020A_007M,B17020A_007MA,B17020A_008E,B17020A_008EA,B17020A_008M,B17020A_008MA,B17020A_009E,B17020A_009EA,B17020A_009M,B17020A_009MA,B17020A_010E,B17020A_010EA,B17020A_010M,B17020A_010MA,B17020A_011E,B17020A_011EA,B17020A_011M,B17020A_011MA,B17020A_012E,B17020A_012EA,B17020A_012M,B17020A_012MA,B17020A_013E,B17020A_013EA,B17020A_013M,B17020A_013MA,B17020A_014E,B17020A_014EA,B17020A_014M,B17020A_014MA,B17020A_015E,B17020A_015EA,B17020A_015M,B17020A_015MA,B17020A_016E,B17020A_016EA,B17020A_016M,B17020A_016MA,B17020A_017E,B17020A_017EA,B17020A_017M,B17020A_017MA,GEO_ID,NAME,state
3210497,null,6870,null,354197,null,14835,null,32732,null,3626,null,4712,null,1339,null,30040,null,3328,null,29337,null,3541,null,210395,null,8017,null,20467,null,2396,null,26514,null,2278,null,2856300,null,16030,null,162308,null,3951,null,31964,null,3035,null,201752,null,5304,null,218853,null,6197,null,1792262,null,9539,null,253327,null,2595,null,195834,null,2919,null,0400000US01,Alabama,01
463821,null,3110,null,27860,null,3787,null,3181,null,893,null,156,null,146,null,2406,null,848,null,2725,null,1040,null,18225,null,2523,null,701,null,387,null,466,null,276,null,435961,null,4750,null,27125,null,1391,null,5431,null,1115,null,29615,null,2072,null,36162,null,2314,null,302296,null,3004,null,22798,null,946,null,12534,null,790,null,0400000US02,Alaska,02
5118661,null,24919,null,675545,null,25866,null,75933,null,6028,null,15177,null,2534,null,73573,null,5938,null,69848,null,5852,null,380493,null,15553,null,28023,null,3013,null,32498,null,3600,null,4443116,null,29981,null,290985,null,6196,null,54781,null,3928,null,327768,null,10468,null,333739,null,7862,null,2715629,null,19570,null,370093,null,3671,null,350121,null,4477,null,0400000US04,Arizona,04
2189644,null,6629,null,296065,null,12784,null,29652,null,3336,null,5612,null,1222,null,29213,null,3094,null,27231,null,2944,null,168811,null,8263,null,14491,null,1416,null,21055,null,1908,null,1893579,null,13999,null,110319,null,3289,null,19317,null,2198,null,138838,null,4280,null,138255,null,4799,null,1179378,null,9288,null,172481,null,1809,null,134991,null,2686,null,0400000US05,Arkansas,05
22535897,null,64514,null,2618426,null,51989,null,276082,null,11978,null,47942,null,3898,null,270376,null,11277,null,269806,null,10378,null,1530287,null,32317,null,99925,null,5841,null,124008,null,6822,null,19917471,null,69947,null,1227445,null,15054,null,228814,null,6546,null,1414176,null,17623,null,1580693,null,14949,null,12712442,null,42881,null,1420500,null,7999,null,1333401,null,8816,null,0400000US06,California,06
4109376,null,15479,null,419679,null,17693,null,42857,null,4486,null,8444,null,1857,null,36040,null,4030,null,37770,null,4797,null,259205,null,10491,null,16387,null,2030,null,18976,null,2739,null,3689697,null,22719,null,234518,null,5082,null,45947,null,3780,null,267514,null,6885,null,276616,null,6908,null,2445673,null,13505,null,237507,null,3078,null,181922,null,3723,null,0400000US08,Colorado,08
2725390,null,10618,null,181077,null,9692,null,14004,null,2460,null,2097,null,810,null,14091,null,2063,null,15161,null,2196,null,110664,null,6890,null,9810,null,1624,null,15250,null,1963,null,2544313,null,12992,null,134984,null,2280,null,28332,null,2511,null,179847,null,4732,null,205302,null,4764,null,1612027,null,9532,null,196559,null,2474,null,187262,null,2650,null,0400000US09,Connecticut,09
620051,null,4072,null,47954,null,5327,null,3959,null,1220,null,443,null,411,null,4215,null,1283,null,3767,null,1260,null,29008,null,3164,null,3104,null,839,null,3458,null,823,null,572097,null,5528,null,34091,null,1769,null,6606,null,1159,null,38662,null,2237,null,43142,null,2084,null,356468,null,3824,null,49972,null,892,null,43156,null,903,null,0400000US10,Delaware,10
204695,null,4105,null,16525,null,2334,null,635,null,516,null,0,null,296,null,610,null,604,null,338,null,335,null,13320,null,1791,null,818,null,511,null,804,null,492,null,188170,null,4283,null,12210,null,1030,null,1599,null,610,null,8104,null,1218,null,3623,null,579,null,142571,null,2919,null,11850,null,722,null,8213,null,741,null,0400000US11,District of Columbia,11
13954813,null,25938,null,1581525,null,34328,null,136557,null,7595,null,21294,null,2544,null,128882,null,7202,null,120827,null,8007,null,913595,null,22024,null,112708,null,6464,null,147662,null,6338,null,12373288,null,35992,null,633408,null,8327,null,121701,null,6598,null,745623,null,12031,null,834583,null,11368,null,7504781,null,24801,null,1223209,null,6585,null,1309983,null,7336,null,0400000US12,Florida,12
5861154,null,19065,null,599741,null,23422,null,62132,null,6688,null,8923,null,1832,null,55962,null,5471,null,48098,null,4291,null,358053,null,13663,null,32812,null,3141,null,33761,null,4172,null,5261413,null,26191,null,333950,null,5938,null,65556,null,3948,null,407445,null,8634,null,421522,null,7882,null,3369662,null,15257,null,383910,null,3880,null,279368,null,4890,null,0400000US13,Georgia,13
336431,null,4191,null,35622,null,4811,null,2734,null,1269,null,648,null,524,null,918,null,609,null,830,null,549,null,27307,null,3696,null,1748,null,677,null,1437,null,573,null,300809,null,6074,null,15975,null,1428,null,3449,null,978,null,19444,null,2162,null,15593,null,1461,null,205162,null,4382,null,22185,null,685,null,19001,null,615,null,0400000US15,Hawaii,15
1381318,null,5382,null,165666,null,12036,null,20100,null,2319,null,3308,null,848,null,14611,null,2299,null,15788,null,2299,null,99886,null,7402,null,4653,null,1063,null,7320,null,1364,null,1215652,null,12759,null,86532,null,2513,null,17820,null,1905,null,103779,null,3965,null,101770,null,3854,null,750063,null,7985,null,86959,null,1206,null,68729,null,1790,null,0400000US16,Idaho,16
9150061,null,25911,null,795834,null,22978,null,77202,null,6307,null,12778,null,1751,null,73783,null,5070,null,65236,null,4769,null,475635,null,14726,null,41417,null,3468,null,49783,null,3036,null,8354227,null,28137,null,496239,null,7173,null,97164,null,4435,null,607833,null,8851,null,654920,null,9255,null,5342906,null,17470,null,606604,null,4762,null,548561,null,5066,null,0400000US17,Illinois,17
5308477,null,10183,null,583666,null,19151,null,63267,null,5338,null,10870,null,1902,null,60632,null,4862,null,51324,null,4545,null,343288,null,10581,null,26808,null,2500,null,27477,null,2506,null,4724811,null,20010,null,280009,null,5619,null,52804,null,2866,null,348345,null,7305,null,387708,null,6975,null,3001416,null,10426,null,355278,null,2743,null,299251,null,3460,null,0400000US18,Indiana,18
2692031,null,5838,null,285058,null,12646,null,26619,null,2998,null,3774,null,917,null,26999,null,3133,null,21031,null,2314,null,173371,null,7284,null,12645,null,1356,null,20619,null,2128,null,2406973,null,14174,null,143964,null,3095,null,28421,null,2096,null,176288,null,4244,null,191933,null,4325,null,1495390,null,8330,null,191735,null,1703,null,179242,null,2665,null,0400000US19,Iowa,19
2350607,null,8059,null,231284,null,10563,null,26278,null,2821,null,3509,null,727,null,21657,null,2838,null,17588,null,2507,null,138265,null,6001,null,8687,null,1417,null,15300,null,1973,null,2119323,null,11034,null,132619,null,3255,null,26350,null,2002,null,165519,null,4895,null,169030,null,4361,null,1328910,null,6751,null,156966,null,1863,null,139929,null,2447,null,0400000US20,Kansas,20
3713453,null,5289,null,593744,null,19355,null,56804,null,4159,null,8826,null,1682,null,55277,null,4468,null,53354,null,4603,null,351959,null,11848,null,32674,null,3185,null,34850,null,2557,null,3119709,null,19915,null,176006,null,4087,null,35474,null,3191,null,219660,null,5648,null,239776,null,5182,null,2010903,null,12510,null,250264,null,2996,null,187626,null,3006,null,0400000US21,Kentucky,21
2761579,null,6884,null,298769,null,14024,null,25815,null,3892,null,4213,null,871,null,26978,null,3392,null,21465,null,2661,null,183149,null,9010,null,18069,null,2105,null,19080,null,2227,null,2462810,null,14981,null,144975,null,4301,null,26792,null,2320,null,176511,null,5096,null,192837,null,4400,null,1573009,null,10137,null,191221,null,2384,null,157465,null,2865,null,0400000US22,Louisiana,22
1226454,null,2718,null,141476,null,7155,null,11531,null,1515,null,1918,null,671,null,10097,null,1529,null,11723,null,1866,null,89354,null,4266,null,7891,null,1044,null,8962,null,1006,null,1084978,null,7543,null,51899,null,1844,null,10959,null,1419,null,66805,null,2802,null,81581,null,3280,null,702295,null,4517,null,91034,null,1265,null,80405,null,1259,null,0400000US23,Maine,23
3374878,null,12089,null,201299,null,10551,null,14845,null,2750,null,1592,null,564,null,13287,null,2109,null,14907,null,2447,null,125985,null,7086,null,11723,null,1685,null,18960,null,2398,null,3173579,null,13861,null,182627,null,4018,null,39575,null,2944,null,221089,null,5266,null,249982,null,4950,null,2025912,null,9652,null,244455,null,1992,null,209939,null,3351,null,0400000US24,Maryland,24
5182892,null,14952,null,413449,null,16636,null,25542,null,3249,null,3877,null,1000,null,29828,null,3558,null,28652,null,3508,null,259052,null,12712,null,29995,null,2632,null,36503,null,3138,null,4769443,null,20510,null,251038,null,3839,null,53790,null,3534,null,323801,null,7018,null,364344,null,6721,null,3095238,null,15469,null,353161,null,3438,null,328071,null,3959,null,0400000US25,Massachusetts,25
7805959,null,9985,null,866792,null,22514,null,73094,null,5860,null,13662,null,1884,null,79579,null,4959,null,75300,null,4690,null,542184,null,14081,null,36168,null,2471,null,46805,null,2811,null,6939167,null,22427,null,374690,null,5606,null,79251,null,3446,null,495292,null,7794,null,553655,null,7352,null,4412530,null,14895,null,550677,null,2669,null,473072,null,4081,null,0400000US26,Michigan,26
4492064,null,6855,null,350367,null,11189,null,27791,null,2491,null,4533,null,950,null,23287,null,2435,null,24926,null,2621,null,223240,null,8252,null,18120,null,1729,null,28470,null,1802,null,4141697,null,12339,null,254696,null,2569,null,48342,null,2739,null,302145,null,5353,null,328249,null,5572,null,2668119,null,8825,null,292160,null,2018,null,247986,null,2462,null,0400000US27,Minnesota,27
