C17001I_001E,C17001I_001EA,C17001I_001M,C17001I_001MA,C17001I_002E,C17001I_002EA,C17001I_002M,C17001I_002MA,C17001I_003E,C17001I_003EA,C17001I_003M,C17001I_003MA,C17001I_004E,C17001I_004EA,C17001I_004M,C17001I_004MA,C17001I_005E,C17001I_005EA,C17001I_005M,C17001I_005MA,C17001I_006E,C17001I_006EA,C17001I_006M,C17001I_006MA,C17001I_007E,C17001I_007EA,C17001I_007M,C17001I_007MA,C17001I_008E,C17001I_008EA,C17001I_008M,C17001I_008MA,C17001I_009E,C17001I_009EA,C17001I_009M,C17001I_009MA,C17001I_010E,C17001I_010EA,C17001I_010M,C17001I_010MA,C17001I_011E,C17001I_011EA,C17001I_011M,C17001I_011MA,C17001I_012E,C17001I_012EA,C17001I_012M,C17001I_012MA,C17001I_013E,C17001I_013EA,C17001I_013M,C17001I_013MA,C17001I_014E,C17001I_014EA,C17001I_014M,C17001I_014MA,C17001I_015E,C17001I_015EA,C17001I_015M,C17001I_015MA,C17001I_016E,C17001I_016EA,C17001I_016M,C17001I_016MA,C17001I_017E,C17001I_017EA,C17001I_017M,C17001I_017MA,C17001I_018E,C17001I_018EA,C17001I_018M,C17001I_018MA,C17001I_019E,C17001I_019EA,C17001I_019M,C17001I_019MA,GEO_ID,NAME,state
127302,null,2028,null,37032,null,5821,null,20453,null,3753,null,10002,null,2287,null,10310,null,2159,null,141,null,133,null,16579,null,2651,null,8100,null,1525,null,8230,null,1571,null,249,null,234,null,90270,null,5456,null,51363,null,3695,null,17878,null,2222,null,31873,null,2452,null,1612,null,590,null,38907,null,2977,null,14474,null,1821,null,22328,null,1743,null,2105,null,698,null,0400000US01,Alabama,01
41641,null,1776,null,4070,null,1570,null,2707,null,1183,null,1312,null,739,null,1395,null,897,null,0,null,240,null,1363,null,639,null,665,null,403,null,698,null,366,null,0,null,240,null,37571,null,1702,null,21021,null,1442,null,7710,null,921,null,12678,null,1102,null,633,null,311,null,16550,null,1001,null,5663,null,732,null,10125,null,590,null,762,null,399,null,0400000US02,Alaska,02
1919923,null,3453,null,463962,null,23058,null,213760,null,13153,null,113944,null,8661,null,93139,null,6874,null,6677,null,1240,null,250202,null,12177,null,111054,null,7180,null,128368,null,6680,null,10780,null,1656,null,1455961,null,23365,null,771951,null,13380,null,255851,null,8793,null,480889,null,7238,null,35211,null,1429,null,684010,null,12180,null,241270,null,7332,null,400304,null,6493,null,42436,null,1606,null,0400000US04,Arizona,04
154773,null,1907,null,48728,null,6395,null,24043,null,3369,null,12517,null,2066,null,11278,null,1949,null,248,null,232,null,24685,null,3710,null,12774,null,2294,null,11321,null,1737,null,590,null,376,null,106045,null,6234,null,59461,null,3608,null,20850,null,2250,null,37611,null,2159,null,1000,null,423,null,46584,null,3826,null,18455,null,2548,null,27154,null,1991,null,975,null,613,null,0400000US05,Arkansas,05
13213120,null,8286,null,2531187,null,58386,null,1172280,null,31027,null,590200,null,17773,null,547899,null,17845,null,34181,null,3200,null,1358907,null,31749,null,576640,null,17208,null,721651,null,17696,null,60616,null,3817,null,10681933,null,58982,null,5564258,null,32243,null,1743672,null,18731,null,3556409,null,18630,null,264177,null,3570,null,5117675,null,31231,null,1662300,null,17127,null,3116639,null,17357,null,338736,null,4155,null,0400000US06,California,06
973940,null,2576,null,228246,null,17638,null,108564,null,9914,null,51567,null,5395,null,54558,null,5938,null,2439,null,688,null,119682,null,9226,null,53592,null,5756,null,61396,null,5030,null,4694,null,874,null,745694,null,17577,null,396561,null,10118,null,124779,null,5683,null,252147,null,6280,null,19635,null,999,null,349133,null,9486,null,117888,null,5964,null,208821,null,5135,null,22424,null,1127,null,0400000US08,Colorado,08
405654,null,1613,null,98243,null,7894,null,42992,null,4432,null,22785,null,2924,null,18147,null,2516,null,2060,null,730,null,55251,null,4521,null,20553,null,2534,null,30649,null,2642,null,4049,null,858,null,307411,null,7497,null,159439,null,4203,null,47142,null,2902,null,106096,null,2474,null,6201,null,882,null,147972,null,4971,null,47629,null,2938,null,93427,null,2883,null,6916,null,975,null,0400000US09,Connecticut,09
57976,null,445,null,13825,null,3641,null,6279,null,1820,null,3201,null,1160,null,2709,null,847,null,369,null,313,null,7546,null,2123,null,4105,null,1445,null,3286,null,864,null,155,null,184,null,44151,null,3564,null,23755,null,2049,null,8047,null,1398,null,15322,null,939,null,386,null,224,null,20396,null,1986,null,7550,null,1297,null,12024,null,997,null,822,null,505,null,0400000US10,Delaware,10
49485,null,551,null,8693,null,2762,null,4318,null,1687,null,1122,null,746,null,2932,null,1316,null,264,null,271,null,4375,null,1577,null,981,null,648,null,2783,null,1122,null,611,null,385,null,40792,null,2789,null,21319,null,1703,null,5025,null,781,null,15592,null,1325,null,702,null,280,null,19473,null,1651,null,5200,null,757,null,13093,null,1124,null,1180,null,382,null,0400000US11,District of Columbia,11
3777633,null,5434,null,673138,null,23706,null,307811,null,15864,null,120830,null,7032,null,153519,null,12728,null,33462,null,3004,null,365327,null,12192,null,112828,null,7225,null,197038,null,7552,null,55461,null,3598,null,3104495,null,24155,null,1587394,null,14292,null,391180,null,7598,null,1058995,null,9917,null,137219,null,3427,null,1517101,null,12911,null,373997,null,7169,null,967382,null,7916,null,175722,null,4085,null,0400000US12,Florida,12
