C14007G_001E,C14007G_001EA,C14007G_001M,C14007G_001MA,C14007G_002E,C14007G_002EA,C14007G_002M,C14007G_002MA,C14007G_003E,C14007G_003EA,C14007G_003M,C14007G_003MA,C14007G_004E,C14007G_004EA,C14007G_004M,C14007G_004MA,C14007G_005E,C14007G_005EA,C14007G_005M,C14007G_005MA,C14007G_006E,C14007G_006EA,C14007G_006M,C14007G_006MA,C14007G_007E,C14007G_007EA,C14007G_007M,C14007G_007MA,GEO_ID,NAME,state
54827,null,5034,null,22094,null,2890,null,4473,null,1154,null,11387,null,1810,null,3284,null,849,null,2950,null,956,null,32733,null,3589,null,0400000US01,Alabama,01
49467,null,4147,null,23831,null,2791,null,2737,null,806,null,12152,null,1768,null,4960,null,972,null,3982,null,1118,null,25636,null,2904,null,0400000US02,Alaska,02
149469,null,8403,null,75055,null,5609,null,12974,null,2220,null,37057,null,3818,null,13812,null,1666,null,11212,null,1798,null,74414,null,5120,null,0400000US04,Arizona,04
50438,null,4386,null,19959,null,2705,null,3039,null,1017,null,9916,null,1605,null,3718,null,968,null,3286,null,1005,null,30479,null,2907,null,0400000US05,Arkansas,05
1182770,null,23752,null,592359,null,15877,null,80139,null,5370,null,260480,null,9386,null,120686,null,5766,null,131054,null,5738,null,590411,null,14560,null,0400000US06,California,06
135148,null,8084,null,64219,null,5555,null,8048,null,1473,null,32111,null,3089,null,12381,null,2217,null,11679,null,1893,null,70929,null,4385,null,0400000US08,Colorado,08
66549,null,6052,null,33224,null,4556,null,3839,null,1032,null,16014,null,2540,null,7317,null,1384,null,6054,null,1750,null,33325,null,3574,null,0400000US09,Connecticut,09
12969,null,2385,null,5606,null,1535,null,883,null,502,null,2873,null,1143,null,823,null,376,null,1027,null,483,null,7363,null,1601,null,0400000US10,Delaware,10
11241,null,3365,null,4503,null,1919,null,239,null,225,null,1504,null,919,null,846,null,844,null,1914,null,687,null,6738,null,2026,null,0400000US11,District of Columbia,11
306244,null,12792,null,141024,null,8863,null,24294,null,3161,null,66632,null,6000,null,25276,null,3012,null,24822,null,3106,null,165220,null,7798,null,0400000US12,Florida,12
118969,null,7930,null,60516,null,5009,null,10165,null,1965,null,28190,null,3715,null,11046,null,1696,null,11115,null,1834,null,58453,null,5218,null,0400000US13,Georgia,13
254155,null,10209,null,97779,null,6338,null,15007,null,2210,null,44560,null,4224,null,23218,null,2244,null,14994,null,1992,null,156376,null,6898,null,0400000US15,Hawaii,15
34437,null,3424,null,16169,null,1875,null,2579,null,816,null,8112,null,1225,null,4057,null,1132,null,1421,null,543,null,18268,null,2722,null,0400000US16,Idaho,16
193820,null,10420,null,104956,null,6792,null,21018,null,2219,null,48773,null,4737,null,17654,null,2287,null,17511,null,2423,null,88864,null,6528,null,0400000US17,Illinois,17
109239,null,6363,null,55655,null,4451,null,9022,null,1585,null,28276,null,3207,null,10825,null,1818,null,7532,null,1371,null,53584,null,3890,null,0400000US18,Indiana,18
40525,null,3538,null,21494,null,2437,null,3256,null,995,null,11306,null,1893,null,3960,null,1136,null,2972,null,738,null,19031,null,2306,null,0400000US19,Iowa,19
66838,null,4253,null,31585,null,3657,null,4742,null,1224,null,14612,null,2110,null,6491,null,1114,null,5740,null,1877,null,35253,null,2546,null,0400000US20,Kansas,20
53567,null,4661,null,28413,null,3172,null,4768,null,1176,null,14288,null,2041,null,5130,null,1072,null,4227,null,1182,null,25154,null,2874,null,0400000US21,Kentucky,21
44713,null,4151,null,21251,null,2654,null,4416,null,1345,null,9516,null,1669,null,3671,null,941,null,3648,null,1216,null,23462,null,2547,null,0400000US22,Louisiana,22
19642,null,1904,null,8362,null,1424,null,955,null,310,null,4498,null,1050,null,1745,null,566,null,1164,null,623,null,11280,null,1333,null,0400000US23,Maine,23
