B01001H_001E,B01001H_001EA,B01001H_001M,B01001H_001MA,B01001H_002E,B01001H_002EA,B01001H_002M,B01001H_002MA,B01001H_003E,B01001H_003EA,B01001H_003M,B01001H_003MA,B01001H_004E,B01001H_004EA,B01001H_004M,B01001H_004MA,B01001H_005E,B01001H_005EA,B01001H_005M,B01001H_005MA,B01001H_006E,B01001H_006EA,B01001H_006M,B01001H_006MA,B01001H_007E,B01001H_007EA,B01001H_007M,B01001H_007MA,B01001H_008E,B01001H_008EA,B01001H_008M,B01001H_008MA,B01001H_009E,B01001H_009EA,B01001H_009M,B01001H_009MA,B01001H_010E,B01001H_010EA,B01001H_010M,B01001H_010MA,B01001H_011E,B01001H_011EA,B01001H_011M,B01001H_011MA,B01001H_012E,B01001H_012EA,B01001H_012M,B01001H_012MA,B01001H_013E,B01001H_013EA,B01001H_013M,B01001H_013MA,B01001H_014E,B01001H_014EA,B01001H_014M,B01001H_014MA,B01001H_015E,B01001H_015EA,B01001H_015M,B01001H_015MA,B01001H_016E,B01001H_016EA,B01001H_016M,B01001H_016MA,B01001H_017E,B01001H_017EA,B01001H_017M,B01001H_017MA,B01001H_018E,B01001H_018EA,B01001H_018M,B01001H_018MA,B01001H_019E,B01001H_019EA,B01001H_019M,B01001H_019MA,B01001H_020E,B01001H_020EA,B01001H_020M,B01001H_020MA,B01001H_021E,B01001H_021EA,B01001H_021M,B01001H_021MA,B01001H_022E,B01001H_022EA,B01001H_022M,B01001H_022MA,B01001H_023E,B01001H_023EA,B01001H_023M,B01001H_023MA,B01001H_024E,B01001H_024EA,B01001H_024M,B01001H_024MA,B01001H_025E,B01001H_025EA,B01001H_025M,B01001H_025MA,B01001H_026E,B01001H_026EA,B01001H_026M,B01001H_026MA,B01001H_027E,B01001H_027EA,B01001H_027M,B01001H_027MA,B01001H_028E,B01001H_028EA,B01001H_028M,B01001H_028MA,B01001H_029E,B01001H_029EA,B01001H_029M,B01001H_029MA,B01001H_030E,B01001H_030EA,B01001H_030M,B01001H_030MA,B01001H_031E,B01001H_031EA,B01001H_031M,B01001H_031MA,GEO_ID,NAME,state
3188300,null,975,null,1557399,null,1779,null,92178,null,1510,null,95235,null,3547,null,102485,null,3593,null,62017,null,1051,null,42721,null,1719,null,101273,null,1707,null,100502,null,1537,null,92567,null,1273,null,218043,null,1632,null,237032,null,1173,null,197138,null,322,null,127025,null,668,null,68665,null,1781,null,20518,null,1781,null,1630901,null,1944,null,90127,null,1562,null,92771,null,3678,null,93020,null,3831,null,59415,null,1160,null,41003,null,1621,null,97155,null,1983,null,99892,null,1369,null,93153,null,1257,null,215753,null,1239,null,241796,null,951,null,211100,null,228,null,148001,null,562,null,102162,null,2681,null,45553,null,2676,null,0400000US01,Alabama,01
450038,null,866,null,237868,null,609,null,14871,null,435,null,12552,null,1574,null,14862,null,1622,null,9924,null,413,null,7732,null,1181,null,20056,null,1160,null,18911,null,905,null,16037,null,431,null,33032,null,321,null,40483,null,54,null,31366,null,197,null,12324,null,484,null,4635,null,636,null,1083,null,473,null,212170,null,521,null,13219,null,244,null,13397,null,1249,null,12505,null,1250,null,9025,null,381,null,4992,null,422,null,14011,null,1010,null,16445,null,904,null,14231,null,459,null,30635,null,485,null,38835,null,362,null,26634,null,114,null,10545,null,588,null,6164,null,687,null,1532,null,500,null,0400000US02,Alaska,02
3781993,null,2452,null,1865244,null,2251,null,103778,null,1150,null,101006,null,4147,null,103463,null,3984,null,65847,null,703,null,44640,null,1259,null,115686,null,1352,null,127822,null,830,null,109681,null,677,null,247891,null,719,null,277531,null,975,null,244756,null,655,null,168565,null,509,null,118405,null,3077,null,36173,null,3021,null,1916749,null,1954,null,98958,null,1224,null,95003,null,4516,null,98470,null,4435,null,62920,null,638,null,40496,null,1324,null,106087,null,1243,null,120536,null,857,null,106502,null,1264,null,240289,null,713,null,288733,null,669,null,268008,null,669,null,188572,null,377,null,143799,null,3423,null,58376,null,3384,null,0400000US04,Arizona,04
2159061,null,1658,null,1056887,null,2340,null,66559,null,1022,null,65048,null,3281,null,68426,null,3249,null,41359,null,1127,null,33271,null,2578,null,65566,null,2335,null,68661,null,1821,null,63340,null,1128,null,142952,null,1270,null,153866,null,1393,null,134086,null,340,null,88378,null,611,null,52630,null,1304,null,12745,null,1296,null,1102174,null,2165,null,62445,null,927,null,64057,null,3025,null,60495,null,2899,null,41308,null,990,null,26892,null,1826,null,64784,null,2271,null,71234,null,1326,null,63334,null,1311,null,143196,null,1258,null,158280,null,566,null,143042,null,279,null,99219,null,1257,null,71938,null,2580,null,31950,null,2191,null,0400000US05,Arkansas,05
15453123,null,8603,null,7665030,null,4671,null,375352,null,1602,null,368416,null,7233,null,412922,null,7077,null,279539,null,1129,null,214312,null,2243,null,535474,null,2315,null,499202,null,1927,null,436939,null,1799,null,1078732,null,1561,null,1305068,null,1114,null,1038620,null,882,null,602106,null,699,null,377184,null,4106,null,141164,null,4076,null,7788093,null,6279,null,356838,null,1435,null,357731,null,7532,null,381427,null,7448,null,265230,null,1319,null,199875,null,3700,null,487216,null,4157,null,477694,null,1123,null,411456,null,1497,null,1034574,null,1863,null,1278234,null,1310,null,1061310,null,1023,null,677679,null,677,null,518596,null,7748,null,280233,null,7686,null,0400000US06,California,06
3496374,null,2336,null,1743323,null,1626,null,101804,null,714,null,100728,null,3408,null,100410,null,3421,null,65851,null,843,null,46632,null,1306,null,118467,null,1768,null,132091,null,1360,null,116664,null,858,null,259273,null,953,null,288936,null,505,null,224040,null,211,null,110393,null,188,null,57358,null,1846,null,20676,null,1848,null,1753051,null,1954,null,97985,null,612,null,94242,null,3586,null,95620,null,3556,null,62472,null,856,null,41554,null,1493,null,110213,null,1722,null,124158,null,1388,null,109976,null,1064,null,251322,null,952,null,293801,null,877,null,228634,null,440,null,121839,null,1547,null,79222,null,2591,null,42013,null,3225,null,0400000US08,Colorado,08
2577077,null,2138,null,1251547,null,1209,null,64219,null,519,null,72914,null,3270,null,80139,null,3213,null,51853,null,255,null,35560,null,194,null,77440,null,79,null,65387,null,311,null,62410,null,283,null,180019,null,309,null,221721,null,168,null,165493,null,126,null,93370,null,148,null,58618,null,1802,null,22404,null,1802,null,1325530,null,1164,null,61907,null,214,null,66396,null,3201,null,78650,null,3191,null,49623,null,275,null,34427,null,230,null,74489,null,409,null,64638,null,128,null,62998,null,185,null,184515,null,516,null,226255,null,468,null,175401,null,109,null,108649,null,156,null,84267,null,2882,null,53315,null,2875,null,0400000US09,Connecticut,09
595514,null,943,null,288634,null,477,null,16398,null,179,null,17221,null,1337,null,16714,null,1337,null,11373,null,263,null,8337,null,263,null,19184,null,141,null,16980,null,113,null,15914,null,99,null,38714,null,111,null,45390,null,68,null,38122,null,104,null,24386,null,263,null,15632,null,709,null,4269,null,709,null,306880,null,522,null,15673,null,101,null,15912,null,1331,null,16114,null,1335,null,10790,null,104,null,8654,null,263,null,18873,null,220,null,18032,null,263,null,16102,null,74,null,39786,null,257,null,47421,null,125,null,42001,null,263,null,28155,null,263,null,20320,null,1084,null,9047,null,1084,null,0400000US10,Delaware,10
194261,null,1162,null,97085,null,545,null,4978,null,109,null,3094,null,580,null,2096,null,569,null,1197,null,296,null,4095,null,754,null,10098,null,754,null,13105,null,362,null,10280,null,40,null,17037,null,81,null,11241,null,128,null,10071,null,124,null,5829,null,296,null,2980,null,466,null,984,null,447,null,97176,null,763,null,4666,null,274,null,2684,null,654,null,1833,null,522,null,1173,null,296,null,5605,null,1297,null,11520,null,1210,null,14339,null,82,null,10220,null,98,null,13682,null,192,null,9600,null,296,null,10553,null,71,null,5634,null,137,null,3229,null,633,null,2438,null,633,null,0400000US11,District of Columbia,11
11015640,null,6957,null,5388023,null,4209,null,261735,null,1609,null,262256,null,7094,null,300959,null,7497,null,190719,null,1559,null,124566,null,2191,null,307937,null,3857,null,313942,null,3174,null,273986,null,1846,null,696055,null,1724,null,818035,null,877,null,728248,null,1006,null,540687,null,897,null,431206,null,5561,null,137692,null,5582,null,5627617,null,4103,null,248737,null,1535,null,251223,null,6520,null,279774,null,6582,null,176685,null,1172,null,116818,null,2112,null,289352,null,2778,null,303830,null,2183,null,267097,null,1874,null,682137,null,1891,null,839792,null,1131,null,794095,null,430,null,611714,null,907,null,525815,null,6445,null,240548,null,6329,null,0400000US12,Florida,12
