B19101A_001E,B19101A_001EA,B19101A_001M,B19101A_001MA,B19101A_002E,B19101A_002EA,B19101A_002M,B19101A_002MA,B19101A_003E,B19101A_003EA,B19101A_003M,B19101A_003MA,B19101A_004E,B19101A_004EA,B19101A_004M,B19101A_004MA,B19101A_005E,B19101A_005EA,B19101A_005M,B19101A_005MA,B19101A_006E,B19101A_006EA,B19101A_006M,B19101A_006MA,B19101A_007E,B19101A_007EA,B19101A_007M,B19101A_007MA,B19101A_008E,B19101A_008EA,B19101A_008M,B19101A_008MA,B19101A_009E,B19101A_009EA,B19101A_009M,B19101A_009MA,B19101A_010E,B19101A_010EA,B19101A_010M,B19101A_010MA,B19101A_011E,B19101A_011EA,B19101A_011M,B19101A_011MA,B19101A_012E,B19101A_012EA,B19101A_012M,B19101A_012MA,B19101A_013E,B19101A_013EA,B19101A_013M,B19101A_013MA,B19101A_014E,B19101A_014EA,B19101A_014M,B19101A_014MA,B19101A_015E,B19101A_015EA,B19101A_015M,B19101A_015MA,B19101A_016E,B19101A_016EA,B19101A_016M,B19101A_016MA,B19101A_017E,B19101A_017EA,B19101A_017M,B19101A_017MA,GEO_ID,NAME,state
893674,null,9179,null,30858,null,2537,null,25565,null,2958,null,39077,null,3153,null,39157,null,3613,null,41464,null,2843,null,46524,null,2939,null,40048,null,2879,null,42997,null,3061,null,44662,null,2822,null,87623,null,3759,null,112492,null,5160,null,135939,null,5471,null,89961,null,4232,null,43119,null,2406,null,38096,null,2770,null,36092,null,2478,null,0400000US01,Alabama,01
115355,null,3347,null,1849,null,550,null,1178,null,480,null,1020,null,417,null,2516,null,765,null,3692,null,993,null,3712,null,851,null,2426,null,557,null,3833,null,783,null,4031,null,1124,null,7859,null,1146,null,13121,null,1575,null,21581,null,2045,null,18109,null,1880,null,11993,null,1508,null,10041,null,1475,null,8394,null,1202,null,0400000US02,Alaska,02
1242497,null,13236,null,49055,null,4672,null,35437,null,3032,null,42495,null,3500,null,50744,null,3832,null,56208,null,4362,null,61374,null,3960,null,57950,null,4391,null,61116,null,4391,null,59126,null,4123,null,110046,null,4998,null,153117,null,5434,null,188133,null,6888,null,125173,null,5139,null,70314,null,4238,null,62025,null,3332,null,60184,null,3488,null,0400000US04,Arizona,04
612018,null,7504,null,25472,null,2119,null,21949,null,2259,null,30335,null,2620,null,36782,null,2853,null,33410,null,2899,null,38228,null,2894,null,38702,null,2627,null,33829,null,2827,null,32008,null,3208,null,59480,null,3595,null,73462,null,3724,null,83471,null,4081,null,44372,null,3189,null,24281,null,1984,null,18638,null,1837,null,17599,null,1819,null,0400000US05,Arkansas,05
5399469,null,22285,null,164170,null,7897,null,137916,null,6506,null,184217,null,6608,null,210471,null,6099,null,198928,null,6869,null,204579,null,8231,null,210056,null,7104,null,203675,null,6509,null,208052,null,7610,null,390406,null,9955,null,554760,null,10809,null,761337,null,13190,null,608084,null,10966,null,386598,null,10659,null,462066,null,9320,null,514154,null,9620,null,0400000US06,California,06
1054331,null,11421,null,28610,null,3190,null,26259,null,2875,null,30901,null,3136,null,36595,null,3076,null,37131,null,2930,null,39529,null,3107,null,42942,null,3278,null,42668,null,3277,null,41106,null,3447,null,86491,null,3791,null,125720,null,5500,null,169955,null,6164,null,119933,null,4882,null,74480,null,3331,null,76958,null,3704,null,75053,null,3747,null,0400000US08,Colorado,08
733129,null,7272,null,15304,null,2059,null,10430,null,1795,null,13490,null,1912,null,15393,null,1779,null,18085,null,2375,null,20364,null,2524,null,23421,null,2607,null,22213,null,2352,null,22246,null,2206,null,46533,null,3219,null,76800,null,3403,null,115822,null,5585,null,99737,null,4195,null,69138,null,3944,null,73658,null,4096,null,90495,null,4150,null,0400000US09,Connecticut,09
167035,null,3809,null,2558,null,809,null,3276,null,963,null,3978,null,933,null,4752,null,1087,null,5656,null,1123,null,7158,null,1207,null,7774,null,1302,null,7330,null,1414,null,6359,null,1053,null,13803,null,1859,null,21775,null,2369,null,27589,null,2296,null,21188,null,1900,null,11757,null,1404,null,12452,null,1795,null,9630,null,1149,null,0400000US10,Delaware,10
35027,null,2276,null,476,null,297,null,390,null,351,null,599,null,391,null,534,null,361,null,432,null,273,null,41,null,68,null,638,null,523,null,962,null,634,null,320,null,264,null,1501,null,595,null,1457,null,672,null,2212,null,820,null,2496,null,930,null,3067,null,825,null,6051,null,1068,null,13851,null,1619,null,0400000US11,District of Columbia,11
3684058,null,22258,null,121194,null,6423,null,108967,null,5738,null,139011,null,7097,null,169785,null,9057,null,174414,null,6593,null,190008,null,7095,null,179813,null,7290,null,194208,null,8104,null,168997,null,6673,null,345777,null,10422,null,443798,null,9917,null,528874,null,11962,null,336813,null,7413,null,191219,null,6249,null,186736,null,7086,null,204444,null,7349,null,0400000US12,Florida,12
