B25081_001E,B25081_001EA,B25081_001M,B25081_001MA,B25081_002E,B25081_002EA,B25081_002M,B25081_002MA,B25081_003E,B25081_003EA,B25081_003M,B25081_003MA,B25081_004E,B25081_004EA,B25081_004M,B25081_004MA,B25081_005E,B25081_005EA,B25081_005M,B25081_005MA,B25081_006E,B25081_006EA,B25081_006M,B25081_006MA,B25081_007E,B25081_007EA,B25081_007M,B25081_007MA,B25081_008E,B25081_008EA,B25081_008M,B25081_008MA,GEO_ID,NAME,state
1289155,null,10987,null,790154,null,10443,null,160602,null,4571,null,47948,null,3540,null,112654,null,3930,null,6453,null,1333,null,623099,null,10281,null,499001,null,8099,null,0400000US01,Alabama,01
154334,null,3685,null,108729,null,3405,null,21126,null,1738,null,5733,null,1059,null,15393,null,1661,null,953,null,445,null,86650,null,3432,null,45605,null,2720,null,0400000US02,Alaska,02
1548890,null,13720,null,1099783,null,13348,null,291068,null,7690,null,83251,null,4479,null,207817,null,6399,null,11275,null,1810,null,797440,null,12005,null,449107,null,8242,null,0400000US04,Arizona,04
750639,null,9276,null,442960,null,7617,null,56500,null,3548,null,20758,null,2080,null,35742,null,2707,null,3009,null,735,null,383451,null,6489,null,307679,null,6505,null,0400000US05,Arkansas,05
6946432,null,26955,null,5290276,null,28244,null,1700357,null,21174,null,489129,null,11655,null,1211228,null,17075,null,98685,null,4682,null,3491234,null,23038,null,1656156,null,16583,null,0400000US06,California,06
1280814,null,11274,null,978201,null,10802,null,312764,null,8138,null,122048,null,5661,null,190716,null,5887,null,13791,null,1914,null,651646,null,9793,null,302613,null,5946,null,0400000US08,Colorado,08
917062,null,7342,null,665816,null,7506,null,214149,null,5916,null,46883,null,3103,null,167266,null,5476,null,6055,null,1108,null,445612,null,7733,null,251246,null,5244,null,0400000US09,Connecticut,09
241544,null,5028,null,166894,null,4378,null,45275,null,2270,null,9246,null,1361,null,36029,null,2070,null,1713,null,596,null,119906,null,4146,null,74650,null,3123,null,0400000US10,Delaware,10
108571,null,4051,null,84286,null,3988,null,24502,null,2060,null,7216,null,1221,null,17286,null,1699,null,702,null,470,null,59082,null,3592,null,24285,null,1763,null,0400000US11,District of Columbia,11
4916497,null,22392,null,3202449,null,22507,null,810373,null,13301,null,188843,null,8114,null,621530,null,10548,null,36839,null,3883,null,2355237,null,21424,null,1714048,null,18727,null,0400000US12,Florida,12
2340305,null,15962,null,1702307,null,16316,null,419582,null,10355,null,136581,null,5374,null,283001,null,8513,null,14182,null,2249,null,1268543,null,14473,null,637998,null,10969,null,0400000US13,Georgia,13
258365,null,5142,null,176603,null,5030,null,49631,null,3047,null,12081,null,1502,null,37550,null,2724,null,2221,null,840,null,124751,null,4836,null,81762,null,3306,null,0400000US15,Hawaii,15
401098,null,5593,null,281266,null,5430,null,76493,null,3800,null,24765,null,2594,null,51728,null,3140,null,2397,null,802,null,202376,null,4990,null,119832,null,3716,null,0400000US16,Idaho,16
3301796,null,17730,null,2322217,null,17189,null,605080,null,9635,null,127814,null,4730,null,477266,null,9546,null,22923,null,2369,null,1694214,null,16325,null,979579,null,10955,null,0400000US17,Illinois,17
1781719,null,13690,null,1263339,null,12811,null,296018,null,7060,null,81985,null,3945,null,214033,null,5874,null,9868,null,1448,null,957453,null,11273,null,518380,null,7061,null,0400000US18,Indiana,18
885884,null,7709,null,565396,null,7904,null,133229,null,4515,null,40620,null,2738,null,92609,null,4272,null,4410,null,965,null,427757,null,7040,null,320488,null,5727,null,0400000US19,Iowa,19
771197,null,8214,null,511339,null,7469,null,104080,null,3915,null,35169,null,2404,null,68911,null,3223,null,3032,null,771,null,404227,null,7553,null,259858,null,4997,null,0400000US20,Kansas,20
1172529,null,11446,null,733454,null,10233,null,177948,null,5225,null,46075,null,3093,null,131873,null,4021,null,5356,null,1133,null,550150,null,9460,null,439075,null,8090,null,0400000US21,Kentucky,21
1113926,null,11194,null,640261,null,9588,null,97095,null,5162,null,32649,null,3143,null,64446,null,3812,null,4871,null,1143,null,538295,null,8993,null,473665,null,7698,null,0400000US22,Louisiana,22
391262,null,5743,null,258300,null,5270,null,72530,null,3359,null,10404,null,1358,null,62126,null,2986,null,2735,null,710,null,183035,null,4913,null,132962,null,3504,null,0400000US23,Maine,23
1453733,null,11476,null,1124667,null,11228,null,348436,null,8107,null,93217,null,5197,null,255219,null,6377,null,16462,null,2022,null,759769,null,9799,null,329066,null,7033,null,0400000US24,Maryland,24
