B08014_001E,B08014_001EA,B08014_001M,B08014_001MA,B08014_002E,B08014_002EA,B08014_002M,B08014_002MA,B08014_003E,B08014_003EA,B08014_003M,B08014_003MA,B08014_004E,B08014_004EA,B08014_004M,B08014_004MA,B08014_005E,B08014_005EA,B08014_005M,B08014_005MA,B08014_006E,B08014_006EA,B08014_006M,B08014_006MA,B08014_007E,B08014_007EA,B08014_007M,B08014_007MA,B08014_008E,B08014_008EA,B08014_008M,B08014_008MA,B08014_009E,B08014_009EA,B08014_009M,B08014_009MA,B08014_010E,B08014_010EA,B08014_010M,B08014_010MA,B08014_011E,B08014_011EA,B08014_011M,B08014_011MA,B08014_012E,B08014_012EA,B08014_012M,B08014_012MA,B08014_013E,B08014_013EA,B08014_013M,B08014_013MA,B08014_014E,B08014_014EA,B08014_014M,B08014_014MA,B08014_015E,B08014_015EA,B08014_015M,B08014_015MA,B08014_016E,B08014_016EA,B08014_016M,B08014_016MA,B08014_017E,B08014_017EA,B08014_017M,B08014_017MA,B08014_018E,B08014_018EA,B08014_018M,B08014_018MA,B08014_019E,B08014_019EA,B08014_019M,B08014_019MA,B08014_020E,B08014_020EA,B08014_020M,B08014_020MA,B08014_021E,B08014_021EA,B08014_021M,B08014_021MA,GEO_ID,NAME,state
2035333,null,15037,null,47282,null,4758,null,394113,null,9875,null,828578,null,15768,null,488870,null,13103,null,196836,null,9131,null,79654,null,6700,null,1081450,null,10168,null,21870,null,2757,null,170752,null,6764,null,462715,null,10988,null,272571,null,8536,null,109143,null,5531,null,44399,null,4184,null,953883,null,10626,null,25412,null,3274,null,223361,null,6553,null,365863,null,9126,null,216299,null,6625,null,87693,null,4955,null,35255,null,3175,null,0400000US01,Alabama,01
327709,null,5030,null,19666,null,2264,null,70163,null,3832,null,137224,null,7031,null,67489,null,5916,null,21793,null,3609,null,11374,null,2372,null,176997,null,3687,null,10040,null,1433,null,35150,null,2971,null,77097,null,4430,null,35868,null,3685,null,11806,null,2307,null,7036,null,1595,null,150712,null,3439,null,9626,null,1638,null,35013,null,2307,null,60127,null,3750,null,31621,null,2931,null,9987,null,1693,null,4338,null,1126,null,0400000US02,Alaska,02
2886063,null,16485,null,85235,null,5934,null,678453,null,17905,null,1248363,null,23909,null,583350,null,18720,null,206324,null,12049,null,84338,null,9811,null,1590960,null,11823,null,49001,null,4501,null,350460,null,11694,null,699971,null,14428,null,328549,null,11715,null,115814,null,7236,null,47165,null,5416,null,1295103,null,13268,null,36234,null,3479,null,327993,null,10330,null,548392,null,13932,null,254801,null,10338,null,90510,null,6318,null,37173,null,5267,null,0400000US04,Arizona,04
1242848,null,10290,null,26491,null,3437,null,272912,null,9561,null,546473,null,12558,null,258746,null,9286,null,95979,null,7750,null,42247,null,5468,null,654658,null,8347,null,12993,null,2106,null,123749,null,6250,null,298130,null,7701,null,142938,null,5705,null,53070,null,4646,null,23778,null,3548,null,588190,null,6923,null,13498,null,2302,null,149163,null,6566,null,248343,null,7492,null,115808,null,5067,null,42909,null,3931,null,18469,null,2694,null,0400000US05,Arkansas,05
16663764,null,44034,null,600526,null,19031,null,3315697,null,35799,null,6607780,null,48486,null,3648452,null,45352,null,1646447,null,33372,null,844862,null,31080,null,9223473,null,32477,null,336197,null,14390,null,1677017,null,25176,null,3732793,null,32543,null,2055460,null,28772,null,930211,null,22569,null,491795,null,17957,null,7440291,null,29431,null,264329,null,9383,null,1638680,null,20874,null,2874987,null,25173,null,1592992,null,21246,null,716236,null,18820,null,353067,null,15934,null,0400000US06,California,06
2531413,null,13887,null,69970,null,5621,null,513389,null,15589,null,1090505,null,18779,null,550693,null,15682,null,208831,null,11191,null,98025,null,10274,null,1392723,null,9473,null,40379,null,4056,null,251573,null,9836,null,612714,null,12171,null,313532,null,11005,null,118106,null,7936,null,56419,null,6397,null,1138690,null,10467,null,29591,null,2960,null,261816,null,10205,null,477791,null,10751,null,237161,null,7187,null,90725,null,5352,null,41606,null,5036,null,0400000US08,Colorado,08
1728049,null,13901,null,56721,null,4654,null,341150,null,9059,null,744642,null,14221,null,375658,null,12997,null,147627,null,8770,null,62251,null,6711,null,903619,null,9613,null,27283,null,3110,null,151973,null,5782,null,403443,null,8563,null,204859,null,8285,null,82534,null,5186,null,33527,null,4204,null,824430,null,8726,null,29438,null,3053,null,189177,null,6491,null,341199,null,8245,null,170799,null,6529,null,65093,null,4627,null,28724,null,3343,null,0400000US09,Connecticut,09
412168,null,5580,null,11535,null,2166,null,85607,null,5359,null,185027,null,6969,null,84541,null,5537,null,28846,null,3775,null,16612,null,3532,null,213121,null,3661,null,6467,null,1600,null,37103,null,3345,null,100103,null,4212,null,44411,null,3100,null,16142,null,2090,null,8895,null,1873,null,199047,null,3723,null,5068,null,1204,null,48504,null,3180,null,84924,null,3865,null,40130,null,3429,null,12704,null,2352,null,7717,null,2112,null,0400000US10,Delaware,10
292399,null,5026,null,69610,null,4322,null,129909,null,5347,null,69444,null,4713,null,18869,null,3813,null,2868,null,1764,null,1699,null,1109,null,143025,null,3751,null,32303,null,3043,null,62603,null,3634,null,36451,null,2999,null,9265,null,2175,null,1673,null,1271,null,730,null,759,null,149374,null,3597,null,37307,null,3432,null,67306,null,3436,null,32993,null,2724,null,9604,null,2481,null,1195,null,732,null,969,null,781,null,0400000US11,District of Columbia,11
8226980,null,27526,null,236880,null,10006,null,1986169,null,22967,null,3792669,null,34302,null,1536139,null,28226,null,503412,null,22484,null,171711,null,12298,null,4343026,null,19460,null,137148,null,8348,null,945367,null,17275,null,2057853,null,20696,null,834140,null,16291,null,275479,null,13884,null,93039,null,7092,null,3883954,null,21670,null,99732,null,5359,null,1040802,null,14862,null,1734816,null,19681,null,701999,null,15926,null,227933,null,11121,null,78672,null,6395,null,0400000US12,Florida,12
