B14007I_001E,B14007I_001EA,B14007I_001M,B14007I_001MA,B14007I_002E,B14007I_002EA,B14007I_002M,B14007I_002MA,B14007I_003E,B14007I_003EA,B14007I_003M,B14007I_003MA,B14007I_004E,B14007I_004EA,B14007I_004M,B14007I_004MA,B14007I_005E,B14007I_005EA,B14007I_005M,B14007I_005MA,B14007I_006E,B14007I_006EA,B14007I_006M,B14007I_006MA,B14007I_007E,B14007I_007EA,B14007I_007M,B14007I_007MA,B14007I_008E,B14007I_008EA,B14007I_008M,B14007I_008MA,B14007I_009E,B14007I_009EA,B14007I_009M,B14007I_009MA,B14007I_010E,B14007I_010EA,B14007I_010M,B14007I_010MA,B14007I_011E,B14007I_011EA,B14007I_011M,B14007I_011MA,B14007I_012E,B14007I_012EA,B14007I_012M,B14007I_012MA,B14007I_013E,B14007I_013EA,B14007I_013M,B14007I_013MA,B14007I_014E,B14007I_014EA,B14007I_014M,B14007I_014MA,B14007I_015E,B14007I_015EA,B14007I_015M,B14007I_015MA,B14007I_016E,B14007I_016EA,B14007I_016M,B14007I_016MA,B14007I_017E,B14007I_017EA,B14007I_017M,B14007I_017MA,B14007I_018E,B14007I_018EA,B14007I_018M,B14007I_018MA,B14007I_019E,B14007I_019EA,B14007I_019M,B14007I_019MA,GEO_ID,NAME,state
116557,null,2312,null,35339,null,2560,null,1583,null,698,null,4123,null,931,null,2850,null,785,null,2527,null,773,null,2132,null,825,null,3237,null,903,null,1625,null,619,null,2517,null,946,null,3468,null,899,null,2375,null,819,null,1142,null,523,null,998,null,534,null,992,null,592,null,1435,null,491,null,3517,null,819,null,818,null,428,null,81218,null,2593,null,0400000US01,Alabama,01
38142,null,1694,null,15698,null,1465,null,397,null,300,null,722,null,283,null,1001,null,582,null,668,null,330,null,557,null,398,null,1129,null,523,null,1134,null,432,null,787,null,342,null,1206,null,674,null,487,null,291,null,572,null,317,null,733,null,276,null,324,null,241,null,1369,null,550,null,3553,null,1010,null,1059,null,936,null,22444,null,1897,null,0400000US02,Alaska,02
1810812,null,5622,null,601297,null,8241,null,25012,null,2791,null,40008,null,3740,null,38232,null,3465,null,40399,null,3044,null,37665,null,2854,null,40147,null,3429,null,35259,null,3264,null,38789,null,3232,null,37726,null,3126,null,39051,null,3561,null,36888,null,2989,null,38520,null,3081,null,28634,null,2386,null,40436,null,3820,null,74303,null,5493,null,10228,null,1563,null,1209515,null,9472,null,0400000US04,Arizona,04
143177,null,2078,null,49694,null,2178,null,4473,null,1017,null,3480,null,977,null,4446,null,1173,null,3150,null,785,null,3990,null,1045,null,3259,null,779,null,3240,null,1046,null,3125,null,902,null,2065,null,601,null,2833,null,921,null,2330,null,595,null,3405,null,727,null,2618,null,873,null,2284,null,737,null,4826,null,942,null,170,null,181,null,93483,null,2593,null,0400000US05,Arkansas,05
12578186,null,8943,null,4416991,null,19944,null,257688,null,8709,null,259311,null,9294,null,237441,null,8472,null,262866,null,8172,null,235762,null,7461,null,250720,null,7676,null,249702,null,8527,null,250940,null,7776,null,250462,null,8803,null,259953,null,7659,null,262063,null,8711,null,244360,null,7949,null,252089,null,8354,null,306876,null,10337,null,750092,null,14469,null,86666,null,5152,null,8161195,null,19221,null,0400000US06,California,06
925701,null,3476,null,295339,null,5679,null,21634,null,2830,null,19689,null,2247,null,19864,null,2170,null,19046,null,2629,null,20719,null,2091,null,14937,null,1802,null,18247,null,2418,null,17535,null,2399,null,17332,null,2202,null,18102,null,2245,null,18522,null,2148,null,16303,null,1752,null,14426,null,1467,null,17028,null,2075,null,37906,null,3445,null,4049,null,881,null,630362,null,5927,null,0400000US08,Colorado,08
390542,null,1810,null,129102,null,4083,null,9196,null,1499,null,6820,null,1284,null,7404,null,1319,null,6497,null,1402,null,7758,null,1237,null,7016,null,1307,null,7697,null,1302,null,7489,null,1207,null,7516,null,1538,null,7390,null,1537,null,9253,null,1413,null,7035,null,1478,null,6298,null,1092,null,7819,null,1412,null,20322,null,2737,null,3592,null,1128,null,261440,null,4015,null,0400000US09,Connecticut,09
52844,null,848,null,16713,null,1217,null,1732,null,838,null,1439,null,485,null,1757,null,562,null,1073,null,432,null,1246,null,580,null,724,null,284,null,1189,null,613,null,648,null,371,null,853,null,478,null,736,null,410,null,1062,null,555,null,624,null,333,null,1366,null,596,null,508,null,363,null,1421,null,613,null,335,null,249,null,36131,null,1236,null,0400000US10,Delaware,10
47788,null,631,null,12888,null,1077,null,1105,null,635,null,987,null,463,null,687,null,427,null,665,null,381,null,1430,null,654,null,495,null,381,null,55,null,84,null,802,null,488,null,795,null,438,null,337,null,232,null,693,null,340,null,450,null,316,null,719,null,522,null,569,null,453,null,2152,null,595,null,947,null,590,null,34900,null,951,null,0400000US11,District of Columbia,11
3639986,null,6281,null,983856,null,10885,null,72448,null,4620,null,54924,null,4165,null,52574,null,4080,null,56145,null,4010,null,54534,null,4037,null,49358,null,3868,null,49781,null,3867,null,50014,null,3642,null,47227,null,3755,null,53519,null,4416,null,50030,null,3519,null,48090,null,2980,null,45722,null,2790,null,58528,null,4136,null,207980,null,7234,null,32982,null,2686,null,2656130,null,11194,null,0400000US12,Florida,12
699289,null,4219,null,218340,null,4476,null,13802,null,2179,null,20884,null,2625,null,15640,null,2271,null,17543,null,2080,null,17839,null,2418,null,13011,null,2139,null,15044,null,2168,null,14326,null,1958,null,11784,null,1649,null,12791,null,2057,null,11300,null,1838,null,11738,null,1440,null,6583,null,1307,null,10397,null,1517,null,22111,null,2772,null,3547,null,887,null,480949,null,4673,null,0400000US13,Georgia,13
103346,null,923,null,36493,null,1800,null,3260,null,1056,null,1825,null,656,null,1501,null,545,null,2205,null,657,null,2642,null,680,null,2023,null,683,null,2383,null,723,null,2752,null,885,null,1460,null,623,null,2068,null,724,null,2655,null,699,null,1597,null,563,null,1381,null,505,null,2755,null,785,null,5630,null,1149,null,356,null,262,null,66853,null,1545,null,0400000US15,Hawaii,15
