B15002G_001E,B15002G_001EA,B15002G_001M,B15002G_001MA,B15002G_002E,B15002G_002EA,B15002G_002M,B15002G_002MA,B15002G_003E,B15002G_003EA,B15002G_003M,B15002G_003MA,B15002G_004E,B15002G_004EA,B15002G_004M,B15002G_004MA,B15002G_005E,B15002G_005EA,B15002G_005M,B15002G_005MA,B15002G_006E,B15002G_006EA,B15002G_006M,B15002G_006MA,B15002G_007E,B15002G_007EA,B15002G_007M,B15002G_007MA,B15002G_008E,B15002G_008EA,B15002G_008M,B15002G_008MA,B15002G_009E,B15002G_009EA,B15002G_009M,B15002G_009MA,B15002G_010E,B15002G_010EA,B15002G_010M,B15002G_010MA,B15002G_011E,B15002G_011EA,B15002G_011M,B15002G_011MA,B15002G_012E,B15002G_012EA,B15002G_012M,B15002G_012MA,B15002G_013E,B15002G_013EA,B15002G_013M,B15002G_013MA,B15002G_014E,B15002G_014EA,B15002G_014M,B15002G_014MA,B15002G_015E,B15002G_015EA,B15002G_015M,B15002G_015MA,B15002G_016E,B15002G_016EA,B15002G_016M,B15002G_016MA,B15002G_017E,B15002G_017EA,B15002G_017M,B15002G_017MA,B15002G_018E,B15002G_018EA,B15002G_018M,B15002G_018MA,B15002G_019E,B15002G_019EA,B15002G_019M,B15002G_019MA,GEO_ID,NAME,state
29123,null,3095,null,15002,null,2276,null,1223,null,525,null,1818,null,749,null,2965,null,824,null,476,null,355,null,4218,null,1213,null,1171,null,593,null,2009,null,696,null,1122,null,468,null,14121,null,1832,null,777,null,327,null,1502,null,572,null,3257,null,924,null,716,null,379,null,3781,null,1063,null,1603,null,612,null,1530,null,481,null,955,null,418,null,0400000US01,Alabama,01
19489,null,2482,null,10035,null,1444,null,78,null,82,null,769,null,338,null,2648,null,833,null,789,null,368,null,2806,null,1033,null,610,null,445,null,1774,null,743,null,561,null,405,null,9454,null,1593,null,290,null,213,null,442,null,265,null,1893,null,673,null,545,null,324,null,3747,null,1083,null,767,null,386,null,1142,null,450,null,628,null,349,null,0400000US02,Alaska,02
61955,null,4542,null,29663,null,2549,null,840,null,412,null,3226,null,991,null,5054,null,1377,null,2325,null,810,null,9262,null,1767,null,2501,null,894,null,3811,null,1084,null,2644,null,875,null,32292,null,3219,null,1589,null,564,null,2418,null,889,null,5621,null,1692,null,1772,null,796,null,9197,null,1736,null,3361,null,1025,null,5760,null,1465,null,2574,null,836,null,0400000US04,Arizona,04
25425,null,2641,null,11679,null,1820,null,868,null,397,null,1229,null,532,null,2937,null,1013,null,1463,null,583,null,2690,null,670,null,778,null,490,null,535,null,345,null,1179,null,617,null,13746,null,1724,null,1087,null,492,null,2550,null,808,null,2478,null,679,null,882,null,485,null,4096,null,907,null,881,null,485,null,1427,null,615,null,345,null,238,null,0400000US05,Arkansas,05
535396,null,12867,null,258876,null,9064,null,16729,null,2364,null,25945,null,2283,null,45737,null,3351,null,11610,null,1860,null,72327,null,5027,null,23280,null,2760,null,41440,null,2579,null,21808,null,2467,null,276520,null,7399,null,18694,null,2428,null,21397,null,2773,null,43404,null,3144,null,9449,null,1695,null,81038,null,4497,null,28453,null,3334,null,50763,null,3033,null,23322,null,2238,null,0400000US06,California,06
62710,null,3951,null,30260,null,2693,null,1228,null,578,null,2384,null,833,null,4465,null,1312,null,2477,null,825,null,8743,null,1532,null,1646,null,684,null,6724,null,1583,null,2593,null,758,null,32450,null,2961,null,782,null,403,null,2507,null,767,null,5037,null,1214,null,1225,null,573,null,9661,null,1614,null,3505,null,1025,null,7370,null,1477,null,2363,null,738,null,0400000US08,Colorado,08
30828,null,3573,null,14869,null,2312,null,955,null,751,null,1060,null,463,null,3321,null,994,null,506,null,273,null,4099,null,1134,null,911,null,454,null,2469,null,777,null,1548,null,515,null,15959,null,2113,null,694,null,383,null,1528,null,622,null,2643,null,747,null,295,null,242,null,4368,null,1061,null,1597,null,627,null,3010,null,819,null,1824,null,735,null,0400000US09,Connecticut,09
6120,null,1343,null,3121,null,913,null,107,null,150,null,126,null,124,null,335,null,209,null,310,null,266,null,1195,null,485,null,186,null,194,null,339,null,268,null,523,null,451,null,2999,null,823,null,0,null,263,null,418,null,396,null,649,null,329,null,154,null,135,null,713,null,460,null,225,null,200,null,654,null,335,null,186,null,170,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
145344,null,7601,null,70312,null,5374,null,4283,null,1163,null,6224,null,1201,null,15781,null,2702,null,4366,null,1156,null,13362,null,1851,null,7300,null,1519,null,13736,null,2054,null,5260,null,1149,null,75032,null,4680,null,4341,null,1126,null,5884,null,1249,null,15655,null,2469,null,3796,null,915,null,19270,null,2318,null,8905,null,1503,null,11727,null,1852,null,5454,null,1085,null,0400000US12,Florida,12
