C17020B_001E,C17020B_001EA,C17020B_001M,C17020B_001MA,C17020B_002E,C17020B_002EA,C17020B_002M,C17020B_002MA,C17020B_003E,C17020B_003EA,C17020B_003M,C17020B_003MA,C17020B_004E,C17020B_004EA,C17020B_004M,C17020B_004MA,C17020B_005E,C17020B_005EA,C17020B_005M,C17020B_005MA,C17020B_006E,C17020B_006EA,C17020B_006M,C17020B_006MA,C17020B_007E,C17020B_007EA,C17020B_007M,C17020B_007MA,C17020B_008E,C17020B_008EA,C17020B_008M,C17020B_008MA,C17020B_009E,C17020B_009EA,C17020B_009M,C17020B_009MA,GEO_ID,NAME,state
1170616,null,6322,null,324921,null,15444,null,129286,null,8176,null,169170,null,8605,null,26465,null,2060,null,845695,null,16282,null,206843,null,8732,null,555790,null,9368,null,83062,null,3054,null,0400000US01,Alabama,01
23522,null,3334,null,2024,null,1255,null,501,null,522,null,1523,null,1122,null,0,null,240,null,21498,null,3371,null,6302,null,2130,null,14454,null,1939,null,742,null,318,null,0400000US02,Alaska,02
225160,null,5514,null,45039,null,6891,null,19406,null,4656,null,23359,null,3276,null,2274,null,740,null,180121,null,7136,null,51992,null,4736,null,114406,null,3871,null,13723,null,1021,null,0400000US04,Arizona,04
422275,null,4914,null,143483,null,10798,null,60657,null,5891,null,72063,null,5613,null,10763,null,1263,null,278792,null,10425,null,69403,null,5189,null,186114,null,6291,null,23275,null,1497,null,0400000US05,Arkansas,05
2148782,null,13652,null,427268,null,19273,null,157287,null,10727,null,244064,null,11096,null,25917,null,2473,null,1721514,null,22728,null,414340,null,12174,null,1131986,null,13611,null,175188,null,3637,null,0400000US06,California,06
179025,null,4686,null,39689,null,5196,null,15339,null,2757,null,22188,null,3261,null,2162,null,641,null,139336,null,5875,null,37074,null,3208,null,91197,null,3901,null,11065,null,991,null,0400000US08,Colorado,08
315601,null,5681,null,67441,null,6961,null,25566,null,4098,null,36219,null,3705,null,5656,null,1030,null,248160,null,7821,null,64565,null,4414,null,163903,null,4764,null,19692,null,1283,null,0400000US09,Connecticut,09
173059,null,3445,null,28465,null,4429,null,11256,null,2468,null,14961,null,2652,null,2248,null,608,null,144594,null,4566,null,38822,null,2479,null,93984,null,3124,null,11788,null,772,null,0400000US10,Delaware,10
305844,null,3226,null,72331,null,6633,null,25603,null,3815,null,38567,null,3798,null,8161,null,1416,null,233513,null,7120,null,45135,null,3996,null,155044,null,4303,null,33334,null,1393,null,0400000US11,District of Columbia,11
2695819,null,13593,null,594297,null,22385,null,236123,null,12272,null,307335,null,13926,null,50839,null,4099,null,2101522,null,24783,null,558252,null,12572,null,1368971,null,15811,null,174299,null,4502,null,0400000US12,Florida,12
2792563,null,11097,null,633114,null,21749,null,260599,null,12250,null,329232,null,11790,null,43283,null,2996,null,2159449,null,23672,null,563289,null,13192,null,1448498,null,13014,null,147662,null,3698,null,0400000US13,Georgia,13
29301,null,3821,null,1481,null,1133,null,353,null,436,null,1128,null,866,null,0,null,275,null,27820,null,3953,null,7338,null,2694,null,19120,null,1680,null,1362,null,736,null,0400000US15,Hawaii,15
7875,null,1359,null,1890,null,1220,null,903,null,888,null,987,null,496,null,0,null,259,null,5985,null,1486,null,2591,null,1094,null,3083,null,616,null,311,null,218,null,0400000US16,Idaho,16
1804134,null,10338,null,493580,null,16573,null,202013,null,10317,null,254805,null,9364,null,36762,null,2603,null,1310554,null,17166,null,324844,null,10328,null,855290,null,10584,null,130420,null,3379,null,0400000US17,Illinois,17
518828,null,5196,null,145994,null,9938,null,62185,null,6331,null,76321,null,5164,null,7488,null,1284,null,372834,null,10038,null,93616,null,5712,null,243058,null,5821,null,36160,null,1697,null,0400000US18,Indiana,18
71216,null,2992,null,25354,null,3840,null,11872,null,2384,null,13040,null,1994,null,442,null,295,null,45862,null,3853,null,13365,null,2409,null,29138,null,2451,null,3359,null,917,null,0400000US19,Iowa,19
147544,null,4501,null,36310,null,4769,null,13914,null,2530,null,19721,null,2643,null,2675,null,798,null,111234,null,5866,null,30631,null,3530,null,71447,null,3510,null,9156,null,886,null,0400000US20,Kansas,20
297669,null,5779,null,89255,null,6771,null,37504,null,3484,null,46489,null,4030,null,5262,null,1077,null,208414,null,6564,null,47039,null,3476,null,141909,null,4426,null,19466,null,1838,null,0400000US21,Kentucky,21
1351709,null,6559,null,413097,null,15988,null,178420,null,8504,null,203817,null,9534,null,30860,null,2399,null,938612,null,16801,null,239019,null,8758,null,615957,null,10358,null,83636,null,2776,null,0400000US22,Louisiana,22
11527,null,1657,null,5409,null,2275,null,3295,null,1457,null,2035,null,1036,null,79,null,102,null,6118,null,1871,null,1872,null,926,null,4096,null,1113,null,150,null,230,null,0400000US23,Maine,23
1571261,null,8026,null,189143,null,12166,null,70649,null,6593,null,98883,null,6731,null,19611,null,2204,null,1382118,null,12160,null,342840,null,6698,null,923476,null,7100,null,115802,null,3071,null,0400000US24,Maryland,24
388207,null,9088,null,68076,null,6802,null,23865,null,3704,null,37750,null,4008,null,6461,null,1238,null,320131,null,9897,null,89077,null,4309,null,209875,null,6287,null,21179,null,1784,null,0400000US25,Massachusetts,25
1335239,null,8009,null,404779,null,16133,null,158529,null,9910,null,225254,null,9062,null,20996,null,1862,null,930460,null,15653,null,230348,null,8946,null,602161,null,9521,null,97951,null,2249,null,0400000US26,Michigan,26
220572,null,4343,null,66480,null,7787,null,26740,null,4279,null,36930,null,4215,null,2810,null,725,null,154092,null,8074,null,48259,null,4919,null,100721,null,4206,null,5112,null,960,null,0400000US27,Minnesota,27
1056746,null,6634,null,371883,null,17728,null,159925,null,9118,null,182432,null,10484,null,29526,null,2404,null,684863,null,17193,null,176168,null,8999,null,453536,null,11325,null,55159,null,2938,null,0400000US28,Mississippi,28
627518,null,7498,null,163866,null,12420,null,70419,null,6856,null,84768,null,6910,null,8679,null,1290,null,463652,null,12971,null,117020,null,6736,null,301571,null,7941,null,45061,null,2280,null,0400000US29,Missouri,29
4667,null,1016,null,1831,null,781,null,524,null,424,null,1307,null,629,null,0,null,235,null,2836,null,930,null,1155,null,773,null,1681,null,610,null,0,null,235,null,0400000US30,Montana,30
67203,null,2528,null,19511,null,3644,null,8622,null,2065,null,10385,null,1965,null,504,null,249,null,47692,null,3821,null,12899,null,2110,null,31284,null,2197,null,3509,null,731,null,0400000US31,Nebraska,31
185162,null,3818,null,33262,null,6360,null,10783,null,3057,null,20403,null,3882,null,2076,null,805,null,151900,null,6081,null,42488,null,3697,null,94883,null,3726,null,14529,null,1107,null,0400000US32,Nevada,32
11475,null,1635,null,2580,null,1397,null,1067,null,715,null,1513,null,823,null,0,null,253,null,8895,null,1661,null,3210,null,944,null,5397,null,1113,null,288,null,252,null,0400000US33,New Hampshire,33
1131136,null,9422,null,200731,null,12889,null,81068,null,7000,null,104733,null,7478,null,14930,null,1606,null,930405,null,16054,null,231138,null,8031,null,611545,null,9829,null,87722,null,2514,null,0400000US34,New Jersey,34
42001,null,3355,null,12183,null,2881,null,4653,null,1703,null,6687,null,1742,null,843,null,510,null,29818,null,4094,null,8757,null,2438,null,17842,null,2354,null,3219,null,1082,null,0400000US35,New Mexico,35
2983381,null,17344,null,631983,null,21240,null,231712,null,11439,null,344328,null,12632,null,55943,null,2886,null,2351398,null,23916,null,567873,null,13446,null,1547222,null,15280,null,236303,null,4325,null,0400000US36,New York,36
1880452,null,11310,null,457366,null,18003,null,174230,null,9410,null,245936,null,10774,null,37200,null,2695,null,1423086,null,19604,null,347552,null,10220,null,945607,null,11937,null,129927,null,3318,null,0400000US37,North Carolina,37
5804,null,689,null,1440,null,675,null,505,null,435,null,935,null,478,null,0,null,208,null,4364,null,840,null,1059,null,541,null,3160,null,624,null,145,null,108,null,0400000US38,North Dakota,38
1288643,null,8572,null,378065,null,13861,null,153568,null,8218,null,200229,null,8049,null,24268,null,2371,null,910578,null,14422,null,225091,null,8129,null,585741,null,8882,null,99746,null,3327,null,0400000US39,Ohio,39
244405,null,6036,null,69974,null,7184,null,31598,null,4690,null,33977,null,3214,null,4399,null,1076,null,174431,null,7045,null,41515,null,4242,null,115917,null,3870,null,16999,null,1676,null,0400000US40,Oklahoma,40
61945,null,3482,null,17582,null,3702,null,6988,null,2301,null,9274,null,1802,null,1320,null,546,null,44363,null,3638,null,12306,null,2306,null,29012,null,2075,null,3045,null,578,null,0400000US41,Oregon,41
1210790,null,10324,null,332244,null,13816,null,128520,null,7878,null,180367,null,8537,null,23357,null,2307,null,878546,null,16538,null,224839,null,9085,null,559718,null,10442,null,93989,null,2924,null,0400000US42,Pennsylvania,42
55319,null,3187,null,11509,null,2974,null,4864,null,1815,null,5835,null,1445,null,810,null,510,null,43810,null,3880,null,11447,null,1937,null,28639,null,2462,null,3724,null,803,null,0400000US44,Rhode Island,44
1206395,null,7269,null,327679,null,14393,null,125614,null,7733,null,171703,null,8755,null,30362,null,2321,null,878716,null,14071,null,209682,null,7857,null,582513,null,8806,null,86521,null,2647,null,0400000US45,South Carolina,45
7027,null,1380,null,2817,null,1555,null,1315,null,1020,null,1502,null,1052,null,0,null,223,null,4210,null,1605,null,1441,null,958,null,2642,null,964,null,127,null,150,null,0400000US46,South Dakota,46
976924,null,7892,null,257388,null,13108,null,108549,null,7231,null,131834,null,7124,null,17005,null,1799,null,719536,null,13651,null,176333,null,7644,null,482016,null,7888,null,61187,null,2205,null,0400000US47,Tennessee,47
2646955,null,18087,null,605883,null,24908,null,255452,null,14085,null,305613,null,13396,null,44818,null,3102,null,2041072,null,23502,null,539896,null,12739,null,1349984,null,14655,null,151192,null,3802,null,0400000US48,Texas,48
28130,null,3006,null,5796,null,2288,null,2314,null,1383,null,3388,null,1473,null,94,null,124,null,22334,null,3385,null,10630,null,2360,null,11086,null,1560,null,618,null,248,null,0400000US49,Utah,49
4400,null,897,null,1134,null,666,null,301,null,395,null,833,null,380,null,0,null,211,null,3266,null,879,null,1448,null,466,null,1429,null,591,null,389,null,386,null,0400000US50,Vermont,50
1443455,null,8843,null,270592,null,13689,null,114418,null,7721,null,132311,null,7589,null,23863,null,2389,null,1172863,null,16497,null,272215,null,9087,null,788783,null,9548,null,111865,null,3028,null,0400000US51,Virginia,51
210489,null,5599,null,48212,null,4913,null,17864,null,3212,null,28002,null,2625,null,2346,null,796,null,162277,null,6924,null,42395,null,4175,null,108373,null,4143,null,11509,null,1214,null,0400000US53,Washington,53
54842,null,3260,null,18043,null,2537,null,5682,null,1349,null,11148,null,1691,null,1213,null,490,null,36799,null,3537,null,8007,null,1573,null,23930,null,2825,null,4862,null,1052,null,0400000US54,West Virginia,54
305802,null,4292,null,98094,null,7958,null,43761,null,5257,null,50583,null,4146,null,3750,null,816,null,207708,null,8444,null,60607,null,5259,null,131638,null,4577,null,15463,null,959,null,0400000US55,Wisconsin,55
5274,null,1154,null,1002,null,731,null,640,null,508,null,340,null,323,null,22,null,40,null,4272,null,1105,null,728,null,437,null,2544,null,594,null,1000,null,945,null,0400000US56,Wyoming,56
