C17020G_001E,C17020G_001EA,C17020G_001M,C17020G_001MA,C17020G_002E,C17020G_002EA,C17020G_002M,C17020G_002MA,C17020G_003E,C17020G_003EA,C17020G_003M,C17020G_003MA,C17020G_004E,C17020G_004EA,C17020G_004M,C17020G_004MA,C17020G_005E,C17020G_005EA,C17020G_005M,C17020G_005MA,C17020G_006E,C17020G_006EA,C17020G_006M,C17020G_006MA,C17020G_007E,C17020G_007EA,C17020G_007M,C17020G_007MA,C17020G_008E,C17020G_008EA,C17020G_008M,C17020G_008MA,C17020G_009E,C17020G_009EA,C17020G_009M,C17020G_009MA,GEO_ID,NAME,state
58725,null,5456,null,14329,null,3466,null,7136,null,2470,null,6811,null,1750,null,382,null,248,null,44396,null,4612,null,18980,null,2839,null,21760,null,2427,null,3656,null,1075,null,0400000US01,Alabama,01
53859,null,4397,null,5846,null,1774,null,3488,null,1286,null,2358,null,769,null,0,null,240,null,48013,null,4133,null,22875,null,2770,null,23640,null,2539,null,1498,null,627,null,0400000US02,Alaska,02
161169,null,9427,null,25055,null,4561,null,14532,null,3573,null,9865,null,1908,null,658,null,362,null,136114,null,9131,null,73190,null,6194,null,56764,null,5285,null,6160,null,1145,null,0400000US04,Arizona,04
55241,null,4778,null,11330,null,2623,null,5334,null,1737,null,5179,null,1255,null,817,null,464,null,43911,null,4333,null,18977,null,2571,null,21710,null,2659,null,3224,null,1028,null,0400000US05,Arkansas,05
1272157,null,26269,null,158999,null,11162,null,79814,null,7177,null,74207,null,6003,null,4978,null,1107,null,1113158,null,22771,null,524495,null,15693,null,538289,null,12954,null,50374,null,3641,null,0400000US06,California,06
147731,null,8700,null,20347,null,3664,null,10245,null,2426,null,9248,null,1843,null,854,null,483,null,127384,null,7289,null,61199,null,4824,null,62363,null,4179,null,3822,null,893,null,0400000US08,Colorado,08
71579,null,6460,null,11029,null,2633,null,6422,null,2179,null,3387,null,1137,null,1220,null,561,null,60550,null,5650,null,28946,null,3627,null,29748,null,2979,null,1856,null,767,null,0400000US09,Connecticut,09
14522,null,2497,null,2749,null,1396,null,1554,null,1012,null,1147,null,616,null,48,null,82,null,11773,null,1876,null,5565,null,1262,null,5738,null,1242,null,470,null,355,null,0400000US10,Delaware,10
11087,null,3401,null,1180,null,558,null,114,null,133,null,959,null,501,null,107,null,124,null,9907,null,3314,null,2829,null,1746,null,6251,null,1907,null,827,null,510,null,0400000US11,District of Columbia,11
331098,null,14550,null,52244,null,6279,null,28515,null,4533,null,20737,null,3025,null,2992,null,929,null,278854,null,13698,null,127928,null,8810,null,134678,null,7788,null,16248,null,2209,null,0400000US12,Florida,12
129756,null,8603,null,22427,null,3208,null,12629,null,2331,null,9176,null,1823,null,622,null,384,null,107329,null,8089,null,53003,null,5401,null,50380,null,4634,null,3946,null,1004,null,0400000US13,Georgia,13
271024,null,11101,null,24030,null,4353,null,11135,null,2593,null,11901,null,2260,null,994,null,766,null,246994,null,10772,null,97543,null,5931,null,134089,null,6766,null,15362,null,1725,null,0400000US15,Hawaii,15
37442,null,3407,null,8125,null,2070,null,5398,null,1712,null,2275,null,642,null,452,null,340,null,29317,null,3410,null,14882,null,2381,null,13073,null,2160,null,1362,null,673,null,0400000US16,Idaho,16
215129,null,11999,null,37052,null,5208,null,23172,null,3990,null,12838,null,1846,null,1042,null,666,null,178077,null,10748,null,97963,null,7466,null,74082,null,5678,null,6032,null,1281,null,0400000US17,Illinois,17
118504,null,6700,null,25070,null,4155,null,15246,null,3093,null,9393,null,1757,null,431,null,344,null,93434,null,5979,null,50273,null,4138,null,39108,null,3481,null,4053,null,940,null,0400000US18,Indiana,18
42788,null,3733,null,9635,null,1788,null,5205,null,1280,null,4048,null,1046,null,382,null,298,null,33153,null,3463,null,18901,null,2686,null,13353,null,1686,null,899,null,453,null,0400000US19,Iowa,19
70452,null,4556,null,12804,null,2310,null,6584,null,1652,null,5823,null,1373,null,397,null,279,null,57648,null,4166,null,28319,null,2769,null,26663,null,2539,null,2666,null,734,null,0400000US20,Kansas,20
59205,null,5112,null,18855,null,2814,null,13555,null,2470,null,4351,null,1030,null,949,null,486,null,40350,null,4531,null,21067,null,2862,null,16670,null,2328,null,2613,null,732,null,0400000US21,Kentucky,21
