C18101_001E,C18101_001EA,C18101_001M,C18101_001MA,C18101_002E,C18101_002EA,C18101_002M,C18101_002MA,C18101_003E,C18101_003EA,C18101_003M,C18101_003MA,C18101_004E,C18101_004EA,C18101_004M,C18101_004MA,C18101_005E,C18101_005EA,C18101_005M,C18101_005MA,C18101_006E,C18101_006EA,C18101_006M,C18101_006MA,C18101_007E,C18101_007EA,C18101_007M,C18101_007MA,C18101_008E,C18101_008EA,C18101_008M,C18101_008MA,C18101_009E,C18101_009EA,C18101_009M,C18101_009MA,C18101_010E,C18101_010EA,C18101_010M,C18101_010MA,C18101_011E,C18101_011EA,C18101_011M,C18101_011MA,C18101_012E,C18101_012EA,C18101_012M,C18101_012MA,C18101_013E,C18101_013EA,C18101_013M,C18101_013MA,C18101_014E,C18101_014EA,C18101_014M,C18101_014MA,C18101_015E,C18101_015EA,C18101_015M,C18101_015MA,C18101_016E,C18101_016EA,C18101_016M,C18101_016MA,C18101_017E,C18101_017EA,C18101_017M,C18101_017MA,C18101_018E,C18101_018EA,C18101_018M,C18101_018MA,C18101_019E,C18101_019EA,C18101_019M,C18101_019MA,C18101_020E,C18101_020EA,C18101_020M,C18101_020MA,C18101_021E,C18101_021EA,C18101_021M,C18101_021MA,GEO_ID,NAME,state
4574185,null,1943,null,2198441,null,4770,null,572524,null,3346,null,32679,null,2450,null,539845,null,4425,null,1369886,null,3608,null,201672,null,7129,null,1168214,null,7307,null,256031,null,1863,null,108307,null,3685,null,147724,null,3901,null,2375744,null,4702,null,547208,null,3685,null,19297,null,2454,null,527911,null,4365,null,1470605,null,3065,null,214339,null,7907,null,1256266,null,8036,null,357931,null,1990,null,168178,null,4760,null,189753,null,4560,null,0400000US01,Alabama,01
659084,null,2654,null,334591,null,2757,null,93267,null,1530,null,4073,null,1026,null,89194,null,1968,null,218187,null,2814,null,28862,null,2910,null,189325,null,3677,null,23137,null,626,null,9267,null,1044,null,13870,null,1031,null,324493,null,2029,null,87164,null,1442,null,2887,null,795,null,84277,null,1696,null,212751,null,1383,null,23824,null,2363,null,188927,null,2625,null,24578,null,684,null,9980,null,1084,null,14598,null,1126,null,0400000US02,Alaska,02
6402786,null,2692,null,3178940,null,3968,null,874583,null,2818,null,35962,null,3200,null,838621,null,4424,null,1919866,null,3728,null,202498,null,8124,null,1717368,null,8476,null,384491,null,1769,null,137294,null,4844,null,247197,null,4720,null,3223846,null,3469,null,831258,null,2625,null,25600,null,3070,null,805658,null,4052,null,1922663,null,2579,null,199839,null,6970,null,1722824,null,7496,null,469925,null,2050,null,171770,null,5794,null,298155,null,5390,null,0400000US04,Arizona,04
2801628,null,1721,null,1365410,null,4221,null,360249,null,3184,null,26034,null,2316,null,334215,null,4083,null,837986,null,3460,null,138692,null,5620,null,699294,null,6555,null,167175,null,1778,null,73622,null,3300,null,93553,null,2858,null,1436218,null,4181,null,341240,null,3164,null,16567,null,2098,null,324673,null,4046,null,876889,null,3438,null,133025,null,5690,null,743864,null,6292,null,218089,null,1680,null,98529,null,3501,null,119560,null,3634,null,0400000US05,Arkansas,05
36160600,null,6633,null,17938937,null,8716,null,4781741,null,4432,null,168390,null,7407,null,4613351,null,8235,null,11431915,null,7795,null,930936,null,18309,null,10500979,null,19557,null,1725281,null,4272,null,619264,null,10987,null,1106017,null,10856,null,18221663,null,8132,null,4565973,null,4878,null,106540,null,5136,null,4459433,null,7139,null,11378951,null,7913,null,941883,null,17504,null,10437068,null,20748,null,2276739,null,6449,null,925610,null,11993,null,1351129,null,12112,null,0400000US06,California,06
4853404,null,1990,null,2423482,null,3704,null,612733,null,3168,null,17542,null,2301,null,595191,null,3698,null,1591897,null,3328,null,130592,null,5870,null,1461305,null,6669,null,218852,null,1948,null,72668,null,2804,null,146184,null,2808,null,2429922,null,3311,null,591203,null,2898,null,12276,null,1986,null,578927,null,3425,null,1562266,null,2646,null,125001,null,4972,null,1437265,null,5702,null,276453,null,1676,null,99895,null,3212,null,176558,null,3183,null,0400000US08,Colorado,08
3440844,null,1173,null,1673863,null,2650,null,414715,null,2225,null,19716,null,2745,null,394999,null,3421,null,1068564,null,2290,null,87309,null,5180,null,981255,null,5689,null,190584,null,843,null,57493,null,2677,null,133091,null,2588,null,1766981,null,2535,null,395252,null,1835,null,9742,null,1573,null,385510,null,2264,null,1111629,null,1886,null,92411,null,4284,null,1019218,null,4668,null,260100,null,1407,null,91236,null,3357,null,168864,null,3202,null,0400000US09,Connecticut,09
856131,null,1689,null,411661,null,1759,null,104523,null,711,null,5993,null,1261,null,98530,null,1310,null,255873,null,1496,null,27498,null,2880,null,228375,null,3080,null,51265,null,545,null,19260,null,1575,null,32005,null,1700,null,444470,null,1257,null,101520,null,807,null,4042,null,966,null,97478,null,1197,null,277828,null,1177,null,30310,null,2463,null,247518,null,2657,null,65122,null,774,null,24955,null,1650,null,40167,null,1839,null,0400000US10,Delaware,10
580464,null,653,null,271954,null,1278,null,56520,null,948,null,3417,null,1089,null,53103,null,1290,null,189612,null,1245,null,16347,null,2313,null,173265,null,2456,null,25822,null,1035,null,7853,null,1113,null,17969,null,1336,null,308510,null,1203,null,54743,null,426,null,1617,null,670,null,53126,null,765,null,213275,null,690,null,19577,null,2477,null,193698,null,2754,null,40492,null,1079,null,15550,null,1649,null,24942,null,1804,null,0400000US11,District of Columbia,11
17995843,null,3547,null,8754878,null,8342,null,2045289,null,4363,null,98646,null,5938,null,1946643,null,7047,null,5332986,null,9420,null,535678,null,13585,null,4797308,null,17980,null,1376603,null,3520,null,470453,null,9070,null,906150,null,8351,null,9240965,null,7798,null,1951043,null,5335,null,54882,null,3399,null,1896161,null,5707,null,5561721,null,5509,null,525587,null,10911,null,5036134,null,11631,null,1728201,null,3310,null,637798,null,10507,null,1090403,null,10131,null,0400000US12,Florida,12
