C05003D_001E,C05003D_001EA,C05003D_001M,C05003D_001MA,C05003D_002E,C05003D_002EA,C05003D_002M,C05003D_002MA,C05003D_003E,C05003D_003EA,C05003D_003M,C05003D_003MA,C05003D_004E,C05003D_004EA,C05003D_004M,C05003D_004MA,C05003D_005E,C05003D_005EA,C05003D_005M,C05003D_005MA,C05003D_006E,C05003D_006EA,C05003D_006M,C05003D_006MA,C05003D_007E,C05003D_007EA,C05003D_007M,C05003D_007MA,C05003D_008E,C05003D_008EA,C05003D_008M,C05003D_008MA,C05003D_009E,C05003D_009EA,C05003D_009M,C05003D_009MA,C05003D_010E,C05003D_010EA,C05003D_010M,C05003D_010MA,C05003D_011E,C05003D_011EA,C05003D_011M,C05003D_011MA,C05003D_012E,C05003D_012EA,C05003D_012M,C05003D_012MA,C05003D_013E,C05003D_013EA,C05003D_013M,C05003D_013MA,C05003D_014E,C05003D_014EA,C05003D_014M,C05003D_014MA,C05003D_015E,C05003D_015EA,C05003D_015M,C05003D_015MA,GEO_ID,NAME,state
45539,null,2563,null,21829,null,1714,null,6799,null,1250,null,5597,null,1293,null,1202,null,619,null,15030,null,1059,null,4035,null,1170,null,10995,null,1234,null,23710,null,1764,null,5513,null,1091,null,3996,null,1014,null,1517,null,732,null,18197,null,1471,null,2481,null,871,null,15716,null,1415,null,0400000US01,Alabama,01
31826,null,1833,null,15069,null,1261,null,3359,null,839,null,2626,null,782,null,733,null,479,null,11710,null,1191,null,2205,null,718,null,9505,null,1231,null,16757,null,1101,null,3195,null,853,null,2517,null,832,null,678,null,346,null,13562,null,715,null,2381,null,744,null,11181,null,868,null,0400000US02,Alaska,02
154416,null,4412,null,73265,null,2701,null,17810,null,1664,null,13979,null,1503,null,3831,null,1333,null,55455,null,1666,null,13040,null,2214,null,42415,null,2515,null,81151,null,2739,null,17189,null,1341,null,13645,null,1456,null,3544,null,1157,null,63962,null,2139,null,12282,null,1433,null,51680,null,2143,null,0400000US04,Arizona,04
29466,null,2253,null,14281,null,1244,null,4232,null,1001,null,3538,null,925,null,694,null,400,null,10049,null,790,null,1876,null,710,null,8173,null,1001,null,15185,null,1653,null,3807,null,966,null,2959,null,870,null,848,null,470,null,11378,null,1096,null,2109,null,750,null,9269,null,908,null,0400000US05,Arkansas,05
4548741,null,13354,null,2187489,null,8381,null,478706,null,5159,null,401465,null,6704,null,77241,null,4172,null,1708783,null,5717,null,412801,null,10172,null,1295982,null,11185,null,2361252,null,7713,null,452924,null,6131,null,380590,null,6963,null,72334,null,4459,null,1908328,null,4892,null,392328,null,10663,null,1516000,null,10450,null,0400000US06,California,06
126143,null,3427,null,58051,null,2216,null,13716,null,1379,null,9737,null,1475,null,3979,null,1097,null,44335,null,1551,null,11952,null,2023,null,32383,null,2080,null,68092,null,2202,null,13994,null,1421,null,8582,null,1392,null,5412,null,1332,null,54098,null,1435,null,10570,null,1626,null,43528,null,2008,null,0400000US08,Colorado,08
121295,null,2685,null,61099,null,1620,null,15404,null,1181,null,12063,null,1108,null,3341,null,916,null,45695,null,893,null,4584,null,999,null,41111,null,1258,null,60196,null,1714,null,14761,null,1144,null,11528,null,1334,null,3233,null,819,null,45435,null,1004,null,5752,null,1260,null,39683,null,1365,null,0400000US09,Connecticut,09
25280,null,810,null,12258,null,593,null,3298,null,414,null,2880,null,393,null,418,null,297,null,8960,null,386,null,983,null,507,null,7977,null,625,null,13022,null,497,null,3284,null,249,null,2377,null,556,null,907,null,506,null,9738,null,418,null,421,null,302,null,9317,null,441,null,0400000US10,Delaware,10
20091,null,755,null,9240,null,668,null,1663,null,445,null,995,null,495,null,668,null,461,null,7577,null,512,null,2937,null,907,null,4640,null,852,null,10851,null,502,null,1213,null,331,null,627,null,357,null,586,null,325,null,9638,null,355,null,2913,null,715,null,6725,null,794,null,0400000US11,District of Columbia,11
420393,null,5048,null,192948,null,4031,null,45082,null,2610,null,35058,null,2478,null,10024,null,1926,null,147866,null,2977,null,22532,null,2571,null,125334,null,3072,null,227445,null,3773,null,50257,null,2613,null,37207,null,2719,null,13050,null,1815,null,177188,null,2418,null,19149,null,2255,null,158039,null,2982,null,0400000US12,Florida,12
