B16002_001E,B16002_001EA,B16002_001M,B16002_001MA,B16002_002E,B16002_002EA,B16002_002M,B16002_002MA,B16002_003E,B16002_003EA,B16002_003M,B16002_003MA,B16002_004E,B16002_004EA,B16002_004M,B16002_004MA,B16002_005E,B16002_005EA,B16002_005M,B16002_005MA,B16002_006E,B16002_006EA,B16002_006M,B16002_006MA,B16002_007E,B16002_007EA,B16002_007M,B16002_007MA,B16002_008E,B16002_008EA,B16002_008M,B16002_008MA,B16002_009E,B16002_009EA,B16002_009M,B16002_009MA,B16002_010E,B16002_010EA,B16002_010M,B16002_010MA,B16002_011E,B16002_011EA,B16002_011M,B16002_011MA,B16002_012E,B16002_012EA,B16002_012M,B16002_012MA,B16002_013E,B16002_013EA,B16002_013M,B16002_013MA,B16002_014E,B16002_014EA,B16002_014M,B16002_014MA,GEO_ID,NAME,state
1815865,null,10024,null,1728420,null,9676,null,50161,null,2813,null,14495,null,1617,null,35666,null,2673,null,20513,null,2247,null,2235,null,821,null,18278,null,2007,null,13333,null,1700,null,2887,null,970,null,10446,null,1713,null,3438,null,883,null,314,null,298,null,3124,null,802,null,0400000US01,Alabama,01
237607,null,2898,null,195695,null,3344,null,11508,null,1412,null,649,null,310,null,10859,null,1450,null,7329,null,1349,null,212,null,153,null,7117,null,1362,null,10984,null,1125,null,2940,null,745,null,8044,null,1175,null,12091,null,1113,null,1719,null,357,null,10372,null,1042,null,0400000US02,Alaska,02
2273842,null,11467,null,1674633,null,11084,null,436140,null,8353,null,118961,null,6012,null,317179,null,7627,null,70210,null,3522,null,8344,null,1578,null,61866,null,3229,null,38803,null,1928,null,8104,null,1432,null,30699,null,2082,null,54056,null,2998,null,9961,null,1513,null,44095,null,2619,null,0400000US04,Arizona,04
1114041,null,8021,null,1044041,null,8071,null,47012,null,3335,null,16269,null,1946,null,30743,null,3080,null,12764,null,1868,null,838,null,609,null,11926,null,1687,null,7986,null,1303,null,2082,null,646,null,5904,null,1212,null,2238,null,773,null,17,null,32,null,2221,null,776,null,0400000US05,Arkansas,05
12176760,null,21139,null,7291552,null,24633,null,2953078,null,15757,null,824649,null,12565,null,2128429,null,15806,null,673487,null,11945,null,123110,null,6058,null,550377,null,11832,null,1137577,null,9534,null,343303,null,8010,null,794274,null,10960,null,121066,null,5972,null,18580,null,1966,null,102486,null,5672,null,0400000US06,California,06
1897835,null,9244,null,1562432,null,10257,null,218181,null,5756,null,55256,null,4124,null,162925,null,5700,null,64676,null,3998,null,8792,null,1652,null,55884,null,3613,null,37572,null,2514,null,10141,null,1497,null,27431,null,2396,null,14974,null,2243,null,3057,null,1082,null,11917,null,2064,null,0400000US08,Colorado,08
1329305,null,5895,null,1034752,null,7687,null,131381,null,3905,null,36095,null,3415,null,95286,null,4292,null,126081,null,5115,null,21292,null,2030,null,104789,null,4903,null,28199,null,1992,null,6011,null,1130,null,22188,null,1865,null,8892,null,1663,null,1041,null,461,null,7851,null,1513,null,0400000US09,Connecticut,09
328654,null,3672,null,289349,null,3521,null,18876,null,1600,null,4138,null,922,null,14738,null,1668,null,12336,null,1698,null,1275,null,488,null,11061,null,1696,null,5818,null,726,null,1216,null,500,null,4602,null,807,null,2275,null,783,null,230,null,220,null,2045,null,753,null,0400000US10,Delaware,10
249996,null,3353,null,207740,null,4006,null,19123,null,1902,null,5375,null,1186,null,13748,null,1705,null,12741,null,1636,null,1011,null,568,null,11730,null,1614,null,5136,null,951,null,1423,null,616,null,3713,null,935,null,5256,null,1164,null,890,null,528,null,4366,null,1050,null,0400000US11,District of Columbia,11
7057285,null,24241,null,5239394,null,20868,null,1269635,null,14238,null,391370,null,9960,null,878265,null,13824,null,398672,null,10796,null,86220,null,4549,null,312452,null,9489,null,104966,null,4144,null,24425,null,2265,null,80541,null,3656,null,44618,null,3526,null,6204,null,1455,null,38414,null,3121,null,0400000US12,Florida,12
