B10001_001E,B10001_001EA,B10001_001M,B10001_001MA,B10001_002E,B10001_002EA,B10001_002M,B10001_002MA,B10001_003E,B10001_003EA,B10001_003M,B10001_003MA,B10001_004E,B10001_004EA,B10001_004M,B10001_004MA,GEO_ID,NAME,state
100799,null,6959,null,44894,null,4037,null,30688,null,3718,null,25217,null,2681,null,0400000US01,Alabama,01
10108,null,2066,null,4412,null,1022,null,3218,null,985,null,2478,null,835,null,0400000US02,Alaska,02
123079,null,7596,null,67926,null,5429,null,31279,null,3067,null,23874,null,2841,null,0400000US04,Arizona,04
64660,null,4920,null,29859,null,2869,null,19416,null,2267,null,15385,null,2030,null,0400000US05,Arkansas,05
678649,null,20942,null,338095,null,12498,null,198685,null,9232,null,141869,null,7967,null,0400000US06,California,06
67838,null,7756,null,32788,null,4195,null,19589,null,2981,null,15461,null,2774,null,0400000US08,Colorado,08
37845,null,3828,null,18059,null,2407,null,8872,null,1424,null,10914,null,1831,null,0400000US09,Connecticut,09
18187,null,2599,null,8436,null,1790,null,5421,null,1468,null,4330,null,1001,null,0400000US10,Delaware,10
12088,null,2607,null,5830,null,1969,null,3006,null,974,null,3252,null,1038,null,0400000US11,District of Columbia,11
287753,null,14127,null,140660,null,8300,null,84512,null,6319,null,62581,null,5470,null,0400000US12,Florida,12
213655,null,11165,null,98345,null,6112,null,68168,null,6280,null,47142,null,3803,null,0400000US13,Georgia,13
40121,null,4355,null,19473,null,2912,null,12000,null,1839,null,8648,null,1617,null,0400000US15,Hawaii,15
20006,null,3045,null,6259,null,1031,null,7826,null,1617,null,5921,null,1392,null,0400000US16,Idaho,16
200094,null,8564,null,97427,null,5130,null,61349,null,4418,null,41318,null,3857,null,0400000US17,Illinois,17
95874,null,7616,null,44872,null,4645,null,26253,null,3137,null,24749,null,3239,null,0400000US18,Indiana,18
27314,null,2904,null,12743,null,1617,null,8573,null,1683,null,5998,null,1284,null,0400000US19,Iowa,19
32264,null,3402,null,16125,null,2353,null,9278,null,1781,null,6861,null,1167,null,0400000US20,Kansas,20
77809,null,5617,null,36132,null,3812,null,20773,null,2567,null,20904,null,2424,null,0400000US21,Kentucky,21
120137,null,7166,null,52920,null,4171,null,37072,null,3604,null,30145,null,3428,null,0400000US22,Louisiana,22
14190,null,2238,null,7682,null,1621,null,3766,null,1125,null,2742,null,688,null,0400000US23,Maine,23
93456,null,6261,null,45377,null,4029,null,25827,null,3148,null,22252,null,2050,null,0400000US24,Maryland,24
67386,null,4748,null,31615,null,3609,null,21440,null,2234,null,14331,null,1833,null,0400000US25,Massachusetts,25
143844,null,8287,null,69719,null,5153,null,38582,null,3750,null,35543,null,3259,null,0400000US26,Michigan,26
43806,null,3965,null,22948,null,2765,null,12032,null,1653,null,8826,null,1519,null,0400000US27,Minnesota,27
90212,null,7164,null,39290,null,3647,null,27700,null,3620,null,23222,null,3112,null,0400000US28,Mississippi,28
92536,null,6157,null,42678,null,3773,null,28529,null,2746,null,21329,null,2585,null,0400000US29,Missouri,29
13055,null,2067,null,5749,null,1257,null,4393,null,1101,null,2913,null,818,null,0400000US30,Montana,30
16384,null,1957,null,8923,null,1398,null,4367,null,930,null,3094,null,767,null,0400000US31,Nebraska,31
39838,null,4777,null,21987,null,3190,null,10219,null,2094,null,7632,null,1368,null,0400000US32,Nevada,32
10372,null,2359,null,6156,null,1590,null,2250,null,744,null,1966,null,816,null,0400000US33,New Hampshire,33
106819,null,6431,null,48457,null,3881,null,31802,null,2996,null,26560,null,3565,null,0400000US34,New Jersey,34
47297,null,5288,null,21218,null,2853,null,16062,null,2507,null,10017,null,1864,null,0400000US35,New Mexico,35
287772,null,13776,null,137811,null,7913,null,82066,null,6184,null,67895,null,4883,null,0400000US36,New York,36
160579,null,9400,null,75030,null,5387,null,47240,null,4398,null,38309,null,3987,null,0400000US37,North Carolina,37
4843,null,1312,null,2246,null,785,null,1487,null,677,null,1110,null,430,null,0400000US38,North Dakota,38
165500,null,7835,null,77051,null,4892,null,50345,null,4190,null,38104,null,3092,null,0400000US39,Ohio,39
74167,null,5723,null,34781,null,3632,null,21855,null,2691,null,17531,null,2366,null,0400000US40,Oklahoma,40
44137,null,3791,null,20566,null,2210,null,13725,null,1975,null,9846,null,1792,null,0400000US41,Oregon,41
160197,null,7803,null,79190,null,5254,null,43025,null,3178,null,37982,null,3389,null,0400000US42,Pennsylvania,42
11014,null,2156,null,5025,null,1457,null,3017,null,842,null,2972,null,956,null,0400000US44,Rhode Island,44
100455,null,7470,null,42615,null,4089,null,29572,null,3283,null,28268,null,3229,null,0400000US45,South Carolina,45
9868,null,2040,null,5910,null,1799,null,2044,null,898,null,1914,null,789,null,0400000US46,South Dakota,46
