C17012_001E,C17012_001EA,C17012_001M,C17012_001MA,C17012_002E,C17012_002EA,C17012_002M,C17012_002MA,C17012_003E,C17012_003EA,C17012_003M,C17012_003MA,C17012_004E,C17012_004EA,C17012_004M,C17012_004MA,C17012_005E,C17012_005EA,C17012_005M,C17012_005MA,C17012_006E,C17012_006EA,C17012_006M,C17012_006MA,C17012_007E,C17012_007EA,C17012_007M,C17012_007MA,C17012_008E,C17012_008EA,C17012_008M,C17012_008MA,C17012_009E,C17012_009EA,C17012_009M,C17012_009MA,C17012_010E,C17012_010EA,C17012_010M,C17012_010MA,C17012_011E,C17012_011EA,C17012_011M,C17012_011MA,GEO_ID,NAME,state
1216612,null,11381,null,146323,null,5371,null,36270,null,2838,null,77973,null,4067,null,28041,null,2880,null,4039,null,1120,null,1070289,null,11368,null,589380,null,8983,null,407134,null,8960,null,70397,null,4093,null,3378,null,966,null,0400000US01,Alabama,01
157273,null,3920,null,8981,null,1336,null,1118,null,506,null,4990,null,1113,null,2256,null,699,null,617,null,207,null,148292,null,3868,null,68504,null,2689,null,62610,null,3842,null,14960,null,1784,null,2218,null,681,null,0400000US02,Alaska,02
1489192,null,13955,null,153967,null,7266,null,32309,null,3249,null,70197,null,5003,null,41292,null,3561,null,10169,null,2112,null,1335225,null,13296,null,709224,null,9003,null,488397,null,10941,null,126409,null,5934,null,11195,null,1780,null,0400000US04,Arizona,04
751956,null,8609,null,97661,null,5087,null,20009,null,1946,null,51354,null,3919,null,22986,null,2692,null,3312,null,1176,null,654295,null,9443,null,368700,null,7439,null,239898,null,6106,null,42246,null,3152,null,3451,null,1047,null,0400000US05,Arkansas,05
8265877,null,24391,null,824961,null,17051,null,160496,null,7106,null,399035,null,12427,null,228028,null,7357,null,37402,null,3301,null,7440916,null,26807,null,3585279,null,21734,null,3087197,null,21889,null,711394,null,12763,null,57046,null,3529,null,0400000US06,California,06
1208994,null,12292,null,94833,null,5799,null,19926,null,2507,null,51265,null,4439,null,20021,null,2751,null,3621,null,971,null,1114161,null,12813,null,570333,null,9356,null,441702,null,8942,null,95798,null,4992,null,6328,null,1172,null,0400000US08,Colorado,08
888825,null,8063,null,59375,null,4122,null,12658,null,1715,null,32634,null,2619,null,12595,null,2274,null,1488,null,767,null,829450,null,7641,null,435180,null,5816,null,324348,null,6964,null,67021,null,3479,null,2901,null,750,null,0400000US09,Connecticut,09
222044,null,4500,null,15264,null,2028,null,3256,null,911,null,7924,null,1367,null,3428,null,1185,null,656,null,461,null,206780,null,4632,null,112687,null,3129,null,79674,null,4035,null,13786,null,1621,null,633,null,357,null,0400000US10,Delaware,10
107365,null,3934,null,14675,null,1923,null,3274,null,1075,null,7423,null,1265,null,3068,null,989,null,910,null,509,null,92690,null,3608,null,50433,null,2886,null,36283,null,2693,null,5517,null,1308,null,457,null,394,null,0400000US11,District of Columbia,11
4577227,null,27336,null,433289,null,12273,null,123341,null,6624,null,212338,null,8635,null,84838,null,6070,null,12772,null,1852,null,4143938,null,25186,null,2399770,null,20104,null,1476906,null,15025,null,253488,null,8474,null,13774,null,2212,null,0400000US12,Florida,12
2364041,null,20337,null,262999,null,7965,null,55358,null,3956,null,137025,null,6627,null,59560,null,4500,null,11056,null,1731,null,2101042,null,18593,null,1039974,null,12256,null,864175,null,12859,null,183066,null,7681,null,13827,null,1897,null,0400000US13,Georgia,13
303344,null,5137,null,18161,null,2268,null,4981,null,1099,null,9548,null,1692,null,3212,null,962,null,420,null,363,null,285183,null,5503,null,150630,null,5248,null,107997,null,4409,null,23782,null,2414,null,2774,null,907,null,0400000US15,Hawaii,15
396253,null,6996,null,37154,null,3469,null,7609,null,1340,null,20420,null,2546,null,7902,null,1394,null,1223,null,529,null,359099,null,6928,null,180825,null,4588,null,132536,null,4979,null,41304,null,3260,null,4434,null,904,null,0400000US16,Idaho,16
3138757,null,18424,null,283081,null,7657,null,55559,null,3550,null,144620,null,6760,null,70395,null,4429,null,12507,null,1939,null,2855676,null,17850,null,1460316,null,15275,null,1115559,null,14003,null,261143,null,8969,null,18658,null,2122,null,0400000US17,Illinois,17
1648431,null,15271,null,157570,null,6279,null,31696,null,2619,null,81903,null,3890,null,37319,null,3253,null,6652,null,1430,null,1490861,null,14219,null,787389,null,10127,null,565057,null,10950,null,127302,null,5456,null,11113,null,1808,null,0400000US18,Indiana,18
791790,null,7894,null,57737,null,4022,null,11107,null,1445,null,31317,null,3268,null,12450,null,1633,null,2863,null,919,null,734053,null,8212,null,407314,null,6009,null,256355,null,5825,null,66446,null,3738,null,3938,null,863,null,0400000US19,Iowa,19
736264,null,8496,null,56736,null,3445,null,11625,null,1438,null,27675,null,2593,null,14782,null,2075,null,2654,null,881,null,679528,null,8567,null,357708,null,5950,null,254041,null,6801,null,63154,null,3495,null,4625,null,1085,null,0400000US20,Kansas,20
1125630,null,12346,null,147398,null,6613,null,37199,null,2920,null,80505,null,4999,null,26116,null,2931,null,3578,null,1251,null,978232,null,11613,null,544601,null,8123,null,365134,null,7262,null,63852,null,3862,null,4645,null,1027,null,0400000US21,Kentucky,21
1094141,null,10371,null,146380,null,6476,null,33706,null,3149,null,71035,null,4685,null,36189,null,3298,null,5450,null,1371,null,947761,null,11039,null,500377,null,7722,null,369123,null,8565,null,74692,null,4786,null,3569,null,1013,null,0400000US22,Louisiana,22
343822,null,6405,null,29416,null,2739,null,6622,null,1254,null,17196,null,2295,null,5181,null,1026,null,417,null,303,null,314406,null,6052,null,183193,null,4920,null,113473,null,4471,null,16900,null,1857,null,840,null,446,null,0400000US23,Maine,23
1395778,null,10754,null,74687,null,4060,null,16927,null,2218,null,38826,null,3279,null,17178,null,2555,null,1756,null,674,null,1321091,null,11173,null,661101,null,8879,null,552404,null,8652,null,100535,null,5054,null,7051,null,1241,null,0400000US24,Maryland,24
1568641,null,11431,null,111502,null,6166,null,27230,null,2885,null,60963,null,4259,null,22203,null,2679,null,1106,null,492,null,1457139,null,11859,null,761321,null,8909,null,584358,null,10439,null,106731,null,4938,null,4729,null,1277,null,0400000US25,Massachusetts,25
2525388,null,15908,null,264514,null,7290,null,57899,null,3138,null,138633,null,5456,null,57960,null,3419,null,10022,null,1750,null,2260874,null,15759,null,1224276,null,11135,null,828488,null,12090,null,193979,null,5802,null,14131,null,1883,null,0400000US26,Michigan,26
