B16005D_001E,B16005D_001EA,B16005D_001M,B16005D_001MA,B16005D_002E,B16005D_002EA,B16005D_002M,B16005D_002MA,B16005D_003E,B16005D_003EA,B16005D_003M,B16005D_003MA,B16005D_004E,B16005D_004EA,B16005D_004M,B16005D_004MA,B16005D_005E,B16005D_005EA,B16005D_005M,B16005D_005MA,B16005D_006E,B16005D_006EA,B16005D_006M,B16005D_006MA,B16005D_007E,B16005D_007EA,B16005D_007M,B16005D_007MA,B16005D_008E,B16005D_008EA,B16005D_008M,B16005D_008MA,B16005D_009E,B16005D_009EA,B16005D_009M,B16005D_009MA,B16005D_010E,B16005D_010EA,B16005D_010M,B16005D_010MA,B16005D_011E,B16005D_011EA,B16005D_011M,B16005D_011MA,GEO_ID,NAME,state
41676,null,2470,null,12638,null,1969,null,6370,null,1587,null,6268,null,1526,null,5782,null,1548,null,486,null,355,null,29038,null,2381,null,4008,null,1310,null,25030,null,2195,null,12825,null,2125,null,12205,null,1716,null,0400000US01,Alabama,01
30647,null,1602,null,8550,null,1411,null,4152,null,1184,null,4398,null,1172,null,3598,null,1077,null,800,null,429,null,22097,null,1971,null,2356,null,686,null,19741,null,1885,null,7701,null,1604,null,12040,null,1541,null,0400000US02,Alaska,02
143473,null,3825,null,42967,null,3566,null,27821,null,3302,null,15146,null,2339,null,13355,null,2198,null,1791,null,846,null,100506,null,4313,null,16517,null,2329,null,83989,null,4687,null,41985,null,3080,null,42004,null,4570,null,0400000US04,Arizona,04
27159,null,1926,null,8728,null,1547,null,3576,null,972,null,5152,null,1335,null,4343,null,1270,null,809,null,467,null,18431,null,1641,null,3332,null,955,null,15099,null,1784,null,6635,null,1193,null,8464,null,1657,null,0400000US05,Arkansas,05
4289199,null,11381,null,1343715,null,20935,null,726914,null,17959,null,616801,null,14918,null,488136,null,12991,null,128665,null,7297,null,2945484,null,19075,null,261571,null,9542,null,2683913,null,20963,null,1186121,null,19272,null,1497792,null,18719,null,0400000US06,California,06
119020,null,3283,null,35571,null,4040,null,21588,null,3115,null,13983,null,2346,null,11611,null,2096,null,2372,null,898,null,83449,null,4108,null,12837,null,2011,null,70612,null,4462,null,33516,null,2941,null,37096,null,3277,null,0400000US08,Colorado,08
112287,null,2347,null,25406,null,2148,null,11489,null,1663,null,13917,null,1917,null,11613,null,1837,null,2304,null,767,null,86881,null,2306,null,10686,null,1898,null,76195,null,2978,null,42950,null,2964,null,33245,null,2734,null,0400000US09,Connecticut,09
23374,null,736,null,4854,null,885,null,1815,null,766,null,3039,null,842,null,2663,null,849,null,376,null,282,null,18520,null,1033,null,2208,null,593,null,16312,null,1178,null,9995,null,1365,null,6317,null,1355,null,0400000US10,Delaware,10
19004,null,696,null,6742,null,1321,null,4251,null,1181,null,2491,null,887,null,2096,null,819,null,395,null,450,null,12262,null,1316,null,3293,null,1101,null,8969,null,1205,null,5797,null,1142,null,3172,null,984,null,0400000US11,District of Columbia,11
392636,null,4345,null,89213,null,4860,null,48244,null,3567,null,40969,null,3399,null,34194,null,3404,null,6775,null,1623,null,303423,null,4983,null,58067,null,4607,null,245356,null,6208,null,123858,null,5328,null,121498,null,5865,null,0400000US12,Florida,12
256455,null,4675,null,62045,null,4270,null,24058,null,3680,null,37987,null,2992,null,34176,null,3203,null,3811,null,1036,null,194410,null,5230,null,18298,null,2682,null,176112,null,5203,null,85168,null,4624,null,90944,null,5001,null,0400000US13,Georgia,13
477079,null,8377,null,310751,null,8102,null,261490,null,8315,null,49261,null,4702,null,33479,null,3967,null,15782,null,2572,null,166328,null,7162,null,17856,null,2117,null,148472,null,6975,null,52325,null,3791,null,96147,null,5951,null,0400000US15,Hawaii,15
17546,null,1770,null,5858,null,1220,null,4784,null,1160,null,1074,null,602,null,912,null,595,null,162,null,209,null,11688,null,1495,null,1614,null,720,null,10074,null,1563,null,4057,null,1069,null,6017,null,1294,null,0400000US16,Idaho,16
513801,null,4987,null,133609,null,6754,null,65022,null,5552,null,68587,null,4610,null,57075,null,4327,null,11512,null,2237,null,380192,null,7127,null,36465,null,3810,null,343727,null,8164,null,186250,null,6520,null,157477,null,7687,null,0400000US17,Illinois,17
79236,null,2455,null,18630,null,1989,null,10626,null,1823,null,8004,null,1509,null,6565,null,1438,null,1439,null,628,null,60606,null,2230,null,9743,null,1562,null,50863,null,2180,null,26056,null,2370,null,24807,null,2749,null,0400000US18,Indiana,18
43220,null,2012,null,9670,null,1530,null,5788,null,1335,null,3882,null,1088,null,3053,null,1013,null,829,null,548,null,33550,null,2062,null,6778,null,1418,null,26772,null,1778,null,11330,null,1687,null,15442,null,1924,null,0400000US19,Iowa,19
54444,null,1854,null,14332,null,1712,null,7096,null,1252,null,7236,null,1251,null,6210,null,1290,null,1026,null,523,null,40112,null,2075,null,5216,null,1156,null,34896,null,2157,null,16909,null,2039,null,17987,null,2060,null,0400000US20,Kansas,20
40322,null,3305,null,8193,null,1541,null,5039,null,1274,null,3154,null,913,null,2885,null,917,null,269,null,194,null,32129,null,3257,null,4185,null,1094,null,27944,null,3334,null,14143,null,2320,null,13801,null,1967,null,0400000US21,Kentucky,21
60323,null,3192,null,15533,null,2125,null,6283,null,1853,null,9250,null,1758,null,7871,null,1532,null,1379,null,494,null,44790,null,2879,null,4596,null,1242,null,40194,null,2845,null,14875,null,2033,null,25319,null,2358,null,0400000US22,Louisiana,22
10270,null,926,null,2600,null,762,null,1186,null,553,null,1414,null,442,null,990,null,378,null,424,null,253,null,7670,null,989,null,2104,null,766,null,5566,null,879,null,2433,null,871,null,3133,null,770,null,0400000US23,Maine,23
266686,null,2927,null,64028,null,4178,null,27770,null,2967,null,36258,null,3538,null,28563,null,2681,null,7695,null,1992,null,202658,null,4610,null,21618,null,2553,null,181040,null,5164,null,96813,null,4475,null,84227,null,4580,null,0400000US24,Maryland,24
300254,null,2889,null,79846,null,4032,null,31946,null,2886,null,47900,null,3549,null,39860,null,3812,null,8040,null,1382,null,220408,null,4690,null,23902,null,2520,null,196506,null,4993,null,90990,null,4861,null,105516,null,5476,null,0400000US25,Massachusetts,25
