B08105G_001E,B08105G_001EA,B08105G_001M,B08105G_001MA,B08105G_002E,B08105G_002EA,B08105G_002M,B08105G_002MA,B08105G_003E,B08105G_003EA,B08105G_003M,B08105G_003MA,B08105G_004E,B08105G_004EA,B08105G_004M,B08105G_004MA,B08105G_005E,B08105G_005EA,B08105G_005M,B08105G_005MA,B08105G_006E,B08105G_006EA,B08105G_006M,B08105G_006MA,B08105G_007E,B08105G_007EA,B08105G_007M,B08105G_007MA,GEO_ID,NAME,state
18689,null,2177,null,13774,null,1793,null,3904,null,1139,null,124,null,145,null,264,null,319,null,233,null,147,null,390,null,217,null,0400000US01,Alabama,01
18155,null,2179,null,11341,null,1601,null,2881,null,867,null,552,null,419,null,1409,null,538,null,1203,null,586,null,769,null,400,null,0400000US02,Alaska,02
51089,null,4494,null,37883,null,3842,null,7853,null,1488,null,655,null,420,null,1612,null,719,null,1493,null,711,null,1593,null,548,null,0400000US04,Arizona,04
18322,null,2372,null,14204,null,2078,null,3168,null,982,null,156,null,155,null,171,null,134,null,87,null,106,null,536,null,304,null,0400000US05,Arkansas,05
436435,null,10666,null,317383,null,9615,null,53513,null,3828,null,21169,null,2466,null,13310,null,1813,null,13640,null,2340,null,17420,null,2199,null,0400000US06,California,06
56136,null,3898,null,39012,null,3224,null,6783,null,1293,null,3599,null,1104,null,3017,null,906,null,1152,null,418,null,2573,null,711,null,0400000US08,Colorado,08
27046,null,3303,null,19672,null,2656,null,3164,null,975,null,1941,null,753,null,1378,null,656,null,337,null,261,null,554,null,275,null,0400000US09,Connecticut,09
4532,null,1151,null,3218,null,1118,null,580,null,365,null,431,null,370,null,221,null,225,null,45,null,76,null,37,null,54,null,0400000US10,Delaware,10
6098,null,1786,null,2178,null,897,null,326,null,232,null,2537,null,928,null,668,null,523,null,339,null,336,null,50,null,82,null,0400000US11,District of Columbia,11
115647,null,6697,null,87471,null,5569,null,15341,null,2024,null,2365,null,956,null,2625,null,1060,null,3080,null,962,null,4765,null,1340,null,0400000US12,Florida,12
45466,null,4254,null,33033,null,3849,null,7649,null,1538,null,1112,null,501,null,745,null,402,null,1312,null,668,null,1615,null,652,null,0400000US13,Georgia,13
116219,null,6297,null,80655,null,5250,null,20681,null,2300,null,5806,null,1470,null,2606,null,934,null,2629,null,934,null,3842,null,1063,null,0400000US15,Hawaii,15
11748,null,1887,null,8860,null,1768,null,1749,null,598,null,63,null,73,null,241,null,188,null,513,null,299,null,322,null,223,null,0400000US16,Idaho,16
