C05003A_001E,C05003A_001EA,C05003A_001M,C05003A_001MA,C05003A_002E,C05003A_002EA,C05003A_002M,C05003A_002MA,C05003A_003E,C05003A_003EA,C05003A_003M,C05003A_003MA,C05003A_004E,C05003A_004EA,C05003A_004M,C05003A_004MA,C05003A_005E,C05003A_005EA,C05003A_005M,C05003A_005MA,C05003A_006E,C05003A_006EA,C05003A_006M,C05003A_006MA,C05003A_007E,C05003A_007EA,C05003A_007M,C05003A_007MA,C05003A_008E,C05003A_008EA,C05003A_008M,C05003A_008MA,C05003A_009E,C05003A_009EA,C05003A_009M,C05003A_009MA,C05003A_010E,C05003A_010EA,C05003A_010M,C05003A_010MA,C05003A_011E,C05003A_011EA,C05003A_011M,C05003A_011MA,C05003A_012E,C05003A_012EA,C05003A_012M,C05003A_012MA,C05003A_013E,C05003A_013EA,C05003A_013M,C05003A_013MA,C05003A_014E,C05003A_014EA,C05003A_014M,C05003A_014MA,C05003A_015E,C05003A_015EA,C05003A_015M,C05003A_015MA,GEO_ID,NAME,state
3276551,null,5764,null,1607180,null,4331,null,370615,null,2867,null,365535,null,2814,null,5080,null,1329,null,1236565,null,2886,null,1200159,null,3258,null,36406,null,3820,null,1669371,null,4198,null,351086,null,2783,null,347542,null,2771,null,3544,null,1216,null,1318285,null,2157,null,1289372,null,2844,null,28913,null,2506,null,0400000US01,Alabama,01
474317,null,2992,null,252021,null,2053,null,57373,null,1029,null,56953,null,1089,null,420,null,306,null,194648,null,1482,null,188421,null,1842,null,6227,null,1234,null,222296,null,1649,null,51575,null,919,null,51342,null,955,null,233,null,246,null,170721,null,1041,null,163158,null,1590,null,7563,null,1352,null,0400000US02,Alaska,02
5203987,null,24782,null,2601348,null,14068,null,647117,null,7103,null,616149,null,7080,null,30968,null,3425,null,1954231,null,9859,null,1645721,null,11007,null,308510,null,10052,null,2602639,null,13436,null,612852,null,7309,null,584313,null,7606,null,28539,null,3178,null,1989787,null,8121,null,1703569,null,10285,null,286218,null,9320,null,0400000US04,Arizona,04
2247623,null,5990,null,1106206,null,4437,null,261898,null,2739,null,259037,null,2573,null,2861,null,779,null,844308,null,2862,null,818424,null,3118,null,25884,null,2681,null,1141417,null,3883,null,244741,null,2554,null,243374,null,2519,null,1367,null,536,null,896676,null,2280,null,873687,null,2199,null,22989,null,1840,null,0400000US05,Arkansas,05
22961988,null,65263,null,11490854,null,36869,null,2757964,null,16674,null,2630990,null,17655,null,126974,null,5971,null,8732890,null,26480,null,6729643,null,24346,null,2003247,null,23714,null,11471134,null,36218,null,2632071,null,17457,null,2507851,null,17711,null,124220,null,8008,null,8839063,null,23563,null,6873054,null,24029,null,1966009,null,24435,null,0400000US06,California,06
4185668,null,14863,null,2105507,null,8851,null,493634,null,4282,null,476738,null,4518,null,16896,null,2658,null,1611873,null,6429,null,1464013,null,7775,null,147860,null,7849,null,2080161,null,8694,null,468546,null,5478,null,453398,null,5294,null,15148,null,2506,null,1611615,null,4585,null,1478586,null,6363,null,133029,null,5860,null,0400000US08,Colorado,08
2805744,null,10563,null,1365968,null,5881,null,307426,null,2969,null,298800,null,3305,null,8626,null,1437,null,1058542,null,4405,null,942202,null,5805,null,116340,null,5984,null,1439776,null,5732,null,294582,null,2931,null,286353,null,3350,null,8229,null,1710,null,1145194,null,3822,null,1025665,null,5519,null,119529,null,5248,null,0400000US09,Connecticut,09
634981,null,3460,null,309201,null,1905,null,69479,null,954,null,67145,null,1057,null,2334,null,1082,null,239722,null,1268,null,226822,null,1566,null,12900,null,1814,null,325780,null,2039,null,66475,null,1384,null,64671,null,1259,null,1804,null,773,null,259305,null,1099,null,246564,null,1762,null,12741,null,1779,null,0400000US10,Delaware,10
221911,null,3817,null,111393,null,2037,null,14229,null,781,null,13540,null,828,null,689,null,485,null,97164,null,1613,null,80699,null,1728,null,16465,null,2324,null,110518,null,2186,null,13200,null,918,null,12265,null,756,null,935,null,541,null,97318,null,1564,null,81749,null,1737,null,15569,null,2149,null,0400000US11,District of Columbia,11
14215502,null,25777,null,6999373,null,16932,null,1432540,null,6968,null,1370038,null,7948,null,62502,null,4561,null,5566833,null,14209,null,4524805,null,14009,null,1042028,null,20336,null,7216129,null,14298,null,1350574,null,6538,null,1287499,null,8995,null,63075,null,5300,null,5865555,null,10108,null,4771190,null,13545,null,1094365,null,13755,null,0400000US12,Florida,12
5998817,null,17185,null,2982434,null,10910,null,731844,null,5993,null,710936,null,5997,null,20908,null,2973,null,2250590,null,7977,null,2072059,null,6793,null,178531,null,8938,null,3016383,null,9557,null,693007,null,6144,null,675559,null,6105,null,17448,null,2730,null,2323376,null,5179,null,2184270,null,5835,null,139106,null,5421,null,0400000US13,Georgia,13
348746,null,3714,null,190278,null,2786,null,32470,null,2072,null,31818,null,2125,null,652,null,458,null,157808,null,1581,null,147081,null,1811,null,10727,null,1604,null,158468,null,2140,null,27842,null,1516,null,27627,null,1560,null,215,null,216,null,130626,null,1390,null,115306,null,2418,null,15320,null,2210,null,0400000US15,Hawaii,15
1412637,null,5006,null,708182,null,3122,null,189819,null,1706,null,186803,null,1814,null,3016,null,898,null,518363,null,2168,null,487966,null,2866,null,30397,null,3344,null,704455,null,2925,null,179437,null,1735,null,176087,null,1772,null,3350,null,1033,null,525018,null,1714,null,499060,null,2598,null,25958,null,2682,null,0400000US16,Idaho,16
9380332,null,28707,null,4635515,null,15172,null,1079701,null,8075,null,1049529,null,7895,null,30172,null,3826,null,3555814,null,9856,null,3107842,null,11178,null,447972,null,11417,null,4744817,null,15899,null,1031229,null,7934,null,1003927,null,7742,null,27302,null,2830,null,3713588,null,10649,null,3293873,null,12555,null,419715,null,10308,null,0400000US17,Illinois,17
5467562,null,9363,null,2690975,null,5651,null,656154,null,3335,null,650690,null,3331,null,5464,null,1320,null,2034821,null,3841,null,1980287,null,4017,null,54534,null,4166,null,2776587,null,5363,null,625090,null,3379,null,619701,null,3355,null,5389,null,1048,null,2151497,null,3233,null,2099522,null,4087,null,51975,null,4149,null,0400000US18,Indiana,18
2783128,null,5425,null,1365683,null,3213,null,320998,null,1606,null,318707,null,1770,null,2291,null,742,null,1044685,null,2337,null,1022181,null,2621,null,22504,null,2437,null,1417445,null,3510,null,308042,null,2067,null,305526,null,2156,null,2516,null,686,null,1109403,null,2076,null,1087323,null,2734,null,22080,null,2319,null,0400000US19,Iowa,19
2416768,null,7426,null,1194434,null,5197,null,291489,null,2674,null,287755,null,2758,null,3734,null,1033,null,902945,null,3505,null,863566,null,3396,null,39379,null,3982,null,1222334,null,4223,null,279449,null,2537,null,275839,null,2483,null,3610,null,865,null,942885,null,2559,null,907274,null,2976,null,35611,null,2692,null,0400000US20,Kansas,20
3802285,null,4563,null,1856312,null,4147,null,438694,null,2957,null,434469,null,3053,null,4225,null,1139,null,1417618,null,2327,null,1390978,null,2656,null,26640,null,2474,null,1945973,null,3599,null,419705,null,2914,null,416600,null,2924,null,3105,null,923,null,1526268,null,1698,null,1501846,null,2552,null,24422,null,2212,null,0400000US21,Kentucky,21
2824780,null,5754,null,1382246,null,4148,null,318224,null,2549,null,316994,null,2581,null,1230,null,547,null,1064022,null,2651,null,1035736,null,2946,null,28286,null,2863,null,1442534,null,3583,null,308305,null,2271,null,306702,null,2197,null,1603,null,551,null,1134229,null,2174,null,1105216,null,2656,null,29013,null,2327,null,0400000US22,Louisiana,22
1261279,null,1578,null,613679,null,991,null,129787,null,617,null,129114,null,721,null,673,null,514,null,483892,null,640,null,473746,null,1530,null,10146,null,1391,null,647600,null,1085,null,123834,null,735,null,123437,null,787,null,397,null,223,null,523766,null,793,null,508606,null,1572,null,15160,null,1498,null,0400000US23,Maine,23
3449411,null,12091,null,1693983,null,6947,null,385377,null,3349,null,374521,null,3523,null,10856,null,2121,null,1308606,null,4625,null,1200101,null,4313,null,108505,null,6342,null,1755428,null,6318,null,360561,null,3908,null,351863,null,3985,null,8698,null,1728,null,1394867,null,3367,null,1281224,null,4672,null,113643,null,5235,null,0400000US24,Maryland,24
5363392,null,14558,null,2598511,null,7442,null,561661,null,3334,null,547864,null,4178,null,13797,null,2255,null,2036850,null,5743,null,1828015,null,9114,null,208835,null,8786,null,2764881,null,8241,null,531031,null,3647,null,517533,null,4435,null,13498,null,2641,null,2233850,null,5496,null,2020396,null,9022,null,213454,null,8573,null,0400000US25,Massachusetts,25
7964843,null,8719,null,3935134,null,5360,null,905579,null,2816,null,891688,null,3534,null,13891,null,2131,null,3029555,null,3928,null,2880934,null,6560,null,148621,null,6114,null,4029709,null,4992,null,860860,null,3034,null,848663,null,4040,null,12197,null,2242,null,3168849,null,3611,null,3016853,null,6348,null,151996,null,5663,null,0400000US26,Michigan,26
4601081,null,5961,null,2281317,null,3850,null,525058,null,1965,null,516933,null,2246,null,8125,null,1638,null,1756259,null,2811,null,1699101,null,3805,null,57158,null,3868,null,2319764,null,3410,null,500718,null,2135,null,494539,null,2325,null,6179,null,1117,null,1819046,null,2247,null,1764965,null,3722,null,54081,null,3612,null,0400000US27,Minnesota,27
1755352,null,4798,null,865059,null,4029,null,205744,null,2606,null,204248,null,2444,null,1496,null,527,null,659315,null,2685,null,643518,null,2908,null,15797,null,2747,null,890293,null,4021,null,191219,null,3121,null,190174,null,3213,null,1045,null,587,null,699074,null,1937,null,687798,null,2097,null,11276,null,1641,null,0400000US28,Mississippi,28
4975446,null,6991,null,2439391,null,4207,null,577838,null,2854,null,571281,null,3382,null,6557,null,1845,null,1861553,null,2487,null,1813140,null,3653,null,48413,null,3979,null,2536055,null,4107,null,550826,null,2549,null,545531,null,2624,null,5295,null,1174,null,1985229,null,2286,null,1934452,null,3948,null,50777,null,3917,null,0400000US29,Missouri,29
867054,null,1763,null,433617,null,1688,null,94350,null,1254,null,93642,null,1297,null,708,null,487,null,339267,null,1049,null,333120,null,2062,null,6147,null,1539,null,433437,null,1628,null,90765,null,1482,null,90465,null,1552,null,300,null,319,null,342672,null,904,null,336141,null,1287,null,6531,null,1120,null,0400000US30,Montana,30
1585708,null,4981,null,784031,null,2977,null,190921,null,1887,null,187975,null,2008,null,2946,null,1133,null,593110,null,1995,null,568120,null,2011,null,24990,null,2593,null,801677,null,2723,null,180312,null,1867,null,178076,null,1954,null,2236,null,808,null,621365,null,1746,null,601569,null,2308,null,19796,null,1901,null,0400000US31,Nebraska,31
2008916,null,11728,null,1032798,null,6379,null,253640,null,3607,null,240164,null,3752,null,13476,null,2622,null,779158,null,4171,null,624055,null,6259,null,155103,null,6882,null,976118,null,7133,null,237914,null,3797,null,221930,null,4248,null,15984,null,2825,null,738204,null,4373,null,607232,null,5801,null,130972,null,6024,null,0400000US32,Nevada,32
