C17001F_001E,C17001F_001EA,C17001F_001M,C17001F_001MA,C17001F_002E,C17001F_002EA,C17001F_002M,C17001F_002MA,C17001F_003E,C17001F_003EA,C17001F_003M,C17001F_003MA,C17001F_004E,C17001F_004EA,C17001F_004M,C17001F_004MA,C17001F_005E,C17001F_005EA,C17001F_005M,C17001F_005MA,C17001F_006E,C17001F_006EA,C17001F_006M,C17001F_006MA,C17001F_007E,C17001F_007EA,C17001F_007M,C17001F_007MA,C17001F_008E,C17001F_008EA,C17001F_008M,C17001F_008MA,C17001F_009E,C17001F_009EA,C17001F_009M,C17001F_009MA,C17001F_010E,C17001F_010EA,C17001F_010M,C17001F_010MA,C17001F_011E,C17001F_011EA,C17001F_011M,C17001F_011MA,C17001F_012E,C17001F_012EA,C17001F_012M,C17001F_012MA,C17001F_013E,C17001F_013EA,C17001F_013M,C17001F_013MA,C17001F_014E,C17001F_014EA,C17001F_014M,C17001F_014MA,C17001F_015E,C17001F_015EA,C17001F_015M,C17001F_015MA,C17001F_016E,C17001F_016EA,C17001F_016M,C17001F_016MA,C17001F_017E,C17001F_017EA,C17001F_017M,C17001F_017MA,C17001F_018E,C17001F_018EA,C17001F_018M,C17001F_018MA,C17001F_019E,C17001F_019EA,C17001F_019M,C17001F_019MA,GEO_ID,NAME,state
32842,null,4929,null,9788,null,3591,null,5612,null,2405,null,3224,null,1736,null,2388,null,1055,null,0,null,271,null,4176,null,1605,null,2049,null,970,null,2127,null,847,null,0,null,271,null,23054,null,4494,null,13590,null,2655,null,4459,null,1398,null,9131,null,1767,null,0,null,271,null,9464,null,2353,null,3835,null,1463,null,5449,null,1258,null,180,null,190,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
435150,null,23623,null,93178,null,11191,null,40507,null,5561,null,20282,null,3819,null,18588,null,2966,null,1637,null,786,null,52671,null,7427,null,23815,null,4937,null,26791,null,3059,null,2065,null,892,null,341972,null,20322,null,183214,null,12441,null,55989,null,5705,null,119678,null,8053,null,7547,null,1413,null,158758,null,9854,null,52511,null,4328,null,99419,null,6580,null,6828,null,1198,null,0400000US04,Arizona,04
61371,null,5584,null,21392,null,5041,null,9863,null,2622,null,4781,null,1589,null,4955,null,1488,null,127,null,183,null,11529,null,3049,null,6638,null,1970,null,4597,null,1219,null,294,null,287,null,39979,null,5177,null,21550,null,2997,null,6205,null,1589,null,15139,null,2173,null,206,null,253,null,18429,null,2959,null,7359,null,1887,null,10920,null,1585,null,150,null,169,null,0400000US05,Arkansas,05
5117494,null,64228,null,1061246,null,40104,null,489983,null,21286,null,241019,null,12813,null,236816,null,11793,null,12148,null,2044,null,571263,null,21809,null,238486,null,11548,null,311697,null,12963,null,21080,null,2452,null,4056248,null,66459,null,2138776,null,35859,null,623639,null,16350,null,1440118,null,23397,null,75019,null,3886,null,1917472,null,36003,null,594132,null,18284,null,1219124,null,22579,null,104216,null,5057,null,0400000US06,California,06
224540,null,13641,null,54629,null,9114,null,26311,null,4450,null,11800,null,2594,null,14094,null,2899,null,417,null,293,null,28318,null,5547,null,12480,null,3378,null,14899,null,2813,null,939,null,453,null,169911,null,11982,null,88818,null,7246,null,25200,null,3078,null,59524,null,5440,null,4094,null,834,null,81093,null,6385,null,26894,null,4042,null,50427,null,3535,null,3772,null,833,null,0400000US08,Colorado,08
152918,null,9835,null,43686,null,6640,null,20365,null,3340,null,10793,null,2443,null,9224,null,1739,null,348,null,325,null,23321,null,3837,null,8376,null,2053,null,13915,null,2259,null,1030,null,448,null,109232,null,8460,null,56951,null,5199,null,15374,null,2716,null,39762,null,3817,null,1815,null,662,null,52281,null,4335,null,13502,null,1870,null,36875,null,3230,null,1904,null,594,null,0400000US09,Connecticut,09
15251,null,3298,null,3126,null,1620,null,1335,null,749,null,809,null,516,null,526,null,377,null,0,null,263,null,1791,null,1180,null,868,null,743,null,923,null,493,null,0,null,263,null,12125,null,2919,null,6150,null,1534,null,1408,null,583,null,4742,null,1114,null,0,null,263,null,5975,null,1725,null,2343,null,1009,null,3362,null,1035,null,270,null,264,null,0400000US10,Delaware,10
18716,null,3735,null,3524,null,2195,null,1892,null,1445,null,511,null,492,null,1381,null,1092,null,0,null,296,null,1632,null,1008,null,252,null,314,null,1321,null,836,null,59,null,99,null,15192,null,3299,null,8001,null,1870,null,2070,null,856,null,5828,null,1429,null,103,null,133,null,7191,null,1915,null,2490,null,960,null,4249,null,1305,null,452,null,326,null,0400000US11,District of Columbia,11
472122,null,23680,null,86836,null,11293,null,39846,null,6124,null,17426,null,3575,null,20841,null,3874,null,1579,null,835,null,46990,null,6018,null,16887,null,3676,null,27937,null,3532,null,2166,null,710,null,385286,null,20806,null,205928,null,11910,null,55001,null,5489,null,142487,null,8567,null,8440,null,1653,null,179358,null,11345,null,51713,null,5378,null,116505,null,7661,null,11140,null,1956,null,0400000US12,Florida,12
