B21001I_001E,B21001I_001EA,B21001I_001M,B21001I_001MA,B21001I_002E,B21001I_002EA,B21001I_002M,B21001I_002MA,B21001I_003E,B21001I_003EA,B21001I_003M,B21001I_003MA,B21001I_004E,B21001I_004EA,B21001I_004M,B21001I_004MA,B21001I_005E,B21001I_005EA,B21001I_005M,B21001I_005MA,B21001I_006E,B21001I_006EA,B21001I_006M,B21001I_006MA,B21001I_007E,B21001I_007EA,B21001I_007M,B21001I_007MA,B21001I_008E,B21001I_008EA,B21001I_008M,B21001I_008MA,B21001I_009E,B21001I_009EA,B21001I_009M,B21001I_009MA,B21001I_010E,B21001I_010EA,B21001I_010M,B21001I_010MA,B21001I_011E,B21001I_011EA,B21001I_011M,B21001I_011MA,B21001I_012E,B21001I_012EA,B21001I_012M,B21001I_012MA,B21001I_013E,B21001I_013EA,B21001I_013M,B21001I_013MA,B21001I_014E,B21001I_014EA,B21001I_014M,B21001I_014MA,B21001I_015E,B21001I_015EA,B21001I_015M,B21001I_015MA,B21001I_016E,B21001I_016EA,B21001I_016M,B21001I_016MA,B21001I_017E,B21001I_017EA,B21001I_017M,B21001I_017MA,B21001I_018E,B21001I_018EA,B21001I_018M,B21001I_018MA,B21001I_019E,B21001I_019EA,B21001I_019M,B21001I_019MA,B21001I_020E,B21001I_020EA,B21001I_020M,B21001I_020MA,B21001I_021E,B21001I_021EA,B21001I_021M,B21001I_021MA,B21001I_022E,B21001I_022EA,B21001I_022M,B21001I_022MA,B21001I_023E,B21001I_023EA,B21001I_023M,B21001I_023MA,B21001I_024E,B21001I_024EA,B21001I_024M,B21001I_024MA,B21001I_025E,B21001I_025EA,B21001I_025M,B21001I_025MA,B21001I_026E,B21001I_026EA,B21001I_026M,B21001I_026MA,B21001I_027E,B21001I_027EA,B21001I_027M,B21001I_027MA,B21001I_028E,B21001I_028EA,B21001I_028M,B21001I_028MA,B21001I_029E,B21001I_029EA,B21001I_029M,B21001I_029MA,B21001I_030E,B21001I_030EA,B21001I_030M,B21001I_030MA,B21001I_031E,B21001I_031EA,B21001I_031M,B21001I_031MA,B21001I_032E,B21001I_032EA,B21001I_032M,B21001I_032MA,B21001I_033E,B21001I_033EA,B21001I_033M,B21001I_033MA,GEO_ID,NAME,state
77780,null,1997,null,44922,null,2302,null,25844,null,2178,null,871,null,452,null,24973,null,2079,null,14894,null,1601,null,793,null,356,null,14101,null,1657,null,2431,null,718,null,820,null,480,null,1611,null,575,null,1110,null,503,null,658,null,437,null,452,null,337,null,643,null,338,null,401,null,300,null,242,null,197,null,32858,null,1337,null,16652,null,1571,null,316,null,235,null,16336,null,1586,null,10471,null,1428,null,513,null,341,null,9958,null,1462,null,3381,null,918,null,13,null,22,null,3368,null,918,null,1191,null,453,null,69,null,109,null,1122,null,446,null,1163,null,535,null,0,null,271,null,1163,null,535,null,0400000US01,Alabama,01
23889,null,1823,null,12564,null,1815,null,5696,null,1358,null,123,null,139,null,5573,null,1355,null,5027,null,1324,null,689,null,559,null,4338,null,1111,null,1208,null,434,null,469,null,278,null,739,null,421,null,580,null,313,null,80,null,160,null,500,null,265,null,53,null,86,null,53,null,86,null,0,null,240,null,11325,null,577,null,5728,null,723,null,135,null,167,null,5593,null,746,null,4125,null,501,null,123,null,123,null,4002,null,523,null,710,null,339,null,93,null,148,null,617,null,336,null,500,null,318,null,64,null,110,null,436,null,303,null,262,null,238,null,0,null,240,null,262,null,238,null,0400000US02,Alaska,02
1220727,null,1842,null,635874,null,1563,null,300565,null,1654,null,7290,null,1557,null,293275,null,2024,null,241600,null,1237,null,17421,null,2579,null,224179,null,2752,null,51339,null,734,null,13204,null,1724,null,38135,null,1836,null,26395,null,884,null,8380,null,1327,null,18015,null,1367,null,15975,null,781,null,7708,null,1166,null,8267,null,1286,null,584853,null,855,null,253635,null,1234,null,1321,null,568,null,252314,null,1470,null,223992,null,1287,null,2032,null,842,null,221960,null,1461,null,53644,null,848,null,316,null,290,null,53328,null,903,null,30093,null,686,null,42,null,72,null,30051,null,682,null,23489,null,659,null,14,null,27,null,23475,null,669,null,0400000US04,Arizona,04
92012,null,1573,null,51372,null,1414,null,28063,null,1602,null,420,null,343,null,27643,null,1639,null,18647,null,1127,null,888,null,370,null,17759,null,1173,null,3414,null,704,null,598,null,414,null,2816,null,722,null,1121,null,445,null,92,null,85,null,1029,null,452,null,127,null,183,null,0,null,269,null,127,null,183,null,40640,null,1086,null,21955,null,1235,null,111,null,172,null,21844,null,1244,null,14682,null,1188,null,347,null,304,null,14335,null,1155,null,2400,null,689,null,0,null,269,null,2400,null,689,null,1311,null,633,null,0,null,269,null,1311,null,633,null,292,null,203,null,0,null,269,null,292,null,203,null,0400000US05,Arkansas,05
8772844,null,3106,null,4504160,null,3159,null,2038487,null,3561,null,44121,null,3886,null,1994366,null,4965,null,1783816,null,2204,null,77101,null,4969,null,1706715,null,5392,null,377287,null,1024,null,57057,null,3160,null,320230,null,3345,null,180575,null,1226,null,37186,null,2580,null,143389,null,2845,null,123995,null,1099,null,40024,null,2826,null,83971,null,2763,null,4268684,null,1357,null,1798235,null,1799,null,6864,null,1536,null,1791371,null,2491,null,1654258,null,1428,null,6577,null,1220,null,1647681,null,1794,null,407946,null,1077,null,1170,null,595,null,406776,null,1203,null,221361,null,1084,null,967,null,426,null,220394,null,1111,null,186884,null,908,null,1063,null,439,null,185821,null,980,null,0400000US06,California,06
639888,null,1026,null,339677,null,1486,null,158310,null,1914,null,5585,null,1326,null,152725,null,2167,null,129371,null,1556,null,14042,null,2168,null,115329,null,2479,null,29335,null,929,null,9473,null,1324,null,19862,null,1473,null,14646,null,794,null,6031,null,974,null,8615,null,889,null,8015,null,837,null,4327,null,756,null,3688,null,823,null,300211,null,1144,null,128921,null,1552,null,1012,null,517,null,127909,null,1731,null,113972,null,1584,null,1529,null,587,null,112443,null,1605,null,29563,null,774,null,225,null,200,null,29338,null,756,null,16108,null,783,null,154,null,154,null,15954,null,814,null,11647,null,762,null,0,null,275,null,11647,null,762,null,0400000US08,Colorado,08
278468,null,303,null,139292,null,588,null,64053,null,834,null,1175,null,484,null,62878,null,1051,null,55096,null,864,null,3110,null,927,null,51986,null,1306,null,11716,null,473,null,1334,null,572,null,10382,null,670,null,5917,null,641,null,802,null,371,null,5115,null,674,null,2510,null,635,null,511,null,299,null,1999,null,664,null,139176,null,475,null,56071,null,803,null,116,null,138,null,55955,null,830,null,57819,null,774,null,979,null,518,null,56840,null,821,null,13706,null,346,null,149,null,243,null,13557,null,426,null,6778,null,350,null,0,null,275,null,6778,null,350,null,4802,null,285,null,93,null,108,null,4709,null,321,null,0400000US09,Connecticut,09
35395,null,302,null,19013,null,416,null,8983,null,167,null,0,null,263,null,8983,null,167,null,7693,null,261,null,745,null,398,null,6948,null,463,null,1582,null,446,null,256,null,220,null,1326,null,464,null,448,null,331,null,105,null,130,null,343,null,325,null,307,null,216,null,54,null,71,null,253,null,213,null,16382,null,247,null,7254,null,330,null,0,null,263,null,7254,null,330,null,6500,null,330,null,0,null,263,null,6500,null,330,null,1651,null,547,null,0,null,263,null,1651,null,547,null,882,null,488,null,13,null,23,null,869,null,488,null,95,null,94,null,0,null,263,null,95,null,94,null,0400000US10,Delaware,10
37671,null,599,null,19458,null,590,null,9058,null,574,null,145,null,245,null,8913,null,612,null,7663,null,173,null,45,null,68,null,7618,null,192,null,1692,null,4,null,169,null,196,null,1523,null,196,null,852,null,135,null,0,null,296,null,852,null,135,null,193,null,135,null,53,null,58,null,140,null,120,null,18213,null,101,null,8144,null,101,null,56,null,97,null,8088,null,141,null,6373,null,2,null,235,null,228,null,6138,null,228,null,1878,null,3,null,43,null,74,null,1835,null,75,null,1024,null,379,null,116,null,208,null,908,null,389,null,794,null,379,null,0,null,296,null,794,null,379,null,0400000US11,District of Columbia,11
2826767,null,5526,null,1420140,null,7251,null,532470,null,6534,null,14073,null,2078,null,518397,null,6397,null,567519,null,3546,null,34866,null,2922,null,532653,null,4793,null,146821,null,1438,null,16766,null,1920,null,130055,null,2087,null,96712,null,1686,null,10635,null,1739,null,86077,null,1890,null,76618,null,1693,null,10159,null,1267,null,66459,null,1883,null,1406627,null,3234,null,452142,null,3247,null,2996,null,1089,null,449146,null,3194,null,547229,null,1937,null,3805,null,943,null,543424,null,2014,null,169744,null,1561,null,969,null,590,null,168775,null,1661,null,120170,null,1303,null,260,null,211,null,119910,null,1310,null,117342,null,1431,null,564,null,332,null,116778,null,1486,null,0400000US12,Florida,12
