C16006_001E,C16006_001EA,C16006_001M,C16006_001MA,C16006_002E,C16006_002EA,C16006_002M,C16006_002MA,C16006_003E,C16006_003EA,C16006_003M,C16006_003MA,C16006_004E,C16006_004EA,C16006_004M,C16006_004MA,C16006_005E,C16006_005EA,C16006_005M,C16006_005MA,C16006_006E,C16006_006EA,C16006_006M,C16006_006MA,GEO_ID,NAME,state
109233,null,2227,null,31429,null,4153,null,76984,null,4057,null,28492,null,2718,null,48492,null,3676,null,820,null,650,null,0400000US01,Alabama,01
36815,null,1708,null,20438,null,2131,null,15426,null,2198,null,11314,null,1636,null,4112,null,1293,null,951,null,748,null,0400000US02,Alaska,02
1720773,null,1561,null,507712,null,15541,null,1208691,null,15870,null,634812,null,15528,null,573879,null,16775,null,4370,null,1356,null,0400000US04,Arizona,04
133031,null,1892,null,31029,null,3428,null,101788,null,3656,null,41781,null,3679,null,60007,null,3931,null,214,null,279,null,0400000US05,Arkansas,05
12024296,null,879,null,2828412,null,40133,null,9160853,null,40989,null,4627052,null,40264,null,4533801,null,38669,null,35031,null,4250,null,0400000US06,California,06
878705,null,753,null,388969,null,12587,null,486062,null,12573,null,243521,null,8704,null,242541,null,9900,null,3674,null,1081,null,0400000US08,Colorado,08
375300,null,986,null,87625,null,5460,null,284939,null,5392,null,161946,null,6755,null,122993,null,5762,null,2736,null,922,null,0400000US09,Connecticut,09
49392,null,452,null,14884,null,2371,null,34508,null,2397,null,15649,null,1945,null,18859,null,2483,null,0,null,263,null,0400000US10,Delaware,10
45937,null,0,*****,17535,null,2842,null,27902,null,2824,null,14249,null,2136,null,13653,null,2308,null,500,null,436,null,0400000US11,District of Columbia,11
3508577,null,2345,null,495202,null,14984,null,2999709,null,15391,null,1535187,null,22312,null,1464522,null,24547,null,13666,null,2040,null,0400000US12,Florida,12
655479,null,3443,null,107921,null,6769,null,543264,null,7742,null,224547,null,9170,null,318717,null,8910,null,4294,null,1718,null,0400000US13,Georgia,13
96855,null,0,*****,68953,null,3966,null,24208,null,3712,null,14053,null,2201,null,10155,null,2863,null,3694,null,948,null,0400000US15,Hawaii,15
