B06004B_001E,B06004B_001EA,B06004B_001M,B06004B_001MA,B06004B_002E,B06004B_002EA,B06004B_002M,B06004B_002MA,B06004B_003E,B06004B_003EA,B06004B_003M,B06004B_003MA,B06004B_004E,B06004B_004EA,B06004B_004M,B06004B_004MA,B06004B_005E,B06004B_005EA,B06004B_005M,B06004B_005MA,GEO_ID,NAME,state
1220643,null,5459,null,1031616,null,9333,null,176433,null,7674,null,4295,null,1125,null,8299,null,1748,null,0400000US01,Alabama,01
24883,null,3362,null,5278,null,1586,null,16340,null,2634,null,407,null,356,null,2858,null,1398,null,0400000US02,Alaska,02
235758,null,5217,null,77784,null,5263,null,131076,null,6157,null,4126,null,1232,null,22772,null,4636,null,0400000US04,Arizona,04
442636,null,4009,null,349516,null,7272,null,90094,null,6684,null,641,null,485,null,2385,null,1516,null,0400000US05,Arkansas,05
2260601,null,14054,null,1409599,null,20309,null,687821,null,13795,null,16553,null,2258,null,146628,null,10384,null,0400000US06,California,06
187556,null,4562,null,76546,null,4521,null,86811,null,4479,null,2829,null,928,null,21370,null,4090,null,0400000US08,Colorado,08
331149,null,5145,null,168520,null,6306,null,94659,null,5672,null,4916,null,1398,null,63054,null,5060,null,0400000US09,Connecticut,09
179664,null,2808,null,95124,null,5513,null,70847,null,4703,null,1515,null,719,null,12178,null,3131,null,0400000US10,Delaware,10
316278,null,3298,null,195986,null,6280,null,99810,null,5296,null,1703,null,743,null,18779,null,3036,null,0400000US11,District of Columbia,11
2815369,null,12463,null,1589483,null,20118,null,640817,null,18222,null,36870,null,3950,null,548199,null,14906,null,0400000US12,Florida,12
2904035,null,10163,null,1865717,null,22881,null,862168,null,20408,null,25805,null,3513,null,150345,null,10857,null,0400000US13,Georgia,13
30666,null,3778,null,3778,null,2174,null,23829,null,3483,null,491,null,359,null,2568,null,1496,null,0400000US15,Hawaii,15
7958,null,1361,null,1692,null,895,null,3919,null,1114,null,144,null,162,null,2203,null,1078,null,0400000US16,Idaho,16
1880617,null,12552,null,1381685,null,16035,null,433307,null,9289,null,7831,null,2077,null,57794,null,7042,null,0400000US17,Illinois,17
547483,null,4725,null,337236,null,8115,null,194738,null,7508,null,3644,null,1421,null,11865,null,2346,null,0400000US18,Indiana,18
76221,null,3205,null,33666,null,3484,null,34923,null,3024,null,667,null,415,null,6965,null,2229,null,0400000US19,Iowa,19
157596,null,4508,null,82343,null,4732,null,66598,null,4292,null,1951,null,925,null,6704,null,1611,null,0400000US20,Kansas,20
316828,null,5036,null,226978,null,6178,null,81901,null,5785,null,1648,null,754,null,6301,null,2388,null,0400000US21,Kentucky,21
1405062,null,5377,null,1255593,null,11063,null,136806,null,9489,null,3811,null,1059,null,8852,null,2135,null,0400000US22,Louisiana,22
12332,null,1681,null,2863,null,1036,null,5130,null,1677,null,971,null,1100,null,3368,null,1123,null,0400000US23,Maine,23
1625411,null,7029,null,792876,null,12623,null,659138,null,14036,null,13702,null,1875,null,159695,null,8752,null,0400000US24,Maryland,24
406998,null,8730,null,188668,null,7978,null,77679,null,5017,null,9094,null,2107,null,131557,null,6300,null,0400000US25,Massachusetts,25
1388878,null,7624,null,1023538,null,11806,null,337577,null,9215,null,4078,null,1487,null,23685,null,3796,null,0400000US26,Michigan,26
230599,null,3872,null,81858,null,5172,null,85823,null,5818,null,1654,null,661,null,61264,null,5392,null,0400000US27,Minnesota,27
1101494,null,5722,null,945589,null,8732,null,150103,null,7398,null,2937,null,1191,null,2865,null,1540,null,0400000US28,Mississippi,28
658199,null,5213,null,472598,null,8434,null,166631,null,6678,null,2328,null,1000,null,16642,null,4147,null,0400000US29,Missouri,29
5205,null,1117,null,1308,null,805,null,2956,null,966,null,153,null,232,null,788,null,485,null,0400000US30,Montana,30
71178,null,2320,null,37817,null,3191,null,25488,null,2603,null,163,null,143,null,7710,null,2522,null,0400000US31,Nebraska,31
192216,null,3781,null,58530,null,6144,null,117886,null,6249,null,1430,null,600,null,14370,null,2930,null,0400000US32,Nevada,32
12940,null,1530,null,1976,null,816,null,6268,null,1459,null,749,null,525,null,3947,null,1175,null,0400000US33,New Hampshire,33
1182998,null,9156,null,675789,null,11866,null,312025,null,8882,null,17014,null,2433,null,178170,null,10444,null,0400000US34,New Jersey,34
45193,null,3294,null,16356,null,3185,null,24112,null,3029,null,1057,null,588,null,3668,null,1353,null,0400000US35,New Mexico,35
3101231,null,16665,null,1782113,null,20588,null,417607,null,12240,null,44500,null,3558,null,857011,null,18944,null,0400000US36,New York,36
1957485,null,9136,null,1404576,null,16341,null,493306,null,16045,null,11907,null,2158,null,47696,null,5302,null,0400000US37,North Carolina,37
6115,null,692,null,555,null,332,null,3131,null,610,null,263,null,272,null,2166,null,743,null,0400000US38,North Dakota,38
1346129,null,7768,null,975875,null,11667,null,317840,null,8320,null,3612,null,1225,null,48802,null,6126,null,0400000US39,Ohio,39
261001,null,5778,null,179471,null,5921,null,72218,null,4400,null,1682,null,716,null,7630,null,1959,null,0400000US40,Oklahoma,40
65643,null,3330,null,28547,null,2625,null,28461,null,2519,null,846,null,530,null,7789,null,1873,null,0400000US41,Oregon,41
