B21001H_001E,B21001H_001EA,B21001H_001M,B21001H_001MA,B21001H_002E,B21001H_002EA,B21001H_002M,B21001H_002MA,B21001H_003E,B21001H_003EA,B21001H_003M,B21001H_003MA,B21001H_004E,B21001H_004EA,B21001H_004M,B21001H_004MA,B21001H_005E,B21001H_005EA,B21001H_005M,B21001H_005MA,B21001H_006E,B21001H_006EA,B21001H_006M,B21001H_006MA,B21001H_007E,B21001H_007EA,B21001H_007M,B21001H_007MA,B21001H_008E,B21001H_008EA,B21001H_008M,B21001H_008MA,B21001H_009E,B21001H_009EA,B21001H_009M,B21001H_009MA,B21001H_010E,B21001H_010EA,B21001H_010M,B21001H_010MA,B21001H_011E,B21001H_011EA,B21001H_011M,B21001H_011MA,B21001H_012E,B21001H_012EA,B21001H_012M,B21001H_012MA,B21001H_013E,B21001H_013EA,B21001H_013M,B21001H_013MA,B21001H_014E,B21001H_014EA,B21001H_014M,B21001H_014MA,B21001H_015E,B21001H_015EA,B21001H_015M,B21001H_015MA,B21001H_016E,B21001H_016EA,B21001H_016M,B21001H_016MA,B21001H_017E,B21001H_017EA,B21001H_017M,B21001H_017MA,B21001H_018E,B21001H_018EA,B21001H_018M,B21001H_018MA,B21001H_019E,B21001H_019EA,B21001H_019M,B21001H_019MA,B21001H_020E,B21001H_020EA,B21001H_020M,B21001H_020MA,B21001H_021E,B21001H_021EA,B21001H_021M,B21001H_021MA,B21001H_022E,B21001H_022EA,B21001H_022M,B21001H_022MA,B21001H_023E,B21001H_023EA,B21001H_023M,B21001H_023MA,B21001H_024E,B21001H_024EA,B21001H_024M,B21001H_024MA,B21001H_025E,B21001H_025EA,B21001H_025M,B21001H_025MA,B21001H_026E,B21001H_026EA,B21001H_026M,B21001H_026MA,B21001H_027E,B21001H_027EA,B21001H_027M,B21001H_027MA,B21001H_028E,B21001H_028EA,B21001H_028M,B21001H_028MA,B21001H_029E,B21001H_029EA,B21001H_029M,B21001H_029MA,B21001H_030E,B21001H_030EA,B21001H_030M,B21001H_030MA,B21001H_031E,B21001H_031EA,B21001H_031M,B21001H_031MA,B21001H_032E,B21001H_032EA,B21001H_032M,B21001H_032MA,B21001H_033E,B21001H_033EA,B21001H_033M,B21001H_033MA,GEO_ID,NAME,state
2487935,null,2802,null,1193547,null,2817,null,330474,null,2352,null,16507,null,1973,null,313967,null,2829,null,449816,null,1775,null,64328,null,3660,null,385488,null,3912,null,197049,null,323,null,78282,null,2837,null,118767,null,2802,null,127025,null,668,null,64374,null,2513,null,62651,null,2513,null,89183,null,588,null,65533,null,1844,null,23650,null,1670,null,1294388,null,640,null,330380,null,1369,null,3490,null,884,null,326890,null,1638,null,457192,null,1237,null,7797,null,1382,null,449395,null,1866,null,211100,null,228,null,3049,null,839,null,208051,null,846,null,148001,null,562,null,1303,null,548,null,146698,null,642,null,147715,null,506,null,1921,null,554,null,145794,null,754,null,0400000US01,Alabama,01
336077,null,2360,null,173219,null,2351,null,54151,null,2051,null,5692,null,1401,null,48459,null,2324,null,69717,null,1074,null,16777,null,1912,null,52940,null,1986,null,31309,null,228,null,14941,null,1367,null,16368,null,1379,null,12324,null,484,null,7279,null,821,null,5045,null,847,null,5718,null,436,null,4621,null,549,null,1097,null,415,null,162858,null,519,null,48673,null,542,null,1133,null,580,null,47540,null,769,null,69310,null,391,null,4581,null,1345,null,64729,null,1426,null,26634,null,114,null,628,null,313,null,26006,null,317,null,10545,null,588,null,311,null,306,null,10234,null,675,null,7696,null,570,null,266,null,262,null,7430,null,578,null,0400000US02,Alaska,02
3036743,null,3268,null,1478296,null,2615,null,387884,null,1946,null,23050,null,2927,null,364834,null,3410,null,522617,null,1476,null,87884,null,3760,null,434733,null,4136,null,244652,null,667,null,101780,null,3644,null,142872,null,3738,null,168565,null,509,null,89696,null,3179,null,78869,null,3114,null,154578,null,498,null,116494,null,2593,null,38084,null,2498,null,1558447,null,1611,null,371240,null,1239,null,5666,null,1639,null,365574,null,2195,null,528452,null,1001,null,15084,null,2031,null,513368,null,2132,null,268008,null,669,null,4743,null,1049,null,263265,null,1399,null,188572,null,377,null,3623,null,912,null,184949,null,965,null,202175,null,394,null,4550,null,918,null,197625,null,950,null,0400000US04,Arizona,04
1683909,null,2063,null,810671,null,2078,null,227519,null,1606,null,10443,null,1535,null,217076,null,2371,null,295388,null,1777,null,44925,null,3199,null,250463,null,3673,null,134011,null,368,null,54791,null,2513,null,79220,null,2486,null,88378,null,611,null,42563,null,2026,null,45815,null,1917,null,65375,null,603,null,46915,null,1661,null,18460,null,1565,null,873238,null,1584,null,225715,null,1732,null,2218,null,884,null,223497,null,1844,null,301374,null,1198,null,5326,null,1094,null,296048,null,1414,null,143042,null,279,null,1331,null,448,null,141711,null,584,null,99219,null,1257,null,785,null,373,null,98434,null,1277,null,103888,null,1257,null,875,null,413,null,103013,null,1282,null,0400000US05,Arkansas,05
12561364,null,7658,null,6147604,null,6110,null,1623745,null,5952,null,75369,null,5055,null,1548376,null,7312,null,2365454,null,3253,null,255322,null,7969,null,2110132,null,8801,null,1037951,null,1166,null,359121,null,7264,null,678830,null,7258,null,602106,null,699,null,288351,null,4891,null,313755,null,5046,null,518348,null,339,null,370471,null,4832,null,147877,null,4851,null,6413760,null,4205,null,1565369,null,3068,null,11246,null,2150,null,1554123,null,4227,null,2310616,null,2603,null,31858,null,2885,null,2278758,null,3568,null,1061267,null,1026,null,11661,null,1629,null,1049606,null,2004,null,677679,null,677,null,6716,null,1174,null,670963,null,1368,null,798829,null,580,null,20531,null,2064,null,778298,null,2205,null,0400000US06,California,06
2757450,null,2465,null,1357891,null,1823,null,401700,null,1578,null,24671,null,3145,null,377029,null,3580,null,543915,null,1172,null,83801,null,4275,null,460114,null,4410,null,223849,null,254,null,86577,null,3310,null,137272,null,3269,null,110393,null,188,null,56458,null,2061,null,53935,null,2084,null,78034,null,194,null,58066,null,1496,null,19968,null,1485,null,1399559,null,1617,null,383405,null,1322,null,5853,null,1314,null,377552,null,2012,null,544446,null,1191,null,12724,null,1475,null,531722,null,1967,null,228634,null,440,null,4626,null,842,null,224008,null,932,null,121839,null,1547,null,1524,null,624,null,120315,null,1484,null,121235,null,1572,null,3733,null,1061,null,117502,null,1435,null,0400000US08,Colorado,08
2046645,null,1594,null,978401,null,1025,null,237909,null,883,null,7826,null,1482,null,230083,null,1549,null,400651,null,681,null,39402,null,3313,null,361249,null,3383,null,165449,null,129,null,50491,null,2539,null,114958,null,2527,null,93370,null,148,null,45842,null,2190,null,47528,null,2183,null,81022,null,275,null,56945,null,1779,null,24077,null,1779,null,1068244,null,1066,null,236275,null,653,null,1393,null,659,null,234882,null,1010,null,410337,null,734,null,5028,null,1236,null,405309,null,1477,null,175401,null,109,null,1907,null,685,null,173494,null,710,null,108649,null,156,null,488,null,337,null,108161,null,373,null,137582,null,78,null,1646,null,526,null,135936,null,531,null,0400000US09,Connecticut,09
470761,null,1841,null,223540,null,1261,null,57688,null,1188,null,2182,null,869,null,55506,null,1369,null,83494,null,408,null,12102,null,1642,null,71392,null,1625,null,38071,null,136,null,14955,null,1425,null,23116,null,1451,null,24386,null,263,null,12795,null,1131,null,11591,null,1131,null,19901,null,263,null,14792,null,864,null,5109,null,864,null,247221,null,800,null,60683,null,717,null,369,null,306,null,60314,null,758,null,87063,null,339,null,1765,null,668,null,85298,null,713,null,41953,null,81,null,377,null,246,null,41576,null,232,null,28155,null,263,null,191,null,146,null,27964,null,146,null,29367,null,263,null,856,null,405,null,28511,null,405,null,0400000US10,Delaware,10
170825,null,759,null,84199,null,576,null,36486,null,462,null,779,null,414,null,35707,null,562,null,27849,null,309,null,2416,null,773,null,25433,null,824,null,10071,null,124,null,2404,null,596,null,7667,null,620,null,5829,null,296,null,2087,null,622,null,3742,null,622,null,3964,null,128,null,2297,null,455,null,1667,null,443,null,86626,null,397,null,41555,null,290,null,217,null,171,null,41338,null,336,null,23217,null,218,null,420,null,252,null,22797,null,360,null,10553,null,71,null,63,null,109,null,10490,null,131,null,5634,null,137,null,0,null,296,null,5634,null,137,null,5667,null,296,null,256,null,350,null,5411,null,350,null,0400000US11,District of Columbia,11
9006995,null,5038,null,4340748,null,3634,null,998091,null,3542,null,56790,null,6030,null,941301,null,6929,null,1504888,null,2222,null,244392,null,7990,null,1260496,null,8110,null,728184,null,1017,null,291005,null,6087,null,437179,null,6244,null,540687,null,897,null,285950,null,4970,null,254737,null,4994,null,568898,null,683,null,428887,null,5046,null,140011,null,5011,null,4666247,null,2913,null,973760,null,2576,null,10858,null,1700,null,962902,null,3189,null,1520369,null,2235,null,34503,null,2840,null,1485866,null,3524,null,794041,null,418,null,12645,null,1734,null,781396,null,1766,null,611714,null,907,null,7844,null,1316,null,603870,null,1535,null,766363,null,833,null,15405,null,1971,null,750958,null,2218,null,0400000US12,Florida,12
