B05003A_001E,B05003A_001EA,B05003A_001M,B05003A_001MA,B05003A_002E,B05003A_002EA,B05003A_002M,B05003A_002MA,B05003A_003E,B05003A_003EA,B05003A_003M,B05003A_003MA,B05003A_004E,B05003A_004EA,B05003A_004M,B05003A_004MA,B05003A_005E,B05003A_005EA,B05003A_005M,B05003A_005MA,B05003A_006E,B05003A_006EA,B05003A_006M,B05003A_006MA,B05003A_007E,B05003A_007EA,B05003A_007M,B05003A_007MA,B05003A_008E,B05003A_008EA,B05003A_008M,B05003A_008MA,B05003A_009E,B05003A_009EA,B05003A_009M,B05003A_009MA,B05003A_010E,B05003A_010EA,B05003A_010M,B05003A_010MA,B05003A_011E,B05003A_011EA,B05003A_011M,B05003A_011MA,B05003A_012E,B05003A_012EA,B05003A_012M,B05003A_012MA,B05003A_013E,B05003A_013EA,B05003A_013M,B05003A_013MA,B05003A_014E,B05003A_014EA,B05003A_014M,B05003A_014MA,B05003A_015E,B05003A_015EA,B05003A_015M,B05003A_015MA,B05003A_016E,B05003A_016EA,B05003A_016M,B05003A_016MA,B05003A_017E,B05003A_017EA,B05003A_017M,B05003A_017MA,B05003A_018E,B05003A_018EA,B05003A_018M,B05003A_018MA,B05003A_019E,B05003A_019EA,B05003A_019M,B05003A_019MA,B05003A_020E,B05003A_020EA,B05003A_020M,B05003A_020MA,B05003A_021E,B05003A_021EA,B05003A_021M,B05003A_021MA,B05003A_022E,B05003A_022EA,B05003A_022M,B05003A_022MA,B05003A_023E,B05003A_023EA,B05003A_023M,B05003A_023MA,GEO_ID,NAME,state
3276551,null,5764,null,1607180,null,4331,null,370615,null,2867,null,365535,null,2814,null,5080,null,1329,null,689,null,380,null,4391,null,1302,null,1236565,null,2886,null,1200159,null,3258,null,36406,null,3820,null,8169,null,1469,null,28237,null,3676,null,1669371,null,4198,null,351086,null,2783,null,347542,null,2771,null,3544,null,1216,null,387,null,266,null,3157,null,1192,null,1318285,null,2157,null,1289372,null,2844,null,28913,null,2506,null,10223,null,1360,null,18690,null,2290,null,0400000US01,Alabama,01
474317,null,2992,null,252021,null,2053,null,57373,null,1029,null,56953,null,1089,null,420,null,306,null,163,null,192,null,257,null,250,null,194648,null,1482,null,188421,null,1842,null,6227,null,1234,null,2833,null,706,null,3394,null,896,null,222296,null,1649,null,51575,null,919,null,51342,null,955,null,233,null,246,null,50,null,83,null,183,null,234,null,170721,null,1041,null,163158,null,1590,null,7563,null,1352,null,3719,null,807,null,3844,null,997,null,0400000US02,Alaska,02
5203987,null,24782,null,2601348,null,14068,null,647117,null,7103,null,616149,null,7080,null,30968,null,3425,null,3302,null,1406,null,27666,null,3246,null,1954231,null,9859,null,1645721,null,11007,null,308510,null,10052,null,80745,null,5122,null,227765,null,9148,null,2602639,null,13436,null,612852,null,7309,null,584313,null,7606,null,28539,null,3178,null,2357,null,1078,null,26182,null,3241,null,1989787,null,8121,null,1703569,null,10285,null,286218,null,9320,null,92544,null,5692,null,193674,null,8446,null,0400000US04,Arizona,04
2247623,null,5990,null,1106206,null,4437,null,261898,null,2739,null,259037,null,2573,null,2861,null,779,null,423,null,258,null,2438,null,756,null,844308,null,2862,null,818424,null,3118,null,25884,null,2681,null,8500,null,1710,null,17384,null,2202,null,1141417,null,3883,null,244741,null,2554,null,243374,null,2519,null,1367,null,536,null,225,null,178,null,1142,null,522,null,896676,null,2280,null,873687,null,2199,null,22989,null,1840,null,8770,null,1441,null,14219,null,1679,null,0400000US05,Arkansas,05
22961988,null,65263,null,11490854,null,36869,null,2757964,null,16674,null,2630990,null,17655,null,126974,null,5971,null,17359,null,2380,null,109615,null,5216,null,8732890,null,26480,null,6729643,null,24346,null,2003247,null,23714,null,781356,null,14665,null,1221891,null,22336,null,11471134,null,36218,null,2632071,null,17457,null,2507851,null,17711,null,124220,null,8008,null,14840,null,2392,null,109380,null,7581,null,8839063,null,23563,null,6873054,null,24029,null,1966009,null,24435,null,904264,null,17349,null,1061745,null,20119,null,0400000US06,California,06
4185668,null,14863,null,2105507,null,8851,null,493634,null,4282,null,476738,null,4518,null,16896,null,2658,null,2307,null,986,null,14589,null,2430,null,1611873,null,6429,null,1464013,null,7775,null,147860,null,7849,null,40209,null,4402,null,107651,null,5991,null,2080161,null,8694,null,468546,null,5478,null,453398,null,5294,null,15148,null,2506,null,1726,null,839,null,13422,null,2411,null,1611615,null,4585,null,1478586,null,6363,null,133029,null,5860,null,45064,null,3723,null,87965,null,5371,null,0400000US08,Colorado,08
2805744,null,10563,null,1365968,null,5881,null,307426,null,2969,null,298800,null,3305,null,8626,null,1437,null,2901,null,814,null,5725,null,1265,null,1058542,null,4405,null,942202,null,5805,null,116340,null,5984,null,53894,null,3621,null,62446,null,5152,null,1439776,null,5732,null,294582,null,2931,null,286353,null,3350,null,8229,null,1710,null,2550,null,885,null,5679,null,1401,null,1145194,null,3822,null,1025665,null,5519,null,119529,null,5248,null,61853,null,3565,null,57676,null,4429,null,0400000US09,Connecticut,09
634981,null,3460,null,309201,null,1905,null,69479,null,954,null,67145,null,1057,null,2334,null,1082,null,115,null,134,null,2219,null,1085,null,239722,null,1268,null,226822,null,1566,null,12900,null,1814,null,4577,null,1178,null,8323,null,1650,null,325780,null,2039,null,66475,null,1384,null,64671,null,1259,null,1804,null,773,null,290,null,353,null,1514,null,697,null,259305,null,1099,null,246564,null,1762,null,12741,null,1779,null,5522,null,871,null,7219,null,1390,null,0400000US10,Delaware,10
221911,null,3817,null,111393,null,2037,null,14229,null,781,null,13540,null,828,null,689,null,485,null,205,null,192,null,484,null,456,null,97164,null,1613,null,80699,null,1728,null,16465,null,2324,null,4871,null,1159,null,11594,null,1883,null,110518,null,2186,null,13200,null,918,null,12265,null,756,null,935,null,541,null,432,null,381,null,503,null,387,null,97318,null,1564,null,81749,null,1737,null,15569,null,2149,null,4784,null,1035,null,10785,null,1828,null,0400000US11,District of Columbia,11
14215502,null,25777,null,6999373,null,16932,null,1432540,null,6968,null,1370038,null,7948,null,62502,null,4561,null,8470,null,1562,null,54032,null,3979,null,5566833,null,14209,null,4524805,null,14009,null,1042028,null,20336,null,458878,null,11596,null,583150,null,19823,null,7216129,null,14298,null,1350574,null,6538,null,1287499,null,8995,null,63075,null,5300,null,11401,null,1802,null,51674,null,4760,null,5865555,null,10108,null,4771190,null,13545,null,1094365,null,13755,null,577749,null,10901,null,516616,null,12670,null,0400000US12,Florida,12
5998817,null,17185,null,2982434,null,10910,null,731844,null,5993,null,710936,null,5997,null,20908,null,2973,null,2396,null,697,null,18512,null,2856,null,2250590,null,7977,null,2072059,null,6793,null,178531,null,8938,null,48814,null,4422,null,129717,null,8969,null,3016383,null,9557,null,693007,null,6144,null,675559,null,6105,null,17448,null,2730,null,3728,null,1135,null,13720,null,2454,null,2323376,null,5179,null,2184270,null,5835,null,139106,null,5421,null,52628,null,4353,null,86478,null,5611,null,0400000US13,Georgia,13
348746,null,3714,null,190278,null,2786,null,32470,null,2072,null,31818,null,2125,null,652,null,458,null,97,null,158,null,555,null,423,null,157808,null,1581,null,147081,null,1811,null,10727,null,1604,null,5814,null,1269,null,4913,null,1234,null,158468,null,2140,null,27842,null,1516,null,27627,null,1560,null,215,null,216,null,0,null,275,null,215,null,216,null,130626,null,1390,null,115306,null,2418,null,15320,null,2210,null,6563,null,1208,null,8757,null,1734,null,0400000US15,Hawaii,15
