B07404G_001E,B07404G_001EA,B07404G_001M,B07404G_001MA,B07404G_002E,B07404G_002EA,B07404G_002M,B07404G_002MA,B07404G_003E,B07404G_003EA,B07404G_003M,B07404G_003MA,B07404G_004E,B07404G_004EA,B07404G_004M,B07404G_004MA,B07404G_005E,B07404G_005EA,B07404G_005M,B07404G_005MA,GEO_ID,NAME,state
58158,null,5288,null,46412,null,4674,null,7710,null,2699,null,1933,null,783,null,2103,null,847,null,0400000US01,Alabama,01
53159,null,4514,null,39381,null,4503,null,9229,null,1993,null,2508,null,857,null,2041,null,764,null,0400000US02,Alaska,02
159406,null,9632,null,120593,null,7978,null,26612,null,3931,null,3650,null,1657,null,8551,null,2724,null,0400000US04,Arizona,04
53579,null,4992,null,41546,null,3840,null,8179,null,2267,null,1470,null,854,null,2384,null,1184,null,0400000US05,Arkansas,05
1261737,null,25501,null,1051419,null,23201,null,141631,null,8080,null,46193,null,4750,null,22494,null,2951,null,0400000US06,California,06
142430,null,9089,null,110687,null,7600,null,18390,null,3245,null,8886,null,2107,null,4467,null,1426,null,0400000US08,Colorado,08
72117,null,6013,null,58891,null,6037,null,9078,null,2221,null,1663,null,748,null,2485,null,1095,null,0400000US09,Connecticut,09
13751,null,2400,null,11994,null,2325,null,1125,null,560,null,338,null,349,null,294,null,213,null,0400000US10,Delaware,10
11397,null,3509,null,9464,null,3236,null,681,null,399,null,0,null,271,null,1252,null,694,null,0400000US11,District of Columbia,11
326785,null,14144,null,253868,null,13048,null,45383,null,6314,null,13407,null,2730,null,14127,null,2823,null,0400000US12,Florida,12
127770,null,8771,null,93740,null,7912,null,15199,null,3089,null,10106,null,2531,null,8725,null,2149,null,0400000US13,Georgia,13
266423,null,10274,null,226691,null,9180,null,30923,null,5157,null,2802,null,919,null,6007,null,1816,null,0400000US15,Hawaii,15
35853,null,3532,null,28485,null,3125,null,4701,null,1423,null,1647,null,707,null,1020,null,508,null,0400000US16,Idaho,16
214447,null,11332,null,173726,null,9624,null,25382,null,4673,null,8280,null,1925,null,7059,null,1676,null,0400000US17,Illinois,17
114888,null,6580,null,87241,null,6024,null,18862,null,3549,null,6044,null,1556,null,2741,null,1145,null,0400000US18,Indiana,18
42031,null,3513,null,30339,null,3414,null,8324,null,1855,null,1861,null,799,null,1507,null,838,null,0400000US19,Iowa,19
70622,null,4294,null,53979,null,3734,null,11699,null,2244,null,2754,null,851,null,2190,null,932,null,0400000US20,Kansas,20
58247,null,5023,null,44011,null,4277,null,7573,null,1776,null,3537,null,1197,null,3126,null,1874,null,0400000US21,Kentucky,21
49607,null,4592,null,36780,null,3954,null,6568,null,1804,null,2946,null,1307,null,3313,null,1237,null,0400000US22,Louisiana,22
20605,null,2054,null,16839,null,2051,null,2463,null,994,null,647,null,433,null,656,null,506,null,0400000US23,Maine,23
116915,null,7600,null,97325,null,6136,null,8830,null,2687,null,5926,null,1870,null,4834,null,1740,null,0400000US24,Maryland,24
127080,null,8938,null,104106,null,7744,null,16338,null,3705,null,3388,null,1283,null,3248,null,1059,null,0400000US25,Massachusetts,25
209556,null,8139,null,164030,null,8000,null,29782,null,3720,null,10126,null,2001,null,5618,null,1339,null,0400000US26,Michigan,26
88338,null,5235,null,70922,null,4839,null,9290,null,1846,null,6073,null,1441,null,2053,null,650,null,0400000US27,Minnesota,27
24816,null,3532,null,19257,null,3366,null,3029,null,1274,null,832,null,460,null,1698,null,941,null,0400000US28,Mississippi,28
114115,null,6126,null,86737,null,5894,null,16023,null,3121,null,7037,null,1564,null,4318,null,1360,null,0400000US29,Missouri,29
22341,null,2792,null,16973,null,2412,null,1715,null,972,null,1829,null,1071,null,1824,null,946,null,0400000US30,Montana,30
37633,null,3372,null,28936,null,3384,null,5812,null,1643,null,1331,null,617,null,1554,null,694,null,0400000US31,Nebraska,31
82377,null,5760,null,59984,null,5664,null,16361,null,3016,null,801,null,451,null,5231,null,1853,null,0400000US32,Nevada,32
17460,null,2074,null,14976,null,1965,null,1108,null,647,null,468,null,359,null,908,null,445,null,0400000US33,New Hampshire,33
156689,null,8930,null,136769,null,8037,null,11335,null,2363,null,3462,null,1235,null,5123,null,1747,null,0400000US34,New Jersey,34
60486,null,5788,null,47728,null,5274,null,7982,null,2300,null,1991,null,794,null,2785,null,965,null,0400000US35,New Mexico,35
373247,null,14461,null,321652,null,13802,null,30603,null,3699,null,9256,null,1374,null,11736,null,2206,null,0400000US36,New York,36
