B19301F_001E,B19301F_001EA,B19301F_001M,B19301F_001MA,GEO_ID,NAME,state
12257,null,1884,null,0400000US01,Alabama,01
26063,null,8119,null,0400000US02,Alaska,02
14960,null,592,null,0400000US04,Arizona,04
10069,null,1143,null,0400000US05,Arkansas,05
15354,null,222,null,0400000US06,California,06
15639,null,1054,null,0400000US08,Colorado,08
15449,null,1135,null,0400000US09,Connecticut,09
15714,null,3170,null,0400000US10,Delaware,10
26298,null,4753,null,0400000US11,District of Columbia,11
15927,null,1105,null,0400000US12,Florida,12
12473,null,883,null,0400000US13,Georgia,13
23466,null,4570,null,0400000US15,Hawaii,15
14679,null,2027,null,0400000US16,Idaho,16
15073,null,471,null,0400000US17,Illinois,17
13411,null,997,null,0400000US18,Indiana,18
13744,null,1366,null,0400000US19,Iowa,19
16045,null,1594,null,0400000US20,Kansas,20
10783,null,1836,null,0400000US21,Kentucky,21
16507,null,3664,null,0400000US22,Louisiana,22
16157,null,5133,null,0400000US23,Maine,23
19972,null,2788,null,0400000US24,Maryland,24
15382,null,910,null,0400000US25,Massachusetts,25
15337,null,1542,null,0400000US26,Michigan,26
14818,null,1409,null,0400000US27,Minnesota,27
11332,null,2321,null,0400000US28,Mississippi,28
14209,null,2047,null,0400000US29,Missouri,29
14382,null,3106,null,0400000US30,Montana,30
13551,null,1098,null,0400000US31,Nebraska,31
19038,null,1527,null,0400000US32,Nevada,32
14326,null,3721,null,0400000US33,New Hampshire,33
16505,null,509,null,0400000US34,New Jersey,34
17383,null,923,null,0400000US35,New Mexico,35
15416,null,376,null,0400000US36,New York,36
10666,null,532,null,0400000US37,North Carolina,37
12918,null,4226,null,0400000US38,North Dakota,38
13805,null,1265,null,0400000US39,Ohio,39
12191,null,1267,null,0400000US40,Oklahoma,40
15119,null,1542,null,0400000US41,Oregon,41
13085,null,702,null,0400000US42,Pennsylvania,42
12969,null,1375,null,0400000US44,Rhode Island,44
11804,null,1105,null,0400000US45,South Carolina,45
16946,null,6027,null,0400000US46,South Dakota,46
12096,null,1571,null,0400000US47,Tennessee,47
14478,null,339,null,0400000US48,Texas,48
16555,null,1944,null,0400000US49,Utah,49
19644,null,9854,null,0400000US50,Vermont,50
19481,null,1150,null,0400000US51,Virginia,51
14062,null,697,null,0400000US53,Washington,53
12586,null,6332,null,0400000US54,West Virginia,54
15157,null,2179,null,0400000US55,Wisconsin,55
23698,null,4085,null,0400000US56,Wyoming,56
8622,null,635,null,0400000US72,Puerto Rico,72
