B06004G_001E,B06004G_001EA,B06004G_001M,B06004G_001MA,B06004G_002E,B06004G_002EA,B06004G_002M,B06004G_002MA,B06004G_003E,B06004G_003EA,B06004G_003M,B06004G_003MA,B06004G_004E,B06004G_004EA,B06004G_004M,B06004G_004MA,B06004G_005E,B06004G_005EA,B06004G_005M,B06004G_005MA,GEO_ID,NAME,state
60615,null,5519,null,39151,null,4134,null,17325,null,2148,null,2251,null,1045,null,1888,null,709,null,0400000US01,Alabama,01
55613,null,4357,null,35703,null,3545,null,16651,null,2448,null,1567,null,604,null,1692,null,905,null,0400000US02,Alaska,02
167353,null,9487,null,87313,null,7023,null,66607,null,4960,null,4643,null,1138,null,8790,null,1753,null,0400000US04,Arizona,04
56502,null,4787,null,33387,null,3796,null,21608,null,2588,null,730,null,640,null,777,null,405,null,0400000US05,Arkansas,05
1310498,null,26071,null,968133,null,22354,null,188961,null,7563,null,34481,null,3478,null,118923,null,7503,null,0400000US06,California,06
152134,null,8663,null,86734,null,6117,null,53171,null,4453,null,5173,null,1204,null,7056,null,1674,null,0400000US08,Colorado,08
74113,null,6532,null,49085,null,5441,null,16212,null,2560,null,2235,null,846,null,6581,null,1655,null,0400000US09,Connecticut,09
14791,null,2497,null,7401,null,1497,null,6320,null,1496,null,458,null,288,null,612,null,351,null,0400000US10,Delaware,10
11819,null,3447,null,3443,null,1103,null,6366,null,2103,null,184,null,173,null,1826,null,866,null,0400000US11,District of Columbia,11
341012,null,14559,null,148611,null,8300,null,117985,null,7446,null,18630,null,2786,null,55786,null,5121,null,0400000US12,Florida,12
134395,null,8695,null,69434,null,5689,null,49789,null,5232,null,5902,null,1305,null,9270,null,1846,null,0400000US13,Georgia,13
275694,null,11060,null,224630,null,9811,null,37057,null,3685,null,8901,null,2690,null,5106,null,1444,null,0400000US15,Hawaii,15
39037,null,3429,null,18537,null,2330,null,17859,null,2366,null,1052,null,555,null,1589,null,1091,null,0400000US16,Idaho,16
222243,null,11962,null,159789,null,9429,null,38568,null,3521,null,5168,null,1268,null,18718,null,3648,null,0400000US17,Illinois,17
123789,null,6973,null,84446,null,5174,null,31691,null,3195,null,2169,null,573,null,5483,null,1688,null,0400000US18,Indiana,18
44777,null,3753,null,30386,null,2886,null,12213,null,2023,null,626,null,359,null,1552,null,662,null,0400000US19,Iowa,19
75781,null,4545,null,48243,null,3647,null,24407,null,2915,null,1384,null,693,null,1747,null,741,null,0400000US20,Kansas,20
61722,null,4993,null,40412,null,3929,null,17269,null,2422,null,1462,null,691,null,2579,null,868,null,0400000US21,Kentucky,21
50344,null,4480,null,35554,null,3795,null,11567,null,1732,null,909,null,396,null,2314,null,776,null,0400000US22,Louisiana,22
21163,null,1989,null,13162,null,1274,null,6577,null,1376,null,408,null,293,null,1016,null,575,null,0400000US23,Maine,23
119990,null,7624,null,66193,null,6138,null,37118,null,3154,null,5303,null,1458,null,11376,null,2486,null,0400000US24,Maryland,24
133853,null,9498,null,74671,null,5402,null,21316,null,2721,null,5723,null,1489,null,32143,null,4841,null,0400000US25,Massachusetts,25
