B05003F_001E,B05003F_001EA,B05003F_001M,B05003F_001MA,B05003F_002E,B05003F_002EA,B05003F_002M,B05003F_002MA,B05003F_003E,B05003F_003EA,B05003F_003M,B05003F_003MA,B05003F_004E,B05003F_004EA,B05003F_004M,B05003F_004MA,B05003F_005E,B05003F_005EA,B05003F_005M,B05003F_005MA,B05003F_006E,B05003F_006EA,B05003F_006M,B05003F_006MA,B05003F_007E,B05003F_007EA,B05003F_007M,B05003F_007MA,B05003F_008E,B05003F_008EA,B05003F_008M,B05003F_008MA,B05003F_009E,B05003F_009EA,B05003F_009M,B05003F_009MA,B05003F_010E,B05003F_010EA,B05003F_010M,B05003F_010MA,B05003F_011E,B05003F_011EA,B05003F_011M,B05003F_011MA,B05003F_012E,B05003F_012EA,B05003F_012M,B05003F_012MA,B05003F_013E,B05003F_013EA,B05003F_013M,B05003F_013MA,B05003F_014E,B05003F_014EA,B05003F_014M,B05003F_014MA,B05003F_015E,B05003F_015EA,B05003F_015M,B05003F_015MA,B05003F_016E,B05003F_016EA,B05003F_016M,B05003F_016MA,B05003F_017E,B05003F_017EA,B05003F_017M,B05003F_017MA,B05003F_018E,B05003F_018EA,B05003F_018M,B05003F_018MA,B05003F_019E,B05003F_019EA,B05003F_019M,B05003F_019MA,B05003F_020E,B05003F_020EA,B05003F_020M,B05003F_020MA,B05003F_021E,B05003F_021EA,B05003F_021M,B05003F_021MA,B05003F_022E,B05003F_022EA,B05003F_022M,B05003F_022MA,B05003F_023E,B05003F_023EA,B05003F_023M,B05003F_023MA,GEO_ID,NAME,state
33459,null,4931,null,19647,null,3327,null,7742,null,2013,null,6131,null,1750,null,1611,null,660,null,0,null,271,null,1611,null,660,null,11905,null,2036,null,2798,null,1143,null,9107,null,1948,null,979,null,613,null,8128,null,1815,null,13812,null,2518,null,5899,null,1612,null,5032,null,1463,null,867,null,610,null,0,null,271,null,867,null,610,null,7913,null,1380,null,2631,null,819,null,5282,null,1105,null,823,null,512,null,4459,null,1143,null,0400000US01,Alabama,01
8553,null,2195,null,4905,null,1566,null,1392,null,643,null,1304,null,624,null,88,null,113,null,0,null,240,null,88,null,113,null,3513,null,1234,null,2252,null,916,null,1261,null,696,null,568,null,366,null,693,null,631,null,3648,null,992,null,1163,null,556,null,1163,null,556,null,0,null,240,null,0,null,240,null,0,null,240,null,2485,null,718,null,1711,null,562,null,774,null,390,null,360,null,277,null,414,null,277,null,0400000US02,Alaska,02
442577,null,23553,null,229925,null,13362,null,77166,null,6565,null,71201,null,6270,null,5965,null,1897,null,58,null,95,null,5907,null,1895,null,152759,null,9350,null,84848,null,6469,null,67911,null,6126,null,18062,null,2207,null,49849,null,5610,null,212652,null,12623,null,77114,null,6733,null,70817,null,6075,null,6297,null,1772,null,353,null,283,null,5944,null,1765,null,135538,null,7627,null,75859,null,5548,null,59679,null,5195,null,19752,null,3286,null,39927,null,4065,null,0400000US04,Arizona,04
62280,null,5645,null,32037,null,3203,null,11023,null,2061,null,8824,null,1946,null,2199,null,835,null,405,null,426,null,1794,null,734,null,21014,null,2076,null,4927,null,1385,null,16087,null,1889,null,2027,null,750,null,14060,null,1842,null,30243,null,3547,null,13997,null,2323,null,11683,null,2121,null,2314,null,1021,null,415,null,313,null,1899,null,987,null,16246,null,1787,null,3638,null,989,null,12608,null,1643,null,3526,null,890,null,9082,null,1500,null,0400000US05,Arkansas,05
5228278,null,64372,null,2710922,null,35767,null,881650,null,15380,null,802481,null,15238,null,79169,null,4808,null,5308,null,1295,null,73861,null,4791,null,1829272,null,25893,null,671444,null,16919,null,1157828,null,23887,null,315036,null,10953,null,842792,null,22031,null,2517356,null,35786,null,847233,null,18583,null,774913,null,17954,null,72320,null,5457,null,3761,null,1183,null,68559,null,5349,null,1670123,null,22341,null,654214,null,16195,null,1015909,null,17885,null,325541,null,9477,null,690368,null,14452,null,0400000US06,California,06
234656,null,13697,null,123653,null,7533,null,38006,null,3364,null,35156,null,3014,null,2850,null,1245,null,386,null,391,null,2464,null,1215,null,85647,null,5987,null,50524,null,4376,null,35123,null,3711,null,7383,null,1432,null,27740,null,3514,null,111003,null,8065,null,39817,null,4979,null,36187,null,4688,null,3630,null,1230,null,271,null,372,null,3359,null,1190,null,71186,null,4289,null,43189,null,3095,null,27997,null,3323,null,6381,null,1423,null,21616,null,3283,null,0400000US08,Colorado,08
159822,null,10325,null,82569,null,5851,null,27058,null,3195,null,25437,null,3211,null,1621,null,738,null,96,null,113,null,1525,null,728,null,55511,null,4340,null,33867,null,3366,null,21644,null,3311,null,4820,null,1471,null,16824,null,2972,null,77253,null,5380,null,22095,null,2657,null,20568,null,2621,null,1527,null,866,null,235,null,197,null,1292,null,803,null,55158,null,3767,null,36672,null,3529,null,18486,null,2523,null,5194,null,1363,null,13292,null,1990,null,0400000US09,Connecticut,09
15589,null,3408,null,7594,null,1797,null,2274,null,814,null,2128,null,788,null,146,null,145,null,60,null,83,null,86,null,114,null,5320,null,1177,null,2155,null,950,null,3165,null,769,null,566,null,381,null,2599,null,635,null,7995,null,1939,null,3440,null,1156,null,3243,null,1092,null,197,null,205,null,0,null,263,null,197,null,205,null,4555,null,1095,null,2738,null,1055,null,1817,null,576,null,582,null,408,null,1235,null,435,null,0400000US10,Delaware,10
18958,null,3748,null,9950,null,2106,null,2581,null,879,null,2389,null,856,null,192,null,255,null,0,null,296,null,192,null,255,null,7369,null,1601,null,1860,null,843,null,5509,null,1453,null,716,null,450,null,4793,null,1297,null,9008,null,2009,null,2742,null,1021,null,2707,null,1026,null,35,null,60,null,0,null,296,null,35,null,60,null,6266,null,1440,null,1685,null,879,null,4581,null,1378,null,834,null,681,null,3747,null,1573,null,0400000US11,District of Columbia,11
480978,null,23831,null,252675,null,13148,null,73326,null,6325,null,65736,null,5563,null,7590,null,1727,null,1165,null,596,null,6425,null,1604,null,179349,null,9477,null,70135,null,5490,null,109214,null,7662,null,30541,null,3592,null,78673,null,7426,null,228303,null,13095,null,68967,null,6953,null,60958,null,6660,null,8009,null,1956,null,909,null,504,null,7100,null,1946,null,159336,null,9005,null,71298,null,5407,null,88038,null,6714,null,38035,null,3965,null,50003,null,4343,null,0400000US12,Florida,12
