C23002I_001E,C23002I_001EA,C23002I_001M,C23002I_001MA,C23002I_002E,C23002I_002EA,C23002I_002M,C23002I_002MA,C23002I_003E,C23002I_003EA,C23002I_003M,C23002I_003MA,C23002I_004E,C23002I_004EA,C23002I_004M,C23002I_004MA,C23002I_005E,C23002I_005EA,C23002I_005M,C23002I_005MA,C23002I_006E,C23002I_006EA,C23002I_006M,C23002I_006MA,C23002I_007E,C23002I_007EA,C23002I_007M,C23002I_007MA,C23002I_008E,C23002I_008EA,C23002I_008M,C23002I_008MA,C23002I_009E,C23002I_009EA,C23002I_009M,C23002I_009MA,C23002I_010E,C23002I_010EA,C23002I_010M,C23002I_010MA,C23002I_011E,C23002I_011EA,C23002I_011M,C23002I_011MA,C23002I_012E,C23002I_012EA,C23002I_012M,C23002I_012MA,C23002I_013E,C23002I_013EA,C23002I_013M,C23002I_013MA,C23002I_014E,C23002I_014EA,C23002I_014M,C23002I_014MA,C23002I_015E,C23002I_015EA,C23002I_015M,C23002I_015MA,C23002I_016E,C23002I_016EA,C23002I_016M,C23002I_016MA,C23002I_017E,C23002I_017EA,C23002I_017M,C23002I_017MA,C23002I_018E,C23002I_018EA,C23002I_018M,C23002I_018MA,C23002I_019E,C23002I_019EA,C23002I_019M,C23002I_019MA,C23002I_020E,C23002I_020EA,C23002I_020M,C23002I_020MA,C23002I_021E,C23002I_021EA,C23002I_021M,C23002I_021MA,C23002I_022E,C23002I_022EA,C23002I_022M,C23002I_022MA,C23002I_023E,C23002I_023EA,C23002I_023M,C23002I_023MA,C23002I_024E,C23002I_024EA,C23002I_024M,C23002I_024MA,C23002I_025E,C23002I_025EA,C23002I_025M,C23002I_025MA,C23002I_026E,C23002I_026EA,C23002I_026M,C23002I_026MA,C23002I_027E,C23002I_027EA,C23002I_027M,C23002I_027MA,GEO_ID,NAME,state
81621,null,2262,null,47641,null,2590,null,45888,null,2581,null,40033,null,2623,null,527,null,276,null,39506,null,2574,null,37289,null,2434,null,2217,null,901,null,5855,null,1313,null,1753,null,593,null,271,null,240,null,271,null,240,null,0,null,271,null,1482,null,568,null,33980,null,1323,null,31626,null,1505,null,18702,null,1980,null,325,null,373,null,18377,null,1918,null,16568,null,1858,null,1809,null,641,null,12924,null,1761,null,2354,null,721,null,239,null,268,null,239,null,268,null,0,null,271,null,2115,null,699,null,0400000US01,Alabama,01
28460,null,1556,null,16345,null,1496,null,15712,null,1415,null,14128,null,1503,null,2919,null,1197,null,11209,null,1760,null,10495,null,1720,null,714,null,482,null,1584,null,574,null,633,null,311,null,305,null,243,null,305,null,243,null,0,null,240,null,328,null,241,null,12115,null,519,null,11353,null,597,null,8631,null,804,null,330,null,300,null,8301,null,880,null,7115,null,920,null,1186,null,623,null,2722,null,669,null,762,null,399,null,242,null,297,null,242,null,297,null,0,null,240,null,520,null,326,null,0400000US02,Alaska,02
1292968,null,2806,null,674246,null,2153,null,631876,null,2303,null,515841,null,6236,null,4437,null,1307,null,511404,null,6298,null,478982,null,6979,null,32422,null,3633,null,116035,null,6487,null,42370,null,687,null,9280,null,1437,null,9024,null,1423,null,256,null,197,null,33090,null,1434,null,618722,null,2050,null,565140,null,2110,null,352902,null,7324,null,335,null,308,null,352567,null,7319,null,323842,null,7800,null,28725,null,4007,null,212238,null,7578,null,53582,null,748,null,6299,null,1582,null,6051,null,1592,null,248,null,173,null,47283,null,1778,null,0400000US04,Arizona,04
97251,null,1815,null,54251,null,1639,null,53003,null,1546,null,45485,null,1641,null,58,null,99,null,45427,null,1653,null,43476,null,1817,null,1951,null,767,null,7518,null,1286,null,1248,null,470,null,463,null,318,null,387,null,295,null,76,null,92,null,785,null,385,null,43000,null,1222,null,41397,null,1275,null,24311,null,1892,null,30,null,55,null,24281,null,1896,null,22619,null,1781,null,1662,null,727,null,17086,null,1893,null,1603,null,660,null,548,null,463,null,548,null,463,null,0,null,269,null,1055,null,446,null,0400000US05,Arkansas,05
9300457,null,7355,null,4789220,null,5132,null,4484650,null,5107,null,3669706,null,12499,null,26388,null,2961,null,3643318,null,12678,null,3345439,null,16972,null,297879,null,11929,null,814944,null,12619,null,304570,null,1161,null,56091,null,3161,null,52781,null,3078,null,3310,null,934,null,248479,null,3256,null,4511237,null,5354,null,4102992,null,5414,null,2612875,null,17166,null,3562,null,1093,null,2609313,null,17132,null,2362586,null,15929,null,246727,null,8097,null,1490117,null,18020,null,408245,null,941,null,37595,null,2742,null,35481,null,2757,null,2114,null,662,null,370650,null,2762,null,0400000US06,California,06
674790,null,1920,null,359161,null,1722,null,336500,null,1778,null,277330,null,3873,null,2894,null,890,null,274436,null,3973,null,258974,null,4209,null,15462,null,2047,null,59170,null,4115,null,22661,null,921,null,3948,null,766,null,3806,null,786,null,142,null,161,null,18713,null,1003,null,315629,null,1749,null,287874,null,1708,null,192985,null,4325,null,205,null,204,null,192780,null,4316,null,177692,null,4314,null,15088,null,2156,null,94889,null,4572,null,27755,null,773,null,3076,null,689,null,2758,null,627,null,318,null,258,null,24679,null,1034,null,0400000US08,Colorado,08
292916,null,1228,null,146350,null,1207,null,137923,null,1213,null,109453,null,2330,null,397,null,304,null,109056,null,2327,null,99501,null,2565,null,9555,null,1864,null,28470,null,2465,null,8427,null,423,null,1991,null,611,null,1681,null,564,null,310,null,254,null,6436,null,676,null,146566,null,1040,null,134986,null,1012,null,92549,null,3059,null,0,null,275,null,92549,null,3059,null,83678,null,3274,null,8871,null,1623,null,42437,null,2831,null,11580,null,451,null,956,null,342,null,860,null,302,null,96,null,163,null,10624,null,560,null,0400000US09,Connecticut,09
38155,null,259,null,20292,null,576,null,19537,null,687,null,17347,null,539,null,312,null,302,null,17035,null,623,null,15886,null,756,null,1149,null,473,null,2190,null,725,null,755,null,394,null,89,null,131,null,89,null,131,null,0,null,263,null,666,null,373,null,17863,null,605,null,16886,null,724,null,9972,null,1092,null,0,null,263,null,9972,null,1092,null,8882,null,1153,null,1090,null,635,null,6914,null,1275,null,977,null,507,null,0,null,263,null,0,null,263,null,0,null,263,null,977,null,507,null,0400000US10,Delaware,10
39394,null,345,null,20673,null,288,null,19628,null,289,null,17150,null,829,null,899,null,590,null,16251,null,899,null,15484,null,944,null,767,null,418,null,2478,null,868,null,1045,null,0,*****,295,null,307,null,295,null,307,null,0,null,296,null,750,null,307,null,18721,null,353,null,16903,null,353,null,12228,null,1034,null,55,null,101,null,12173,null,1015,null,11595,null,1124,null,578,null,489,null,4675,null,1124,null,1818,null,0,*****,434,null,379,null,434,null,379,null,0,null,296,null,1384,null,379,null,0400000US11,District of Columbia,11
2938390,null,5605,null,1478546,null,7236,null,1305216,null,7256,null,1087883,null,9936,null,6380,null,1233,null,1081503,null,9695,null,1001305,null,12173,null,80198,null,6214,null,217333,null,7420,null,173330,null,1225,null,37242,null,2653,null,34986,null,2732,null,2256,null,903,null,136088,null,2991,null,1459844,null,4444,null,1222332,null,4420,null,843749,null,9844,null,1922,null,1003,null,841827,null,9834,null,768188,null,10593,null,73639,null,4271,null,378583,null,10108,null,237512,null,1223,null,24020,null,2563,null,22517,null,2455,null,1503,null,531,null,213492,null,2538,null,0400000US12,Florida,12
