B11001F_001E,B11001F_001EA,B11001F_001M,B11001F_001MA,B11001F_002E,B11001F_002EA,B11001F_002M,B11001F_002MA,B11001F_003E,B11001F_003EA,B11001F_003M,B11001F_003MA,B11001F_004E,B11001F_004EA,B11001F_004M,B11001F_004MA,B11001F_005E,B11001F_005EA,B11001F_005M,B11001F_005MA,B11001F_006E,B11001F_006EA,B11001F_006M,B11001F_006MA,B11001F_007E,B11001F_007EA,B11001F_007M,B11001F_007MA,B11001F_008E,B11001F_008EA,B11001F_008M,B11001F_008MA,B11001F_009E,B11001F_009EA,B11001F_009M,B11001F_009MA,GEO_ID,NAME,state
8236,null,1353,null,5491,null,1094,null,3739,null,977,null,1752,null,561,null,565,null,324,null,1187,null,510,null,2745,null,951,null,2071,null,888,null,674,null,400,null,0400000US01,Alabama,01
2300,null,971,null,1914,null,798,null,1139,null,588,null,775,null,458,null,192,null,119,null,583,null,435,null,386,null,416,null,386,null,416,null,0,null,240,null,0400000US02,Alaska,02
115905,null,5957,null,91191,null,5284,null,58949,null,4028,null,32242,null,3217,null,10596,null,2073,null,21646,null,2679,null,24714,null,2597,null,18223,null,2285,null,6491,null,1593,null,0400000US04,Arizona,04
15019,null,1683,null,12781,null,1604,null,9070,null,1558,null,3711,null,1057,null,1313,null,585,null,2398,null,870,null,2238,null,1053,null,1463,null,1004,null,775,null,453,null,0400000US05,Arkansas,05
1259697,null,17268,null,1049642,null,15326,null,660228,null,14140,null,389414,null,8962,null,136358,null,6911,null,253056,null,7601,null,210055,null,7200,null,141258,null,5670,null,68797,null,4277,null,0400000US06,California,06
68402,null,3909,null,49165,null,3336,null,32981,null,2944,null,16184,null,1859,null,5199,null,1305,null,10985,null,1732,null,19237,null,2632,null,15622,null,2437,null,3615,null,1022,null,0400000US08,Colorado,08
48532,null,2563,null,35190,null,2565,null,16660,null,1805,null,18530,null,2262,null,3599,null,1093,null,14931,null,1961,null,13342,null,2053,null,9815,null,1674,null,3527,null,1134,null,0400000US09,Connecticut,09
4281,null,949,null,3291,null,899,null,1910,null,685,null,1381,null,576,null,865,null,432,null,516,null,401,null,990,null,486,null,705,null,420,null,285,null,223,null,0400000US10,Delaware,10
6649,null,1645,null,3909,null,1107,null,1774,null,832,null,2135,null,817,null,1140,null,618,null,995,null,574,null,2740,null,1190,null,2470,null,1126,null,270,null,318,null,0400000US11,District of Columbia,11
135210,null,6872,null,104101,null,6073,null,65795,null,5108,null,38306,null,3421,null,14046,null,2279,null,24260,null,2710,null,31109,null,2821,null,22216,null,2491,null,8893,null,1588,null,0400000US12,Florida,12
78675,null,4945,null,62323,null,4503,null,42004,null,3819,null,20319,null,2547,null,9153,null,1903,null,11166,null,1885,null,16352,null,2519,null,8620,null,1850,null,7732,null,1563,null,0400000US13,Georgia,13
4917,null,1178,null,4229,null,1123,null,3145,null,990,null,1084,null,556,null,882,null,529,null,202,null,165,null,688,null,401,null,688,null,401,null,0,null,275,null,0400000US15,Hawaii,15
7692,null,1170,null,6217,null,1036,null,4343,null,962,null,1874,null,620,null,870,null,442,null,1004,null,541,null,1475,null,526,null,1015,null,482,null,460,null,296,null,0400000US16,Idaho,16
213096,null,7193,null,174703,null,6671,null,113092,null,5748,null,61611,null,4542,null,24288,null,2860,null,37323,null,3310,null,38393,null,3487,null,27981,null,3232,null,10412,null,2159,null,0400000US17,Illinois,17
36061,null,2657,null,28059,null,2564,null,18455,null,2491,null,9604,null,1589,null,4439,null,1183,null,5165,null,1196,null,8002,null,1521,null,5046,null,1169,null,2956,null,1124,null,0400000US18,Indiana,18
