B05003H_001E,B05003H_001EA,B05003H_001M,B05003H_001MA,B05003H_002E,B05003H_002EA,B05003H_002M,B05003H_002MA,B05003H_003E,B05003H_003EA,B05003H_003M,B05003H_003MA,B05003H_004E,B05003H_004EA,B05003H_004M,B05003H_004MA,B05003H_005E,B05003H_005EA,B05003H_005M,B05003H_005MA,B05003H_006E,B05003H_006EA,B05003H_006M,B05003H_006MA,B05003H_007E,B05003H_007EA,B05003H_007M,B05003H_007MA,B05003H_008E,B05003H_008EA,B05003H_008M,B05003H_008MA,B05003H_009E,B05003H_009EA,B05003H_009M,B05003H_009MA,B05003H_010E,B05003H_010EA,B05003H_010M,B05003H_010MA,B05003H_011E,B05003H_011EA,B05003H_011M,B05003H_011MA,B05003H_012E,B05003H_012EA,B05003H_012M,B05003H_012MA,B05003H_013E,B05003H_013EA,B05003H_013M,B05003H_013MA,B05003H_014E,B05003H_014EA,B05003H_014M,B05003H_014MA,B05003H_015E,B05003H_015EA,B05003H_015M,B05003H_015MA,B05003H_016E,B05003H_016EA,B05003H_016M,B05003H_016MA,B05003H_017E,B05003H_017EA,B05003H_017M,B05003H_017MA,B05003H_018E,B05003H_018EA,B05003H_018M,B05003H_018MA,B05003H_019E,B05003H_019EA,B05003H_019M,B05003H_019MA,B05003H_020E,B05003H_020EA,B05003H_020M,B05003H_020MA,B05003H_021E,B05003H_021EA,B05003H_021M,B05003H_021MA,B05003H_022E,B05003H_022EA,B05003H_022M,B05003H_022MA,B05003H_023E,B05003H_023EA,B05003H_023M,B05003H_023MA,GEO_ID,NAME,state
3188300,null,975,null,1557399,null,1779,null,351915,null,1734,null,350313,null,1862,null,1602,null,624,null,623,null,388,null,979,null,561,null,1205484,null,552,null,1192051,null,2907,null,13433,null,2842,null,5850,null,1256,null,7583,null,2209,null,1630901,null,1944,null,335333,null,1805,null,334222,null,1957,null,1111,null,596,null,320,null,242,null,791,null,527,null,1295568,null,362,null,1279926,null,2100,null,15642,null,2088,null,7499,null,1187,null,8143,null,1705,null,0400000US01,Alabama,01
450038,null,866,null,237868,null,609,null,52209,null,488,null,51789,null,573,null,420,null,306,null,163,null,192,null,257,null,250,null,185659,null,242,null,181230,null,1021,null,4429,null,982,null,2236,null,615,null,2193,null,768,null,212170,null,521,null,48146,null,425,null,47970,null,520,null,176,null,233,null,0,null,240,null,176,null,233,null,164024,null,176,null,158114,null,1283,null,5910,null,1275,null,2637,null,695,null,3273,null,930,null,0400000US02,Alaska,02
3781993,null,2452,null,1865244,null,2251,null,374094,null,1736,null,369152,null,2538,null,4942,null,1843,null,1525,null,1262,null,3417,null,1283,null,1491150,null,1655,null,1428107,null,5454,null,63043,null,5066,null,33696,null,3399,null,29347,null,3239,null,1916749,null,1954,null,355351,null,1485,null,350586,null,2016,null,4765,null,1502,null,1514,null,996,null,3251,null,1244,null,1561398,null,1283,null,1483919,null,4888,null,77479,null,4776,null,43228,null,3852,null,34251,null,3444,null,0400000US04,Arizona,04
2159061,null,1658,null,1056887,null,2340,null,241392,null,1482,null,241202,null,1512,null,190,null,228,null,45,null,66,null,145,null,218,null,815495,null,1634,null,809375,null,2483,null,6120,null,1429,null,3480,null,1107,null,2640,null,836,null,1102174,null,2165,null,228305,null,1623,null,228260,null,1624,null,45,null,70,null,45,null,70,null,0,null,269,null,873869,null,1454,null,865017,null,1920,null,8852,null,1407,null,5639,null,1298,null,3213,null,993,null,0400000US05,Arkansas,05
15453123,null,8603,null,7665030,null,4671,null,1436229,null,2998,null,1405751,null,4218,null,30478,null,2792,null,8335,null,1576,null,22143,null,2709,null,6228801,null,3192,null,5619214,null,12852,null,609587,null,12588,null,377361,null,10188,null,232226,null,9034,null,7788093,null,6279,null,1361226,null,3107,null,1329361,null,4875,null,31865,null,3593,null,8054,null,1536,null,23811,null,3301,null,6426867,null,4033,null,5731079,null,13581,null,695788,null,13611,null,457367,null,12415,null,238421,null,9375,null,0400000US06,California,06
3496374,null,2336,null,1743323,null,1626,null,368793,null,1232,null,364549,null,1709,null,4244,null,1228,null,1155,null,584,null,3089,null,1123,null,1374530,null,940,null,1330161,null,4372,null,44369,null,4154,null,25323,null,2825,null,19046,null,2560,null,1753051,null,1954,null,350319,null,1279,null,347785,null,1441,null,2534,null,770,null,893,null,527,null,1641,null,604,null,1402732,null,1381,null,1345848,null,4369,null,56884,null,4164,null,32614,null,3040,null,24270,null,3031,null,0400000US08,Colorado,08
2577077,null,2138,null,1251547,null,1209,null,269125,null,847,null,263752,null,1485,null,5373,null,1164,null,2131,null,604,null,3242,null,939,null,982422,null,589,null,901206,null,4613,null,81216,null,4503,null,43677,null,3364,null,37539,null,3522,null,1325530,null,1164,null,256576,null,542,null,251466,null,1442,null,5110,null,1305,null,1950,null,856,null,3160,null,985,null,1068954,null,1001,null,979045,null,4310,null,89909,null,4225,null,52353,null,3263,null,37556,null,3239,null,0400000US09,Connecticut,09
595514,null,943,null,288634,null,477,null,61706,null,179,null,61455,null,310,null,251,null,261,null,115,null,134,null,136,null,228,null,226928,null,328,null,221498,null,1343,null,5430,null,1332,null,3525,null,1125,null,1905,null,718,null,306880,null,522,null,58489,null,220,null,58305,null,380,null,184,null,306,null,184,null,306,null,0,null,263,null,248391,null,368,null,240573,null,1324,null,7818,null,1288,null,4638,null,864,null,3180,null,908,null,0400000US10,Delaware,10
194261,null,1162,null,97085,null,545,null,11365,null,227,null,10903,null,461,null,462,null,398,null,150,null,173,null,312,null,364,null,85720,null,431,null,77373,null,1538,null,8347,null,1531,null,2818,null,791,null,5529,null,1268,null,97176,null,763,null,10356,null,564,null,10149,null,623,null,207,null,248,null,0,null,296,null,207,null,248,null,86820,null,357,null,78826,null,1518,null,7994,null,1414,null,3252,null,773,null,4742,null,1163,null,0400000US11,District of Columbia,11
11015640,null,6957,null,5388023,null,4209,null,1015669,null,2994,null,1002186,null,3568,null,13483,null,2091,null,3001,null,876,null,10482,null,1975,null,4372354,null,2387,null,4098366,null,8124,null,273988,null,8327,null,144658,null,5971,null,129330,null,6893,null,5627617,null,4103,null,956419,null,2488,null,940361,null,3986,null,16058,null,3026,null,4373,null,1316,null,11685,null,2694,null,4671198,null,2556,null,4349201,null,9341,null,321997,null,9049,null,180186,null,7389,null,141811,null,6368,null,0400000US12,Florida,12
