C14003_001E,C14003_001EA,C14003_001M,C14003_001MA,C14003_002E,C14003_002EA,C14003_002M,C14003_002MA,C14003_003E,C14003_003EA,C14003_003M,C14003_003MA,C14003_004E,C14003_004EA,C14003_004M,C14003_004MA,C14003_005E,C14003_005EA,C14003_005M,C14003_005MA,C14003_006E,C14003_006EA,C14003_006M,C14003_006MA,C14003_007E,C14003_007EA,C14003_007M,C14003_007MA,C14003_008E,C14003_008EA,C14003_008M,C14003_008MA,C14003_009E,C14003_009EA,C14003_009M,C14003_009MA,C14003_010E,C14003_010EA,C14003_010M,C14003_010MA,C14003_011E,C14003_011EA,C14003_011M,C14003_011MA,C14003_012E,C14003_012EA,C14003_012M,C14003_012MA,C14003_013E,C14003_013EA,C14003_013M,C14003_013MA,C14003_014E,C14003_014EA,C14003_014M,C14003_014MA,C14003_015E,C14003_015EA,C14003_015M,C14003_015MA,C14003_016E,C14003_016EA,C14003_016M,C14003_016MA,C14003_017E,C14003_017EA,C14003_017M,C14003_017MA,C14003_018E,C14003_018EA,C14003_018M,C14003_018MA,C14003_019E,C14003_019EA,C14003_019M,C14003_019MA,C14003_020E,C14003_020EA,C14003_020M,C14003_020MA,C14003_021E,C14003_021EA,C14003_021M,C14003_021MA,C14003_022E,C14003_022EA,C14003_022M,C14003_022MA,C14003_023E,C14003_023EA,C14003_023M,C14003_023MA,C14003_024E,C14003_024EA,C14003_024M,C14003_024MA,C14003_025E,C14003_025EA,C14003_025M,C14003_025MA,C14003_026E,C14003_026EA,C14003_026M,C14003_026MA,C14003_027E,C14003_027EA,C14003_027M,C14003_027MA,C14003_028E,C14003_028EA,C14003_028M,C14003_028MA,GEO_ID,NAME,state
4479229,null,5046,null,996615,null,10959,null,25123,null,2486,null,250729,null,7227,null,274244,null,7414,null,164826,null,3439,null,84715,null,4214,null,97603,null,5242,null,60568,null,4033,null,38807,null,3156,null,174770,null,8679,null,33281,null,2691,null,38378,null,2971,null,33487,null,2946,null,19854,null,2097,null,14085,null,2310,null,14761,null,2719,null,7861,null,1545,null,13063,null,1718,null,3307844,null,9248,null,66108,null,4425,null,18240,null,2555,null,4569,null,1397,null,9700,null,1605,null,42390,null,2989,null,208637,null,6043,null,529988,null,6634,null,2428212,null,5719,null,0400000US01,Alabama,01
653314,null,1588,null,168195,null,5989,null,5017,null,1000,null,40201,null,2797,null,42992,null,3156,null,27178,null,1483,null,11791,null,1629,null,16247,null,2278,null,11434,null,1719,null,13335,null,1767,null,25686,null,3160,null,2994,null,673,null,6235,null,1319,null,5145,null,1263,null,2084,null,699,null,1329,null,552,null,2667,null,1175,null,2366,null,819,null,2866,null,840,null,459433,null,4059,null,10634,null,1285,null,1948,null,702,null,814,null,530,null,2538,null,948,null,9637,null,1689,null,38962,null,3274,null,85324,null,2721,null,309576,null,2861,null,0400000US02,Alaska,02
6185209,null,6091,null,1490769,null,13202,null,35053,null,3284,null,397429,null,8522,null,418558,null,7757,null,239921,null,3131,null,107879,null,4041,null,128660,null,6802,null,88850,null,5889,null,74419,null,4767,null,187843,null,8750,null,29910,null,3292,null,36340,null,3237,null,31031,null,3222,null,16004,null,2015,null,7018,null,1470,null,17116,null,2745,null,21441,null,2627,null,28983,null,2902,null,4506597,null,14901,null,135387,null,5841,null,30337,null,3162,null,5857,null,1526,null,16882,null,2289,null,58986,null,4186,null,280294,null,6928,null,819127,null,6958,null,3159727,null,6384,null,0400000US04,Arizona,04
2737889,null,3971,null,626341,null,8341,null,27357,null,2403,null,166150,null,5483,null,170527,null,5705,null,103215,null,2422,null,48812,null,3422,null,47951,null,3659,null,33310,null,3106,null,29019,null,2847,null,91271,null,5790,null,13246,null,1880,null,19856,null,2515,null,14560,null,1979,null,10006,null,1633,null,8633,null,2203,null,12609,null,2115,null,5488,null,1162,null,6873,null,1498,null,2020277,null,8261,null,40978,null,3037,null,8606,null,1837,null,3247,null,898,null,7675,null,1438,null,31535,null,3303,null,130112,null,5570,null,326509,null,6091,null,1471615,null,5095,null,0400000US05,Arkansas,05
35123959,null,13511,null,8895352,null,32723,null,308031,null,9411,null,2102198,null,17821,null,2314133,null,16080,null,1448531,null,7884,null,730202,null,9745,null,963856,null,15114,null,547185,null,13446,null,481216,null,11946,null,1483409,null,25125,null,229575,null,6620,null,265215,null,8328,null,238861,null,8556,null,135511,null,6009,null,99188,null,7163,null,183329,null,9185,null,168888,null,6657,null,162842,null,5941,null,24745198,null,33658,null,522593,null,11638,null,81551,null,5359,null,34889,null,3318,null,48902,null,3343,null,326470,null,7910,null,1562448,null,14848,null,4501207,null,17291,null,17667138,null,15065,null,0400000US06,California,06
4726000,null,5289,null,1089989,null,12543,null,37068,null,3838,null,278376,null,7145,null,283041,null,7443,null,171797,null,2964,null,87085,null,4222,null,111872,null,5278,null,67771,null,4210,null,52979,null,3540,null,189930,null,10647,null,32821,null,2884,null,38204,null,3165,null,28114,null,2852,null,16228,null,2126,null,10053,null,1839,null,18274,null,2514,null,20775,null,3003,null,25461,null,2567,null,3446081,null,10113,null,73044,null,4773,null,16818,null,2350,null,6242,null,2061,null,11557,null,1930,null,36526,null,3349,null,205854,null,5938,null,648678,null,6556,null,2447362,null,5653,null,0400000US08,Colorado,08
3376235,null,3578,null,728235,null,9447,null,24940,null,2796,null,183620,null,5369,null,208022,null,5987,null,127393,null,2673,null,54547,null,2940,null,63815,null,4356,null,33797,null,3172,null,32101,null,2571,null,204053,null,8564,null,30156,null,2423,null,24310,null,2747,null,23045,null,2467,null,16818,null,2190,null,27049,null,2299,null,40976,null,4653,null,21159,null,2521,null,20540,null,2225,null,2443947,null,9020,null,30540,null,2813,null,6021,null,1438,null,5882,null,1696,null,5523,null,1288,null,21054,null,2288,null,118207,null,4285,null,348431,null,4328,null,1908289,null,4121,null,0400000US09,Connecticut,09
836991,null,1923,null,177478,null,4495,null,5051,null,1180,null,41947,null,2541,null,43127,null,2291,null,29264,null,1193,null,17425,null,1508,null,20039,null,2505,null,10676,null,1839,null,9949,null,1590,null,47997,null,4185,null,6156,null,1177,null,11673,null,1716,null,10206,null,1696,null,5338,null,1148,null,2534,null,1144,null,4102,null,1103,null,2355,null,760,null,5633,null,1167,null,611516,null,4265,null,12494,null,1705,null,2409,null,700,null,1022,null,565,null,1338,null,641,null,6414,null,1257,null,34641,null,2457,null,94988,null,2137,null,458210,null,2133,null,0400000US10,Delaware,10
570088,null,1645,null,88142,null,4074,null,6448,null,1345,null,21868,null,2566,null,22011,null,2014,null,14112,null,1055,null,6708,null,1175,null,5727,null,1437,null,5386,null,1278,null,5882,null,1207,null,65973,null,4433,null,4309,null,1163,null,5403,null,1204,null,6624,null,1435,null,3940,null,817,null,14118,null,1848,null,16568,null,2802,null,10948,null,1770,null,4063,null,1085,null,415973,null,4189,null,3858,null,1293,null,293,null,297,null,238,null,298,null,1122,null,660,null,4114,null,937,null,28859,null,2595,null,92022,null,2269,null,285467,null,1610,null,0400000US11,District of Columbia,11
17645147,null,10858,null,3514203,null,24302,null,112045,null,5874,null,851143,null,13411,null,956372,null,15321,null,590037,null,5823,null,277856,null,7196,null,358682,null,9139,null,196558,null,7757,null,171510,null,6822,null,785597,null,22232,null,123501,null,6487,null,149687,null,5684,null,138256,null,7584,null,75979,null,4481,null,50259,null,5223,null,86891,null,6518,null,74612,null,5203,null,86412,null,5027,null,13345347,null,20786,null,221198,null,7765,null,47709,null,4285,null,22144,null,3446,null,32122,null,3413,null,150621,null,6792,null,701233,null,10033,null,1988372,null,11763,null,10181948,null,12268,null,0400000US12,Florida,12
