B18101I_001E,B18101I_001EA,B18101I_001M,B18101I_001MA,B18101I_002E,B18101I_002EA,B18101I_002M,B18101I_002MA,B18101I_003E,B18101I_003EA,B18101I_003M,B18101I_003MA,B18101I_004E,B18101I_004EA,B18101I_004M,B18101I_004MA,B18101I_005E,B18101I_005EA,B18101I_005M,B18101I_005MA,B18101I_006E,B18101I_006EA,B18101I_006M,B18101I_006MA,B18101I_007E,B18101I_007EA,B18101I_007M,B18101I_007MA,B18101I_008E,B18101I_008EA,B18101I_008M,B18101I_008MA,B18101I_009E,B18101I_009EA,B18101I_009M,B18101I_009MA,B18101I_010E,B18101I_010EA,B18101I_010M,B18101I_010MA,GEO_ID,NAME,state
128088,null,1936,null,51494,null,1387,null,1304,null,659,null,50190,null,1481,null,72487,null,2360,null,5323,null,1344,null,67164,null,2335,null,4107,null,970,null,1396,null,525,null,2711,null,823,null,0400000US01,Alabama,01
38930,null,1964,null,15377,null,584,null,466,null,384,null,14911,null,702,null,22158,null,1942,null,2411,null,783,null,19747,null,1968,null,1395,null,544,null,578,null,318,null,817,null,473,null,0400000US02,Alaska,02
1929060,null,2495,null,733004,null,806,null,23731,null,3137,null,709273,null,3215,null,1100952,null,2283,null,89962,null,5891,null,1010990,null,6657,null,95104,null,1073,null,41282,null,2815,null,53822,null,2622,null,0400000US04,Arizona,04
155686,null,1845,null,65195,null,1503,null,2149,null,671,null,63046,null,1605,null,87678,null,1586,null,7298,null,1418,null,80380,null,2171,null,2813,null,935,null,665,null,406,null,2148,null,838,null,0400000US05,Arkansas,05
13288802,null,6458,null,4647275,null,1702,null,127052,null,6272,null,4520223,null,6264,null,7943817,null,5843,null,562953,null,13403,null,7380864,null,15251,null,697710,null,2544,null,294082,null,7264,null,403628,null,7997,null,0400000US06,California,06
979532,null,1725,null,353376,null,646,null,8914,null,1859,null,344462,null,1941,null,576964,null,1982,null,49559,null,3846,null,527405,null,4306,null,49192,null,1305,null,18908,null,1675,null,30284,null,1778,null,0400000US08,Colorado,08
411169,null,903,null,140299,null,61,null,6308,null,1406,null,133991,null,1431,null,251644,null,859,null,25908,null,2702,null,225736,null,2770,null,19226,null,642,null,7699,null,1360,null,11527,null,1186,null,0400000US09,Connecticut,09
58285,null,334,null,23378,null,8,null,1875,null,750,null,21503,null,749,null,33175,null,755,null,3336,null,977,null,29839,null,1323,null,1732,null,683,null,430,null,256,null,1302,null,671,null,0400000US10,Delaware,10
49968,null,640,null,12499,null,4,null,111,null,137,null,12388,null,138,null,34712,null,616,null,1530,null,715,null,33182,null,961,null,2757,null,105,null,642,null,361,null,2115,null,378,null,0400000US11,District of Columbia,11
3789522,null,4619,null,1009224,null,4779,null,33305,null,2889,null,975919,null,5978,null,2378434,null,5898,null,182862,null,8552,null,2195572,null,9992,null,401864,null,3318,null,156568,null,6411,null,245296,null,6370,null,0400000US12,Florida,12
