C08412_001E,C08412_001EA,C08412_001M,C08412_001MA,C08412_002E,C08412_002EA,C08412_002M,C08412_002MA,C08412_003E,C08412_003EA,C08412_003M,C08412_003MA,C08412_004E,C08412_004EA,C08412_004M,C08412_004MA,C08412_005E,C08412_005EA,C08412_005M,C08412_005MA,C08412_006E,C08412_006EA,C08412_006M,C08412_006MA,C08412_007E,C08412_007EA,C08412_007M,C08412_007MA,C08412_008E,C08412_008EA,C08412_008M,C08412_008MA,C08412_009E,C08412_009EA,C08412_009M,C08412_009MA,C08412_010E,C08412_010EA,C08412_010M,C08412_010MA,C08412_011E,C08412_011EA,C08412_011M,C08412_011MA,C08412_012E,C08412_012EA,C08412_012M,C08412_012MA,C08412_013E,C08412_013EA,C08412_013M,C08412_013MA,C08412_014E,C08412_014EA,C08412_014M,C08412_014MA,C08412_015E,C08412_015EA,C08412_015M,C08412_015MA,C08412_016E,C08412_016EA,C08412_016M,C08412_016MA,C08412_017E,C08412_017EA,C08412_017M,C08412_017MA,C08412_018E,C08412_018EA,C08412_018M,C08412_018MA,C08412_019E,C08412_019EA,C08412_019M,C08412_019MA,C08412_020E,C08412_020EA,C08412_020M,C08412_020MA,C08412_021E,C08412_021EA,C08412_021M,C08412_021MA,C08412_022E,C08412_022EA,C08412_022M,C08412_022MA,C08412_023E,C08412_023EA,C08412_023M,C08412_023MA,C08412_024E,C08412_024EA,C08412_024M,C08412_024MA,C08412_025E,C08412_025EA,C08412_025M,C08412_025MA,C08412_026E,C08412_026EA,C08412_026M,C08412_026MA,C08412_027E,C08412_027EA,C08412_027M,C08412_027MA,C08412_028E,C08412_028EA,C08412_028M,C08412_028MA,C08412_029E,C08412_029EA,C08412_029M,C08412_029MA,C08412_030E,C08412_030EA,C08412_030M,C08412_030MA,GEO_ID,NAME,state
1971857,null,15967,null,278348,null,9287,null,294306,null,9796,null,333747,null,8861,null,302851,null,8342,null,122746,null,6676,null,275957,null,7060,null,112602,null,5800,null,135503,null,6168,null,115797,null,6348,null,1048711,null,10370,null,138759,null,6306,null,143851,null,5776,null,167139,null,5934,null,158260,null,6365,null,64178,null,4492,null,154660,null,6187,null,63368,null,4898,null,79226,null,4491,null,79270,null,4503,null,923146,null,11103,null,139589,null,6186,null,150455,null,6033,null,166608,null,5698,null,144591,null,5677,null,58568,null,4352,null,121297,null,5043,null,49234,null,3309,null,56277,null,3916,null,36527,null,3409,null,0400000US01,Alabama,01
326774,null,5308,null,86049,null,4624,null,62642,null,4025,null,62326,null,4254,null,43094,null,3292,null,14244,null,2256,null,23292,null,2575,null,8852,null,1354,null,11268,null,2066,null,15007,null,1913,null,181175,null,4311,null,46426,null,2793,null,34766,null,2766,null,33518,null,3111,null,23182,null,2460,null,8315,null,1882,null,12558,null,1891,null,4725,null,1187,null,7122,null,1570,null,10563,null,1580,null,145599,null,3048,null,39623,null,3155,null,27876,null,2591,null,28808,null,2583,null,19912,null,2096,null,5929,null,1219,null,10734,null,1585,null,4127,null,925,null,4146,null,999,null,4444,null,1057,null,0400000US02,Alaska,02
2732805,null,18101,null,344829,null,10514,null,382018,null,12002,null,420602,null,11830,null,412042,null,11836,null,166195,null,6027,null,435981,null,14463,null,184523,null,7677,null,208066,null,8416,null,178549,null,7626,null,1513018,null,12509,null,166588,null,7315,null,189771,null,8546,null,223055,null,8571,null,234226,null,9182,null,94180,null,5019,null,263021,null,10421,null,109619,null,6147,null,118924,null,5776,null,113634,null,6507,null,1219787,null,13076,null,178241,null,7360,null,192247,null,7769,null,197547,null,8199,null,177816,null,7924,null,72015,null,4168,null,172960,null,7374,null,74904,null,4271,null,89142,null,5411,null,64915,null,4668,null,0400000US04,Arizona,04
1216968,null,11941,null,236956,null,7451,null,212064,null,7990,null,213535,null,7436,null,168538,null,6437,null,62361,null,3967,null,142864,null,7163,null,51386,null,3283,null,67752,null,4541,null,61512,null,4271,null,646662,null,9159,null,115055,null,5449,null,108829,null,5880,null,111795,null,4476,null,84820,null,4882,null,32705,null,3126,null,81800,null,5246,null,29187,null,2594,null,40037,null,3660,null,42434,null,3298,null,570306,null,7847,null,121901,null,5610,null,103235,null,4688,null,101740,null,5459,null,83718,null,4322,null,29656,null,2604,null,61064,null,3979,null,22199,null,2059,null,27715,null,2390,null,19078,null,2308,null,0400000US05,Arkansas,05
16005840,null,47258,null,1822527,null,24792,null,2221017,null,24547,null,2506111,null,27086,null,2322447,null,26771,null,892883,null,15929,null,2353608,null,28432,null,1025799,null,17761,null,1255504,null,19922,null,1605944,null,25097,null,8929576,null,31971,null,906260,null,16819,null,1153696,null,16612,null,1320664,null,20778,null,1288328,null,19336,null,497076,null,12828,null,1370698,null,19945,null,598961,null,14193,null,761709,null,15930,null,1032184,null,21438,null,7076264,null,31396,null,916267,null,17347,null,1067321,null,18493,null,1185447,null,16184,null,1034119,null,18525,null,395807,null,10278,null,982910,null,17863,null,426838,null,10920,null,493795,null,12781,null,573760,null,13472,null,0400000US06,California,06
2379275,null,14409,null,351023,null,10451,null,336089,null,10310,null,355610,null,9338,null,358394,null,9594,null,172179,null,6351,null,325748,null,9594,null,150298,null,6727,null,181574,null,8021,null,148360,null,7195,null,1315991,null,10457,null,174291,null,7187,null,172215,null,6757,null,191877,null,6513,null,195107,null,6752,null,92963,null,4909,null,188486,null,6981,null,90313,null,5391,null,109880,null,6441,null,100859,null,5867,null,1063284,null,10309,null,176732,null,6280,null,163874,null,6723,null,163733,null,6368,null,163287,null,6017,null,79216,null,4127,null,137262,null,5481,null,59985,null,3728,null,71694,null,4405,null,47501,null,3613,null,0400000US08,Colorado,08
1664618,null,14284,null,227669,null,8057,null,254158,null,8066,null,261483,null,8543,null,275948,null,8436,null,108530,null,4817,null,205483,null,7447,null,111961,null,5301,null,113526,null,5349,null,105860,null,5146,null,870124,null,10279,null,107765,null,5410,null,123132,null,6075,null,126601,null,6019,null,146886,null,6137,null,56312,null,3440,null,110669,null,5033,null,63029,null,3894,null,67896,null,4154,null,67834,null,4464,null,794494,null,9400,null,119904,null,5346,null,131026,null,5107,null,134882,null,5170,null,129062,null,5240,null,52218,null,3587,null,94814,null,5320,null,48932,null,3364,null,45630,null,3359,null,38026,null,2627,null,0400000US09,Connecticut,09
413321,null,7558,null,49543,null,3416,null,63379,null,4261,null,68638,null,4557,null,67221,null,3893,null,27994,null,2462,null,52738,null,3629,null,27811,null,2568,null,29643,null,2718,null,26354,null,2845,null,214854,null,5310,null,25100,null,2367,null,30733,null,3286,null,35129,null,3203,null,33749,null,2484,null,14413,null,2116,null,26706,null,2663,null,15253,null,1804,null,18562,null,2382,null,15209,null,1957,null,198467,null,4587,null,24443,null,2161,null,32646,null,2896,null,33509,null,2761,null,33472,null,3109,null,13581,null,1469,null,26032,null,2699,null,12558,null,1745,null,11081,null,1581,null,11145,null,1683,null,0400000US10,Delaware,10
742732,null,11897,null,21078,null,2683,null,30916,null,2935,null,51841,null,3933,null,75590,null,4781,null,41965,null,3216,null,131463,null,5972,null,85461,null,5026,null,124668,null,5496,null,179750,null,6637,null,382304,null,9055,null,10500,null,1764,null,16531,null,2298,null,25889,null,2815,null,40657,null,2937,null,25168,null,2458,null,65431,null,3665,null,43452,null,3366,null,63914,null,3946,null,90762,null,4428,null,360428,null,8174,null,10578,null,2046,null,14385,null,1691,null,25952,null,2709,null,34933,null,3226,null,16797,null,2228,null,66032,null,3761,null,42009,null,3416,null,60754,null,3299,null,88988,null,5299,null,0400000US11,District of Columbia,11
7852234,null,29413,null,848142,null,17067,null,1043725,null,20340,null,1212158,null,17385,null,1249579,null,22986,null,500948,null,14855,null,1271548,null,25353,null,546373,null,11688,null,628055,null,14797,null,551706,null,16171,null,4144401,null,22604,null,419746,null,11842,null,517441,null,11834,null,603761,null,11777,null,654579,null,17121,null,256566,null,10594,null,692299,null,16396,null,297533,null,9617,null,358461,null,10940,null,344015,null,13602,null,3707833,null,21265,null,428396,null,11572,null,526284,null,12990,null,608397,null,13651,null,595000,null,13643,null,244382,null,7747,null,579249,null,14891,null,248840,null,7185,null,269594,null,9507,null,207691,null,7391,null,0400000US12,Florida,12
4289897,null,24623,null,487070,null,12766,null,573381,null,12244,null,660195,null,15108,null,623903,null,14340,null,267320,null,8544,null,616015,null,16100,null,282161,null,10258,null,381816,null,12140,null,398036,null,13205,null,2280636,null,17819,null,240164,null,9307,null,284275,null,9805,null,333659,null,10562,null,320051,null,10015,null,142158,null,7433,null,340368,null,11852,null,160688,null,7928,null,216810,null,8710,null,242463,null,9336,null,2009261,null,16592,null,246906,null,9349,null,289106,null,8907,null,326536,null,8917,null,303852,null,9627,null,125162,null,5895,null,275647,null,9158,null,121473,null,5457,null,165006,null,7511,null,155573,null,7720,null,0400000US13,Georgia,13
627341,null,8295,null,75865,null,4893,null,82254,null,4504,null,92452,null,5629,null,85893,null,5656,null,35964,null,2792,null,110184,null,6137,null,39019,null,3164,null,51526,null,4022,null,54184,null,4383,null,342744,null,5096,null,38804,null,2788,null,42904,null,3368,null,50291,null,4193,null,48637,null,3571,null,20147,null,2111,null,61605,null,3553,null,21097,null,2125,null,27705,null,2500,null,31554,null,2886,null,284597,null,5554,null,37061,null,3046,null,39350,null,3260,null,42161,null,3002,null,37256,null,3338,null,15817,null,1912,null,48579,null,4207,null,17922,null,1903,null,23821,null,2574,null,22630,null,2761,null,0400000US15,Hawaii,15
659704,null,7885,null,150490,null,5900,null,128755,null,6160,null,120806,null,6388,null,84841,null,4828,null,30096,null,2955,null,59973,null,4291,null,24419,null,2205,null,29782,null,2630,null,30542,null,2656,null,365558,null,6294,null,81479,null,4247,null,65841,null,4244,null,66815,null,4743,null,45916,null,3716,null,17556,null,1881,null,33745,null,3042,null,13970,null,1625,null,18697,null,2081,null,21539,null,2186,null,294146,null,5969,null,69011,null,3671,null,62914,null,4114,null,53991,null,3596,null,38925,null,2767,null,12540,null,1842,null,26228,null,2642,null,10449,null,1652,null,11085,null,1555,null,9003,null,1304,null,0400000US16,Idaho,16
5954531,null,28488,null,757838,null,15228,null,763744,null,15351,null,780359,null,14566,null,747040,null,13622,null,320052,null,9624,null,821007,null,15602,null,462850,null,9165,null,578782,null,13545,null,722859,null,14541,null,3181483,null,17271,null,363394,null,10149,null,378825,null,9841,null,400444,null,10491,null,386051,null,8971,null,167924,null,6963,null,457401,null,11597,null,262160,null,7525,null,336734,null,10062,null,428550,null,10143,null,2773048,null,20515,null,394444,null,8653,null,384919,null,10650,null,379915,null,9140,null,360989,null,9730,null,152128,null,5810,null,363606,null,10142,null,200690,null,6247,null,242048,null,9116,null,294309,null,9189,null,0400000US17,Illinois,17
2876541,null,18658,null,475320,null,9961,null,460019,null,11576,null,479665,null,10952,null,443218,null,9765,null,196210,null,6953,null,331279,null,9169,null,175117,null,5937,null,168428,null,6621,null,147285,null,6530,null,1519478,null,11403,null,228555,null,6008,null,227525,null,8331,null,242680,null,7065,null,231929,null,7249,null,104197,null,5012,null,181620,null,6920,null,100795,null,4672,null,104464,null,4847,null,97713,null,5322,null,1357063,null,13512,null,246765,null,7432,null,232494,null,6304,null,236985,null,7712,null,211289,null,7329,null,92013,null,4448,null,149659,null,5996,null,74322,null,4054,null,63964,null,4160,null,49572,null,3170,null,0400000US18,Indiana,18
1497131,null,10537,null,381567,null,9638,null,288398,null,8218,null,252241,null,6689,null,206589,null,6162,null,81901,null,3708,null,124687,null,5156,null,58507,null,3341,null,53543,null,2738,null,49698,null,3426,null,793096,null,8370,null,193153,null,6769,null,147173,null,6429,null,136080,null,4945,null,105707,null,4418,null,43918,null,2759,null,69478,null,3991,null,32726,null,2221,null,31729,null,2085,null,33132,null,2707,null,704035,null,7945,null,188414,null,5730,null,141225,null,5437,null,116161,null,3880,null,100882,null,4075,null,37983,null,2620,null,55209,null,3536,null,25781,null,2138,null,21814,null,1895,null,16566,null,1851,null,0400000US19,Iowa,19
1390582,null,10400,null,329710,null,8105,null,245582,null,7223,null,235989,null,6994,null,200602,null,6176,null,79586,null,4706,null,131930,null,5753,null,59477,null,3424,null,57367,null,3819,null,50339,null,3051,null,748879,null,7592,null,162267,null,5704,null,127372,null,4964,null,126535,null,5213,null,108316,null,4551,null,44561,null,3524,null,75446,null,4340,null,34359,null,2664,null,34309,null,2508,null,35714,null,2942,null,641703,null,7602,null,167443,null,5197,null,118210,null,4805,null,109454,null,4276,null,92286,null,4343,null,35025,null,3344,null,56484,null,3430,null,25118,null,2224,null,23058,null,2507,null,14625,null,1518,null,0400000US20,Kansas,20
1839792,null,15652,null,292476,null,10189,null,294645,null,8337,null,316024,null,7871,null,298750,null,8584,null,117873,null,5617,null,220414,null,7732,null,96600,null,5002,null,104744,null,5221,null,98266,null,4648,null,970242,null,9160,null,146903,null,7049,null,141773,null,5486,null,155824,null,5835,null,154241,null,5907,null,62040,null,3808,null,126287,null,5436,null,55426,null,3770,null,61924,null,3832,null,65824,null,3592,null,869550,null,11412,null,145573,null,6286,null,152872,null,6273,null,160200,null,5321,null,144509,null,5222,null,55833,null,3890,null,94127,null,5155,null,41174,null,3300,null,42820,null,3290,null,32442,null,2710,null,0400000US21,Kentucky,21
1929733,null,16173,null,291795,null,10073,null,300271,null,9483,null,321900,null,10163,null,276956,null,9046,null,101389,null,5521,null,251296,null,10010,null,97032,null,5029,null,129570,null,5416,null,159524,null,6779,null,1025305,null,11761,null,141749,null,7736,null,145211,null,7076,null,156106,null,6946,null,139300,null,6520,null,51938,null,3466,null,139518,null,7100,null,55572,null,4256,null,76167,null,4268,null,119744,null,5620,null,904428,null,10811,null,150046,null,6555,null,155060,null,6855,null,165794,null,6661,null,137656,null,5935,null,49451,null,3984,null,111778,null,5776,null,41460,null,3338,null,53403,null,3353,null,39780,null,3351,null,0400000US22,Louisiana,22
599585,null,8718,null,125461,null,6088,null,90847,null,4388,null,87664,null,4577,null,82528,null,4983,null,33670,null,2975,null,69711,null,3840,null,33802,null,3057,null,40246,null,3196,null,35656,null,3086,null,308050,null,5337,null,59608,null,3543,null,44876,null,2776,null,45844,null,3167,null,39742,null,3439,null,17644,null,1814,null,35864,null,2638,null,16552,null,1862,null,23623,null,2208,null,24297,null,2403,null,291535,null,5552,null,65853,null,4142,null,45971,null,2856,null,41820,null,2985,null,42786,null,3171,null,16026,null,2083,null,33847,null,2608,null,17250,null,2170,null,16623,null,1987,null,11359,null,1624,null,0400000US23,Maine,23
2520882,null,20786,null,235084,null,8752,null,290024,null,8540,null,344686,null,9359,null,359307,null,8920,null,167092,null,6212,null,384210,null,10241,null,204932,null,8287,null,255923,null,9252,null,279624,null,9527,null,1297871,null,13989,null,113663,null,5511,null,137363,null,6102,null,164430,null,5556,null,175415,null,5754,null,87831,null,4817,null,203457,null,8113,null,112111,null,5091,null,137661,null,7329,null,165940,null,6942,null,1223011,null,13598,null,121421,null,6110,null,152661,null,6282,null,180256,null,7254,null,183892,null,6923,null,79261,null,4832,null,180753,null,7019,null,92821,null,6080,null,118262,null,5444,null,113684,null,5413,null,0400000US24,Maryland,24
3251834,null,17957,null,396955,null,11118,null,422454,null,11862,null,433402,null,10461,null,439712,null,11153,null,192207,null,7362,null,444529,null,11661,null,261451,null,8085,null,316891,null,10423,null,344233,null,8921,null,1680965,null,12839,null,183733,null,7434,null,194685,null,8220,null,213311,null,8065,null,217130,null,7871,null,98594,null,5382,null,240052,null,8163,null,143997,null,5735,null,178828,null,7206,null,210635,null,6945,null,1570869,null,13069,null,213222,null,8510,null,227769,null,7002,null,220091,null,6986,null,222582,null,6867,null,93613,null,4691,null,204477,null,7458,null,117454,null,5348,null,138063,null,5919,null,133598,null,5286,null,0400000US25,Massachusetts,25
4256285,null,19204,null,632183,null,13585,null,635163,null,11619,null,679073,null,12066,null,664859,null,12634,null,289523,null,9054,null,531842,null,11899,null,272164,null,8495,null,298273,null,7920,null,253205,null,8096,null,2217121,null,12574,null,299061,null,8449,null,303300,null,7804,null,337548,null,8244,null,337611,null,8018,null,148470,null,5765,null,291021,null,7739,null,155846,null,6332,null,177449,null,5778,null,166815,null,5960,null,2039164,null,14523,null,333122,null,9255,null,331863,null,8085,null,341525,null,8116,null,327248,null,9704,null,141053,null,5855,null,240821,null,7301,null,116318,null,5004,null,120824,null,5431,null,86390,null,4629,null,0400000US26,Michigan,26
2662419,null,13056,null,476194,null,9786,null,408654,null,9267,null,410854,null,9345,null,389392,null,10016,null,185923,null,5538,null,313183,null,7912,null,166175,null,5541,null,169770,null,5653,null,142274,null,5195,null,1393536,null,8665,null,237065,null,6423,null,206303,null,6715,null,205185,null,6177,null,202925,null,6582,null,99865,null,4071,null,168143,null,5555,null,91819,null,4043,null,94562,null,4360,null,87669,null,4002,null,1268883,null,9728,null,239129,null,7343,null,202351,null,5290,null,205669,null,6006,null,186467,null,6237,null,86058,null,3687,null,145040,null,5454,null,74356,null,3761,null,75208,null,3747,null,54605,null,2960,null,0400000US27,Minnesota,27
1171402,null,13315,null,201284,null,8155,null,189071,null,8016,null,198115,null,8806,null,165633,null,6273,null,66692,null,4936,null,157070,null,7846,null,53709,null,4545,null,70011,null,4981,null,69817,null,4920,null,606973,null,10035,null,101025,null,5320,null,89162,null,5371,null,97043,null,5823,null,80374,null,4171,null,32347,null,3179,null,87991,null,5450,null,29292,null,3024,null,39870,null,3347,null,49869,null,4133,null,564429,null,8410,null,100259,null,5301,null,99909,null,4650,null,101072,null,6178,null,85259,null,4449,null,34345,null,3285,null,69079,null,5168,null,24417,null,2835,null,30141,null,3286,null,19948,null,2411,null,0400000US28,Mississippi,28
2775403,null,15340,null,438659,null,11214,null,395421,null,10175,null,425805,null,10475,null,406682,null,9880,null,197368,null,6709,null,372274,null,8674,null,183217,null,7334,null,201321,null,7982,null,154656,null,5707,null,1435828,null,10227,null,207841,null,6683,null,189624,null,7180,null,211364,null,7323,null,205071,null,5907,null,103121,null,4843,null,200584,null,6571,null,103151,null,5592,null,117461,null,5569,null,97611,null,4903,null,1339575,null,11678,null,230818,null,7753,null,205797,null,7392,null,214441,null,7132,null,201611,null,7474,null,94247,null,4455,null,171690,null,6113,null,80066,null,4225,null,83860,null,4950,null,57045,null,3025,null,0400000US29,Missouri,29
445133,null,7329,null,121604,null,5395,null,94266,null,4768,null,79346,null,4109,null,52607,null,3885,null,18795,null,2332,null,33748,null,3022,null,11848,null,1919,null,14384,null,1821,null,18535,null,2224,null,239403,null,4768,null,61610,null,3104,null,49227,null,3590,null,42478,null,2896,null,27371,null,2903,null,10609,null,1625,null,19927,null,2347,null,6438,null,1318,null,8499,null,1276,null,13244,null,1922,null,205730,null,4467,null,59994,null,3407,null,45039,null,2905,null,36868,null,2878,null,25236,null,2371,null,8186,null,1440,null,13821,null,1810,null,5410,null,1291,null,5885,null,1006,null,5291,null,1111,null,0400000US30,Montana,30
