B18101F_001E,B18101F_001EA,B18101F_001M,B18101F_001MA,B18101F_002E,B18101F_002EA,B18101F_002M,B18101F_002MA,B18101F_003E,B18101F_003EA,B18101F_003M,B18101F_003MA,B18101F_004E,B18101F_004EA,B18101F_004M,B18101F_004MA,B18101F_005E,B18101F_005EA,B18101F_005M,B18101F_005MA,B18101F_006E,B18101F_006EA,B18101F_006M,B18101F_006MA,B18101F_007E,B18101F_007EA,B18101F_007M,B18101F_007MA,B18101F_008E,B18101F_008EA,B18101F_008M,B18101F_008MA,B18101F_009E,B18101F_009EA,B18101F_009M,B18101F_009MA,B18101F_010E,B18101F_010EA,B18101F_010M,B18101F_010MA,GEO_ID,NAME,state
32979,null,4923,null,13603,null,2559,null,696,null,494,null,12907,null,2481,null,19196,null,2953,null,1182,null,685,null,18014,null,2982,null,180,null,190,null,180,null,190,null,0,null,271,null,0400000US01,Alabama,01
7920,null,2008,null,2555,null,1020,null,42,null,74,null,2513,null,987,null,5092,null,1317,null,680,null,407,null,4412,null,1125,null,273,null,298,null,164,null,196,null,109,null,131,null,0400000US02,Alaska,02
435536,null,23720,null,154167,null,11347,null,4594,null,1140,null,149573,null,11197,null,263292,null,13703,null,25487,null,3409,null,237805,null,13054,null,18077,null,2649,null,8075,null,1756,null,10002,null,1898,null,0400000US04,Arizona,04
61396,null,5619,null,25020,null,3414,null,1140,null,706,null,23880,null,3307,null,35599,null,3162,null,3444,null,1120,null,32155,null,3176,null,777,null,484,null,217,null,219,null,560,null,360,null,0400000US05,Arkansas,05
5149917,null,63903,null,1726269,null,26970,null,43600,null,4176,null,1682669,null,26036,null,3211185,null,41081,null,201558,null,9450,null,3009627,null,38133,null,212463,null,8090,null,89008,null,5640,null,123455,null,6239,null,0400000US06,California,06
225690,null,13683,null,77595,null,7001,null,1968,null,839,null,75627,null,6904,null,138873,null,8513,null,11814,null,2262,null,127059,null,8209,null,9222,null,1488,null,3589,null,706,null,5633,null,1293,null,0400000US08,Colorado,08
155035,null,10192,null,49110,null,4962,null,3114,null,1195,null,45996,null,4640,null,100828,null,6998,null,12710,null,1996,null,88118,null,6723,null,5097,null,1008,null,2072,null,820,null,3025,null,977,null,0400000US09,Connecticut,09
15224,null,3351,null,5714,null,1706,null,248,null,158,null,5466,null,1702,null,9240,null,1986,null,715,null,563,null,8525,null,1724,null,270,null,264,null,71,null,123,null,199,null,232,null,0400000US10,Delaware,10
18284,null,3711,null,5323,null,1550,null,66,null,109,null,5257,null,1544,null,12347,null,2575,null,380,null,435,null,11967,null,2445,null,614,null,413,null,175,null,231,null,439,null,373,null,0400000US11,District of Columbia,11
473864,null,23841,null,142100,null,11447,null,6919,null,1591,null,135181,null,11099,null,308439,null,15085,null,21372,null,2894,null,287067,null,14497,null,23325,null,3173,null,9447,null,1735,null,13878,null,2348,null,0400000US12,Florida,12
340599,null,18442,null,133652,null,8884,null,4475,null,1896,null,129177,null,8206,null,202498,null,11781,null,10485,null,2321,null,192013,null,10953,null,4449,null,1328,null,1665,null,910,null,2784,null,956,null,0400000US13,Georgia,13
14935,null,3393,null,4825,null,1946,null,0,null,275,null,4825,null,1946,null,9398,null,1944,null,663,null,327,null,8735,null,1860,null,712,null,281,null,298,null,208,null,414,null,249,null,0400000US15,Hawaii,15
27554,null,4107,null,9328,null,1964,null,646,null,518,null,8682,null,1822,null,16964,null,2523,null,1971,null,791,null,14993,null,2463,null,1262,null,559,null,425,null,253,null,837,null,481,null,0400000US16,Idaho,16
835858,null,29338,null,284359,null,14299,null,6889,null,1861,null,277470,null,14000,null,523536,null,16871,null,32599,null,4228,null,490937,null,15981,null,27963,null,3133,null,12666,null,2399,null,15297,null,2384,null,0400000US17,Illinois,17
134225,null,8270,null,50311,null,3957,null,1639,null,629,null,48672,null,3851,null,80106,null,5440,null,5480,null,1487,null,74626,null,5014,null,3808,null,1275,null,1128,null,624,null,2680,null,1093,null,0400000US18,Indiana,18
39098,null,4903,null,14358,null,2384,null,412,null,305,null,13946,null,2385,null,24129,null,3029,null,1615,null,652,null,22514,null,2922,null,611,null,394,null,157,null,176,null,454,null,306,null,0400000US19,Iowa,19
68283,null,7125,null,23867,null,3347,null,478,null,253,null,23389,null,3307,null,42072,null,4614,null,2578,null,1035,null,39494,null,4386,null,2344,null,807,null,661,null,462,null,1683,null,698,null,0400000US20,Kansas,20
33402,null,3985,null,14278,null,2368,null,803,null,488,null,13475,null,2237,null,18504,null,2447,null,1513,null,766,null,16991,null,2342,null,620,null,443,null,287,null,298,null,333,null,366,null,0400000US21,Kentucky,21
