C17023_001E,C17023_001EA,C17023_001M,C17023_001MA,C17023_002E,C17023_002EA,C17023_002M,C17023_002MA,C17023_003E,C17023_003EA,C17023_003M,C17023_003MA,C17023_004E,C17023_004EA,C17023_004M,C17023_004MA,C17023_005E,C17023_005EA,C17023_005M,C17023_005MA,C17023_006E,C17023_006EA,C17023_006M,C17023_006MA,C17023_007E,C17023_007EA,C17023_007M,C17023_007MA,C17023_008E,C17023_008EA,C17023_008M,C17023_008MA,C17023_009E,C17023_009EA,C17023_009M,C17023_009MA,C17023_010E,C17023_010EA,C17023_010M,C17023_010MA,C17023_011E,C17023_011EA,C17023_011M,C17023_011MA,C17023_012E,C17023_012EA,C17023_012M,C17023_012MA,C17023_013E,C17023_013EA,C17023_013M,C17023_013MA,C17023_014E,C17023_014EA,C17023_014M,C17023_014MA,C17023_015E,C17023_015EA,C17023_015M,C17023_015MA,C17023_016E,C17023_016EA,C17023_016M,C17023_016MA,C17023_017E,C17023_017EA,C17023_017M,C17023_017MA,C17023_018E,C17023_018EA,C17023_018M,C17023_018MA,C17023_019E,C17023_019EA,C17023_019M,C17023_019MA,C17023_020E,C17023_020EA,C17023_020M,C17023_020MA,C17023_021E,C17023_021EA,C17023_021M,C17023_021MA,C17023_022E,C17023_022EA,C17023_022M,C17023_022MA,C17023_023E,C17023_023EA,C17023_023M,C17023_023MA,GEO_ID,NAME,state
1216612,null,11381,null,146323,null,5371,null,45070,null,3943,null,21385,null,2222,null,23685,null,2881,null,101253,null,4694,null,12056,null,2130,null,5381,null,1431,null,6675,null,1622,null,89197,null,4477,null,22109,null,2425,null,67088,null,3874,null,1070289,null,11368,null,841575,null,10754,null,513499,null,7351,null,328076,null,9171,null,228714,null,7852,null,59689,null,3966,null,34593,null,2638,null,25096,null,2595,null,169025,null,6589,null,89944,null,4534,null,79081,null,4701,null,0400000US01,Alabama,01
157273,null,3920,null,8981,null,1336,null,2280,null,554,null,755,null,395,null,1525,null,424,null,6701,null,1218,null,1875,null,672,null,248,null,186,null,1627,null,639,null,4826,null,1031,null,456,null,216,null,4370,null,1008,null,148292,null,3868,null,113901,null,3841,null,61201,null,2539,null,52700,null,3241,null,34391,null,2960,null,14138,null,1813,null,5997,null,1112,null,8141,null,1483,null,20253,null,2261,null,7068,null,1194,null,13185,null,1960,null,0400000US02,Alaska,02
1489192,null,13955,null,153967,null,7266,null,62919,null,4524,null,24604,null,2766,null,38315,null,3795,null,91048,null,5431,null,16260,null,2417,null,4924,null,1165,null,11336,null,2202,null,74788,null,4573,null,13875,null,2182,null,60913,null,4046,null,1335225,null,13296,null,1044681,null,12716,null,624008,null,9442,null,420673,null,9256,null,290544,null,8142,null,100347,null,5319,null,50308,null,3911,null,50039,null,3675,null,190197,null,5936,null,89601,null,4110,null,100596,null,4546,null,0400000US04,Arizona,04
751956,null,8609,null,97661,null,5087,null,31847,null,2714,null,13650,null,1632,null,18197,null,2261,null,65814,null,4378,null,7416,null,1224,null,2658,null,846,null,4758,null,1023,null,58398,null,4207,null,12315,null,1799,null,46083,null,3698,null,654295,null,9443,null,521241,null,9443,null,329134,null,7047,null,192107,null,6755,null,133054,null,4238,null,38100,null,2902,null,21054,null,2105,null,17046,null,1938,null,94954,null,3991,null,48901,null,2873,null,46053,null,3269,null,0400000US05,Arkansas,05
8265877,null,24391,null,824961,null,17051,null,350161,null,10215,null,104743,null,5671,null,245418,null,7857,null,474800,null,12730,null,91870,null,4849,null,28061,null,2765,null,63809,null,4400,null,382930,null,11237,null,77020,null,4256,null,305910,null,10307,null,7440916,null,26807,null,5633384,null,24928,null,2983668,null,19766,null,2649716,null,20842,null,1807532,null,19617,null,611037,null,15079,null,343189,null,11458,null,267848,null,8852,null,1196495,null,14905,null,611939,null,12272,null,584556,null,13247,null,0400000US06,California,06
1208994,null,12292,null,94833,null,5799,null,42794,null,3810,null,14956,null,2405,null,27838,null,3140,null,52039,null,4170,null,9248,null,1963,null,2532,null,926,null,6716,null,1544,null,42791,null,3384,null,7937,null,1520,null,34854,null,3205,null,1114161,null,12813,null,903865,null,10480,null,511034,null,7989,null,392831,null,8188,null,210296,null,7862,null,70053,null,4108,null,33978,null,2859,null,36075,null,3704,null,140243,null,6356,null,61307,null,3913,null,78936,null,4330,null,0400000US08,Colorado,08
888825,null,8063,null,59375,null,4122,null,14920,null,1976,null,6832,null,1422,null,8088,null,1599,null,44455,null,3583,null,5638,null,1380,null,2113,null,785,null,3525,null,996,null,38817,null,3298,null,7558,null,1136,null,31259,null,3074,null,829450,null,7641,null,653964,null,8040,null,367367,null,5973,null,286597,null,6359,null,175486,null,7258,null,47993,null,3758,null,27942,null,2764,null,20051,null,2130,null,127493,null,6113,null,62919,null,3927,null,64574,null,4667,null,0400000US09,Connecticut,09
222044,null,4500,null,15264,null,2028,null,4575,null,1088,null,1734,null,547,null,2841,null,897,null,10689,null,1745,null,1641,null,801,null,597,null,408,null,1044,null,688,null,9048,null,1567,null,2618,null,913,null,6430,null,1310,null,206780,null,4632,null,158253,null,4041,null,98963,null,2922,null,59290,null,3314,null,48527,null,3404,null,13753,null,1820,null,7118,null,1297,null,6635,null,1451,null,34774,null,2797,null,17073,null,1867,null,17701,null,2518,null,0400000US10,Delaware,10
107365,null,3934,null,14675,null,1923,null,2125,null,895,null,1348,null,691,null,777,null,541,null,12550,null,1842,null,1004,null,562,null,140,null,144,null,864,null,505,null,11546,null,1782,null,3155,null,1001,null,8391,null,1617,null,92690,null,3608,null,52314,null,3165,null,33617,null,2464,null,18697,null,1971,null,40376,null,2455,null,8939,null,1375,null,5536,null,1154,null,3403,null,999,null,31437,null,2517,null,17678,null,1771,null,13759,null,1717,null,0400000US11,District of Columbia,11
4577227,null,27336,null,433289,null,12273,null,175428,null,7483,null,89302,null,5217,null,86126,null,5074,null,257861,null,10672,null,43588,null,4287,null,15160,null,1994,null,28428,null,3530,null,214273,null,8857,null,49149,null,3792,null,165124,null,7255,null,4143938,null,25186,null,3196740,null,23962,null,2060126,null,18697,null,1136614,null,16719,null,947198,null,16879,null,285773,null,10506,null,162107,null,8427,null,123666,null,6450,null,661425,null,12514,null,330113,null,9347,null,331312,null,7588,null,0400000US12,Florida,12
2364041,null,20337,null,262999,null,7965,null,82345,null,4191,null,31818,null,2825,null,50527,null,3629,null,180654,null,7107,null,23174,null,2695,null,9926,null,1789,null,13248,null,2089,null,157480,null,6769,null,40079,null,3160,null,117401,null,6185,null,2101042,null,18593,null,1603092,null,17589,null,894799,null,12688,null,708293,null,11834,null,497950,null,10331,null,134772,null,7592,null,76505,null,5702,null,58267,null,4681,null,363178,null,9321,null,170695,null,6222,null,192483,null,7630,null,0400000US13,Georgia,13
303344,null,5137,null,18161,null,2268,null,7300,null,1457,null,3312,null,842,null,3988,null,1129,null,10861,null,1777,null,1653,null,598,null,592,null,279,null,1061,null,547,null,9208,null,1671,null,2594,null,855,null,6614,null,1508,null,285183,null,5503,null,217030,null,4900,null,130338,null,4641,null,86692,null,3696,null,68153,null,4114,null,23580,null,2296,null,15142,null,1796,null,8438,null,1475,null,44573,null,3362,null,27704,null,2336,null,16869,null,2234,null,0400000US15,Hawaii,15
396253,null,6996,null,37154,null,3469,null,16382,null,2045,null,5872,null,1178,null,10510,null,1758,null,20772,null,2434,null,2678,null,841,null,1117,null,550,null,1561,null,630,null,18094,null,2241,null,2418,null,802,null,15676,null,2171,null,359099,null,6928,null,302116,null,6232,null,168333,null,4280,null,133783,null,4550,null,56983,null,4118,null,20764,null,2505,null,8476,null,1439,null,12288,null,1912,null,36219,null,2838,null,14944,null,1582,null,21275,null,2452,null,0400000US16,Idaho,16
3138757,null,18424,null,283081,null,7657,null,88541,null,3878,null,32491,null,2595,null,56050,null,3249,null,194540,null,7047,null,27404,null,3018,null,9459,null,1704,null,17945,null,2400,null,167136,null,6619,null,34897,null,2843,null,132239,null,5664,null,2855676,null,17850,null,2235252,null,16912,null,1242371,null,13763,null,992881,null,12465,null,620424,null,12998,null,190939,null,7197,null,104338,null,5470,null,86601,null,4670,null,429485,null,9930,null,218522,null,7028,null,210963,null,8060,null,0400000US17,Illinois,17
