C15002I_001E,C15002I_001EA,C15002I_001M,C15002I_001MA,C15002I_002E,C15002I_002EA,C15002I_002M,C15002I_002MA,C15002I_003E,C15002I_003EA,C15002I_003M,C15002I_003MA,C15002I_004E,C15002I_004EA,C15002I_004M,C15002I_004MA,C15002I_005E,C15002I_005EA,C15002I_005M,C15002I_005MA,C15002I_006E,C15002I_006EA,C15002I_006M,C15002I_006MA,C15002I_007E,C15002I_007EA,C15002I_007M,C15002I_007MA,C15002I_008E,C15002I_008EA,C15002I_008M,C15002I_008MA,C15002I_009E,C15002I_009EA,C15002I_009M,C15002I_009MA,C15002I_010E,C15002I_010EA,C15002I_010M,C15002I_010MA,C15002I_011E,C15002I_011EA,C15002I_011M,C15002I_011MA,GEO_ID,NAME,state
62087,null,2306,null,34925,null,2368,null,16258,null,2075,null,8996,null,1899,null,4938,null,1026,null,4733,null,1286,null,27162,null,1373,null,9579,null,1151,null,8954,null,1480,null,4965,null,939,null,3664,null,919,null,0400000US01,Alabama,01
20547,null,1679,null,11292,null,1504,null,2490,null,1274,null,3118,null,969,null,2987,null,1129,null,2697,null,1100,null,9255,null,633,null,1330,null,484,null,2344,null,724,null,3449,null,787,null,2132,null,638,null,0400000US02,Alaska,02
1014101,null,1909,null,527281,null,1251,null,218517,null,7471,null,140796,null,6370,null,118199,null,6471,null,49769,null,4050,null,486820,null,1326,null,190946,null,7018,null,124347,null,5760,null,122914,null,4754,null,48613,null,4248,null,0400000US04,Arizona,04
71905,null,2224,null,39988,null,1735,null,22929,null,2413,null,10303,null,1537,null,4086,null,1135,null,2670,null,966,null,31917,null,1342,null,17900,null,1845,null,6245,null,1487,null,4366,null,874,null,3406,null,788,null,0400000US05,Arkansas,05
7214696,null,2249,null,3706667,null,1855,null,1654740,null,20012,null,903764,null,16857,null,786030,null,14051,null,362133,null,11186,null,3508029,null,1491,null,1489603,null,15219,null,807653,null,15031,null,833830,null,12884,null,376943,null,8895,null,0400000US06,California,06
538344,null,2135,null,285978,null,1866,null,111353,null,4512,null,78441,null,4573,null,65174,null,3944,null,31010,null,3180,null,252366,null,1499,null,85351,null,4597,null,72405,null,3965,null,62323,null,3724,null,32287,null,3083,null,0400000US08,Colorado,08
229911,null,1200,null,113340,null,745,null,38004,null,2766,null,37304,null,3063,null,22458,null,2643,null,15574,null,1856,null,116571,null,857,null,36416,null,2903,null,32366,null,2509,null,29238,null,2741,null,18551,null,2337,null,0400000US09,Connecticut,09
29731,null,259,null,16012,null,286,null,7028,null,1240,null,4576,null,990,null,2470,null,636,null,1938,null,829,null,13719,null,275,null,5312,null,903,null,3785,null,925,null,2375,null,684,null,2247,null,710,null,0400000US10,Delaware,10
32589,null,0,*****,17338,null,0,*****,8093,null,1295,null,1184,null,599,null,2480,null,863,null,5581,null,1122,null,15251,null,0,*****,6379,null,1325,null,2509,null,854,null,2280,null,1031,null,4083,null,1106,null,0400000US11,District of Columbia,11
2448119,null,3933,null,1219269,null,3793,null,345004,null,10321,null,347936,null,10755,null,279970,null,9037,null,246359,null,8127,null,1228850,null,2937,null,299942,null,7204,null,333523,null,9726,null,320257,null,9399,null,275128,null,7316,null,0400000US12,Florida,12
395449,null,4005,null,233148,null,3709,null,105618,null,6242,null,63601,null,4906,null,35000,null,3909,null,28929,null,3161,null,162301,null,2274,null,59584,null,3926,null,43112,null,3586,null,33051,null,3417,null,26554,null,2176,null,0400000US13,Georgia,13
55284,null,908,null,28478,null,861,null,3470,null,778,null,10486,null,1750,null,9350,null,1481,null,5172,null,1228,null,26806,null,616,null,3198,null,823,null,8530,null,1358,null,10557,null,1395,null,4521,null,1036,null,0400000US15,Hawaii,15
72766,null,1183,null,39439,null,1324,null,21074,null,1866,null,10021,null,1233,null,5575,null,1154,null,2769,null,967,null,33327,null,1143,null,15615,null,1652,null,7484,null,1320,null,8160,null,1173,null,2068,null,690,null,0400000US16,Idaho,16
1048984,null,2522,null,563933,null,2062,null,241012,null,6436,null,161118,null,6355,null,102479,null,5903,null,59324,null,4458,null,485051,null,1979,null,192256,null,5696,null,128907,null,5576,null,100092,null,4932,null,63796,null,3482,null,0400000US17,Illinois,17
163699,null,2180,null,91315,null,1897,null,39909,null,2599,null,27694,null,2442,null,15191,null,1859,null,8521,null,1592,null,72384,null,1586,null,26745,null,2293,null,20911,null,2142,null,16486,null,1835,null,8242,null,1353,null,0400000US18,Indiana,18
58103,null,2021,null,31798,null,1384,null,12796,null,1334,null,9055,null,1329,null,5640,null,1119,null,4307,null,1144,null,26305,null,1500,null,11080,null,1143,null,6926,null,1163,null,5167,null,1066,null,3132,null,996,null,0400000US19,Iowa,19
125052,null,1551,null,67772,null,1506,null,28490,null,2233,null,20229,null,2468,null,11601,null,1806,null,7452,null,1265,null,57280,null,1303,null,23394,null,2133,null,12536,null,1860,null,12343,null,1537,null,9007,null,1397,null,0400000US20,Kansas,20
47818,null,1753,null,27979,null,1595,null,10457,null,1467,null,9271,null,1421,null,5205,null,1036,null,3046,null,960,null,19839,null,1537,null,7427,null,1242,null,4788,null,946,null,4471,null,1152,null,3153,null,997,null,0400000US21,Kentucky,21
83665,null,1762,null,43420,null,1442,null,15428,null,2237,null,13358,null,1624,null,8419,null,1442,null,6215,null,1254,null,40245,null,1422,null,10356,null,1402,null,10547,null,1416,null,11132,null,1672,null,8210,null,1449,null,0400000US22,Louisiana,22
6727,null,873,null,3034,null,701,null,792,null,493,null,1067,null,525,null,756,null,364,null,419,null,290,null,3693,null,832,null,286,null,276,null,698,null,509,null,1679,null,655,null,1030,null,569,null,0400000US23,Maine,23
