C17020A_001E,C17020A_001EA,C17020A_001M,C17020A_001MA,C17020A_002E,C17020A_002EA,C17020A_002M,C17020A_002MA,C17020A_003E,C17020A_003EA,C17020A_003M,C17020A_003MA,C17020A_004E,C17020A_004EA,C17020A_004M,C17020A_004MA,C17020A_005E,C17020A_005EA,C17020A_005M,C17020A_005MA,C17020A_006E,C17020A_006EA,C17020A_006M,C17020A_006MA,C17020A_007E,C17020A_007EA,C17020A_007M,C17020A_007MA,C17020A_008E,C17020A_008EA,C17020A_008M,C17020A_008MA,C17020A_009E,C17020A_009EA,C17020A_009M,C17020A_009MA,GEO_ID,NAME,state
3210497,null,6870,null,354197,null,14835,null,96821,null,7567,null,210395,null,8017,null,46981,null,3370,null,2856300,null,16030,null,614877,null,7574,null,1792262,null,9539,null,449161,null,3874,null,0400000US01,Alabama,01
463821,null,3110,null,27860,null,3787,null,8468,null,2024,null,18225,null,2523,null,1167,null,509,null,435961,null,4750,null,98333,null,2687,null,302296,null,3004,null,35332,null,701,null,0400000US02,Alaska,02
5118661,null,24919,null,675545,null,25866,null,234531,null,14289,null,380493,null,15553,null,60521,null,4890,null,4443116,null,29981,null,1007273,null,14255,null,2715629,null,19570,null,720214,null,6050,null,0400000US04,Arizona,04
2189644,null,6629,null,296065,null,12784,null,91708,null,6418,null,168811,null,8263,null,35546,null,2461,null,1893579,null,13999,null,406729,null,6939,null,1179378,null,9288,null,307472,null,2973,null,0400000US05,Arkansas,05
22535897,null,64514,null,2618426,null,51989,null,864206,null,25471,null,1530287,null,32317,null,223933,null,9472,null,19917471,null,69947,null,4451128,null,32347,null,12712442,null,42881,null,2753901,null,12671,null,0400000US06,California,06
4109376,null,15479,null,419679,null,17693,null,125111,null,9514,null,259205,null,10491,null,35363,null,3538,null,3689697,null,22719,null,824595,null,11631,null,2445673,null,13505,null,419429,null,4338,null,0400000US08,Colorado,08
2725390,null,10618,null,181077,null,9692,null,45353,null,4741,null,110664,null,6890,null,25060,null,2485,null,2544313,null,12992,null,548465,null,6270,null,1612027,null,9532,null,383821,null,3102,null,0400000US09,Connecticut,09
620051,null,4072,null,47954,null,5327,null,12384,null,2676,null,29008,null,3164,null,6562,null,1254,null,572097,null,5528,null,122501,null,2845,null,356468,null,3824,null,93128,null,1356,null,0400000US10,Delaware,10
204695,null,4105,null,16525,null,2334,null,1583,null,1230,null,13320,null,1791,null,1622,null,629,null,188170,null,4283,null,25536,null,1670,null,142571,null,2919,null,20063,null,780,null,0400000US11,District of Columbia,11
13954813,null,25938,null,1581525,null,34328,null,407560,null,15498,null,913595,null,22024,null,260370,null,8567,null,12373288,null,35992,null,2335315,null,17117,null,7504781,null,24801,null,2533192,null,9942,null,0400000US12,Florida,12
