C17010A_001E,C17010A_001EA,C17010A_001M,C17010A_001MA,C17010A_002E,C17010A_002EA,C17010A_002M,C17010A_002MA,C17010A_003E,C17010A_003EA,C17010A_003M,C17010A_003MA,C17010A_004E,C17010A_004EA,C17010A_004M,C17010A_004MA,C17010A_005E,C17010A_005EA,C17010A_005M,C17010A_005MA,C17010A_006E,C17010A_006EA,C17010A_006M,C17010A_006MA,C17010A_007E,C17010A_007EA,C17010A_007M,C17010A_007MA,C17010A_008E,C17010A_008EA,C17010A_008M,C17010A_008MA,C17010A_009E,C17010A_009EA,C17010A_009M,C17010A_009MA,C17010A_010E,C17010A_010EA,C17010A_010M,C17010A_010MA,C17010A_011E,C17010A_011EA,C17010A_011M,C17010A_011MA,C17010A_012E,C17010A_012EA,C17010A_012M,C17010A_012MA,C17010A_013E,C17010A_013EA,C17010A_013M,C17010A_013MA,C17010A_014E,C17010A_014EA,C17010A_014M,C17010A_014MA,C17010A_015E,C17010A_015EA,C17010A_015M,C17010A_015MA,C17010A_016E,C17010A_016EA,C17010A_016M,C17010A_016MA,C17010A_017E,C17010A_017EA,C17010A_017M,C17010A_017MA,GEO_ID,NAME,state
893674,null,9179,null,68358,null,3745,null,32117,null,3210,null,18545,null,2444,null,36241,null,3096,null,5164,null,1091,null,3222,null,865,null,31077,null,2853,null,26044,null,2774,null,825316,null,9617,null,694778,null,9231,null,278229,null,8304,null,130538,null,5472,null,43000,null,3314,null,22549,null,2487,null,87538,null,4054,null,48100,null,3401,null,0400000US01,Alabama,01
115355,null,3347,null,3992,null,880,null,1062,null,385,null,619,null,254,null,2930,null,815,null,683,null,335,null,519,null,272,null,2247,null,757,null,2129,null,753,null,111363,null,3404,null,92907,null,3216,null,43209,null,3102,null,18456,null,2413,null,7807,null,1480,null,4511,null,1092,null,10649,null,1632,null,8046,null,1491,null,0400000US02,Alaska,02
1242497,null,13236,null,111279,null,6423,null,47997,null,3712,null,29068,null,3307,null,63282,null,4574,null,11788,null,2177,null,9558,null,2017,null,51494,null,3738,null,47178,null,3378,null,1131218,null,12351,null,910369,null,12462,null,365025,null,9050,null,220849,null,7151,null,77444,null,4756,null,43743,null,3548,null,143405,null,5451,null,88113,null,4668,null,0400000US04,Arizona,04
612018,null,7504,null,57352,null,3340,null,23460,null,2191,null,14333,null,1796,null,33892,null,2735,null,4689,null,916,null,3517,null,816,null,29203,null,2681,null,25669,null,2640,null,554666,null,7837,null,464845,null,7860,null,180549,null,5803,null,89821,null,3331,null,27930,null,2540,null,14938,null,1882,null,61891,null,3148,null,33686,null,2450,null,0400000US05,Arkansas,05
5399469,null,22285,null,435160,null,11767,null,195461,null,8106,null,139820,null,6614,null,239699,null,8980,null,43844,null,2987,null,33431,null,2599,null,195855,null,7672,null,170102,null,6833,null,4964309,null,22931,null,3895513,null,21676,null,1778030,null,16635,null,1068796,null,14839,null,360936,null,11841,null,195041,null,7933,null,707860,null,12746,null,408621,null,10785,null,0400000US06,California,06
1054331,null,11421,null,71803,null,4610,null,33182,null,3223,null,21159,null,2523,null,38621,null,3559,null,7299,null,1698,null,5916,null,1490,null,31322,null,2809,null,28003,null,2655,null,982528,null,11212,null,811182,null,9003,null,357815,null,7747,null,171346,null,6842,null,57293,null,3994,null,32273,null,3434,null,114053,null,5462,null,71248,null,4248,null,0400000US08,Colorado,08
733129,null,7272,null,31075,null,2717,null,10379,null,1632,null,5707,null,1365,null,20696,null,2425,null,2757,null,877,null,1556,null,556,null,17939,null,2198,null,15624,null,2064,null,702054,null,6838,null,575749,null,7919,null,250734,null,5689,null,126305,null,5989,null,36022,null,3296,null,16629,null,2207,null,90283,null,4934,null,49381,null,3683,null,0400000US09,Connecticut,09
167035,null,3809,null,7693,null,1430,null,2881,null,873,null,1897,null,836,null,4812,null,1147,null,782,null,394,null,539,null,326,null,4030,null,1103,null,3276,null,982,null,159342,null,3824,null,131509,null,3445,null,49213,null,2891,null,27833,null,2613,null,9263,null,1460,null,5275,null,1319,null,18570,null,1970,null,11082,null,1708,null,0400000US10,Delaware,10
35027,null,2276,null,971,null,528,null,484,null,337,null,102,null,118,null,487,null,367,null,0,null,296,null,0,null,296,null,487,null,367,null,487,null,367,null,34056,null,2186,null,29308,null,2113,null,10126,null,1350,null,4748,null,1036,null,2261,null,819,null,635,null,386,null,2487,null,759,null,1009,null,555,null,0400000US11,District of Columbia,11
3684058,null,22258,null,283487,null,9794,null,138065,null,6578,null,67505,null,4571,null,145422,null,7547,null,28025,null,3271,null,20780,null,2939,null,117397,null,6817,null,100149,null,6088,null,3400571,null,20067,null,2747149,null,19487,null,964274,null,14369,null,653422,null,12220,null,213097,null,8369,null,105976,null,5720,null,440325,null,9782,null,241341,null,6689,null,0400000US12,Florida,12
1558081,null,14467,null,111252,null,6675,null,51127,null,3876,null,31501,null,3055,null,60125,null,4797,null,10366,null,2131,null,7829,null,1687,null,49759,null,4419,null,41845,null,4147,null,1446829,null,13944,null,1213806,null,14703,null,538251,null,10124,null,233023,null,8209,null,79372,null,5800,null,42736,null,4218,null,153651,null,6237,null,87373,null,5436,null,0400000US13,Georgia,13
92447,null,2961,null,4533,null,1121,null,1850,null,765,null,1337,null,710,null,2683,null,822,null,238,null,222,null,192,null,206,null,2445,null,811,null,2173,null,754,null,87914,null,2994,null,72479,null,3263,null,28822,null,2615,null,15435,null,2178,null,5341,null,900,null,2936,null,1033,null,10094,null,1901,null,6120,null,1444,null,0400000US15,Hawaii,15
373820,null,6449,null,33097,null,3317,null,15122,null,1946,null,9827,null,1598,null,17975,null,2423,null,2415,null,822,null,1742,null,661,null,15560,null,2235,null,14483,null,2255,null,340723,null,6719,null,287534,null,6353,null,131184,null,4834,null,53189,null,3955,null,19232,null,2399,null,12752,null,1972,null,33957,null,2706,null,22697,null,2478,null,0400000US16,Idaho,16
2386648,null,15961,null,142093,null,5570,null,57975,null,3622,null,37273,null,2995,null,84118,null,4940,null,13860,null,2366,null,9641,null,2054,null,70258,null,4045,null,63391,null,3800,null,2244555,null,15225,null,1856669,null,13883,null,815613,null,10536,null,387886,null,9989,null,131956,null,5938,null,68671,null,4599,null,255930,null,7339,null,140481,null,5907,null,0400000US17,Illinois,17
1453411,null,13202,null,114452,null,5608,null,41355,null,3310,null,24739,null,2279,null,73097,null,4279,null,12448,null,1830,null,10549,null,1783,null,60649,null,3996,null,53835,null,3724,null,1338959,null,12239,null,1109725,null,12142,null,469883,null,8595,null,229234,null,6808,null,74908,null,4107,null,43850,null,3357,null,154326,null,5558,null,98576,null,4157,null,0400000US18,Indiana,18
750042,null,7365,null,48827,null,3747,null,17564,null,1699,null,9894,null,1370,null,31263,null,3097,null,4395,null,1118,null,3696,null,1101,null,26868,null,2961,null,24979,null,2977,null,701215,null,7783,null,592591,null,7745,null,237664,null,6030,null,108624,null,4191,null,39277,null,2855,null,23406,null,2193,null,69347,null,3081,null,44119,null,2541,null,0400000US19,Iowa,19
651081,null,7998,null,41694,null,2690,null,16857,null,1735,null,10131,null,1387,null,24837,null,2474,null,3903,null,1138,null,3379,null,1019,null,20934,null,2355,null,18971,null,2172,null,609387,null,7985,null,507819,null,7376,null,213399,null,5085,null,101568,null,4855,null,32863,null,2876,null,18483,null,2266,null,68705,null,3663,null,46446,null,3471,null,0400000US20,Kansas,20
1022708,null,11049,null,120909,null,6066,null,54212,null,4154,null,30745,null,3569,null,66697,null,4329,null,12291,null,2045,null,9844,null,1936,null,54406,null,3933,null,46781,null,3754,null,901799,null,10863,null,743062,null,11099,null,304108,null,7141,null,158737,null,6426,null,49809,null,3235,null,27279,null,2455,null,108928,null,5275,null,60399,null,4128,null,0400000US21,Kentucky,21
746336,null,7627,null,56956,null,3723,null,24039,null,2408,null,12335,null,1763,null,32917,null,2825,null,5076,null,1381,null,3346,null,1089,null,27841,null,2548,null,24160,null,2337,null,689380,null,8098,null,569658,null,7226,null,240293,null,6771,null,119722,null,5268,null,37712,null,3628,null,21883,null,2857,null,82010,null,4330,null,45809,null,3312,null,0400000US22,Louisiana,22
333183,null,6143,null,26597,null,2459,null,8228,null,1345,null,3999,null,909,null,18369,null,2370,null,2948,null,865,null,2526,null,807,null,15421,null,2166,null,13804,null,1906,null,306586,null,5906,null,256052,null,5156,null,95624,null,4121,null,50534,null,3292,null,17888,null,1929,null,10932,null,1645,null,32646,null,2335,null,20192,null,2027,null,0400000US23,Maine,23
896768,null,8391,null,32514,null,3092,null,12626,null,1802,null,6348,null,1300,null,19888,null,2355,null,3550,null,1121,null,2692,null,1047,null,16338,null,2282,null,14226,null,2197,null,864254,null,8500,null,715723,null,9998,null,311193,null,6455,null,148531,null,6323,null,47082,null,3198,null,24202,null,2489,null,101449,null,5246,null,58364,null,4289,null,0400000US24,Maryland,24
1321537,null,10456,null,67952,null,4790,null,22756,null,2234,null,9248,null,1408,null,45196,null,3892,null,6543,null,1605,null,5015,null,1410,null,38653,null,3458,null,33882,null,3283,null,1253585,null,10579,null,1007409,null,11176,null,438806,null,9069,null,246176,null,8574,null,66972,null,4760,null,31055,null,2736,null,179204,null,7221,null,98327,null,4943,null,0400000US25,Massachusetts,25
2102192,null,12894,null,162951,null,6559,null,62670,null,3460,null,36145,null,2982,null,100281,null,5718,null,18330,null,2125,null,14266,null,1822,null,81951,null,5241,null,72283,null,5067,null,1939241,null,13510,null,1618520,null,12670,null,673284,null,9258,null,320721,null,7590,null,101482,null,4341,null,52330,null,3203,null,219239,null,5945,null,124672,null,4091,null,0400000US26,Michigan,26
1219892,null,9774,null,57986,null,3347,null,21486,null,1840,null,11072,null,1522,null,36500,null,2725,null,4659,null,936,null,3653,null,899,null,31841,null,2569,null,29044,null,2368,null,1161906,null,9532,null,981701,null,10481,null,424054,null,6461,null,180205,null,5338,null,62219,null,3684,null,38594,null,3054,null,117986,null,4339,null,73149,null,3945,null,0400000US27,Minnesota,27
480435,null,6278,null,41180,null,4015,null,20145,null,2642,null,12048,null,1984,null,21035,null,2880,null,3858,null,1228,null,3028,null,1148,null,17177,null,2354,null,15106,null,2285,null,439255,null,6523,null,370370,null,7047,null,151694,null,5367,null,68885,null,4484,null,23924,null,2578,null,12226,null,2124,null,44961,null,3311,null,24446,null,2763,null,0400000US28,Mississippi,28
1322289,null,10470,null,105886,null,4597,null,42343,null,2642,null,25358,null,2326,null,63543,null,3699,null,11243,null,1742,null,9680,null,1615,null,52300,null,3334,null,46822,null,3554,null,1216403,null,11214,null,1017932,null,11747,null,424820,null,8105,null,198471,null,6623,null,68368,null,3660,null,36995,null,2742,null,130103,null,5160,null,77598,null,4173,null,0400000US29,Missouri,29
220698,null,4099,null,18361,null,2017,null,8445,null,1290,null,4789,null,941,null,9916,null,1639,null,1669,null,851,null,1469,null,814,null,8247,null,1379,null,7873,null,1383,null,202337,null,4168,null,173630,null,4262,null,62627,null,2817,null,28707,null,2517,null,10180,null,1368,null,6362,null,1155,null,18527,null,2043,null,11579,null,1553,null,0400000US30,Montana,30
418567,null,6025,null,22741,null,1970,null,10175,null,1298,null,6198,null,937,null,12566,null,1417,null,2148,null,590,null,1667,null,578,null,10418,null,1325,null,9005,null,1425,null,395826,null,5866,null,333829,null,5703,null,139446,null,3873,null,61997,null,4102,null,22019,null,2300,null,12651,null,1792,null,39978,null,3015,null,24756,null,2233,null,0400000US31,Nebraska,31
486016,null,7829,null,35697,null,3157,null,16315,null,2405,null,11473,null,2086,null,19382,null,2824,null,3467,null,1030,null,2356,null,809,null,15915,null,2590,null,14631,null,2513,null,450319,null,7941,null,350580,null,7981,null,151316,null,5451,null,99739,null,5464,null,37359,null,3502,null,21134,null,2523,null,62380,null,3434,null,37362,null,2615,null,0400000US32,Nevada,32
331378,null,5319,null,15954,null,2212,null,4328,null,1025,null,1397,null,465,null,11626,null,1780,null,1841,null,623,null,1437,null,523,null,9785,null,1663,null,8730,null,1549,null,315424,null,5191,null,261660,null,5079,null,111143,null,4007,null,53764,null,2925,null,18241,null,2270,null,10717,null,1600,null,35523,null,2479,null,20701,null,1915,null,0400000US33,New Hampshire,33
1581397,null,13022,null,63289,null,4325,null,26205,null,2616,null,16301,null,1890,null,37084,null,3002,null,5194,null,1336,null,3393,null,1038,null,31890,null,2961,null,27273,null,2652,null,1518108,null,13682,null,1235264,null,12623,null,558115,null,8441,null,282844,null,8054,null,86506,null,4806,null,34352,null,2899,null,196338,null,6643,null,99256,null,4675,null,0400000US34,New Jersey,34
371608,null,6178,null,40608,null,3402,null,16846,null,2177,null,9824,null,1867,null,23762,null,2630,null,4790,null,1134,null,3375,null,998,null,18972,null,2362,null,17607,null,2486,null,331000,null,6072,null,257727,null,5495,null,99205,null,4413,null,73273,null,4160,null,23501,null,2657,null,13618,null,2281,null,49772,null,3350,null,30733,null,2820,null,0400000US35,New Mexico,35
3218834,null,16181,null,219614,null,6943,null,95789,null,5340,null,56791,null,3988,null,123825,null,5688,null,20964,null,2477,null,15759,null,2159,null,102861,null,4872,null,87902,null,4628,null,2999220,null,15803,null,2420228,null,17238,null,1013088,null,13036,null,578992,null,11689,null,177373,null,6653,null,84188,null,4351,null,401619,null,8524,null,199868,null,7288,null,0400000US36,New York,36
1762242,null,12407,null,126325,null,6359,null,57238,null,3858,null,30204,null,3076,null,69087,null,4530,null,12030,null,1940,null,8484,null,1806,null,57057,null,4343,null,50998,null,4095,null,1635917,null,13034,null,1385032,null,13151,null,567209,null,10572,null,250885,null,7815,null,83768,null,4720,null,46633,null,3594,null,167117,null,5768,null,94476,null,4668,null,0400000US37,North Carolina,37
159450,null,3360,null,10515,null,1511,null,4000,null,644,null,1548,null,456,null,6515,null,1301,null,839,null,435,null,552,null,353,null,5676,null,1123,null,5544,null,1111,null,148935,null,3356,null,130182,null,3401,null,53296,null,2567,null,18753,null,1814,null,6577,null,1063,null,3771,null,786,null,12176,null,1382,null,7468,null,1134,null,0400000US38,North Dakota,38
2534408,null,12908,null,194814,null,6311,null,65412,null,3593,null,37816,null,2677,null,129402,null,5837,null,21832,null,2617,null,16499,null,2181,null,107570,null,5375,null,95686,null,5023,null,2339594,null,12265,null,1922525,null,14112,null,782533,null,11300,null,417069,null,9424,null,132637,null,5108,null,74958,null,4196,null,284432,null,8093,null,161023,null,6069,null,0400000US39,Ohio,39
738768,null,6635,null,69804,null,4117,null,30923,null,2548,null,19923,null,2143,null,38881,null,3075,null,6104,null,1343,null,5146,null,1298,null,32777,null,2989,null,29302,null,2762,null,668964,null,6842,null,557015,null,7590,null,227508,null,6136,null,111949,null,5313,null,37396,null,2767,null,21096,null,2315,null,74553,null,4068,null,45820,null,3119,null,0400000US40,Oklahoma,40
840344,null,9388,null,72388,null,4206,null,28481,null,2826,null,16068,null,2471,null,43907,null,3639,null,8635,null,1769,null,6918,null,1694,null,35272,null,3277,null,31151,null,3130,null,767956,null,9518,null,635790,null,9733,null,246739,null,7152,null,132166,null,5037,null,43200,null,3503,null,25803,null,2617,null,88966,null,3899,null,52725,null,3233,null,0400000US41,Oregon,41
2769864,null,12394,null,176464,null,5896,null,65191,null,3661,null,34223,null,2941,null,111273,null,5351,null,15513,null,1834,null,12253,null,1627,null,95760,null,4853,null,86049,null,4525,null,2593400,null,12305,null,2130062,null,11993,null,846191,null,9950,null,463338,null,9250,null,155405,null,5677,null,75957,null,4366,null,307933,null,7533,null,160090,null,5474,null,0400000US42,Pennsylvania,42
209328,null,4730,null,10034,null,1372,null,3644,null,821,null,2243,null,720,null,6390,null,1195,null,1034,null,511,null,681,null,488,null,5356,null,1127,null,4741,null,1089,null,199294,null,4719,null,158231,null,4478,null,64463,null,3306,null,41063,null,2805,null,11987,null,1608,null,5494,null,1232,null,29076,null,2425,null,16674,null,1942,null,0400000US44,Rhode Island,44
817335,null,8835,null,57426,null,3918,null,25350,null,2562,null,14835,null,1940,null,32076,null,3366,null,3640,null,996,null,2643,null,854,null,28436,null,2949,null,24442,null,2639,null,759909,null,8594,null,640528,null,8220,null,249698,null,6234,null,119381,null,4557,null,40809,null,3055,null,20597,null,2302,null,78572,null,3988,null,45780,null,2971,null,0400000US45,South Carolina,45
186892,null,3355,null,10892,null,1475,null,4438,null,735,null,1986,null,664,null,6454,null,1307,null,885,null,476,null,742,null,425,null,5569,null,1117,null,5230,null,1106,null,176000,null,3369,null,151560,null,3447,null,61003,null,2772,null,24440,null,2154,null,7976,null,1314,null,4752,null,1072,null,16464,null,1585,null,11156,null,1445,null,0400000US46,South Dakota,46
1340292,null,10806,null,126814,null,6190,null,55678,null,4067,null,30275,null,3337,null,71136,null,4318,null,13472,null,2031,null,9835,null,1783,null,57664,null,3908,null,49912,null,3831,null,1213478,null,10745,null,1014293,null,11737,null,409289,null,9573,null,199185,null,7016,null,62032,null,4038,null,34152,null,3387,null,137153,null,5860,null,78470,null,4518,null,0400000US47,Tennessee,47
4445358,null,23221,null,464221,null,9730,null,212872,null,8274,null,152631,null,7885,null,251349,null,8312,null,41197,null,3559,null,32813,null,3222,null,210152,null,7687,null,191237,null,7946,null,3981137,null,21577,null,3216666,null,20981,null,1508897,null,16953,null,764471,null,12962,null,246514,null,8524,null,136726,null,7185,null,517957,null,10496,null,323611,null,8887,null,0400000US48,Texas,48
589150,null,7203,null,36166,null,2462,null,18354,null,1797,null,13478,null,1580,null,17812,null,2250,null,2614,null,820,null,1895,null,688,null,15198,null,2141,null,14131,null,2145,null,552984,null,7116,null,466801,null,6948,null,246858,null,6055,null,86183,null,4749,null,30053,null,3291,null,17542,null,2520,null,56130,null,3288,null,34183,null,2824,null,0400000US49,Utah,49
156229,null,3293,null,9872,null,1493,null,2805,null,554,null,1206,null,369,null,7067,null,1349,null,1445,null,532,null,1350,null,517,null,5622,null,1293,null,5024,null,1232,null,146357,null,3335,null,120937,null,3551,null,46507,null,2517,null,25420,null,2484,null,8128,null,1361,null,4946,null,1161,null,17292,null,2011,null,12171,null,1586,null,0400000US50,Vermont,50
1471403,null,11554,null,76992,null,4742,null,32485,null,2833,null,20531,null,2373,null,44507,null,3791,null,7782,null,1341,null,6013,null,1315,null,36725,null,3569,null,31404,null,3327,null,1394411,null,12043,null,1174922,null,12175,null,501926,null,8631,null,219489,null,6585,null,67169,null,4435,null,36110,null,3463,null,152320,null,5407,null,87322,null,3858,null,0400000US51,Virginia,51
1370194,null,12426,null,87800,null,5292,null,34909,null,2775,null,20486,null,2304,null,52891,null,4103,null,7701,null,1630,null,6370,null,1480,null,45190,null,3558,null,41750,null,3453,null,1282394,null,13017,null,1055437,null,13291,null,441247,null,9072,null,226957,null,6980,null,76563,null,5075,null,47932,null,4097,null,150394,null,5235,null,94668,null,4570,null,0400000US53,Washington,53
471360,null,6935,null,56106,null,3783,null,25165,null,2519,null,14569,null,2015,null,30941,null,2948,null,6487,null,1518,null,5669,null,1419,null,24454,null,2814,null,21302,null,2546,null,415254,null,6590,null,341243,null,6353,null,124242,null,4378,null,74011,null,4706,null,24067,null,2436,null,11964,null,1753,null,49944,null,3507,null,24981,null,2251,null,0400000US54,West Virginia,54
1335785,null,9546,null,69059,null,3625,null,25690,null,1818,null,13957,null,1560,null,43369,null,3363,null,6681,null,1122,null,5346,null,1130,null,36688,null,3031,null,33773,null,2914,null,1266726,null,9530,null,1062352,null,8488,null,435778,null,6287,null,204374,null,5921,null,70153,null,3628,null,39580,null,2444,null,134221,null,4859,null,82946,null,3896,null,0400000US55,Wisconsin,55
127414,null,3175,null,6887,null,1301,null,2342,null,712,null,1234,null,541,null,4545,null,1168,null,724,null,554,null,679,null,546,null,3821,null,951,null,3718,null,948,null,120527,null,3341,null,102089,null,3649,null,42188,null,2920,null,18438,null,2091,null,7039,null,1211,null,4992,null,983,null,11399,null,1796,null,7980,null,1478,null,0400000US56,Wyoming,56
665775,null,9543,null,264492,null,6814,null,121010,null,5124,null,55720,null,3505,null,143482,null,4580,null,22404,null,2197,null,12309,null,1499,null,121078,null,4496,null,84629,null,3723,null,401283,null,8439,null,281042,null,6696,null,113125,null,4556,null,120241,null,4506,null,27765,null,2214,null,10562,null,1455,null,92476,null,3911,null,42616,null,2314,null,0400000US72,Puerto Rico,72
