B12002H_001E,B12002H_001EA,B12002H_001M,B12002H_001MA,B12002H_002E,B12002H_002EA,B12002H_002M,B12002H_002MA,B12002H_003E,B12002H_003EA,B12002H_003M,B12002H_003MA,B12002H_004E,B12002H_004EA,B12002H_004M,B12002H_004MA,B12002H_005E,B12002H_005EA,B12002H_005M,B12002H_005MA,B12002H_006E,B12002H_006EA,B12002H_006M,B12002H_006MA,B12002H_007E,B12002H_007EA,B12002H_007M,B12002H_007MA,B12002H_008E,B12002H_008EA,B12002H_008M,B12002H_008MA,B12002H_009E,B12002H_009EA,B12002H_009M,B12002H_009MA,B12002H_010E,B12002H_010EA,B12002H_010M,B12002H_010MA,B12002H_011E,B12002H_011EA,B12002H_011M,B12002H_011MA,B12002H_012E,B12002H_012EA,B12002H_012M,B12002H_012MA,B12002H_013E,B12002H_013EA,B12002H_013M,B12002H_013MA,GEO_ID,NAME,state
2622484,null,1045,null,1267501,null,1179,null,318899,null,6801,null,748441,null,9592,null,17046,null,2208,null,36823,null,2569,null,146292,null,6759,null,1354983,null,1284,null,244066,null,5705,null,746439,null,9828,null,24993,null,2527,null,168540,null,3946,null,170945,null,7237,null,0400000US01,Alabama,01
368632,null,639,null,195583,null,437,null,66534,null,2879,null,98787,null,3606,null,3484,null,1017,null,2955,null,761,null,23823,null,2503,null,173049,null,456,null,44565,null,2358,null,90308,null,3163,null,3736,null,1300,null,9779,null,1150,null,24661,null,2679,null,0400000US02,Alaska,02
3181315,null,2278,null,1556997,null,1855,null,463875,null,9705,null,834491,null,10628,null,20044,null,2855,null,50430,null,3951,null,188157,null,7939,null,1624318,null,1494,null,353731,null,8226,null,819189,null,12384,null,22252,null,2666,null,173451,null,5728,null,255695,null,8016,null,0400000US04,Arizona,04
1772031,null,1596,null,856854,null,2061,null,211042,null,5283,null,505191,null,7850,null,12392,null,1947,null,26008,null,2451,null,102221,null,5162,null,915177,null,1739,null,166064,null,5266,null,497602,null,8003,null,19279,null,2095,null,109324,null,3661,null,122908,null,5254,null,0400000US05,Arkansas,05
13200437,null,6575,null,6508340,null,3444,null,2202828,null,17200,null,3335759,null,21111,null,99299,null,6428,null,189779,null,6008,null,680675,null,11964,null,6692097,null,4763,null,1722363,null,14265,null,3173267,null,20716,null,123655,null,5702,null,713741,null,10061,null,959071,null,16339,null,0400000US06,California,06
2905585,null,1773,null,1440381,null,1208,null,449776,null,9500,null,781629,null,10609,null,16530,null,2594,null,31225,null,2419,null,161221,null,6433,null,1465204,null,1701,null,350197,null,7461,null,774801,null,9435,null,20710,null,2601,null,115573,null,4268,null,203923,null,7434,null,0400000US08,Colorado,08
2152852,null,1472,null,1034275,null,698,null,319881,null,6615,null,584620,null,7699,null,8402,null,1662,null,30822,null,2264,null,90550,null,4132,null,1118577,null,1001,null,285677,null,5741,null,571051,null,7930,null,10948,null,1561,null,124983,null,4298,null,125918,null,5810,null,0400000US09,Connecticut,09
497482,null,629,null,238301,null,328,null,72511,null,2596,null,131819,null,3451,null,2953,null,904,null,7581,null,1163,null,23437,null,2309,null,259181,null,382,null,62917,null,2317,null,133059,null,3920,null,3769,null,1203,null,27769,null,1783,null,31667,null,2770,null,0400000US10,Delaware,10
174910,null,632,null,86917,null,431,null,49572,null,2057,null,30389,null,2057,null,501,null,354,null,1289,null,541,null,5166,null,1166,null,87993,null,357,null,49957,null,2036,null,26465,null,1791,null,1382,null,647,null,3903,null,727,null,6286,null,839,null,0400000US11,District of Columbia,11
9410956,null,4827,null,4563073,null,3214,null,1274665,null,14817,null,2505483,null,17975,null,68658,null,5369,null,173934,null,6388,null,540333,null,13872,null,4847883,null,2659,null,958543,null,11477,null,2459166,null,16759,null,89973,null,6429,null,649574,null,10418,null,690627,null,13886,null,0400000US12,Florida,12
