B06009_001E,B06009_001EA,B06009_001M,B06009_001MA,B06009_002E,B06009_002EA,B06009_002M,B06009_002MA,B06009_003E,B06009_003EA,B06009_003M,B06009_003MA,B06009_004E,B06009_004EA,B06009_004M,B06009_004MA,B06009_005E,B06009_005EA,B06009_005M,B06009_005MA,B06009_006E,B06009_006EA,B06009_006M,B06009_006MA,B06009_007E,B06009_007EA,B06009_007M,B06009_007MA,B06009_008E,B06009_008EA,B06009_008M,B06009_008MA,B06009_009E,B06009_009EA,B06009_009M,B06009_009MA,B06009_010E,B06009_010EA,B06009_010M,B06009_010MA,B06009_011E,B06009_011EA,B06009_011M,B06009_011MA,B06009_012E,B06009_012EA,B06009_012M,B06009_012MA,B06009_013E,B06009_013EA,B06009_013M,B06009_013MA,B06009_014E,B06009_014EA,B06009_014M,B06009_014MA,B06009_015E,B06009_015EA,B06009_015M,B06009_015MA,B06009_016E,B06009_016EA,B06009_016M,B06009_016MA,B06009_017E,B06009_017EA,B06009_017M,B06009_017MA,B06009_018E,B06009_018EA,B06009_018M,B06009_018MA,B06009_019E,B06009_019EA,B06009_019M,B06009_019MA,B06009_020E,B06009_020EA,B06009_020M,B06009_020MA,B06009_021E,B06009_021EA,B06009_021M,B06009_021MA,B06009_022E,B06009_022EA,B06009_022M,B06009_022MA,B06009_023E,B06009_023EA,B06009_023M,B06009_023MA,B06009_024E,B06009_024EA,B06009_024M,B06009_024MA,B06009_025E,B06009_025EA,B06009_025M,B06009_025MA,B06009_026E,B06009_026EA,B06009_026M,B06009_026MA,B06009_027E,B06009_027EA,B06009_027M,B06009_027MA,B06009_028E,B06009_028EA,B06009_028M,B06009_028MA,B06009_029E,B06009_029EA,B06009_029M,B06009_029MA,B06009_030E,B06009_030EA,B06009_030M,B06009_030MA,GEO_ID,NAME,state
3078499,null,6085,null,557535,null,12281,null,974088,null,14155,null,869806,null,12793,null,439587,null,10668,null,237483,null,8149,null,2078779,null,14019,null,424250,null,12162,null,709714,null,11850,null,569624,null,11859,null,250096,null,8127,null,125095,null,5231,null,876775,null,13500,null,104072,null,5750,null,234706,null,8203,null,274089,null,8946,null,166642,null,6339,null,97266,null,5331,null,22531,null,2050,null,1251,null,504,null,5255,null,1068,null,8559,null,1464,null,5030,null,1233,null,2436,null,590,null,100414,null,5713,null,27962,null,2727,null,24413,null,2776,null,17534,null,2055,null,17819,null,2457,null,12686,null,1683,null,0400000US01,Alabama,01
424901,null,2418,null,35557,null,2702,null,112556,null,4942,null,160754,null,4996,null,74728,null,3787,null,41306,null,3165,null,94843,null,3960,null,12046,null,1322,null,33777,null,2674,null,35351,null,2402,null,10417,null,1521,null,3252,null,680,null,283356,null,4479,null,15596,null,2062,null,68525,null,3842,null,109395,null,4447,null,56195,null,2927,null,33645,null,3349,null,8469,null,1537,null,464,null,276,null,1802,null,730,null,3830,null,1041,null,1799,null,799,null,574,null,339,null,38233,null,2906,null,7451,null,1490,null,8452,null,1346,null,12178,null,1694,null,6317,null,1336,null,3835,null,993,null,0400000US02,Alaska,02
4192547,null,3658,null,678105,null,15834,null,1048111,null,17265,null,1413998,null,15719,null,667004,null,13808,null,385329,null,9345,null,842008,null,16319,null,138121,null,7719,null,238227,null,9516,null,314935,null,11395,null,105004,null,4876,null,45721,null,3547,null,2535116,null,20084,null,198241,null,9313,null,637327,null,12695,null,943823,null,13252,null,474957,null,11925,null,280768,null,7494,null,55022,null,3740,null,5716,null,1579,null,12585,null,2405,null,20191,null,2023,null,10737,null,1554,null,5793,null,1225,null,760401,null,15279,null,336027,null,12834,null,159972,null,9094,null,135049,null,6253,null,76306,null,5177,null,53047,null,4767,null,0400000US04,Arizona,04
1872814,null,5105,null,336960,null,8571,null,663108,null,12614,null,520806,null,10082,null,234355,null,6694,null,117585,null,5217,null,1052343,null,12201,null,196622,null,6251,null,401938,null,9704,null,280432,null,8183,null,119438,null,5469,null,53913,null,3523,null,724366,null,11428,null,100082,null,5107,null,238808,null,7303,null,225081,null,7116,null,104786,null,4578,null,55609,null,3673,null,12452,null,1946,null,1228,null,695,null,4235,null,1275,null,3661,null,1125,null,2301,null,685,null,1027,null,586,null,83653,null,3539,null,39028,null,3607,null,18127,null,2527,null,11632,null,2025,null,7830,null,1740,null,7036,null,1143,null,0400000US05,Arkansas,05
23528476,null,7194,null,4651663,null,35393,null,4903309,null,38910,null,7011378,null,35045,null,4432116,null,30368,null,2530010,null,27807,null,8732160,null,44738,null,859289,null,16877,null,2103865,null,24923,null,3360511,null,26694,null,1632698,null,19339,null,775797,null,15535,null,6002560,null,32961,null,526400,null,12935,null,1152894,null,17130,null,1970800,null,20927,null,1383014,null,17993,null,969452,null,15062,null,299744,null,9484,null,42021,null,4266,null,57634,null,4628,null,100480,null,5155,null,64881,null,4751,null,34728,null,2970,null,8494012,null,34891,null,3223953,null,33404,null,1588916,null,25907,null,1579587,null,22067,null,1351523,null,20788,null,750033,null,16085,null,0400000US06,California,06
3263026,null,4054,null,363496,null,9407,null,746933,null,11920,null,991130,null,13315,null,748494,null,11142,null,412973,null,8742,null,953769,null,15147,null,97635,null,4719,null,280243,null,8236,null,326688,null,9874,null,180573,null,7007,null,68630,null,3564,null,1870684,null,13510,null,108098,null,5496,null,373080,null,9534,null,590956,null,11415,null,500385,null,9219,null,298165,null,7836,null,42618,null,3657,null,2510,null,1033,null,9004,null,1777,null,13337,null,2025,null,11719,null,1502,null,6048,null,1307,null,395955,null,11453,null,155253,null,7720,null,84606,null,5129,null,60149,null,4252,null,55817,null,3984,null,40130,null,3008,null,0400000US08,Colorado,08
2364317,null,2053,null,268553,null,7611,null,661750,null,13174,null,592104,null,11053,null,481976,null,10641,null,359934,null,7753,null,1116464,null,11067,null,96875,null,4232,null,379164,null,9779,null,311808,null,9375,null,207619,null,7185,null,120998,null,4874,null,775789,null,12164,null,55834,null,3075,null,161604,null,5867,null,184132,null,6605,null,201376,null,6646,null,172843,null,5893,null,87276,null,4600,null,33726,null,2509,null,25123,null,2489,null,16420,null,2167,null,6947,null,1224,null,5060,null,1115,null,384788,null,10268,null,82118,null,5343,null,95859,null,5834,null,79744,null,4227,null,66034,null,3789,null,61033,null,3525,null,0400000US09,Connecticut,09
581811,null,1097,null,74353,null,4483,null,182263,null,5661,null,165217,null,5766,null,96864,null,5341,null,63114,null,3756,null,214661,null,6332,null,32234,null,3065,null,83247,null,4115,null,58130,null,4106,null,28280,null,2711,null,12770,null,1578,null,304404,null,6371,null,26311,null,2608,null,87352,null,4160,null,95250,null,4375,null,55738,null,3719,null,39753,null,3211,null,8728,null,1267,null,2461,null,660,null,2041,null,848,null,2511,null,837,null,605,null,326,null,1110,null,657,null,54018,null,3571,null,13347,null,2124,null,9623,null,1605,null,9326,null,1736,null,12241,null,1961,null,9481,null,1556,null,0400000US10,Delaware,10
403768,null,570,null,57450,null,5075,null,80069,null,4525,null,71490,null,4492,null,87093,null,4280,null,107666,null,4592,null,124609,null,5443,null,20223,null,2875,null,43737,null,3786,null,34627,null,3150,null,14823,null,2329,null,11199,null,1858,null,205796,null,5055,null,19072,null,2737,null,27270,null,2570,null,27416,null,2947,null,58119,null,3549,null,73919,null,3479,null,5782,null,1139,null,145,null,178,null,222,null,198,null,459,null,311,null,2588,null,838,null,2368,null,754,null,67581,null,3819,null,18010,null,2066,null,8840,null,1729,null,8988,null,1715,null,11563,null,1820,null,20180,null,2487,null,0400000US11,District of Columbia,11
12699412,null,7907,null,1876816,null,22939,null,3802995,null,33113,null,3741154,null,26704,null,2134466,null,23922,null,1143981,null,18078,null,2506188,null,25662,null,370081,null,12573,null,847271,null,17184,null,773323,null,14972,null,354835,null,10160,null,160678,null,6478,null,6854418,null,30579,null,694089,null,15807,null,2036067,null,24058,null,2185606,null,22351,null,1247562,null,17518,null,691094,null,12663,null,412429,null,13415,null,83541,null,5423,null,112026,null,6932,null,122202,null,6938,null,66878,null,4230,null,27782,null,2570,null,2926377,null,21879,null,729105,null,16293,null,807631,null,18010,null,660023,null,13945,null,465191,null,13092,null,264427,null,9593,null,0400000US12,Florida,12
