B20017C_001E,B20017C_001EA,B20017C_001M,B20017C_001MA,B20017C_002E,B20017C_002EA,B20017C_002M,B20017C_002MA,B20017C_003E,B20017C_003EA,B20017C_003M,B20017C_003MA,B20017C_004E,B20017C_004EA,B20017C_004M,B20017C_004MA,B20017C_005E,B20017C_005EA,B20017C_005M,B20017C_005MA,B20017C_006E,B20017C_006EA,B20017C_006M,B20017C_006MA,B20017C_007E,B20017C_007EA,B20017C_007M,B20017C_007MA,GEO_ID,NAME,state
25182,null,3748,null,30692,null,6543,null,35604,null,5874,null,7639,null,4499,null,21541,null,2432,null,28679,null,1676,null,10435,null,3794,null,0400000US01,Alabama,01
17479,null,2188,null,17334,null,2944,null,37074,null,5705,null,9151,null,1798,null,17702,null,4214,null,34346,null,3229,null,7056,null,1389,null,0400000US02,Alaska,02
22511,null,1319,null,23489,null,1687,null,32939,null,3281,null,7525,null,1060,null,21341,null,1793,null,29444,null,1362,null,8789,null,1526,null,0400000US04,Arizona,04
16538,null,4275,null,15915,null,6650,null,27262,null,7121,null,8005,null,4176,null,18333,null,11349,null,34388,null,13512,null,6931,null,5159,null,0400000US05,Arkansas,05
24581,null,1398,null,28136,null,3087,null,39689,null,4924,null,12095,null,1476,null,21688,null,1587,null,32567,null,1529,null,8343,null,1827,null,0400000US06,California,06
24084,null,4853,null,24492,null,5981,null,31888,null,3619,null,11591,null,2195,null,23638,null,5977,null,32600,null,3438,null,7199,null,3626,null,0400000US08,Colorado,08
35447,null,8310,null,36368,null,5955,null,45712,null,15057,null,16481,null,40490,null,29425,null,12053,null,45788,null,36787,null,10497,null,6912,null,0400000US09,Connecticut,09
24679,null,7341,null,35721,null,4661,null,34980,null,11535,null,36040,null,9616,null,14500,null,7941,null,17228,null,16386,null,6239,null,8195,null,0400000US10,Delaware,10
40778,null,45137,null,48182,null,66675,null,41528,null,135141,null,-666666666,-,0,**,7143,null,50543,null,46504,null,32925,null,2639,null,1356,null,0400000US11,District of Columbia,11
30203,null,3015,null,30286,null,4724,null,36654,null,2398,null,11723,null,10065,null,30127,null,3678,null,33435,null,2691,null,7398,null,6878,null,0400000US12,Florida,12
21167,null,4764,null,20670,null,9785,null,24753,null,19534,null,11160,null,8297,null,21525,null,2332,null,32191,null,14273,null,7278,null,3990,null,0400000US13,Georgia,13
38617,null,16409,null,31444,null,27556,null,40496,null,17387,null,6918,null,44089,null,40045,null,11243,null,40946,null,2201,null,21051,null,29271,null,0400000US15,Hawaii,15
