B13002I_001E,B13002I_001EA,B13002I_001M,B13002I_001MA,B13002I_002E,B13002I_002EA,B13002I_002M,B13002I_002MA,B13002I_003E,B13002I_003EA,B13002I_003M,B13002I_003MA,B13002I_004E,B13002I_004EA,B13002I_004M,B13002I_004MA,B13002I_005E,B13002I_005EA,B13002I_005M,B13002I_005MA,B13002I_006E,B13002I_006EA,B13002I_006M,B13002I_006MA,B13002I_007E,B13002I_007EA,B13002I_007M,B13002I_007MA,GEO_ID,NAME,state
28078,null,1487,null,2663,null,954,null,1962,null,869,null,701,null,454,null,25415,null,1579,null,13862,null,1432,null,11553,null,1534,null,0400000US01,Alabama,01
10006,null,635,null,999,null,522,null,789,null,464,null,210,null,235,null,9007,null,834,null,4090,null,835,null,4917,null,854,null,0400000US02,Alaska,02
498273,null,1949,null,40838,null,3495,null,22678,null,2680,null,18160,null,2788,null,457435,null,4062,null,207145,null,5909,null,250290,null,6553,null,0400000US04,Arizona,04
39103,null,1598,null,3577,null,1037,null,2400,null,845,null,1177,null,592,null,35526,null,1865,null,18896,null,1910,null,16630,null,1850,null,0400000US05,Arkansas,05
3579377,null,4337,null,269944,null,9672,null,165770,null,6509,null,104174,null,5754,null,3309433,null,10585,null,1521365,null,13115,null,1788068,null,14822,null,0400000US06,California,06
251608,null,1710,null,19893,null,2199,null,11759,null,1988,null,8134,null,1643,null,231715,null,2517,null,117320,null,4196,null,114395,null,4720,null,0400000US08,Colorado,08
116764,null,1149,null,8146,null,1476,null,3534,null,917,null,4612,null,1140,null,108618,null,2004,null,46063,null,2732,null,62555,null,2752,null,0400000US09,Connecticut,09
14553,null,598,null,1919,null,748,null,1126,null,521,null,793,null,584,null,12634,null,896,null,6386,null,1057,null,6248,null,1138,null,0400000US10,Delaware,10
14681,null,807,null,1211,null,653,null,507,null,388,null,704,null,478,null,13470,null,1033,null,4538,null,1102,null,8932,null,1299,null,0400000US11,District of Columbia,11
993416,null,4319,null,63472,null,4402,null,43462,null,4120,null,20010,null,2140,null,929944,null,6394,null,465600,null,8890,null,464344,null,8887,null,0400000US12,Florida,12
175506,null,3523,null,18035,null,2670,null,12252,null,2208,null,5783,null,1521,null,157471,null,3969,null,87761,null,4120,null,69710,null,4592,null,0400000US13,Georgia,13
27810,null,478,null,1283,null,483,null,602,null,254,null,681,null,458,null,26527,null,595,null,12352,null,1319,null,14175,null,1350,null,0400000US15,Hawaii,15
38584,null,1610,null,3525,null,803,null,2630,null,824,null,895,null,430,null,35059,null,1874,null,18479,null,1335,null,16580,null,1945,null,0400000US16,Idaho,16
510010,null,2259,null,38475,null,3227,null,24435,null,2689,null,14040,null,1857,null,471535,null,4257,null,227617,null,6095,null,243918,null,6065,null,0400000US17,Illinois,17
78457,null,1601,null,7591,null,1150,null,5514,null,1027,null,2077,null,705,null,70866,null,1983,null,34237,null,2046,null,36629,null,2240,null,0400000US18,Indiana,18
31268,null,1556,null,3293,null,904,null,1710,null,702,null,1583,null,619,null,27975,null,1798,null,13494,null,1552,null,14481,null,1716,null,0400000US19,Iowa,19
63182,null,1501,null,6852,null,1152,null,3667,null,949,null,3185,null,900,null,56330,null,1913,null,31422,null,2116,null,24908,null,2058,null,0400000US20,Kansas,20
21538,null,1673,null,1988,null,725,null,1489,null,569,null,499,null,370,null,19550,null,1507,null,11597,null,1377,null,7953,null,1170,null,0400000US21,Kentucky,21
36390,null,1332,null,2840,null,850,null,1827,null,690,null,1013,null,574,null,33550,null,1560,null,15979,null,1533,null,17571,null,1740,null,0400000US22,Louisiana,22
4727,null,866,null,212,null,217,null,108,null,151,null,104,null,150,null,4515,null,864,null,1319,null,636,null,3196,null,722,null,0400000US23,Maine,23
96192,null,1527,null,8880,null,1553,null,5627,null,1027,null,3253,null,1136,null,87312,null,2284,null,43040,null,2368,null,44272,null,2730,null,0400000US24,Maryland,24
158733,null,943,null,10739,null,1811,null,4711,null,1186,null,6028,null,1194,null,147994,null,1880,null,51374,null,2719,null,96620,null,2820,null,0400000US25,Massachusetts,25
104775,null,1865,null,7872,null,1354,null,4611,null,1042,null,3261,null,1049,null,96903,null,2114,null,44003,null,2173,null,52900,null,2794,null,0400000US26,Michigan,26
53653,null,1517,null,5391,null,1058,null,3135,null,907,null,2256,null,712,null,48262,null,1538,null,22593,null,1748,null,25669,null,2085,null,0400000US27,Minnesota,27
13702,null,1439,null,1023,null,635,null,590,null,482,null,433,null,382,null,12679,null,1445,null,7274,null,1299,null,5405,null,1046,null,0400000US28,Mississippi,28
46344,null,1586,null,4061,null,891,null,2970,null,876,null,1091,null,582,null,42283,null,1786,null,19586,null,1701,null,22697,null,1828,null,0400000US29,Missouri,29
6198,null,878,null,429,null,356,null,264,null,294,null,165,null,186,null,5769,null,867,null,2117,null,653,null,3652,null,752,null,0400000US30,Montana,30
32425,null,921,null,3944,null,838,null,2026,null,681,null,1918,null,667,null,28481,null,1256,null,15170,null,1471,null,13311,null,1444,null,0400000US31,Nebraska,31
167999,null,1302,null,15141,null,2313,null,10650,null,1905,null,4491,null,1356,null,152858,null,2634,null,79787,null,3548,null,73071,null,3909,null,0400000US32,Nevada,32
9679,null,753,null,586,null,424,null,439,null,387,null,147,null,230,null,9093,null,897,null,3821,null,800,null,5272,null,1076,null,0400000US33,New Hampshire,33
382077,null,1971,null,29062,null,3079,null,16201,null,2371,null,12861,null,1989,null,353015,null,3946,null,157618,null,5642,null,195397,null,5611,null,0400000US34,New Jersey,34
228600,null,1267,null,16353,null,2495,null,8035,null,1678,null,8318,null,1722,null,212247,null,2871,null,89315,null,3376,null,122932,null,3734,null,0400000US35,New Mexico,35
894753,null,3201,null,57179,null,3932,null,30883,null,3059,null,26296,null,2516,null,837574,null,4677,null,332666,null,7622,null,504908,null,7449,null,0400000US36,New York,36
159571,null,3005,null,16310,null,1968,null,10748,null,1552,null,5562,null,1227,null,143261,null,3266,null,81358,null,4121,null,61903,null,3515,null,0400000US37,North Carolina,37
3576,null,575,null,556,null,476,null,455,null,426,null,101,null,172,null,3020,null,692,null,1588,null,521,null,1432,null,524,null,0400000US38,North Dakota,38
75532,null,2154,null,5475,null,1063,null,2588,null,795,null,2887,null,713,null,70057,null,2370,null,30134,null,2441,null,39923,null,3066,null,0400000US39,Ohio,39
67379,null,1753,null,7238,null,1263,null,4797,null,1055,null,2441,null,840,null,60141,null,2053,null,33606,null,2034,null,26535,null,2131,null,0400000US40,Oklahoma,40
