C12002F_001E,C12002F_001EA,C12002F_001M,C12002F_001MA,C12002F_002E,C12002F_002EA,C12002F_002M,C12002F_002MA,C12002F_003E,C12002F_003EA,C12002F_003M,C12002F_003MA,C12002F_004E,C12002F_004EA,C12002F_004M,C12002F_004MA,C12002F_005E,C12002F_005EA,C12002F_005M,C12002F_005MA,C12002F_006E,C12002F_006EA,C12002F_006M,C12002F_006MA,GEO_ID,NAME,state
21030,null,3086,null,8532,null,1610,null,10520,null,2151,null,704,null,459,null,94,null,124,null,1180,null,659,null,0400000US01,Alabama,01
6191,null,1562,null,1471,null,781,null,3746,null,1071,null,170,null,198,null,256,null,177,null,548,null,416,null,0400000US02,Alaska,02
310055,null,16003,null,117258,null,7603,null,142432,null,9930,null,13232,null,2446,null,7646,null,1619,null,29487,null,3369,null,0400000US04,Arizona,04
41166,null,3520,null,15437,null,2733,null,22696,null,2832,null,448,null,291,null,202,null,212,null,2383,null,1021,null,0400000US05,Arkansas,05
3778900,null,45926,null,1584992,null,26391,null,1708646,null,31373,null,128593,null,5482,null,116445,null,6555,null,240224,null,9479,null,0400000US06,California,06
168271,null,9205,null,56301,null,5181,null,83225,null,6445,null,4952,null,1451,null,4775,null,1297,null,19018,null,3011,null,0400000US08,Colorado,08
120133,null,7626,null,56202,null,4841,null,43975,null,4766,null,5270,null,1333,null,3270,null,1177,null,11416,null,2037,null,0400000US09,Connecticut,09
10479,null,2153,null,4411,null,1136,null,4888,null,1445,null,234,null,235,null,224,null,259,null,722,null,528,null,0400000US10,Delaware,10
14556,null,2727,null,7896,null,1902,null,4346,null,1501,null,695,null,510,null,691,null,693,null,928,null,624,null,0400000US11,District of Columbia,11
361986,null,17249,null,130427,null,8521,null,171658,null,11039,null,13590,null,2484,null,10637,null,1880,null,35674,null,4072,null,0400000US12,Florida,12
223331,null,12610,null,84998,null,6831,null,115682,null,8850,null,6520,null,1625,null,3110,null,975,null,13021,null,2523,null,0400000US13,Georgia,13
14060,null,2469,null,5086,null,1463,null,6787,null,1479,null,612,null,484,null,128,null,128,null,1447,null,813,null,0400000US15,Hawaii,15
20384,null,2964,null,7889,null,1655,null,10562,null,1838,null,228,null,249,null,575,null,317,null,1130,null,510,null,0400000US16,Idaho,16
595636,null,18614,null,241926,null,10906,null,284904,null,12764,null,16913,null,2640,null,15460,null,2489,null,36433,null,3577,null,0400000US17,Illinois,17
91975,null,6391,null,35867,null,3557,null,44081,null,5017,null,2231,null,818,null,3527,null,1605,null,6269,null,1404,null,0400000US18,Indiana,18
27752,null,3280,null,10645,null,1772,null,14184,null,2260,null,592,null,366,null,457,null,437,null,1874,null,730,null,0400000US19,Iowa,19
49551,null,4935,null,17599,null,2847,null,24488,null,3133,null,1549,null,577,null,2158,null,720,null,3757,null,1275,null,0400000US20,Kansas,20
21539,null,2777,null,7767,null,1773,null,10578,null,1903,null,1064,null,683,null,713,null,464,null,1417,null,614,null,0400000US21,Kentucky,21
26556,null,3941,null,9903,null,2095,null,13257,null,2515,null,464,null,337,null,374,null,213,null,2558,null,859,null,0400000US22,Louisiana,22
3042,null,1362,null,1486,null,815,null,1227,null,890,null,0,null,228,null,0,null,228,null,329,null,227,null,0400000US23,Maine,23
96048,null,7117,null,37390,null,3535,null,47325,null,4851,null,3097,null,1084,null,2211,null,963,null,6025,null,1306,null,0400000US24,Maryland,24
184515,null,11219,null,86595,null,6696,null,64686,null,5652,null,10798,null,2059,null,5166,null,1130,null,17270,null,2796,null,0400000US25,Massachusetts,25
102734,null,6936,null,42600,null,4477,null,48508,null,4313,null,2333,null,864,null,2282,null,735,null,7011,null,1421,null,0400000US26,Michigan,26
38068,null,3839,null,15079,null,2063,null,18645,null,2501,null,1595,null,732,null,858,null,494,null,1891,null,736,null,0400000US27,Minnesota,27
15584,null,3075,null,7192,null,1979,null,6984,null,1869,null,941,null,697,null,305,null,281,null,162,null,144,null,0400000US28,Mississippi,28
34101,null,3783,null,12051,null,2529,null,17423,null,2221,null,1197,null,548,null,519,null,264,null,2911,null,931,null,0400000US29,Missouri,29
