C01001I_001E,C01001I_001EA,C01001I_001M,C01001I_001MA,C01001I_002E,C01001I_002EA,C01001I_002M,C01001I_002MA,C01001I_003E,C01001I_003EA,C01001I_003M,C01001I_003MA,C01001I_004E,C01001I_004EA,C01001I_004M,C01001I_004MA,C01001I_005E,C01001I_005EA,C01001I_005M,C01001I_005MA,C01001I_006E,C01001I_006EA,C01001I_006M,C01001I_006MA,C01001I_007E,C01001I_007EA,C01001I_007M,C01001I_007MA,C01001I_008E,C01001I_008EA,C01001I_008M,C01001I_008MA,C01001I_009E,C01001I_009EA,C01001I_009M,C01001I_009MA,GEO_ID,NAME,state
130164,null,1800,null,73825,null,2912,null,28376,null,1597,null,43696,null,2344,null,1753,null,593,null,56339,null,2270,null,23156,null,1675,null,30829,null,1499,null,2354,null,721,null,0400000US01,Alabama,01
42588,null,1669,null,24511,null,1524,null,9028,null,662,null,14850,null,1380,null,633,null,311,null,18077,null,909,null,6422,null,705,null,10893,null,562,null,762,null,399,null,0400000US02,Alaska,02
1959197,null,1639,null,1016167,null,1489,null,375856,null,1163,null,597941,null,839,null,42370,null,687,null,943030,null,1180,null,357842,null,963,null,531606,null,847,null,53582,null,748,null,0400000US04,Arizona,04
157478,null,1645,null,85060,null,2066,null,33630,null,1847,null,50182,null,1350,null,1248,null,470,null,72418,null,1843,null,31748,null,1561,null,39067,null,1147,null,1603,null,660,null,0400000US05,Arkansas,05
13457397,null,0,*****,6907415,null,2034,null,2376927,null,1717,null,4225918,null,1045,null,304570,null,1161,null,6549982,null,2035,null,2277736,null,1758,null,3864001,null,1075,null,408245,null,941,null,0400000US06,California,06
997060,null,0,*****,522941,null,1929,null,180370,null,1903,null,319910,null,1302,null,22661,null,921,null,474119,null,1927,null,173714,null,1869,null,272650,null,1086,null,27755,null,773,null,0400000US08,Colorado,08
419391,null,0,*****,211009,null,1486,null,71320,null,1267,null,131262,null,474,null,8427,null,423,null,208382,null,1487,null,69206,null,1268,null,127596,null,514,null,11580,null,451,null,0400000US09,Connecticut,09
59093,null,0,*****,30684,null,694,null,11359,null,652,null,18570,null,446,null,755,null,394,null,28409,null,694,null,12027,null,652,null,15405,null,546,null,977,null,507,null,0400000US10,Delaware,10
51124,null,0,*****,26504,null,346,null,6147,null,346,null,19312,null,0,*****,1045,null,0,*****,24620,null,346,null,6352,null,345,null,16450,null,0,*****,1818,null,0,*****,0400000US11,District of Columbia,11
3845964,null,2070,null,1944969,null,5903,null,518449,null,3151,null,1253190,null,7244,null,173330,null,1225,null,1900995,null,5445,null,492622,null,3728,null,1170861,null,3070,null,237512,null,1223,null,0400000US12,Florida,12
769982,null,2566,null,437731,null,3995,null,155715,null,2732,null,272629,null,3660,null,9387,null,1362,null,332251,null,3613,null,138489,null,2704,null,182421,null,2844,null,11341,null,1072,null,0400000US13,Georgia,13
112320,null,0,*****,58801,null,737,null,21523,null,637,null,34936,null,202,null,2342,null,284,null,53519,null,737,null,20635,null,638,null,29759,null,256,null,3125,null,291,null,0400000US15,Hawaii,15
155831,null,0,*****,83301,null,1524,null,33986,null,1134,null,46813,null,749,null,2502,null,527,null,72530,null,1525,null,30628,null,1012,null,39315,null,1315,null,2587,null,858,null,0400000US16,Idaho,16
1967568,null,1742,null,1039870,null,2247,null,353388,null,1908,null,649163,null,1475,null,37319,null,634,null,927698,null,2338,null,338257,null,1938,null,545269,null,1395,null,44172,null,1017,null,0400000US17,Illinois,17
328725,null,1643,null,178034,null,2640,null,66619,null,2227,null,106483,null,1812,null,4932,null,662,null,150691,null,2444,null,60872,null,2093,null,82404,null,1528,null,7415,null,1091,null,0400000US18,Indiana,18
123895,null,1250,null,64732,null,1867,null,25338,null,1589,null,38055,null,1317,null,1339,null,603,null,59163,null,1929,null,25364,null,1466,null,31747,null,1268,null,2052,null,551,null,0400000US19,Iowa,19
254297,null,790,null,133571,null,1860,null,49390,null,1357,null,80011,null,1279,null,4170,null,864,null,120726,null,1865,null,48987,null,1511,null,65760,null,1131,null,5979,null,759,null,0400000US20,Kansas,20
98346,null,2334,null,55146,null,2538,null,20398,null,1681,null,33634,null,1621,null,1114,null,520,null,43200,null,2289,null,19880,null,1498,null,21839,null,1591,null,1481,null,526,null,0400000US21,Kentucky,21
149401,null,1942,null,76964,null,2190,null,22952,null,1648,null,49827,null,1786,null,4185,null,599,null,72437,null,2078,null,22465,null,1683,null,42398,null,1202,null,7574,null,790,null,0400000US22,Louisiana,22
13350,null,697,null,5592,null,773,null,2146,null,657,null,3096,null,625,null,350,null,311,null,7758,null,977,null,2794,null,744,null,4445,null,722,null,519,null,446,null,0400000US23,Maine,23
374011,null,1149,null,198325,null,1784,null,65968,null,1492,null,126050,null,1532,null,6307,null,520,null,175686,null,1581,null,59664,null,1192,null,106386,null,1167,null,9636,null,635,null,0400000US24,Maryland,24
556898,null,0,*****,279598,null,796,null,96071,null,647,null,173484,null,822,null,10043,null,496,null,277300,null,796,null,91231,null,598,null,172175,null,613,null,13894,null,498,null,0400000US25,Massachusetts,25
413286,null,1183,null,215736,null,1975,null,78054,null,1606,null,129985,null,1656,null,7697,null,786,null,197550,null,2015,null,75515,null,1739,null,111236,null,1927,null,10799,null,1125,null,0400000US26,Michigan,26
215821,null,324,null,113093,null,1674,null,41882,null,1150,null,69010,null,1393,null,2201,null,460,null,102728,null,1680,null,43954,null,1132,null,54898,null,1408,null,3876,null,819,null,0400000US27,Minnesota,27
58385,null,3459,null,33464,null,2709,null,9506,null,1335,null,23174,null,2563,null,784,null,437,null,24921,null,2272,null,9719,null,1601,null,14172,null,1374,null,1030,null,479,null,0400000US28,Mississippi,28
186829,null,1223,null,97513,null,1827,null,37025,null,1483,null,57348,null,1535,null,3140,null,600,null,89316,null,1777,null,35765,null,1376,null,48909,null,1278,null,4642,null,664,null,0400000US29,Missouri,29
27318,null,427,null,12374,null,1226,null,5260,null,848,null,6543,null,737,null,571,null,332,null,14944,null,1214,null,7144,null,1264,null,7202,null,941,null,598,null,263,null,0400000US30,Montana,30
139771,null,452,null,75024,null,1501,null,29652,null,1175,null,43607,null,1266,null,1765,null,565,null,64747,null,1439,null,27002,null,1328,null,34989,null,1085,null,2756,null,712,null,0400000US31,Nebraska,31
668532,null,0,*****,353066,null,1807,null,129514,null,1245,null,211351,null,989,null,12201,null,560,null,315466,null,1807,null,122339,null,1246,null,178849,null,1049,null,14278,null,462,null,0400000US32,Nevada,32
34605,null,935,null,17039,null,1084,null,6104,null,820,null,10744,null,795,null,191,null,207,null,17566,null,1116,null,6613,null,856,null,9801,null,712,null,1152,null,577,null,0400000US33,New Hampshire,33
1418545,null,0,*****,723557,null,1232,null,217465,null,1004,null,467133,null,1267,null,38959,null,1175,null,694988,null,1233,null,206753,null,1004,null,434723,null,804,null,53512,null,814,null,0400000US34,New Jersey,34
891011,null,0,*****,445799,null,1344,null,141145,null,1358,null,268516,null,810,null,36138,null,791,null,445212,null,1344,null,133255,null,1355,null,265922,null,480,null,46035,null,625,null,0400000US35,New Mexico,35
3248527,null,1362,null,1609944,null,2577,null,480005,null,1780,null,1034833,null,1743,null,95106,null,880,null,1638583,null,2148,null,457854,null,1626,null,1035438,null,1765,null,145291,null,1020,null,0400000US36,New York,36
682516,null,991,null,378237,null,4005,null,136523,null,3630,null,236587,null,2618,null,5127,null,976,null,304279,null,4049,null,131730,null,3578,null,164865,null,2509,null,7684,null,1122,null,0400000US37,North Carolina,37
12946,null,961,null,6710,null,950,null,2429,null,675,null,4187,null,689,null,94,null,96,null,6236,null,839,null,2128,null,622,null,4038,null,537,null,70,null,78,null,0400000US38,North Dakota,38
299778,null,2377,null,156719,null,2332,null,59653,null,2071,null,90431,null,1832,null,6635,null,888,null,143059,null,2627,null,55127,null,1927,null,80048,null,1746,null,7884,null,882,null,0400000US39,Ohio,39
278760,null,1072,null,148744,null,2145,null,56609,null,1598,null,87577,null,1716,null,4558,null,716,null,130016,null,2323,null,54939,null,1572,null,69415,null,1534,null,5662,null,794,null,0400000US40,Oklahoma,40
416044,null,0,*****,227382,null,1985,null,86597,null,1569,null,135014,null,1180,null,5771,null,918,null,188662,null,1986,null,77839,null,1608,null,103982,null,1269,null,6841,null,946,null,0400000US41,Oregon,41
595128,null,1090,null,305193,null,2227,null,113856,null,1622,null,179834,null,1754,null,11503,null,999,null,289935,null,1950,null,110383,null,1576,null,165423,null,1563,null,14129,null,968,null,0400000US42,Pennsylvania,42
122206,null,0,*****,60874,null,766,null,22435,null,785,null,36095,null,710,null,2344,null,366,null,61332,null,766,null,21439,null,721,null,36716,null,628,null,3177,null,241,null,0400000US44,Rhode Island,44
182194,null,1909,null,101144,null,2143,null,35701,null,2090,null,63174,null,1465,null,2269,null,584,null,81050,null,2528,null,33670,null,2225,null,43467,null,1051,null,3913,null,788,null,0400000US45,South Carolina,45
18945,null,1214,null,10834,null,927,null,5152,null,624,null,5624,null,766,null,58,null,72,null,8111,null,1074,null,2895,null,748,null,4876,null,589,null,340,null,232,null,0400000US46,South Dakota,46
227897,null,2004,null,125235,null,2679,null,45426,null,1812,null,76912,null,1995,null,2897,null,905,null,102662,null,2599,null,45742,null,1919,null,53206,null,1668,null,3714,null,936,null,0400000US47,Tennessee,47
8870472,null,0,*****,4553111,null,4581,null,1593353,null,3871,null,2747422,null,4045,null,212336,null,2115,null,4317361,null,4580,null,1518105,null,3685,null,2513537,null,2837,null,285719,null,1832,null,0400000US48,Texas,48
329068,null,0,*****,175650,null,1434,null,70716,null,1149,null,100291,null,1031,null,4643,null,432,null,153418,null,1434,null,63304,null,1149,null,84120,null,1094,null,5994,null,248,null,0400000US49,Utah,49
7598,null,435,null,3540,null,725,null,893,null,300,null,2498,null,713,null,149,null,158,null,4058,null,716,null,1447,null,460,null,2079,null,623,null,532,null,296,null,0400000US50,Vermont,50
529836,null,3000,null,281408,null,3403,null,91338,null,2501,null,184759,null,2574,null,5311,null,645,null,248428,null,3386,null,85372,null,2588,null,152740,null,2735,null,10316,null,1179,null,0400000US51,Virginia,51
643684,null,0,*****,341340,null,1876,null,130974,null,1685,null,201934,null,1211,null,8432,null,982,null,302344,null,1875,null,126010,null,1682,null,165675,null,1186,null,10659,null,893,null,0400000US53,Washington,53
20398,null,1731,null,10007,null,1430,null,3747,null,946,null,5479,null,876,null,781,null,383,null,10391,null,1312,null,3710,null,851,null,5909,null,1017,null,772,null,389,null,0400000US54,West Virginia,54
286112,null,1024,null,153191,null,1579,null,56820,null,1328,null,92362,null,1083,null,4009,null,483,null,132921,null,1639,null,54317,null,1323,null,74197,null,978,null,4407,null,488,null,0400000US55,Wisconsin,55
41164,null,0,*****,21444,null,1271,null,8113,null,1045,null,12114,null,1191,null,1217,null,413,null,19720,null,1272,null,6804,null,1041,null,11823,null,743,null,1093,null,471,null,0400000US56,Wyoming,56
3912844,null,4053,null,1873654,null,3875,null,496894,null,2955,null,1146744,null,2526,null,230016,null,722,null,2039190,null,3434,null,477562,null,2609,null,1255930,null,1783,null,305698,null,533,null,0400000US72,Puerto Rico,72
