B12502_001E,B12502_001EA,B12502_001M,B12502_001MA,B12502_002E,B12502_002EA,B12502_002M,B12502_002MA,B12502_003E,B12502_003EA,B12502_003M,B12502_003MA,B12502_004E,B12502_004EA,B12502_004M,B12502_004MA,B12502_005E,B12502_005EA,B12502_005M,B12502_005MA,B12502_006E,B12502_006EA,B12502_006M,B12502_006MA,B12502_007E,B12502_007EA,B12502_007M,B12502_007MA,B12502_008E,B12502_008EA,B12502_008M,B12502_008MA,B12502_009E,B12502_009EA,B12502_009M,B12502_009MA,B12502_010E,B12502_010EA,B12502_010M,B12502_010MA,B12502_011E,B12502_011EA,B12502_011M,B12502_011MA,GEO_ID,NAME,state
3735070,null,2776,null,1784934,null,3194,null,549111,null,9407,null,1235823,null,9499,null,8788,null,1240,null,1227035,null,9472,null,1950136,null,2827,null,479004,null,7630,null,1471132,null,7297,null,19477,null,1756,null,1451655,null,7230,null,0400000US01,Alabama,01
537334,null,1673,null,280866,null,1780,null,107830,null,4014,null,173036,null,3548,null,580,null,318,null,172456,null,3559,null,256468,null,1173,null,77322,null,3051,null,179146,null,3242,null,1163,null,413,null,177983,null,3301,null,0400000US02,Alaska,02
5065307,null,1822,null,2522771,null,2326,null,894151,null,13305,null,1628620,null,13338,null,11031,null,1603,null,1617589,null,13410,null,2542536,null,1883,null,700594,null,11130,null,1841942,null,11462,null,20593,null,2792,null,1821349,null,11576,null,0400000US04,Arizona,04
2273362,null,2617,null,1098677,null,3077,null,318556,null,6906,null,780121,null,6874,null,5305,null,1216,null,774816,null,6950,null,1174685,null,3009,null,269686,null,6582,null,904999,null,6485,null,10729,null,1312,null,894270,null,6728,null,0400000US05,Arkansas,05
29026913,null,3327,null,14424723,null,4146,null,5613051,null,25280,null,8811672,null,24796,null,42100,null,3243,null,8769572,null,24753,null,14602190,null,3275,null,4584495,null,22330,null,10017695,null,22611,null,112810,null,4986,null,9904885,null,22776,null,0400000US06,California,06
3932272,null,2038,null,1973373,null,3034,null,658812,null,11544,null,1314561,null,11068,null,4910,null,977,null,1309651,null,10743,null,1958899,null,3413,null,509682,null,9987,null,1449217,null,10545,null,13569,null,1629,null,1435648,null,10627,null,0400000US08,Colorado,08
2839699,null,1329,null,1370107,null,1825,null,476327,null,8018,null,893780,null,7846,null,5044,null,1027,null,888736,null,7939,null,1469592,null,1562,null,426880,null,6899,null,1042712,null,7079,null,13608,null,1809,null,1029104,null,7399,null,0400000US09,Connecticut,09
702906,null,499,null,336121,null,897,null,116464,null,3661,null,219657,null,3693,null,1745,null,555,null,217912,null,3917,null,366785,null,776,null,107948,null,3765,null,258837,null,3642,null,2679,null,773,null,256158,null,3819,null,0400000US10,Delaware,10
499036,null,287,null,232164,null,574,null,133386,null,3533,null,98778,null,3554,null,565,null,321,null,98213,null,3611,null,266872,null,585,null,144713,null,3737,null,122159,null,3682,null,1977,null,768,null,120182,null,3708,null,0400000US11,District of Columbia,11
15023092,null,5532,null,7305655,null,7959,null,2391849,null,21763,null,4913806,null,22074,null,32118,null,2739,null,4881688,null,22157,null,7717437,null,5192,null,1910856,null,14144,null,5806581,null,14982,null,74647,null,4852,null,5731934,null,16179,null,0400000US12,Florida,12
7561173,null,4493,null,3673622,null,5424,null,1278977,null,15882,null,2394645,null,15519,null,14612,null,2120,null,2380033,null,15387,null,3887551,null,4810,null,1129884,null,14418,null,2757667,null,13626,null,34636,null,2724,null,2723031,null,13749,null,0400000US13,Georgia,13
1052486,null,1649,null,526221,null,1102,null,198183,null,5154,null,328038,null,5035,null,1746,null,461,null,326292,null,5022,null,526265,null,1772,null,145229,null,4765,null,381036,null,4573,null,5611,null,1087,null,375425,null,4601,null,0400000US15,Hawaii,15
1179440,null,1637,null,588872,null,1858,null,165942,null,5044,null,422930,null,4624,null,1907,null,504,null,421023,null,4615,null,590568,null,1806,null,128245,null,5048,null,462323,null,5122,null,3106,null,755,null,459217,null,5156,null,0400000US16,Idaho,16
10269170,null,2777,null,5009569,null,3726,null,1844143,null,16602,null,3165426,null,17136,null,17583,null,1848,null,3147843,null,17642,null,5259601,null,3650,null,1621960,null,13703,null,3637641,null,13492,null,41023,null,2849,null,3596618,null,13995,null,0400000US17,Illinois,17
5065862,null,3014,null,2466787,null,3043,null,767469,null,11421,null,1699318,null,11720,null,9369,null,1349,null,1689949,null,11878,null,2599075,null,2681,null,658907,null,8751,null,1940168,null,8794,null,22768,null,2161,null,1917400,null,9167,null,0400000US18,Indiana,18
2418896,null,2129,null,1182697,null,2367,null,368380,null,6886,null,814317,null,6419,null,5239,null,966,null,809078,null,6602,null,1236199,null,2218,null,300580,null,5443,null,935619,null,5716,null,12130,null,1391,null,923489,null,5683,null,0400000US19,Iowa,19
