C20005I_001E,C20005I_001EA,C20005I_001M,C20005I_001MA,C20005I_002E,C20005I_002EA,C20005I_002M,C20005I_002MA,C20005I_003E,C20005I_003EA,C20005I_003M,C20005I_003MA,C20005I_004E,C20005I_004EA,C20005I_004M,C20005I_004MA,C20005I_005E,C20005I_005EA,C20005I_005M,C20005I_005MA,C20005I_006E,C20005I_006EA,C20005I_006M,C20005I_006MA,C20005I_007E,C20005I_007EA,C20005I_007M,C20005I_007MA,C20005I_008E,C20005I_008EA,C20005I_008M,C20005I_008MA,C20005I_009E,C20005I_009EA,C20005I_009M,C20005I_009MA,C20005I_010E,C20005I_010EA,C20005I_010M,C20005I_010MA,C20005I_011E,C20005I_011EA,C20005I_011M,C20005I_011MA,C20005I_012E,C20005I_012EA,C20005I_012M,C20005I_012MA,C20005I_013E,C20005I_013EA,C20005I_013M,C20005I_013MA,C20005I_014E,C20005I_014EA,C20005I_014M,C20005I_014MA,C20005I_015E,C20005I_015EA,C20005I_015M,C20005I_015MA,C20005I_016E,C20005I_016EA,C20005I_016M,C20005I_016MA,C20005I_017E,C20005I_017EA,C20005I_017M,C20005I_017MA,C20005I_018E,C20005I_018EA,C20005I_018M,C20005I_018MA,C20005I_019E,C20005I_019EA,C20005I_019M,C20005I_019MA,C20005I_020E,C20005I_020EA,C20005I_020M,C20005I_020MA,C20005I_021E,C20005I_021EA,C20005I_021M,C20005I_021MA,C20005I_022E,C20005I_022EA,C20005I_022M,C20005I_022MA,C20005I_023E,C20005I_023EA,C20005I_023M,C20005I_023MA,C20005I_024E,C20005I_024EA,C20005I_024M,C20005I_024MA,C20005I_025E,C20005I_025EA,C20005I_025M,C20005I_025MA,C20005I_026E,C20005I_026EA,C20005I_026M,C20005I_026MA,C20005I_027E,C20005I_027EA,C20005I_027M,C20005I_027MA,C20005I_028E,C20005I_028EA,C20005I_028M,C20005I_028MA,C20005I_029E,C20005I_029EA,C20005I_029M,C20005I_029MA,C20005I_030E,C20005I_030EA,C20005I_030M,C20005I_030MA,C20005I_031E,C20005I_031EA,C20005I_031M,C20005I_031MA,C20005I_032E,C20005I_032EA,C20005I_032M,C20005I_032MA,C20005I_033E,C20005I_033EA,C20005I_033M,C20005I_033MA,C20005I_034E,C20005I_034EA,C20005I_034M,C20005I_034MA,C20005I_035E,C20005I_035EA,C20005I_035M,C20005I_035MA,C20005I_036E,C20005I_036EA,C20005I_036M,C20005I_036MA,C20005I_037E,C20005I_037EA,C20005I_037M,C20005I_037MA,C20005I_038E,C20005I_038EA,C20005I_038M,C20005I_038MA,C20005I_039E,C20005I_039EA,C20005I_039M,C20005I_039MA,GEO_ID,NAME,state
81621,null,2262,null,47641,null,2590,null,29345,null,2608,null,0,null,271,null,29345,null,2608,null,752,null,489,null,9432,null,2097,null,9110,null,1671,null,5938,null,1427,null,2830,null,795,null,1283,null,503,null,18296,null,2679,null,5708,null,1288,null,12588,null,2318,null,5531,null,1500,null,4893,null,1411,null,433,null,285,null,1530,null,751,null,201,null,134,null,0,null,271,null,33980,null,1323,null,10842,null,1797,null,0,null,271,null,10842,null,1797,null,478,null,409,null,5727,null,1442,null,1618,null,599,null,2084,null,772,null,549,null,327,null,386,null,404,null,23138,null,1897,null,13952,null,1627,null,9186,null,1411,null,4940,null,1099,null,3124,null,894,null,486,null,333,null,394,null,285,null,161,null,162,null,81,null,143,null,0400000US01,Alabama,01
28460,null,1556,null,16345,null,1496,null,9015,null,1317,null,313,null,474,null,8702,null,1423,null,486,null,521,null,905,null,528,null,2072,null,809,null,2560,null,908,null,2178,null,930,null,501,null,397,null,7330,null,1751,null,1515,null,584,null,5815,null,1724,null,1756,null,712,null,1544,null,769,null,643,null,451,null,430,null,298,null,111,null,102,null,1331,null,985,null,12115,null,519,null,4784,null,751,null,0,null,240,null,4784,null,751,null,13,null,23,null,529,null,401,null,886,null,399,null,2503,null,744,null,455,null,258,null,398,null,283,null,7331,null,836,null,2440,null,630,null,4891,null,706,null,1810,null,698,null,1638,null,591,null,1096,null,529,null,193,null,175,null,154,null,137,null,0,null,240,null,0400000US02,Alaska,02
1292968,null,2806,null,674246,null,2153,null,384123,null,8318,null,0,null,302,null,384123,null,8318,null,7981,null,1738,null,76251,null,6043,null,95784,null,7177,null,123921,null,6315,null,53441,null,4161,null,26745,null,2848,null,290123,null,8674,null,133410,null,6159,null,156713,null,7650,null,68731,null,4698,null,43231,null,3957,null,23640,null,3069,null,13625,null,2362,null,4398,null,1261,null,3088,null,1386,null,618722,null,2050,null,212860,null,7953,null,0,null,302,null,212860,null,7953,null,9474,null,1813,null,54753,null,4459,null,61876,null,4140,null,61153,null,4469,null,17549,null,2377,null,8055,null,1604,null,405862,null,7913,null,251078,null,7390,null,154784,null,6753,null,84484,null,4570,null,43054,null,4034,null,14293,null,2259,null,8302,null,1523,null,3883,null,1059,null,768,null,400,null,0400000US04,Arizona,04
97251,null,1815,null,54251,null,1639,null,34728,null,1888,null,0,null,269,null,34728,null,1888,null,1658,null,638,null,12156,null,1953,null,11092,null,1884,null,6922,null,1648,null,1787,null,827,null,1113,null,560,null,19523,null,2027,null,6920,null,1396,null,12603,null,1768,null,6735,null,1252,null,3279,null,904,null,1587,null,752,null,963,null,630,null,39,null,70,null,0,null,269,null,43000,null,1222,null,14709,null,1556,null,0,null,269,null,14709,null,1556,null,1176,null,531,null,5358,null,1199,null,5479,null,1302,null,1899,null,656,null,307,null,239,null,490,null,355,null,28291,null,1825,null,16357,null,1973,null,11934,null,1745,null,6765,null,1341,null,3877,null,1132,null,1081,null,613,null,211,null,177,null,0,null,269,null,0,null,269,null,0400000US05,Arkansas,05
9300457,null,7355,null,4789220,null,5132,null,2581445,null,23297,null,0,null,294,null,2581445,null,23297,null,58675,null,5455,null,531932,null,16214,null,589720,null,12612,null,741277,null,12213,null,413368,null,12038,null,246473,null,8894,null,2207775,null,23284,null,1020438,null,13363,null,1187337,null,19820,null,481260,null,12405,null,356300,null,12240,null,158010,null,7869,null,120909,null,6927,null,45268,null,4049,null,25590,null,2976,null,4511237,null,5354,null,1470376,null,15773,null,239,null,224,null,1470137,null,15783,null,53045,null,4269,null,385897,null,10174,null,347234,null,9495,null,413360,null,12575,null,182204,null,6958,null,88397,null,4639,null,3040861,null,16377,null,1808337,null,17273,null,1232524,null,16679,null,646839,null,12036,null,353522,null,10371,null,113728,null,5161,null,76075,null,4690,null,28355,null,2832,null,14005,null,1718,null,0400000US06,California,06
674790,null,1920,null,359161,null,1722,null,191866,null,5920,null,43,null,73,null,191823,null,5915,null,5187,null,1544,null,37815,null,3732,null,46558,null,3986,null,59862,null,4723,null,26758,null,3038,null,15643,null,2333,null,167295,null,6122,null,64950,null,3515,null,102345,null,5232,null,43608,null,3928,null,30952,null,3167,null,14231,null,2143,null,9632,null,1719,null,2861,null,812,null,1061,null,381,null,315629,null,1749,null,115717,null,4289,null,0,null,275,null,115717,null,4289,null,5152,null,1686,null,29125,null,3120,null,30027,null,2776,null,37398,null,3394,null,10112,null,1444,null,3903,null,1089,null,199912,null,4572,null,110595,null,4127,null,89317,null,4136,null,47678,null,3447,null,25465,null,2711,null,8844,null,1555,null,4824,null,1115,null,1679,null,588,null,827,null,549,null,0400000US08,Colorado,08
292916,null,1228,null,146350,null,1207,null,73861,null,3383,null,0,null,275,null,73861,null,3383,null,2081,null,667,null,8514,null,2042,null,15047,null,2372,null,27827,null,2655,null,12255,null,1630,null,8137,null,1259,null,72489,null,3479,null,31581,null,2834,null,40908,null,3610,null,17586,null,2446,null,14033,null,2417,null,3250,null,1050,null,3409,null,996,null,1646,null,893,null,984,null,519,null,146566,null,1040,null,51985,null,3109,null,0,null,275,null,51985,null,3109,null,1126,null,497,null,9195,null,2089,null,14253,null,1802,null,17214,null,2148,null,6785,null,1403,null,3412,null,855,null,94581,null,3103,null,50390,null,2775,null,44191,null,2802,null,23148,null,1901,null,12002,null,1905,null,4574,null,864,null,2626,null,910,null,1121,null,447,null,720,null,400,null,0400000US09,Connecticut,09
38155,null,259,null,20292,null,576,null,13393,null,937,null,0,null,263,null,13393,null,937,null,196,null,146,null,2367,null,779,null,5182,null,1170,null,3208,null,903,null,1518,null,593,null,922,null,506,null,6899,null,1139,null,2641,null,732,null,4258,null,919,null,2075,null,604,null,648,null,400,null,1112,null,536,null,423,null,292,null,0,null,263,null,0,null,263,null,17863,null,605,null,6219,null,1061,null,0,null,263,null,6219,null,1061,null,0,null,263,null,1149,null,531,null,2536,null,830,null,1510,null,621,null,782,null,379,null,242,null,228,null,11644,null,1341,null,7387,null,1339,null,4257,null,905,null,2163,null,620,null,1224,null,500,null,643,null,444,null,134,null,132,null,93,null,113,null,0,null,263,null,0400000US10,Delaware,10
39394,null,345,null,20673,null,288,null,13189,null,1289,null,0,null,296,null,13189,null,1289,null,554,null,632,null,1359,null,675,null,2048,null,947,null,4623,null,1110,null,1411,null,730,null,3194,null,1024,null,7484,null,1331,null,2771,null,924,null,4713,null,1256,null,1579,null,742,null,976,null,620,null,1021,null,703,null,376,null,323,null,399,null,299,null,362,null,260,null,18721,null,353,null,8337,null,1219,null,0,null,296,null,8337,null,1219,null,589,null,459,null,2494,null,997,null,1418,null,857,null,1543,null,683,null,564,null,357,null,1729,null,595,null,10384,null,1310,null,5541,null,1244,null,4843,null,1148,null,2101,null,731,null,1168,null,510,null,836,null,567,null,463,null,581,null,78,null,134,null,197,null,216,null,0400000US11,District of Columbia,11
2938390,null,5605,null,1478546,null,7236,null,806315,null,13304,null,302,null,322,null,806013,null,13268,null,20380,null,3107,null,148261,null,8432,null,201397,null,8815,null,232151,null,8227,null,112573,null,5761,null,91251,null,4745,null,672231,null,16229,null,339091,null,8387,null,333140,null,13600,null,141089,null,8768,null,100768,null,8186,null,43677,null,4174,null,31656,null,3437,null,8637,null,1555,null,7313,null,1083,null,1459844,null,4444,null,548774,null,10311,null,68,null,112,null,548706,null,10325,null,19155,null,2709,null,143851,null,7036,null,140018,null,6892,null,156523,null,6695,null,57517,null,4188,null,31642,null,2786,null,911070,null,11223,null,585497,null,11487,null,325573,null,7582,null,162330,null,6130,null,96717,null,5025,null,31668,null,2886,null,25611,null,2789,null,6198,null,1108,null,3049,null,849,null,0400000US12,Florida,12
