B25116_001E,B25116_001EA,B25116_001M,B25116_001MA,B25116_002E,B25116_002EA,B25116_002M,B25116_002MA,B25116_003E,B25116_003EA,B25116_003M,B25116_003MA,B25116_004E,B25116_004EA,B25116_004M,B25116_004MA,B25116_005E,B25116_005EA,B25116_005M,B25116_005MA,B25116_006E,B25116_006EA,B25116_006M,B25116_006MA,B25116_007E,B25116_007EA,B25116_007M,B25116_007MA,B25116_008E,B25116_008EA,B25116_008M,B25116_008MA,B25116_009E,B25116_009EA,B25116_009M,B25116_009MA,B25116_010E,B25116_010EA,B25116_010M,B25116_010MA,B25116_011E,B25116_011EA,B25116_011M,B25116_011MA,B25116_012E,B25116_012EA,B25116_012M,B25116_012MA,B25116_013E,B25116_013EA,B25116_013M,B25116_013MA,B25116_014E,B25116_014EA,B25116_014M,B25116_014MA,B25116_015E,B25116_015EA,B25116_015M,B25116_015MA,B25116_016E,B25116_016EA,B25116_016M,B25116_016MA,B25116_017E,B25116_017EA,B25116_017M,B25116_017MA,B25116_018E,B25116_018EA,B25116_018M,B25116_018MA,B25116_019E,B25116_019EA,B25116_019M,B25116_019MA,B25116_020E,B25116_020EA,B25116_020M,B25116_020MA,B25116_021E,B25116_021EA,B25116_021M,B25116_021MA,B25116_022E,B25116_022EA,B25116_022M,B25116_022MA,B25116_023E,B25116_023EA,B25116_023M,B25116_023MA,GEO_ID,NAME,state
1815865,null,10024,null,1289155,null,10987,null,320430,null,7389,null,116503,null,4672,null,66035,null,3564,null,60382,null,3211,null,77510,null,3820,null,968725,null,9944,null,562613,null,9096,null,196531,null,3994,null,129740,null,3332,null,79841,null,3089,null,526710,null,11922,null,206369,null,7241,null,126049,null,6108,null,32535,null,2537,null,20538,null,2229,null,27247,null,2320,null,320341,null,9741,null,278410,null,9186,null,23924,null,2090,null,9846,null,1482,null,8161,null,1391,null,0400000US01,Alabama,01
237607,null,2898,null,154334,null,3685,null,31586,null,2544,null,14864,null,1866,null,9226,null,1199,null,4026,null,871,null,3470,null,708,null,122748,null,3797,null,80775,null,3437,null,25961,null,1768,null,11227,null,997,null,4785,null,662,null,83273,null,3590,null,28450,null,2417,null,20453,null,2122,null,4522,null,934,null,2180,null,603,null,1295,null,465,null,54823,null,2723,null,49023,null,2789,null,3991,null,1009,null,1218,null,513,null,591,null,319,null,0400000US02,Alaska,02
2273842,null,11467,null,1548890,null,13720,null,370462,null,8791,null,130699,null,5536,null,81548,null,4074,null,68942,null,3185,null,89273,null,3857,null,1178428,null,14718,null,671677,null,13027,null,228454,null,5153,null,160462,null,3619,null,117835,null,4113,null,724952,null,12371,null,259986,null,7967,null,168647,null,7179,null,37485,null,3028,null,18658,null,1988,null,35196,null,2639,null,464966,null,11153,null,401161,null,9610,null,36482,null,3291,null,13187,null,1708,null,14136,null,1995,null,0400000US04,Arizona,04
1114041,null,8021,null,750639,null,9276,null,171576,null,6332,null,54269,null,3659,null,36540,null,2799,null,32775,null,2715,null,47992,null,2985,null,579063,null,8060,null,330630,null,6042,null,118495,null,3389,null,81279,null,2205,null,48659,null,2231,null,363402,null,7994,null,139345,null,5763,null,85917,null,4846,null,20962,null,2305,null,13307,null,1462,null,19159,null,1921,null,224057,null,6905,null,194854,null,6644,null,15977,null,2040,null,6545,null,1050,null,6681,null,1054,null,0400000US05,Arkansas,05
12176760,null,21139,null,6946432,null,26955,null,1418736,null,15137,null,457680,null,10511,null,317310,null,7658,null,267449,null,6911,null,376297,null,8279,null,5527696,null,27112,null,3314829,null,22092,null,1119948,null,13039,null,631273,null,7540,null,461646,null,7646,null,5230328,null,29953,null,1637088,null,18881,null,1002858,null,15181,null,259465,null,7996,null,160036,null,5761,null,214729,null,7099,null,3593240,null,28163,null,3050145,null,25320,null,309329,null,8829,null,139617,null,5284,null,94149,null,4506,null,0400000US06,California,06
1897835,null,9244,null,1280814,null,11274,null,304491,null,7380,null,141354,null,5204,null,70569,null,3860,null,44463,null,2562,null,48105,null,2323,null,976323,null,11997,null,624638,null,10366,null,194453,null,4064,null,98613,null,2840,null,58619,null,2732,null,617021,null,9872,null,244991,null,7394,null,166220,null,7017,null,33707,null,3103,null,17944,null,1994,null,27120,null,2328,null,372030,null,8971,null,334644,null,8903,null,24180,null,2577,null,7238,null,1172,null,5968,null,1015,null,0400000US08,Colorado,08
1329305,null,5895,null,917062,null,7342,null,195492,null,5852,null,70702,null,3932,null,41124,null,2479,null,32410,null,2456,null,51256,null,2711,null,721570,null,7348,null,442326,null,7511,null,144228,null,3442,null,80647,null,2302,null,54369,null,2353,null,412243,null,8075,null,168090,null,5391,null,89706,null,4860,null,25169,null,2423,null,19303,null,1919,null,33912,null,2505,null,244153,null,6373,null,203419,null,6336,null,21142,null,2487,null,10700,null,1468,null,8892,null,1354,null,0400000US09,Connecticut,09
328654,null,3672,null,241544,null,5028,null,56621,null,3061,null,22241,null,1995,null,13670,null,1579,null,10013,null,1139,null,10697,null,1305,null,184923,null,5041,null,107393,null,4425,null,37329,null,1677,null,24487,null,1360,null,15714,null,1405,null,87110,null,4274,null,31080,null,2561,null,17959,null,2320,null,3928,null,870,null,3803,null,1057,null,5390,null,865,null,56030,null,3835,null,48074,null,3510,null,4493,null,1134,null,1363,null,555,null,2100,null,663,null,0400000US10,Delaware,10
249996,null,3353,null,108571,null,4051,null,43871,null,2849,null,22204,null,2273,null,9705,null,1459,null,6019,null,904,null,5943,null,914,null,64700,null,3773,null,35469,null,3037,null,13053,null,1453,null,7885,null,1049,null,8293,null,1094,null,141425,null,4835,null,73799,null,4252,null,49406,null,3810,null,10600,null,1624,null,7229,null,1112,null,6564,null,1018,null,67626,null,3814,null,56460,null,3534,null,6761,null,1301,null,2912,null,754,null,1493,null,618,null,0400000US11,District of Columbia,11
7057285,null,24241,null,4916497,null,22392,null,1265340,null,19291,null,395317,null,10863,null,252682,null,8531,null,236346,null,6777,null,380995,null,8458,null,3651157,null,23670,null,1920236,null,17848,null,732474,null,9735,null,541446,null,8088,null,457001,null,6899,null,2140788,null,22439,null,767032,null,15599,null,465053,null,13558,null,108753,null,5129,null,72430,null,3708,null,120796,null,5242,null,1373756,null,20928,null,1155364,null,18979,null,115587,null,5603,null,55165,null,3498,null,47640,null,3868,null,0400000US12,Florida,12
