B12002A_001E,B12002A_001EA,B12002A_001M,B12002A_001MA,B12002A_002E,B12002A_002EA,B12002A_002M,B12002A_002MA,B12002A_003E,B12002A_003EA,B12002A_003M,B12002A_003MA,B12002A_004E,B12002A_004EA,B12002A_004M,B12002A_004MA,B12002A_005E,B12002A_005EA,B12002A_005M,B12002A_005MA,B12002A_006E,B12002A_006EA,B12002A_006M,B12002A_006MA,B12002A_007E,B12002A_007EA,B12002A_007M,B12002A_007MA,B12002A_008E,B12002A_008EA,B12002A_008M,B12002A_008MA,B12002A_009E,B12002A_009EA,B12002A_009M,B12002A_009MA,B12002A_010E,B12002A_010EA,B12002A_010M,B12002A_010MA,B12002A_011E,B12002A_011EA,B12002A_011M,B12002A_011MA,B12002A_012E,B12002A_012EA,B12002A_012M,B12002A_012MA,B12002A_013E,B12002A_013EA,B12002A_013M,B12002A_013MA,GEO_ID,NAME,state
2679530,null,3951,null,1300786,null,3241,null,330984,null,6901,null,766980,null,10355,null,17581,null,2294,null,37165,null,2621,null,148076,null,6778,null,1378744,null,2844,null,250568,null,6004,null,759149,null,10039,null,25764,null,2554,null,169838,null,3949,null,173425,null,7281,null,0400000US01,Alabama,01
385271,null,2142,null,205211,null,1568,null,69516,null,3140,null,104177,null,3700,null,3856,null,1079,null,3035,null,764,null,24627,null,2562,null,180060,null,1133,null,46419,null,2563,null,93546,null,3288,null,4212,null,1317,null,9914,null,1155,null,25969,null,2693,null,0400000US02,Alaska,02
4148643,null,17829,null,2058765,null,10997,null,682924,null,13880,null,1065326,null,13887,null,27493,null,3293,null,57081,null,4269,null,225941,null,8985,null,2089878,null,8948,null,523006,null,11366,null,1023463,null,13497,null,38149,null,3638,null,200826,null,5836,null,304434,null,8858,null,0400000US04,Arizona,04
1827510,null,3791,null,887738,null,3206,null,222896,null,5442,null,520813,null,8322,null,13286,null,2054,null,26379,null,2484,null,104364,null,5244,null,939772,null,2657,null,174588,null,5365,null,510680,null,8160,null,20254,null,2136,null,110099,null,3818,null,124151,null,5172,null,0400000US05,Arkansas,05
18530288,null,47160,null,9223224,null,28061,null,3380269,null,24113,null,4618460,null,26765,null,161444,null,9352,null,230842,null,7210,null,832209,null,13162,null,9307064,null,25625,null,2661360,null,19230,null,4368857,null,27042,null,229731,null,9385,null,867153,null,12000,null,1179963,null,17064,null,0400000US06,California,06
3384907,null,10238,null,1694727,null,6666,null,547257,null,10323,null,905727,null,11282,null,23037,null,3126,null,36735,null,2964,null,181971,null,6635,null,1690180,null,5276,null,421576,null,8220,null,886487,null,10282,null,28492,null,3152,null,128926,null,4404,null,224699,null,7767,null,0400000US08,Colorado,08
2316526,null,7737,null,1116007,null,4508,null,353922,null,7362,null,623658,null,9224,null,10183,null,1715,null,32158,null,2480,null,96086,null,4207,null,1200519,null,4099,null,314185,null,6069,null,605548,null,9118,null,15877,null,2013,null,129026,null,4317,null,135883,null,6159,null,0400000US09,Connecticut,09
523208,null,2241,null,251666,null,1342,null,76868,null,2838,null,139307,null,3588,null,3114,null,959,null,8006,null,1289,null,24371,null,2265,null,271542,null,1263,null,66841,null,2667,null,139148,null,4017,null,4341,null,1254,null,27874,null,1810,null,33338,null,2789,null,0400000US10,Delaware,10
197031,null,2767,null,98434,null,1629,null,56064,null,2407,null,34511,null,2240,null,964,null,584,null,1328,null,535,null,5567,null,1220,null,98597,null,1593,null,55472,null,2459,null,30123,null,2132,null,1589,null,735,null,4420,null,849,null,6993,null,940,null,0400000US11,District of Columbia,11
11924483,null,20094,null,5820956,null,14807,null,1719367,null,18936,null,3149584,null,21026,null,96894,null,6451,null,199289,null,7053,null,655822,null,14322,null,6103527,null,11116,null,1286085,null,14773,null,3054153,null,22158,null,138880,null,7208,null,765588,null,12357,null,858821,null,16563,null,0400000US12,Florida,12
4809102,null,11801,null,2369794,null,8429,null,673639,null,12140,null,1357846,null,15896,null,31417,null,3724,null,57040,null,3315,null,249852,null,8839,null,2439308,null,6203,null,518010,null,10656,null,1336235,null,14382,null,44120,null,3879,null,237721,null,5572,null,303222,null,9050,null,0400000US13,Georgia,13
296890,null,2443,null,162321,null,1633,null,59352,null,3251,null,81072,null,3592,null,1093,null,543,null,3151,null,1015,null,17653,null,2115,null,134569,null,1515,null,32259,null,2530,null,71551,null,3484,null,2111,null,656,null,10165,null,1286,null,18483,null,2373,null,0400000US15,Hawaii,15
1105246,null,3624,null,550223,null,2376,null,149787,null,4698,null,324252,null,6800,null,5489,null,1233,null,12419,null,1509,null,58276,null,3800,null,555023,null,2145,null,116970,null,4560,null,312248,null,6284,null,8353,null,1581,null,43699,null,2486,null,73753,null,3751,null,0400000US16,Idaho,16
7641836,null,19429,null,3746646,null,10416,null,1239109,null,12175,null,2046758,null,15711,null,35445,null,3452,null,101129,null,4365,null,324205,null,6992,null,3895190,null,11148,null,1030663,null,10009,null,1986824,null,15407,null,53719,null,3688,null,408344,null,7276,null,415640,null,10244,null,0400000US17,Illinois,17
4411884,null,6347,null,2149864,null,3916,null,621848,null,9604,null,1204041,null,13142,null,20082,null,2435,null,55685,null,3196,null,248208,null,7862,null,2262020,null,3562,null,514035,null,7670,null,1190721,null,13253,null,32336,null,2814,null,230929,null,6435,null,293999,null,7962,null,0400000US18,Indiana,18
2268067,null,3623,null,1101677,null,2496,null,328458,null,6092,null,631049,null,8127,null,8538,null,1359,null,28385,null,1797,null,105247,null,4421,null,1166390,null,2148,null,271501,null,4845,null,628190,null,7334,null,14200,null,1886,null,125219,null,3796,null,127280,null,4586,null,0400000US19,Iowa,19
1943017,null,5487,null,951437,null,3945,null,273659,null,5793,null,548799,null,6930,null,9869,null,1657,null,23812,null,1856,null,95298,null,4497,null,991580,null,2828,null,215159,null,5583,null,541849,null,7592,null,12206,null,1757,null,101120,null,3443,null,121246,null,4283,null,0400000US20,Kansas,20
3094625,null,3503,null,1493994,null,3135,null,415936,null,8369,null,836453,null,10868,null,25325,null,3160,null,42590,null,2935,null,173690,null,7245,null,1600631,null,2741,null,337362,null,7441,null,831912,null,11809,null,35159,null,3261,null,181566,null,4984,null,214632,null,6804,null,0400000US21,Kentucky,21
2306402,null,4301,null,1119090,null,3252,null,327791,null,7100,null,625178,null,7878,null,18173,null,2600,null,30431,null,2523,null,117517,null,6472,null,1187312,null,2664,null,254160,null,7046,null,623833,null,9076,null,23724,null,2884,null,136484,null,4914,null,149111,null,4808,null,0400000US22,Louisiana,22
1057772,null,1330,null,509349,null,778,null,153625,null,4989,null,276399,null,6089,null,4368,null,997,null,14254,null,1496,null,60703,null,3452,null,548423,null,949,null,127347,null,3594,null,276479,null,5135,null,7089,null,1430,null,56104,null,2419,null,81404,null,3998,null,0400000US23,Maine,23
2840654,null,7571,null,1379499,null,4814,null,433295,null,7050,null,768242,null,9636,null,24196,null,2930,null,37526,null,2234,null,116240,null,5660,null,1461155,null,3784,null,367374,null,7721,null,762002,null,11024,null,30242,null,2504,null,144958,null,4289,null,156579,null,6618,null,0400000US24,Maryland,24
4475827,null,11191,null,2142115,null,6169,null,781680,null,10811,null,1103194,null,12572,null,28137,null,3142,null,61669,null,3538,null,167435,null,5910,null,2333712,null,5874,null,716665,null,10082,null,1083996,null,12418,null,41411,null,3335,null,239589,null,5709,null,252051,null,8179,null,0400000US25,Massachusetts,25
6526915,null,6482,null,3198543,null,4106,null,1002901,null,11470,null,1766455,null,13953,null,30067,null,2708,null,83473,null,3529,null,315647,null,8007,null,3328372,null,3691,null,824501,null,10556,null,1736577,null,12249,null,35620,null,2988,null,331816,null,5237,null,399858,null,8560,null,0400000US26,Michigan,26
3759255,null,4365,null,1850361,null,3027,null,594564,null,9109,null,1039281,null,11316,null,14694,null,1869,null,38812,null,2246,null,163010,null,6244,null,1908894,null,2497,null,487369,null,6930,null,1025596,null,9060,null,16495,null,1772,null,178578,null,3796,null,200856,null,5751,null,0400000US27,Minnesota,27
1426334,null,3739,null,694383,null,3282,null,170445,null,5192,null,412378,null,8200,null,11569,null,1906,null,19688,null,1920,null,80303,null,5480,null,731951,null,2622,null,136146,null,4863,null,403007,null,7556,null,14502,null,1597,null,90744,null,3623,null,87552,null,5318,null,0400000US28,Mississippi,28
4048652,null,4373,null,1964098,null,2551,null,560085,null,8161,null,1109381,null,10846,null,27374,null,2929,null,53657,null,2713,null,213601,null,7015,null,2084554,null,2931,null,460782,null,7035,null,1103677,null,12211,null,38151,null,3479,null,223038,null,5626,null,258906,null,6933,null,0400000US29,Missouri,29
