C17001A_001E,C17001A_001EA,C17001A_001M,C17001A_001MA,C17001A_002E,C17001A_002EA,C17001A_002M,C17001A_002MA,C17001A_003E,C17001A_003EA,C17001A_003M,C17001A_003MA,C17001A_004E,C17001A_004EA,C17001A_004M,C17001A_004MA,C17001A_005E,C17001A_005EA,C17001A_005M,C17001A_005MA,C17001A_006E,C17001A_006EA,C17001A_006M,C17001A_006MA,C17001A_007E,C17001A_007EA,C17001A_007M,C17001A_007MA,C17001A_008E,C17001A_008EA,C17001A_008M,C17001A_008MA,C17001A_009E,C17001A_009EA,C17001A_009M,C17001A_009MA,C17001A_010E,C17001A_010EA,C17001A_010M,C17001A_010MA,C17001A_011E,C17001A_011EA,C17001A_011M,C17001A_011MA,C17001A_012E,C17001A_012EA,C17001A_012M,C17001A_012MA,C17001A_013E,C17001A_013EA,C17001A_013M,C17001A_013MA,C17001A_014E,C17001A_014EA,C17001A_014M,C17001A_014MA,C17001A_015E,C17001A_015EA,C17001A_015M,C17001A_015MA,C17001A_016E,C17001A_016EA,C17001A_016M,C17001A_016MA,C17001A_017E,C17001A_017EA,C17001A_017M,C17001A_017MA,C17001A_018E,C17001A_018EA,C17001A_018M,C17001A_018MA,C17001A_019E,C17001A_019EA,C17001A_019M,C17001A_019MA,GEO_ID,NAME,state
3210497,null,6870,null,354197,null,14835,null,149899,null,9138,null,50381,null,5160,null,86148,null,5265,null,13370,null,1843,null,204298,null,8571,null,46440,null,4401,null,124247,null,5547,null,33611,null,2420,null,2856300,null,16030,null,1424464,null,9487,null,315712,null,5523,null,909371,null,6300,null,199381,null,2313,null,1431836,null,9186,null,299165,null,4668,null,882891,null,5889,null,249780,null,2676,null,0400000US01,Alabama,01
463821,null,3110,null,27860,null,3787,null,14387,null,2412,null,4848,null,1327,null,9071,null,1726,null,468,null,283,null,13473,null,2167,null,3620,null,1077,null,9154,null,1679,null,699,null,302,null,435961,null,4750,null,229715,null,3284,null,51327,null,1874,null,160660,null,2352,null,17728,null,430,null,206246,null,2750,null,47006,null,1487,null,141636,null,2034,null,17604,null,456,null,0400000US02,Alaska,02
5118661,null,24919,null,675545,null,25866,null,305654,null,13678,null,120333,null,8750,null,165240,null,9062,null,20081,null,2356,null,369891,null,14969,null,114198,null,7547,null,215253,null,10043,null,40440,null,3406,null,4443116,null,29981,null,2235122,null,17226,null,516448,null,9152,null,1386803,null,12604,null,331871,null,2921,null,2207994,null,16603,null,490825,null,8133,null,1328826,null,10747,null,388343,null,4223,null,0400000US04,Arizona,04
2189644,null,6629,null,296065,null,12784,null,126737,null,6947,null,46155,null,3621,null,70846,null,4932,null,9736,null,1063,null,169328,null,7541,null,45553,null,3856,null,97965,null,4880,null,25810,null,2135,null,1893579,null,13999,null,951716,null,8337,null,212092,null,4159,null,598257,null,5877,null,141367,null,1350,null,941863,null,8208,null,194637,null,4143,null,581121,null,5301,null,166105,null,2451,null,0400000US05,Arkansas,05
22535897,null,64514,null,2618426,null,51989,null,1192320,null,26054,null,443417,null,13329,null,675440,null,17998,null,73463,null,4815,null,1426106,null,30076,null,420789,null,15925,null,854847,null,18303,null,150470,null,7472,null,19917471,null,69947,null,10043626,null,37461,null,2276489,null,18854,null,6543979,null,25918,null,1223158,null,6942,null,9873845,null,40393,null,2174639,null,20578,null,6168463,null,23459,null,1530743,null,9625,null,0400000US06,California,06
4109376,null,15479,null,419679,null,17693,null,187319,null,9901,null,63227,null,5700,null,113407,null,5964,null,10685,null,1473,null,232360,null,10092,null,61884,null,5125,null,145798,null,6958,null,24678,null,2587,null,3689697,null,22719,null,1871237,null,13189,null,423038,null,7370,null,1258049,null,8483,null,190150,null,2336,null,1818460,null,12484,null,401557,null,6447,null,1187624,null,8267,null,229279,null,3183,null,0400000US08,Colorado,08
2725390,null,10618,null,181077,null,9692,null,75380,null,5540,null,24261,null,3268,null,43679,null,4034,null,7440,null,1384,null,105697,null,5788,null,21092,null,2515,null,66985,null,4487,null,17620,null,1750,null,2544313,null,12992,null,1252491,null,7775,null,279364,null,3871,null,806770,null,5816,null,166357,null,1595,null,1291822,null,7362,null,269101,null,3680,null,805257,null,5769,null,217464,null,2327,null,0400000US09,Connecticut,09
620051,null,4072,null,47954,null,5327,null,17978,null,2695,null,5185,null,1458,null,10921,null,1960,null,1872,null,578,null,29976,null,3562,null,7199,null,1846,null,18087,null,2208,null,4690,null,961,null,572097,null,5528,null,284721,null,3164,null,63802,null,1718,null,178612,null,2596,null,42307,null,572,null,287376,null,3794,null,58699,null,1916,null,177856,null,2356,null,50821,null,1134,null,0400000US10,Delaware,10
204695,null,4105,null,16525,null,2334,null,7761,null,1537,null,895,null,683,null,6153,null,1389,null,713,null,485,null,8764,null,1580,null,688,null,643,null,7167,null,1333,null,909,null,469,null,188170,null,4283,null,95576,null,2494,null,13252,null,986,null,73136,null,1977,null,9188,null,650,null,92594,null,2594,null,12284,null,981,null,69435,null,1890,null,10875,null,644,null,0400000US11,District of Columbia,11
13954813,null,25938,null,1581525,null,34328,null,714434,null,20046,null,208297,null,9414,null,411309,null,15132,null,94828,null,5076,null,867091,null,20978,null,199263,null,9050,null,502286,null,14667,null,165542,null,6428,null,12373288,null,35992,null,6131638,null,18909,null,1203650,null,10590,null,3774337,null,14794,null,1153651,null,5579,null,6241650,null,23652,null,1131665,null,10556,null,3730444,null,16620,null,1379541,null,7749,null,0400000US12,Florida,12
