B18101G_001E,B18101G_001EA,B18101G_001M,B18101G_001MA,B18101G_002E,B18101G_002EA,B18101G_002M,B18101G_002MA,B18101G_003E,B18101G_003EA,B18101G_003M,B18101G_003MA,B18101G_004E,B18101G_004EA,B18101G_004M,B18101G_004MA,B18101G_005E,B18101G_005EA,B18101G_005M,B18101G_005MA,B18101G_006E,B18101G_006EA,B18101G_006M,B18101G_006MA,B18101G_007E,B18101G_007EA,B18101G_007M,B18101G_007MA,B18101G_008E,B18101G_008EA,B18101G_008M,B18101G_008MA,B18101G_009E,B18101G_009EA,B18101G_009M,B18101G_009MA,B18101G_010E,B18101G_010EA,B18101G_010M,B18101G_010MA,GEO_ID,NAME,state
59804,null,5499,null,27287,null,3504,null,1440,null,804,null,25847,null,3373,null,28479,null,3114,null,7484,null,1417,null,20995,null,2325,null,4038,null,1102,null,2248,null,715,null,1790,null,724,null,0400000US01,Alabama,01
54159,null,4338,null,27199,null,2671,null,1611,null,733,null,25588,null,2486,null,25462,null,2764,null,3877,null,1373,null,21585,null,2112,null,1498,null,627,null,893,null,416,null,605,null,365,null,0400000US02,Alaska,02
163520,null,9471,null,89763,null,6408,null,4515,null,1164,null,85248,null,6263,null,66939,null,5357,null,11094,null,1753,null,55845,null,5247,null,6818,null,1172,null,2675,null,694,null,4143,null,961,null,0400000US04,Arizona,04
55995,null,4755,null,24924,null,3171,null,1654,null,695,null,23270,null,2957,null,27030,null,2810,null,6672,null,1418,null,20358,null,2440,null,4041,null,1093,null,2120,null,692,null,1921,null,839,null,0400000US05,Arkansas,05
1285716,null,25786,null,614789,null,16542,null,21648,null,2362,null,593141,null,16139,null,615575,null,13851,null,73941,null,4891,null,541634,null,12878,null,55352,null,3894,null,26015,null,3046,null,29337,null,2472,null,0400000US06,California,06
149407,null,8653,null,72304,null,5767,null,2603,null,984,null,69701,null,5551,null,72427,null,4706,null,10812,null,1748,null,61615,null,4351,null,4676,null,1015,null,2006,null,727,null,2670,null,820,null,0400000US08,Colorado,08
72368,null,6434,null,35845,null,4300,null,1629,null,669,null,34216,null,4259,null,33447,null,3490,null,3814,null,1107,null,29633,null,3186,null,3076,null,873,null,1660,null,631,null,1416,null,558,null,0400000US09,Connecticut,09
14618,null,2505,null,7145,null,1694,null,295,null,308,null,6850,null,1649,null,6955,null,1442,null,1382,null,674,null,5573,null,1225,null,518,null,342,null,261,null,197,null,257,null,282,null,0400000US10,Delaware,10
11562,null,3440,null,3009,null,1811,null,68,null,114,null,2941,null,1800,null,7619,null,1961,null,776,null,451,null,6843,null,1769,null,934,null,518,null,460,null,432,null,474,null,246,null,0400000US11,District of Columbia,11
334305,null,14594,null,159596,null,10094,null,7666,null,1508,null,151930,null,9786,null,155469,null,7947,null,22132,null,2769,null,133337,null,7264,null,19240,null,2315,null,8612,null,1547,null,10628,null,1818,null,0400000US12,Florida,12
131096,null,8529,null,66805,null,5988,null,3451,null,1495,null,63354,null,5655,null,59723,null,4794,null,9725,null,1711,null,49998,null,4488,null,4568,null,1047,null,2511,null,839,null,2057,null,770,null,0400000US13,Georgia,13
269786,null,10845,null,109955,null,6138,null,3417,null,886,null,106538,null,5998,null,143475,null,6983,null,10780,null,1638,null,132695,null,6386,null,16356,null,1917,null,6036,null,1373,null,10320,null,1292,null,0400000US15,Hawaii,15
37807,null,3404,null,20476,null,2105,null,827,null,475,null,19649,null,2124,null,15517,null,2319,null,2908,null,869,null,12609,null,2080,null,1814,null,769,null,1017,null,506,null,797,null,551,null,0400000US16,Idaho,16
219208,null,12008,null,122662,null,8900,null,6293,null,1453,null,116369,null,8742,null,89472,null,5947,null,11454,null,1926,null,78018,null,5296,null,7074,null,1528,null,3210,null,991,null,3864,null,990,null,0400000US17,Illinois,17
121365,null,6813,null,66651,null,4636,null,4189,null,1192,null,62462,null,4468,null,50230,null,4042,null,10921,null,1777,null,39309,null,3469,null,4484,null,960,null,1873,null,628,null,2611,null,781,null,0400000US18,Indiana,18
43947,null,3778,null,24459,null,2898,null,2543,null,1164,null,21916,null,2626,null,18207,null,2209,null,3295,null,1004,null,14912,null,1901,null,1281,null,551,null,597,null,335,null,684,null,432,null,0400000US19,Iowa,19
73424,null,4539,null,36350,null,3216,null,2223,null,850,null,34127,null,3046,null,34011,null,2892,null,5763,null,1065,null,28248,null,2669,null,3063,null,714,null,1699,null,543,null,1364,null,437,null,0400000US20,Kansas,20
61031,null,5018,null,36004,null,3502,null,2544,null,909,null,33460,null,3397,null,21465,null,2459,null,6490,null,1459,null,14975,null,2245,null,3562,null,821,null,1985,null,661,null,1577,null,497,null,0400000US21,Kentucky,21
48994,null,4458,null,23658,null,3009,null,1445,null,620,null,22213,null,2894,null,22158,null,2899,null,4672,null,1160,null,17486,null,2700,null,3178,null,704,null,2024,null,539,null,1154,null,403,null,0400000US22,Louisiana,22
21024,null,1965,null,9947,null,1455,null,1051,null,359,null,8896,null,1431,null,10049,null,1159,null,2533,null,737,null,7516,null,1174,null,1028,null,333,null,440,null,253,null,588,null,336,null,0400000US23,Maine,23
117990,null,7633,null,61159,null,4862,null,2472,null,881,null,58687,null,4630,null,52504,null,4416,null,7881,null,1523,null,44623,null,3819,null,4327,null,1153,null,2141,null,723,null,2186,null,754,null,0400000US24,Maryland,24
132714,null,9502,null,57635,null,5188,null,3280,null,932,null,54355,null,5012,null,69903,null,6151,null,9558,null,1622,null,60345,null,5891,null,5176,null,1247,null,2216,null,688,null,2960,null,1021,null,0400000US25,Massachusetts,25
211091,null,8716,null,110184,null,6474,null,7164,null,1417,null,103020,null,6029,null,92814,null,4872,null,18447,null,1954,null,74367,null,4432,null,8093,null,1358,null,3712,null,899,null,4381,null,840,null,0400000US26,Michigan,26
93196,null,5525,null,53699,null,4298,null,1863,null,655,null,51836,null,4212,null,36923,null,2718,null,4044,null,999,null,32879,null,2536,null,2574,null,584,null,1096,null,380,null,1478,null,504,null,0400000US27,Minnesota,27
25243,null,3665,null,13054,null,2837,null,881,null,662,null,12173,null,2634,null,10214,null,1974,null,2463,null,730,null,7751,null,1911,null,1975,null,718,null,1100,null,456,null,875,null,455,null,0400000US28,Mississippi,28
115113,null,5928,null,57532,null,4106,null,3091,null,871,null,54441,null,3852,null,51462,null,3552,null,10147,null,1612,null,41315,null,3212,null,6119,null,1054,null,2994,null,740,null,3125,null,706,null,0400000US29,Missouri,29
