C15002F_001E,C15002F_001EA,C15002F_001M,C15002F_001MA,C15002F_002E,C15002F_002EA,C15002F_002M,C15002F_002MA,C15002F_003E,C15002F_003EA,C15002F_003M,C15002F_003MA,C15002F_004E,C15002F_004EA,C15002F_004M,C15002F_004MA,C15002F_005E,C15002F_005EA,C15002F_005M,C15002F_005MA,C15002F_006E,C15002F_006EA,C15002F_006M,C15002F_006MA,C15002F_007E,C15002F_007EA,C15002F_007M,C15002F_007MA,C15002F_008E,C15002F_008EA,C15002F_008M,C15002F_008MA,C15002F_009E,C15002F_009EA,C15002F_009M,C15002F_009MA,C15002F_010E,C15002F_010EA,C15002F_010M,C15002F_010MA,C15002F_011E,C15002F_011EA,C15002F_011M,C15002F_011MA,GEO_ID,NAME,state
29092,null,2902,null,16591,null,1987,null,6509,null,1567,null,4777,null,1311,null,3059,null,829,null,2246,null,848,null,12501,null,1683,null,4764,null,1050,null,4048,null,1196,null,1740,null,600,null,1949,null,649,null,0400000US27,Minnesota,27
11236,null,2657,null,6834,null,2174,null,3539,null,1643,null,2274,null,1035,null,831,null,377,null,190,null,159,null,4402,null,1121,null,2597,null,1103,null,557,null,360,null,723,null,413,null,525,null,389,null,0400000US28,Mississippi,28
25816,null,3007,null,13771,null,1939,null,5260,null,1307,null,3848,null,1092,null,2257,null,697,null,2406,null,1043,null,12045,null,1612,null,4985,null,1238,null,2853,null,909,null,2890,null,721,null,1317,null,506,null,0400000US29,Missouri,29
3631,null,1196,null,1411,null,609,null,454,null,388,null,409,null,316,null,147,null,184,null,401,null,338,null,2220,null,901,null,353,null,352,null,729,null,533,null,782,null,519,null,356,null,361,null,0400000US30,Montana,30
24556,null,2425,null,13237,null,1638,null,6799,null,1288,null,3678,null,1132,null,1828,null,668,null,932,null,450,null,11319,null,1303,null,5186,null,1170,null,2311,null,651,null,2457,null,825,null,1365,null,541,null,0400000US31,Nebraska,31
63346,null,6024,null,34296,null,3814,null,14669,null,2648,null,9685,null,1950,null,6646,null,1722,null,3296,null,1283,null,29050,null,3302,null,11512,null,2126,null,6843,null,1315,null,8256,null,1585,null,2439,null,788,null,0400000US32,Nevada,32
4850,null,1398,null,2388,null,884,null,370,null,350,null,989,null,602,null,460,null,335,null,569,null,576,null,2462,null,818,null,281,null,282,null,724,null,456,null,917,null,536,null,540,null,472,null,0400000US33,New Hampshire,33
289252,null,10288,null,147235,null,6595,null,50853,null,3696,null,53487,null,4047,null,26871,null,3146,null,16024,null,2163,null,142017,null,5413,null,40996,null,3830,null,50886,null,4101,null,31609,null,3591,null,18526,null,2410,null,0400000US34,New Jersey,34
122384,null,6517,null,61827,null,3510,null,15464,null,2129,null,22726,null,2430,null,17164,null,1830,null,6473,null,1364,null,60557,null,4385,null,15916,null,2032,null,19236,null,2213,null,18264,null,2586,null,7141,null,1461,null,0400000US35,New Mexico,35
871569,null,18812,null,419019,null,11163,null,171678,null,8336,null,120185,null,6980,null,76673,null,6139,null,50483,null,4341,null,452550,null,10394,null,173147,null,7755,null,115607,null,7208,null,97415,null,5585,null,66381,null,5298,null,0400000US36,New York,36
172798,null,7690,null,104881,null,5212,null,61350,null,5124,null,21354,null,2814,null,12738,null,2745,null,9439,null,2167,null,67917,null,4035,null,34639,null,3117,null,15554,null,2397,null,11271,null,1920,null,6453,null,1388,null,0400000US37,North Carolina,37
1979,null,716,null,1045,null,488,null,246,null,231,null,192,null,159,null,417,null,366,null,190,null,214,null,934,null,400,null,137,null,132,null,364,null,248,null,216,null,198,null,217,null,212,null,0400000US38,North Dakota,38
39032,null,3792,null,20765,null,2510,null,8252,null,1904,null,5582,null,1079,null,3793,null,962,null,3138,null,1007,null,18267,null,2082,null,4777,null,1303,null,4970,null,1052,null,5277,null,1111,null,3243,null,1061,null,0400000US39,Ohio,39
39694,null,3996,null,21826,null,2714,null,13363,null,2077,null,5034,null,1237,null,2700,null,849,null,729,null,442,null,17868,null,1792,null,9084,null,1173,null,4407,null,1100,null,2804,null,863,null,1573,null,599,null,0400000US40,Oklahoma,40
52720,null,4203,null,29280,null,3012,null,14127,null,2289,null,6574,null,1613,null,5416,null,1410,null,3163,null,932,null,23440,null,2188,null,10936,null,1943,null,5026,null,1197,null,5097,null,1132,null,2381,null,804,null,0400000US41,Oregon,41
119896,null,6237,null,58827,null,4049,null,24858,null,2986,null,17791,null,2560,null,10137,null,1792,null,6041,null,1328,null,61069,null,3424,null,22886,null,2361,null,16691,null,2097,null,15157,null,2097,null,6335,null,1476,null,0400000US42,Pennsylvania,42
