B12002F_001E,B12002F_001EA,B12002F_001M,B12002F_001MA,B12002F_002E,B12002F_002EA,B12002F_002M,B12002F_002MA,B12002F_003E,B12002F_003EA,B12002F_003M,B12002F_003MA,B12002F_004E,B12002F_004EA,B12002F_004M,B12002F_004MA,B12002F_005E,B12002F_005EA,B12002F_005M,B12002F_005MA,B12002F_006E,B12002F_006EA,B12002F_006M,B12002F_006MA,B12002F_007E,B12002F_007EA,B12002F_007M,B12002F_007MA,B12002F_008E,B12002F_008EA,B12002F_008M,B12002F_008MA,B12002F_009E,B12002F_009EA,B12002F_009M,B12002F_009MA,B12002F_010E,B12002F_010EA,B12002F_010M,B12002F_010MA,B12002F_011E,B12002F_011EA,B12002F_011M,B12002F_011MA,B12002F_012E,B12002F_012EA,B12002F_012M,B12002F_012MA,B12002F_013E,B12002F_013EA,B12002F_013M,B12002F_013MA,GEO_ID,NAME,state
21030,null,3086,null,12549,null,2077,null,5388,null,1101,null,5933,null,1421,null,365,null,247,null,0,null,271,null,863,null,655,null,8481,null,1471,null,3144,null,943,null,4587,null,1007,null,339,null,361,null,94,null,124,null,317,null,211,null,0400000US01,Alabama,01
6191,null,1562,null,3547,null,1246,null,978,null,529,null,1882,null,886,null,170,null,198,null,169,null,144,null,348,null,232,null,2644,null,770,null,493,null,469,null,1864,null,512,null,0,null,240,null,87,null,146,null,200,null,315,null,0400000US02,Alaska,02
310055,null,16003,null,163763,null,10091,null,66709,null,5738,null,75202,null,5661,null,6034,null,1792,null,1959,null,920,null,13859,null,2474,null,146292,null,8120,null,50549,null,4325,null,67230,null,4892,null,7198,null,1990,null,5687,null,1279,null,15628,null,2389,null,0400000US04,Arizona,04
41166,null,3520,null,23310,null,2338,null,9060,null,2269,null,12727,null,1908,null,214,null,198,null,95,null,145,null,1214,null,690,null,17856,null,1904,null,6377,null,1193,null,9969,null,1322,null,234,null,230,null,107,null,156,null,1169,null,670,null,0400000US05,Arkansas,05
3778900,null,45926,null,1972028,null,27250,null,886112,null,17688,null,909236,null,18537,null,49596,null,4214,null,24915,null,3430,null,102169,null,5904,null,1806872,null,24680,null,698880,null,14867,null,799410,null,15059,null,78997,null,4246,null,91530,null,5737,null,138055,null,7452,null,0400000US06,California,06
168271,null,9205,null,91218,null,5962,null,32326,null,3913,null,45317,null,4013,null,2494,null,1035,null,1472,null,871,null,9609,null,2112,null,77053,null,4736,null,23975,null,2836,null,37908,null,3136,null,2458,null,918,null,3303,null,921,null,9409,null,1816,null,0400000US08,Colorado,08
120133,null,7626,null,60687,null,4600,null,31470,null,3248,null,22433,null,2857,null,1457,null,726,null,786,null,450,null,4541,null,1223,null,59446,null,3918,null,24732,null,2642,null,21542,null,2299,null,3813,null,1076,null,2484,null,915,null,6875,null,1348,null,0400000US09,Connecticut,09
10479,null,2153,null,5661,null,1258,null,2338,null,599,null,2717,null,931,null,234,null,235,null,153,null,228,null,219,null,219,null,4818,null,1129,null,2073,null,760,null,2171,null,698,null,0,null,263,null,71,null,123,null,503,null,390,null,0400000US10,Delaware,10
14556,null,2727,null,7747,null,1650,null,4570,null,1270,null,2055,null,883,null,695,null,510,null,70,null,99,null,357,null,348,null,6809,null,1504,null,3326,null,1013,null,2291,null,811,null,0,null,296,null,621,null,717,null,571,null,457,null,0400000US11,District of Columbia,11
361986,null,17249,null,191054,null,10447,null,77961,null,6469,null,90460,null,6412,null,6046,null,1705,null,2391,null,920,null,14196,null,2088,null,170932,null,9575,null,52466,null,4605,null,81198,null,5488,null,7544,null,1559,null,8246,null,1608,null,21478,null,2982,null,0400000US12,Florida,12
