B01002C_001E,B01002C_001EA,B01002C_001M,B01002C_001MA,B01002C_002E,B01002C_002EA,B01002C_002M,B01002C_002MA,B01002C_003E,B01002C_003EA,B01002C_003M,B01002C_003MA,GEO_ID,NAME,state
38.3,null,3.4,null,37.7,null,7.3,null,38.7,null,3.5,null,0400000US01,Alabama,01
28.7,null,1.2,null,27.6,null,1.6,null,30.1,null,1.7,null,0400000US02,Alaska,02
27.4,null,0.7,null,26.2,null,0.7,null,28.9,null,0.7,null,0400000US04,Arizona,04
28.0,null,4.0,null,23.0,null,6.8,null,38.8,null,14.1,null,0400000US05,Arkansas,05
34.2,null,1.2,null,34.0,null,1.6,null,34.4,null,1.5,null,0400000US06,California,06
32.2,null,2.6,null,30.1,null,2.9,null,34.3,null,2.5,null,0400000US08,Colorado,08
32.5,null,4.9,null,32.5,null,5.2,null,32.4,null,8.7,null,0400000US09,Connecticut,09
45.4,null,3.6,null,47.2,null,1.8,null,42.5,null,12.3,null,0400000US10,Delaware,10
26.8,null,7.0,null,19.8,null,11.8,null,31.9,null,24.5,null,0400000US11,District of Columbia,11
39.6,null,1.7,null,39.0,null,2.8,null,40.5,null,3.1,null,0400000US12,Florida,12
36.6,null,5.3,null,28.0,null,10.4,null,42.2,null,3.6,null,0400000US13,Georgia,13
33.6,null,10.8,null,22.9,null,12.1,null,42.5,null,9.6,null,0400000US15,Hawaii,15
26.9,null,4.9,null,26.4,null,5.8,null,28.2,null,5.9,null,0400000US16,Idaho,16
37.6,null,2.2,null,33.9,null,4.7,null,40.9,null,5.1,null,0400000US17,Illinois,17
42.1,null,5.8,null,34.9,null,6.1,null,46.4,null,5.4,null,0400000US18,Indiana,18
28.5,null,3.4,null,28.7,null,5.4,null,28.1,null,7.3,null,0400000US19,Iowa,19
29.7,null,2.6,null,29.1,null,3.8,null,30.2,null,4.8,null,0400000US20,Kansas,20
40.1,null,3.1,null,41.1,null,4.5,null,39.8,null,5.2,null,0400000US21,Kentucky,21
32.5,null,5.6,null,31.2,null,8.2,null,32.9,null,6.3,null,0400000US22,Louisiana,22
37.2,null,3.5,null,36.7,null,6.5,null,37.5,null,6.8,null,0400000US23,Maine,23
37.2,null,4.6,null,35.4,null,6.3,null,39.0,null,8.4,null,0400000US24,Maryland,24
35.3,null,5.7,null,36.8,null,6.3,null,32.5,null,7.1,null,0400000US25,Massachusetts,25
35.2,null,1.9,null,33.7,null,3.1,null,37.4,null,2.9,null,0400000US26,Michigan,26
27.2,null,1.3,null,26.3,null,1.8,null,29.3,null,7.0,null,0400000US27,Minnesota,27
33.7,null,7.6,null,28.1,null,4.6,null,37.8,null,8.3,null,0400000US28,Mississippi,28
39.3,null,3.8,null,38.9,null,5.0,null,39.9,null,4.4,null,0400000US29,Missouri,29
25.9,null,1.6,null,26.0,null,2.8,null,25.9,null,2.1,null,0400000US30,Montana,30
26.6,null,5.2,null,23.2,null,7.3,null,31.3,null,5.0,null,0400000US31,Nebraska,31
32.3,null,2.6,null,30.6,null,3.6,null,33.5,null,3.5,null,0400000US32,Nevada,32
31.5,null,13.2,null,33.4,null,20.9,null,28.4,null,13.2,null,0400000US33,New Hampshire,33
36.8,null,4.5,null,33.2,null,2.8,null,40.8,null,2.6,null,0400000US34,New Jersey,34
28.2,null,0.7,null,27.5,null,0.7,null,28.9,null,1.1,null,0400000US35,New Mexico,35
35.0,null,2.7,null,31.9,null,4.2,null,36.7,null,2.6,null,0400000US36,New York,36
33.8,null,1.7,null,31.5,null,2.4,null,35.3,null,1.5,null,0400000US37,North Carolina,37
26.1,null,3.0,null,23.7,null,1.7,null,27.4,null,1.1,null,0400000US38,North Dakota,38
38.4,null,3.2,null,39.1,null,3.9,null,37.9,null,5.0,null,0400000US39,Ohio,39
29.8,null,1.0,null,27.9,null,1.1,null,32.5,null,1.7,null,0400000US40,Oklahoma,40
29.3,null,2.3,null,30.3,null,2.4,null,27.9,null,3.1,null,0400000US41,Oregon,41
35.2,null,5.2,null,31.0,null,5.8,null,38.5,null,4.3,null,0400000US42,Pennsylvania,42
34.6,null,13.8,null,40.5,null,3.9,null,19.1,null,21.6,null,0400000US44,Rhode Island,44
38.0,null,6.8,null,40.3,null,9.3,null,35.6,null,6.9,null,0400000US45,South Carolina,45
24.1,null,1.3,null,24.0,null,3.1,null,24.2,null,1.2,null,0400000US46,South Dakota,46
37.8,null,5.0,null,39.4,null,4.1,null,35.8,null,7.0,null,0400000US47,Tennessee,47
34.9,null,1.8,null,34.0,null,2.6,null,36.4,null,3.5,null,0400000US48,Texas,48
26.2,null,2.6,null,26.3,null,3.6,null,25.8,null,4.4,null,0400000US49,Utah,49
46.4,null,10.4,null,45.1,null,38.2,null,46.8,null,9.6,null,0400000US50,Vermont,50
36.7,null,6.0,null,39.7,null,4.0,null,31.7,null,8.4,null,0400000US51,Virginia,51
31.0,null,2.8,null,29.2,null,2.2,null,34.6,null,2.5,null,0400000US53,Washington,53
50.1,null,4.9,null,50.6,null,1.9,null,41.4,null,17.3,null,0400000US54,West Virginia,54
30.0,null,2.0,null,29.8,null,2.8,null,30.2,null,2.7,null,0400000US55,Wisconsin,55
23.6,null,5.1,null,24.7,null,3.6,null,19.6,null,13.6,null,0400000US56,Wyoming,56
42.4,null,6.5,null,40.5,null,10.0,null,43.5,null,8.1,null,0400000US72,Puerto Rico,72
