B22003_001E,B22003_001EA,B22003_001M,B22003_001MA,B22003_002E,B22003_002EA,B22003_002M,B22003_002MA,B22003_003E,B22003_003EA,B22003_003M,B22003_003MA,B22003_004E,B22003_004EA,B22003_004M,B22003_004MA,B22003_005E,B22003_005EA,B22003_005M,B22003_005MA,B22003_006E,B22003_006EA,B22003_006M,B22003_006MA,B22003_007E,B22003_007EA,B22003_007M,B22003_007MA,GEO_ID,NAME,state
274743,null,2659,null,19605,null,2042,null,11305,null,1630,null,8300,null,1178,null,255138,null,3378,null,22908,null,2169,null,232230,null,3345,null,0400000US38,North Dakota,38
4508871,null,14815,null,449544,null,9224,null,271107,null,7186,null,178437,null,6808,null,4059327,null,15784,null,327847,null,8656,null,3731480,null,15847,null,0400000US39,Ohio,39
1407933,null,7799,null,154168,null,6170,null,88974,null,5130,null,65194,null,3467,null,1253765,null,8578,null,129582,null,6161,null,1124183,null,9269,null,0400000US40,Oklahoma,40
1474755,null,6858,null,171867,null,6783,null,87405,null,5190,null,84462,null,4915,null,1302888,null,9424,null,104265,null,4734,null,1198623,null,9452,null,0400000US41,Oregon,41
4904554,null,11469,null,437768,null,9857,null,248814,null,8030,null,188954,null,6452,null,4466786,null,13958,null,338433,null,7461,null,4128353,null,13383,null,0400000US42,Pennsylvania,42
399107,null,3931,null,31911,null,2785,null,18556,null,2189,null,13355,null,1672,null,367196,null,4674,null,31657,null,2946,null,335539,null,4824,null,0400000US44,Rhode Island,44
1702300,null,9251,null,184139,null,6590,null,107549,null,5264,null,76590,null,4061,null,1518161,null,10513,null,154237,null,5990,null,1363924,null,11409,null,0400000US45,South Carolina,45
319926,null,3421,null,26852,null,2383,null,15558,null,1883,null,11294,null,1661,null,293074,null,3844,null,23795,null,1989,null,269279,null,3806,null,0400000US46,South Dakota,46
2434683,null,10947,null,311287,null,8223,null,173085,null,6552,null,138202,null,6059,null,2123396,null,11845,null,194445,null,7390,null,1928951,null,12479,null,0400000US47,Tennessee,47
8422249,null,18072,null,797298,null,13971,null,443123,null,11997,null,354175,null,9267,null,7624951,null,20903,null,787753,null,13891,null,6837198,null,23014,null,0400000US48,Texas,48
854244,null,4876,null,47842,null,3354,null,23670,null,2551,null,24172,null,2242,null,806402,null,5926,null,55810,null,3831,null,750592,null,6199,null,0400000US49,Utah,49
249986,null,2593,null,21828,null,1884,null,10838,null,1492,null,10990,null,1355,null,228158,null,2837,null,17212,null,2001,null,210946,null,3037,null,0400000US50,Vermont,50
2961083,null,11010,null,194701,null,7532,null,113177,null,5393,null,81524,null,4774,null,2766382,null,12510,null,182941,null,7299,null,2583441,null,14402,null,0400000US51,Virginia,51
2547663,null,9073,null,220716,null,7561,null,116724,null,5225,null,103992,null,5602,null,2326947,null,10766,null,156624,null,5624,null,2170323,null,11145,null,0400000US53,Washington,53
749586,null,6455,null,95856,null,4562,null,62331,null,3948,null,33525,null,2471,null,653730,null,6985,null,68153,null,4088,null,585577,null,7431,null,0400000US54,West Virginia,54
2249630,null,8922,null,147549,null,5105,null,74266,null,4270,null,73283,null,4088,null,2102081,null,9530,null,158673,null,5825,null,1943408,null,10107,null,0400000US55,Wisconsin,55
208613,null,3448,null,8709,null,1327,null,4466,null,1012,null,4243,null,921,null,199904,null,3708,null,16357,null,1802,null,183547,null,3991,null,0400000US56,Wyoming,56
1186497,null,10034,null,392710,null,7659,null,322734,null,6892,null,69976,null,3058,null,793787,null,9718,null,209268,null,6187,null,584519,null,9305,null,0400000US72,Puerto Rico,72
