B15002D_001E,B15002D_001EA,B15002D_001M,B15002D_001MA,B15002D_002E,B15002D_002EA,B15002D_002M,B15002D_002MA,B15002D_003E,B15002D_003EA,B15002D_003M,B15002D_003MA,B15002D_004E,B15002D_004EA,B15002D_004M,B15002D_004MA,B15002D_005E,B15002D_005EA,B15002D_005M,B15002D_005MA,B15002D_006E,B15002D_006EA,B15002D_006M,B15002D_006MA,B15002D_007E,B15002D_007EA,B15002D_007M,B15002D_007MA,B15002D_008E,B15002D_008EA,B15002D_008M,B15002D_008MA,B15002D_009E,B15002D_009EA,B15002D_009M,B15002D_009MA,B15002D_010E,B15002D_010EA,B15002D_010M,B15002D_010MA,B15002D_011E,B15002D_011EA,B15002D_011M,B15002D_011MA,B15002D_012E,B15002D_012EA,B15002D_012M,B15002D_012MA,B15002D_013E,B15002D_013EA,B15002D_013M,B15002D_013MA,B15002D_014E,B15002D_014EA,B15002D_014M,B15002D_014MA,B15002D_015E,B15002D_015EA,B15002D_015M,B15002D_015MA,B15002D_016E,B15002D_016EA,B15002D_016M,B15002D_016MA,B15002D_017E,B15002D_017EA,B15002D_017M,B15002D_017MA,B15002D_018E,B15002D_018EA,B15002D_018M,B15002D_018MA,B15002D_019E,B15002D_019EA,B15002D_019M,B15002D_019MA,GEO_ID,NAME,state
28911,null,2416,null,12329,null,1327,null,541,null,315,null,666,null,428,null,1534,null,855,null,31,null,51,null,1693,null,771,null,538,null,369,null,3952,null,925,null,3374,null,789,null,16582,null,1559,null,1557,null,655,null,338,null,210,null,4285,null,1083,null,294,null,265,null,1791,null,761,null,1040,null,512,null,4811,null,953,null,2466,null,776,null,0400000US01,Alabama,01
21650,null,1427,null,9827,null,1102,null,641,null,352,null,853,null,363,null,2015,null,615,null,290,null,258,null,3110,null,717,null,628,null,305,null,1611,null,734,null,679,null,331,null,11823,null,689,null,1780,null,527,null,648,null,358,null,2528,null,723,null,274,null,318,null,3182,null,823,null,733,null,361,null,2268,null,600,null,410,null,377,null,0400000US02,Alaska,02
106614,null,2626,null,48446,null,1548,null,2310,null,781,null,2142,null,852,null,6017,null,1295,null,494,null,393,null,8079,null,1825,null,3158,null,1119,null,13908,null,2177,null,12338,null,1724,null,58168,null,2136,null,5254,null,941,null,3409,null,744,null,8654,null,1366,null,378,null,249,null,9560,null,1734,null,3584,null,889,null,17971,null,2262,null,9358,null,1516,null,0400000US04,Arizona,04
18122,null,1341,null,8227,null,924,null,724,null,381,null,608,null,378,null,1519,null,556,null,136,null,107,null,1526,null,665,null,25,null,44,null,1613,null,785,null,2076,null,691,null,9895,null,1002,null,1077,null,433,null,677,null,450,null,1529,null,626,null,843,null,522,null,1359,null,580,null,473,null,377,null,1898,null,617,null,2039,null,657,null,0400000US05,Arkansas,05
3184484,null,7403,null,1488470,null,5231,null,107308,null,5250,null,81630,null,4812,null,193358,null,7767,null,13153,null,1689,null,244146,null,8953,null,112231,null,5879,null,460050,null,11051,null,276594,null,7077,null,1696014,null,4444,null,189802,null,6711,null,100639,null,4557,null,240828,null,7466,null,13918,null,1757,null,241404,null,6948,null,138596,null,6027,null,546578,null,11523,null,224249,null,6506,null,0400000US06,California,06
86462,null,2257,null,37981,null,1769,null,3216,null,1075,null,2275,null,695,null,4727,null,1106,null,194,null,203,null,6350,null,1173,null,1964,null,706,null,9866,null,1666,null,9389,null,1289,null,48481,null,1435,null,4860,null,1036,null,3230,null,938,null,8098,null,1340,null,1120,null,592,null,6490,null,1311,null,2884,null,781,null,13545,null,1325,null,8254,null,993,null,0400000US08,Colorado,08
79355,null,1461,null,39357,null,960,null,1259,null,659,null,2012,null,579,null,5423,null,1421,null,429,null,277,null,2907,null,730,null,1751,null,705,null,11583,null,1423,null,13993,null,1285,null,39998,null,915,null,3215,null,829,null,2404,null,748,null,4505,null,1078,null,396,null,246,null,2683,null,959,null,1970,null,624,null,13792,null,1470,null,11033,null,1333,null,0400000US09,Connecticut,09
17305,null,774,null,7964,null,493,null,497,null,521,null,250,null,221,null,511,null,258,null,123,null,170,null,520,null,406,null,0,null,263,null,2977,null,801,null,3086,null,613,null,9341,null,467,null,432,null,309,null,485,null,416,null,1507,null,494,null,88,null,153,null,633,null,314,null,483,null,292,null,3774,null,832,null,1939,null,521,null,0400000US10,Delaware,10
13615,null,593,null,5757,null,548,null,0,null,296,null,133,null,205,null,810,null,437,null,0,null,296,null,246,null,284,null,0,null,296,null,1074,null,472,null,3494,null,750,null,7858,null,263,null,691,null,478,null,458,null,360,null,760,null,530,null,0,null,296,null,187,null,227,null,99,null,133,null,1869,null,601,null,3794,null,702,null,0400000US11,District of Columbia,11
289331,null,3480,null,129450,null,2676,null,6630,null,1591,null,8260,null,1350,null,22369,null,3399,null,2649,null,1075,null,16349,null,2075,null,10208,null,1695,null,34210,null,3151,null,28775,null,2942,null,159881,null,2318,null,15943,null,1922,null,13901,null,1777,null,29625,null,2666,null,3774,null,872,null,19387,null,2006,null,13105,null,1942,null,40888,null,2787,null,23258,null,2161,null,0400000US12,Florida,12
180653,null,2998,null,84993,null,1879,null,4724,null,1367,null,5510,null,1270,null,14267,null,2268,null,1630,null,826,null,9054,null,1527,null,3572,null,1037,null,23895,null,2812,null,22341,null,2158,null,95660,null,2005,null,8486,null,1414,null,7244,null,1451,null,19592,null,2241,null,641,null,401,null,12034,null,1759,null,6031,null,1449,null,24771,null,2665,null,16861,null,1926,null,0400000US13,Georgia,13
391451,null,5405,null,177679,null,3378,null,12267,null,1552,null,10796,null,1576,null,47812,null,3327,null,3385,null,819,null,33347,null,2473,null,18127,null,1868,null,34688,null,2618,null,17257,null,1660,null,213772,null,3465,null,19263,null,1903,null,10498,null,1523,null,58837,null,3312,null,3111,null,757,null,37322,null,2615,null,23036,null,2518,null,45807,null,3213,null,15898,null,1963,null,0400000US15,Hawaii,15
11542,null,1123,null,5020,null,676,null,281,null,247,null,534,null,363,null,831,null,395,null,31,null,57,null,524,null,309,null,390,null,272,null,980,null,479,null,1449,null,541,null,6522,null,952,null,855,null,397,null,279,null,207,null,755,null,362,null,0,null,259,null,1189,null,532,null,503,null,266,null,2060,null,714,null,881,null,432,null,0400000US16,Idaho,16
375283,null,2976,null,181062,null,1911,null,6451,null,1166,null,7322,null,1299,null,16987,null,2560,null,1152,null,630,null,22666,null,2617,null,10058,null,1795,null,62847,null,3493,null,53579,null,3274,null,194221,null,1974,null,13606,null,1899,null,7328,null,1306,null,23177,null,2547,null,912,null,445,null,19744,null,2914,null,12710,null,1938,null,74277,null,4234,null,42467,null,3374,null,0400000US17,Illinois,17
52900,null,1982,null,24810,null,1502,null,1244,null,650,null,1430,null,529,null,2691,null,782,null,73,null,96,null,1777,null,698,null,605,null,403,null,7394,null,1238,null,9596,null,1387,null,28090,null,1389,null,1948,null,634,null,1800,null,696,null,5293,null,1046,null,356,null,229,null,2879,null,868,null,1413,null,515,null,9190,null,1378,null,5211,null,1054,null,0400000US18,Indiana,18
27694,null,1810,null,13262,null,1467,null,669,null,340,null,1395,null,611,null,1819,null,717,null,350,null,263,null,1454,null,653,null,845,null,499,null,3261,null,751,null,3469,null,792,null,14432,null,963,null,1620,null,587,null,971,null,403,null,2488,null,707,null,332,null,268,null,1742,null,506,null,346,null,298,null,3175,null,808,null,3758,null,893,null,0400000US19,Iowa,19
37702,null,1550,null,18187,null,1158,null,1216,null,552,null,736,null,331,null,1737,null,735,null,471,null,300,null,2410,null,733,null,784,null,458,null,3846,null,848,null,6987,null,1124,null,19515,null,923,null,1552,null,528,null,2027,null,612,null,3651,null,1060,null,269,null,196,null,2213,null,715,null,661,null,524,null,5200,null,983,null,3942,null,793,null,0400000US20,Kansas,20
27662,null,2865,null,13138,null,2145,null,185,null,141,null,468,null,418,null,2693,null,1072,null,142,null,180,null,1801,null,1258,null,332,null,241,null,2804,null,757,null,4713,null,815,null,14524,null,1239,null,567,null,351,null,1136,null,666,null,2803,null,769,null,427,null,321,null,1586,null,772,null,1424,null,594,null,3363,null,807,null,3218,null,835,null,0400000US21,Kentucky,21
42536,null,2373,null,20594,null,1520,null,2677,null,1020,null,2944,null,1035,null,3623,null,1303,null,409,null,287,null,2170,null,804,null,204,null,199,null,3961,null,1163,null,4606,null,985,null,21942,null,1527,null,4950,null,1311,null,2471,null,902,null,3737,null,969,null,666,null,438,null,2237,null,768,null,1392,null,588,null,4348,null,1145,null,2141,null,622,null,0400000US22,Louisiana,22
6785,null,702,null,2615,null,642,null,331,null,247,null,174,null,153,null,362,null,165,null,0,null,228,null,313,null,181,null,28,null,50,null,664,null,346,null,743,null,409,null,4170,null,569,null,728,null,444,null,225,null,157,null,968,null,554,null,182,null,178,null,613,null,365,null,233,null,244,null,767,null,351,null,454,null,295,null,0400000US23,Maine,23
197766,null,2082,null,92551,null,1575,null,3483,null,1105,null,3314,null,1347,null,8296,null,1695,null,1928,null,869,null,10035,null,1609,null,3171,null,1130,null,28638,null,2012,null,33686,null,2344,null,105215,null,1294,null,8176,null,1365,null,6361,null,1419,null,14697,null,1869,null,1658,null,821,null,8441,null,1406,null,6156,null,1290,null,34160,null,2397,null,25566,null,1940,null,0400000US24,Maryland,24
211722,null,1959,null,102331,null,1220,null,8439,null,1587,null,6233,null,1399,null,12112,null,1780,null,1687,null,1079,null,7646,null,1389,null,3918,null,1075,null,23970,null,2568,null,38326,null,2448,null,109391,null,1321,null,14257,null,1802,null,6331,null,1391,null,16554,null,2405,null,1548,null,996,null,7547,null,1503,null,5325,null,1081,null,26427,null,2429,null,31402,null,2411,null,0400000US25,Massachusetts,25
150231,null,2183,null,72162,null,1677,null,3552,null,965,null,3340,null,821,null,6390,null,1178,null,833,null,481,null,6807,null,1121,null,2815,null,877,null,18964,null,1884,null,29461,null,1820,null,78069,null,1543,null,7730,null,1251,null,4019,null,1221,null,9014,null,1451,null,748,null,351,null,8604,null,1327,null,5211,null,945,null,23032,null,1827,null,19711,null,1566,null,0400000US26,Michigan,26
105817,null,2223,null,49712,null,1283,null,5104,null,1053,null,3185,null,956,null,6821,null,1141,null,1589,null,504,null,7225,null,1186,null,2642,null,750,null,12741,null,1641,null,10405,null,1354,null,56105,null,1513,null,10469,null,1270,null,3696,null,960,null,8651,null,1445,null,1523,null,606,null,7532,null,1351,null,3947,null,740,null,11333,null,1220,null,8954,null,1301,null,0400000US27,Minnesota,27
