B07004H_001E,B07004H_001EA,B07004H_001M,B07004H_001MA,B07004H_002E,B07004H_002EA,B07004H_002M,B07004H_002MA,B07004H_003E,B07004H_003EA,B07004H_003M,B07004H_003MA,B07004H_004E,B07004H_004EA,B07004H_004M,B07004H_004MA,B07004H_005E,B07004H_005EA,B07004H_005M,B07004H_005MA,B07004H_006E,B07004H_006EA,B07004H_006M,B07004H_006MA,GEO_ID,NAME,state
3154099,null,2543,null,2707053,null,16718,null,248839,null,13577,null,104149,null,7763,null,86719,null,6978,null,7339,null,1790,null,0400000US01,Alabama,01
444190,null,1369,null,346865,null,6515,null,53742,null,5450,null,12002,null,2896,null,28255,null,3464,null,3326,null,1131,null,0400000US02,Alaska,02
3743649,null,3900,null,3057536,null,20997,null,433241,null,17423,null,70424,null,7328,null,164759,null,12713,null,17689,null,3750,null,0400000US04,Arizona,04
2135262,null,2728,null,1779391,null,15210,null,203843,null,11052,null,85005,null,6055,null,63338,null,6214,null,3685,null,987,null,0400000US05,Arkansas,05
15307741,null,9476,null,13029394,null,38757,null,1424910,null,30591,null,483870,null,16832,null,285225,null,12715,null,84342,null,7006,null,0400000US06,California,06
3456444,null,4182,null,2830386,null,19380,null,304423,null,13824,null,161252,null,8088,null,148800,null,8391,null,11583,null,2165,null,0400000US08,Colorado,08
2553523,null,2724,null,2295819,null,11567,null,142381,null,9506,null,49440,null,5245,null,55534,null,6156,null,10349,null,2412,null,0400000US09,Connecticut,09
590093,null,1160,null,511991,null,6273,null,44060,null,5300,null,5688,null,1649,null,27494,null,3996,null,860,null,615,null,0400000US10,Delaware,10
192520,null,1334,null,145627,null,3413,null,19140,null,2421,null,0,null,296,null,24050,null,2768,null,3703,null,1308,null,0400000US11,District of Columbia,11
10915910,null,7803,null,9294682,null,34988,null,909697,null,26221,null,321515,null,14030,null,339469,null,15319,null,50547,null,5601,null,0400000US12,Florida,12
5543785,null,5149,null,4743497,null,23992,null,375938,null,20023,null,249496,null,14895,null,157818,null,10569,null,17036,null,2586,null,0400000US13,Georgia,13
316545,null,823,null,239425,null,6795,null,35542,null,4808,null,2673,null,967,null,32549,null,5331,null,6356,null,2872,null,0400000US15,Hawaii,15
1276515,null,1915,null,1025426,null,10986,null,144131,null,9857,null,45410,null,5571,null,55439,null,6143,null,6109,null,2565,null,0400000US16,Idaho,16
8226915,null,9635,null,7238239,null,22999,null,589838,null,19079,null,233124,null,10858,null,141424,null,8942,null,24290,null,3590,null,0400000US17,Illinois,17
5233652,null,4598,null,4458091,null,22916,null,463825,null,18081,null,185491,null,8866,null,115501,null,7619,null,10744,null,2297,null,0400000US18,Indiana,18
2674700,null,2720,null,2262477,null,14038,null,241571,null,11041,null,103250,null,6076,null,62548,null,6055,null,4854,null,1304,null,0400000US19,Iowa,19
2222229,null,3411,null,1855099,null,14853,null,208849,null,11733,null,77185,null,5962,null,71969,null,6318,null,9127,null,3294,null,0400000US20,Kansas,20
3697927,null,3204,null,3167529,null,16477,null,297947,null,12414,null,140415,null,9002,null,81991,null,7692,null,10045,null,2119,null,0400000US21,Kentucky,21
2689779,null,3774,null,2327604,null,15024,null,209949,null,11176,null,88879,null,7596,null,58890,null,6662,null,4457,null,1333,null,0400000US22,Louisiana,22
1240518,null,1484,null,1065809,null,9479,null,104321,null,7714,null,38446,null,4328,null,29624,null,3622,null,2318,null,779,null,0400000US23,Maine,23
3204866,null,4455,null,2852117,null,13851,null,166708,null,10661,null,83423,null,6546,null,85117,null,6308,null,17501,null,3413,null,0400000US24,Maryland,24
5056085,null,7210,null,4458171,null,22703,null,333076,null,14667,null,128796,null,9751,null,108379,null,6532,null,27663,null,4567,null,0400000US25,Massachusetts,25
7654739,null,4985,null,6677537,null,24774,null,604708,null,19016,null,266576,null,10399,null,86121,null,7987,null,19797,null,3421,null,0400000US26,Michigan,26
4400936,null,3841,null,3855719,null,13788,null,287447,null,12064,null,172148,null,7442,null,74136,null,4907,null,11486,null,2151,null,0400000US27,Minnesota,27
