C12002I_001E,C12002I_001EA,C12002I_001M,C12002I_001MA,C12002I_002E,C12002I_002EA,C12002I_002M,C12002I_002MA,C12002I_003E,C12002I_003EA,C12002I_003M,C12002I_003MA,C12002I_004E,C12002I_004EA,C12002I_004M,C12002I_004MA,C12002I_005E,C12002I_005EA,C12002I_005M,C12002I_005MA,C12002I_006E,C12002I_006EA,C12002I_006M,C12002I_006MA,GEO_ID,NAME,state
83119,null,2270,null,28685,null,2827,null,44153,null,3587,null,2180,null,775,null,1981,null,822,null,6120,null,1500,null,0400000US01,Alabama,01
28768,null,1553,null,9912,null,1522,null,13609,null,1435,null,1207,null,607,null,665,null,351,null,3375,null,925,null,0400000US02,Alaska,02
1330484,null,1275,null,533412,null,11895,null,595108,null,12955,null,38594,null,3689,null,42788,null,2696,null,120582,null,6449,null,0400000US04,Arizona,04
100460,null,1826,null,37461,null,3426,null,52794,null,3264,null,2384,null,887,null,1646,null,822,null,6175,null,1578,null,0400000US05,Arkansas,05
9545970,null,1000,null,3918287,null,22974,null,4343989,null,25861,null,309921,null,9896,null,322442,null,8610,null,651331,null,13336,null,0400000US06,California,06
692432,null,947,null,245169,null,6822,null,335484,null,8391,null,21167,null,2753,null,24727,null,2904,null,65885,null,4390,null,0400000US08,Colorado,08
301818,null,988,null,130088,null,4502,null,120329,null,5418,null,13287,null,1903,null,9281,null,1761,null,28833,null,2737,null,0400000US09,Connecticut,09
38526,null,256,null,13629,null,1497,null,19389,null,1763,null,1014,null,598,null,836,null,630,null,3658,null,1164,null,0400000US10,Delaware,10
40244,null,0,*****,22080,null,1760,null,13171,null,1964,null,1630,null,836,null,1185,null,738,null,2178,null,804,null,0400000US11,District of Columbia,11
2990280,null,4647,null,947613,null,14651,null,1452124,null,19041,null,96935,null,5593,null,158499,null,6376,null,335109,null,12123,null,0400000US12,Florida,12
506781,null,3516,null,190958,null,8783,null,262229,null,8520,null,15328,null,2898,null,9617,null,1952,null,28649,null,3435,null,0400000US13,Georgia,13
75460,null,464,null,32417,null,1958,null,31051,null,2506,null,1867,null,549,null,2121,null,509,null,8004,null,1630,null,0400000US15,Hawaii,15
101302,null,985,null,36129,null,2414,null,53889,null,2765,null,1817,null,782,null,2623,null,825,null,6844,null,1485,null,0400000US16,Idaho,16
1372773,null,2030,null,554147,null,10115,null,658961,null,13456,null,35127,null,3762,null,36267,null,2819,null,88271,null,5850,null,0400000US17,Illinois,17
216992,null,1636,null,83761,null,4117,null,104520,null,4391,null,6404,null,1068,null,6981,null,1574,null,15326,null,1835,null,0400000US18,Indiana,18
79854,null,1412,null,31306,null,2540,null,39242,null,2307,null,2165,null,642,null,1496,null,526,null,5645,null,1265,null,0400000US19,Iowa,19
168077,null,1171,null,59053,null,3248,null,85013,null,3634,null,5142,null,1258,null,4920,null,1160,null,13949,null,1957,null,0400000US20,Kansas,20
62433,null,2080,null,21345,null,2130,null,32031,null,2175,null,3034,null,866,null,1452,null,596,null,4571,null,1074,null,0400000US21,Kentucky,21
108880,null,1694,null,39935,null,2588,null,51183,null,2867,null,2472,null,850,null,5409,null,960,null,9881,null,1637,null,0400000US22,Louisiana,22
