C08505G_001E,C08505G_001EA,C08505G_001M,C08505G_001MA,C08505G_002E,C08505G_002EA,C08505G_002M,C08505G_002MA,C08505G_003E,C08505G_003EA,C08505G_003M,C08505G_003MA,C08505G_004E,C08505G_004EA,C08505G_004M,C08505G_004MA,C08505G_005E,C08505G_005EA,C08505G_005M,C08505G_005MA,C08505G_006E,C08505G_006EA,C08505G_006M,C08505G_006MA,GEO_ID,NAME,state
18043,null,2146,null,13489,null,1703,null,3645,null,1149,null,0,null,271,null,519,null,456,null,390,null,217,null,0400000US01,Alabama,01
18155,null,2179,null,11341,null,1601,null,2881,null,867,null,552,null,419,null,2612,null,846,null,769,null,400,null,0400000US02,Alaska,02
50710,null,4479,null,37430,null,3832,null,7867,null,1486,null,655,null,420,null,3165,null,1020,null,1593,null,548,null,0400000US04,Arizona,04
18895,null,2357,null,14644,null,2097,null,3301,null,995,null,156,null,155,null,258,null,177,null,536,null,304,null,0400000US05,Arkansas,05
434787,null,10679,null,316707,null,9584,null,53492,null,3880,null,21147,null,2490,null,26021,null,3040,null,17420,null,2199,null,0400000US06,California,06
55921,null,3946,null,39059,null,3259,null,6783,null,1293,null,3540,null,1125,null,3966,null,931,null,2573,null,711,null,0400000US08,Colorado,08
27086,null,3351,null,19665,null,2732,null,3126,null,947,null,1900,null,755,null,1841,null,732,null,554,null,275,null,0400000US09,Connecticut,09
4392,null,1072,null,3258,null,1101,null,633,null,399,null,198,null,239,null,266,null,236,null,37,null,54,null,0400000US10,Delaware,10
14283,null,2235,null,7114,null,1556,null,1331,null,510,null,4559,null,1019,null,1229,null,749,null,50,null,82,null,0400000US11,District of Columbia,11
115577,null,6614,null,87277,null,5537,null,15504,null,2044,null,2441,null,968,null,5590,null,1508,null,4765,null,1340,null,0400000US12,Florida,12
44757,null,4196,null,32528,null,3804,null,7706,null,1503,null,1112,null,501,null,1796,null,688,null,1615,null,652,null,0400000US13,Georgia,13
115874,null,6299,null,80339,null,5218,null,20643,null,2294,null,5863,null,1493,null,5187,null,1302,null,3842,null,1063,null,0400000US15,Hawaii,15
11104,null,1894,null,8443,null,1794,null,1590,null,563,null,63,null,73,null,686,null,296,null,322,null,223,null,0400000US16,Idaho,16
63299,null,4611,null,43677,null,3962,null,7813,null,1167,null,6011,null,1210,null,4178,null,1037,null,1620,null,605,null,0400000US17,Illinois,17
33182,null,3005,null,24721,null,2512,null,4873,null,1026,null,822,null,497,null,1690,null,718,null,1076,null,574,null,0400000US18,Indiana,18
13418,null,1833,null,9867,null,1612,null,1951,null,742,null,237,null,245,null,945,null,445,null,418,null,299,null,0400000US19,Iowa,19
27841,null,2784,null,21566,null,2396,null,4465,null,1214,null,461,null,395,null,951,null,333,null,398,null,233,null,0400000US20,Kansas,20
