B10060_001E,B10060_001EA,B10060_001M,B10060_001MA,B10060_002E,B10060_002EA,B10060_002M,B10060_002MA,B10060_003E,B10060_003EA,B10060_003M,B10060_003MA,B10060_004E,B10060_004EA,B10060_004M,B10060_004MA,B10060_005E,B10060_005EA,B10060_005M,B10060_005MA,B10060_006E,B10060_006EA,B10060_006M,B10060_006MA,B10060_007E,B10060_007EA,B10060_007M,B10060_007MA,B10060_008E,B10060_008EA,B10060_008M,B10060_008MA,B10060_009E,B10060_009EA,B10060_009M,B10060_009MA,B10060_010E,B10060_010EA,B10060_010M,B10060_010MA,B10060_011E,B10060_011EA,B10060_011M,B10060_011MA,B10060_012E,B10060_012EA,B10060_012M,B10060_012MA,B10060_013E,B10060_013EA,B10060_013M,B10060_013MA,B10060_014E,B10060_014EA,B10060_014M,B10060_014MA,B10060_015E,B10060_015EA,B10060_015M,B10060_015MA,B10060_016E,B10060_016EA,B10060_016M,B10060_016MA,GEO_ID,NAME,state
105283,null,5919,null,81143,null,5336,null,45998,null,3736,null,28918,null,3190,null,17080,null,2584,null,35145,null,3646,null,4079,null,1205,null,2032,null,691,null,1860,null,683,null,172,null,136,null,2047,null,1001,null,20061,null,2966,null,12056,null,2296,null,8873,null,1930,null,3183,null,1205,null,8005,null,1777,null,0400000US01,Alabama,01
12579,null,1833,null,10772,null,1924,null,5454,null,1132,null,3345,null,953,null,2109,null,631,null,5318,null,1275,null,1417,null,783,null,442,null,428,null,190,null,189,null,252,null,374,null,975,null,602,null,390,null,292,null,216,null,230,null,216,null,230,null,0,null,240,null,174,null,162,null,0400000US02,Alaska,02
148138,null,8069,null,124559,null,7235,null,48151,null,4511,null,33508,null,3888,null,14643,null,1978,null,76408,null,5938,null,10214,null,2441,null,3739,null,1136,null,2952,null,1006,null,787,null,467,null,6475,null,2152,null,13365,null,2391,null,6637,null,1749,null,4892,null,1419,null,1745,null,761,null,6728,null,1738,null,0400000US04,Arizona,04
68947,null,4485,null,52824,null,4334,null,30497,null,2666,null,20754,null,2093,null,9743,null,1776,null,22327,null,3016,null,3440,null,1171,null,2901,null,1059,null,2606,null,1061,null,295,null,209,null,539,null,391,null,12683,null,2441,null,7238,null,1633,null,5648,null,1533,null,1590,null,599,null,5445,null,1917,null,0400000US05,Arkansas,05
1004456,null,21114,null,827706,null,21859,null,237728,null,10606,null,142450,null,7652,null,95278,null,6390,null,589978,null,15889,null,150904,null,8761,null,45896,null,4475,null,30560,null,3772,null,15336,null,2432,null,105008,null,6820,null,25846,null,3197,null,10984,null,1754,null,6915,null,1716,null,4069,null,1108,null,14862,null,2432,null,0400000US06,California,06
91225,null,6898,null,78858,null,6495,null,32737,null,4017,null,22012,null,3217,null,10725,null,1937,null,46121,null,4848,null,6628,null,1753,null,3599,null,1294,null,2779,null,1104,null,820,null,468,null,3029,null,1346,null,5739,null,1928,null,3653,null,1524,null,2119,null,962,null,1534,null,1020,null,2086,null,841,null,0400000US08,Colorado,08
57675,null,4047,null,44090,null,4215,null,13030,null,2040,null,8624,null,1883,null,4406,null,943,null,31060,null,3311,null,13169,null,2251,null,6108,null,1697,null,4110,null,1313,null,1998,null,743,null,7061,null,1369,null,416,null,344,null,404,null,349,null,288,null,285,null,116,null,138,null,12,null,20,null,0400000US09,Connecticut,09
20830,null,2781,null,18930,null,2757,null,7345,null,1742,null,5181,null,1650,null,2164,null,748,null,11585,null,2038,null,1103,null,560,null,560,null,373,null,472,null,350,null,88,null,105,null,543,null,378,null,797,null,455,null,271,null,210,null,196,null,184,null,75,null,103,null,526,null,415,null,0400000US10,Delaware,10
11011,null,1840,null,7594,null,1684,null,3309,null,841,null,1878,null,735,null,1431,null,417,null,4285,null,1285,null,3417,null,1265,null,1262,null,666,null,501,null,382,null,761,null,559,null,2155,null,1054,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
393605,null,14019,null,317283,null,12431,null,118236,null,6784,null,74709,null,5601,null,43527,null,4562,null,199047,null,9911,null,42896,null,4674,null,15498,null,2641,null,9877,null,2253,null,5621,null,1303,null,27398,null,3840,null,33426,null,3675,null,15585,null,2549,null,11101,null,2422,null,4484,null,988,null,17841,null,2694,null,0400000US12,Florida,12
241808,null,10250,null,186197,null,9681,null,83981,null,5636,null,53003,null,4500,null,30978,null,3488,null,102216,null,6628,null,22474,null,2805,null,9046,null,1778,null,7280,null,1538,null,1766,null,719,null,13428,null,2725,null,33137,null,3696,null,18581,null,3022,null,13922,null,2529,null,4659,null,1272,null,14556,null,2255,null,0400000US13,Georgia,13
50124,null,4087,null,43237,null,3693,null,9765,null,1907,null,5542,null,1534,null,4223,null,1069,null,33472,null,2776,null,6660,null,1862,null,1895,null,939,null,951,null,467,null,944,null,729,null,4765,null,1498,null,227,null,353,null,0,null,275,null,0,null,275,null,0,null,275,null,227,null,353,null,0400000US15,Hawaii,15
25046,null,3355,null,21066,null,2965,null,11304,null,2521,null,6935,null,1773,null,4369,null,1212,null,9762,null,1588,null,804,null,528,null,359,null,340,null,91,null,113,null,268,null,323,null,445,null,400,null,3176,null,1071,null,1924,null,838,null,1261,null,532,null,663,null,428,null,1252,null,585,null,0400000US16,Idaho,16
257032,null,9589,null,191745,null,7379,null,68994,null,4782,null,45991,null,3836,null,23003,null,2812,null,122751,null,6794,null,60284,null,5206,null,21799,null,3053,null,15137,null,2524,null,6662,null,1459,null,38485,null,4064,null,5003,null,1274,null,2852,null,921,null,2239,null,826,null,613,null,326,null,2151,null,858,null,0400000US17,Illinois,17
112481,null,7498,null,99237,null,6991,null,51812,null,4316,null,35094,null,3321,null,16718,null,2312,null,47425,null,4865,null,7691,null,1800,null,3478,null,888,null,2693,null,835,null,785,null,444,null,4213,null,1505,null,5553,null,1351,null,3955,null,1167,null,3490,null,1136,null,465,null,319,null,1598,null,606,null,0400000US18,Indiana,18
33370,null,2867,null,30179,null,2752,null,15293,null,1843,null,11023,null,1540,null,4270,null,1068,null,14886,null,1977,null,1591,null,727,null,604,null,452,null,508,null,453,null,96,null,115,null,987,null,553,null,1600,null,651,null,955,null,509,null,734,null,452,null,221,null,194,null,645,null,395,null,0400000US19,Iowa,19
40928,null,3424,null,36511,null,3187,null,17593,null,2322,null,11377,null,1885,null,6216,null,1091,null,18918,null,2031,null,1553,null,810,null,739,null,400,null,595,null,326,null,144,null,144,null,814,null,656,null,2864,null,1017,null,1663,null,730,null,1378,null,690,null,285,null,235,null,1201,null,596,null,0400000US20,Kansas,20
86497,null,5606,null,70470,null,5025,null,39539,null,3762,null,27642,null,3526,null,11897,null,1548,null,30931,null,2921,null,5253,null,1459,null,2909,null,1163,null,2489,null,1083,null,420,null,287,null,2344,null,1006,null,10774,null,2209,null,7042,null,1727,null,5160,null,1601,null,1882,null,688,null,3732,null,1043,null,0400000US21,Kentucky,21
