C18102_001E,C18102_001EA,C18102_001M,C18102_001MA,C18102_002E,C18102_002EA,C18102_002M,C18102_002MA,C18102_003E,C18102_003EA,C18102_003M,C18102_003MA,C18102_004E,C18102_004EA,C18102_004M,C18102_004MA,C18102_005E,C18102_005EA,C18102_005M,C18102_005MA,C18102_006E,C18102_006EA,C18102_006M,C18102_006MA,C18102_007E,C18102_007EA,C18102_007M,C18102_007MA,C18102_008E,C18102_008EA,C18102_008M,C18102_008MA,C18102_009E,C18102_009EA,C18102_009M,C18102_009MA,C18102_010E,C18102_010EA,C18102_010M,C18102_010MA,C18102_011E,C18102_011EA,C18102_011M,C18102_011MA,C18102_012E,C18102_012EA,C18102_012M,C18102_012MA,C18102_013E,C18102_013EA,C18102_013M,C18102_013MA,C18102_014E,C18102_014EA,C18102_014M,C18102_014MA,C18102_015E,C18102_015EA,C18102_015M,C18102_015MA,C18102_016E,C18102_016EA,C18102_016M,C18102_016MA,C18102_017E,C18102_017EA,C18102_017M,C18102_017MA,C18102_018E,C18102_018EA,C18102_018M,C18102_018MA,C18102_019E,C18102_019EA,C18102_019M,C18102_019MA,C18102_020E,C18102_020EA,C18102_020M,C18102_020MA,C18102_021E,C18102_021EA,C18102_021M,C18102_021MA,GEO_ID,NAME,state
5530013,null,2991,null,2656008,null,3748,null,685625,null,2458,null,3387,null,1047,null,682238,null,2761,null,1694668,null,3664,null,40692,null,3485,null,1653976,null,4710,null,275715,null,1338,null,41008,null,2317,null,234707,null,2580,null,2874005,null,3404,null,653371,null,2150,null,2779,null,950,null,650592,null,2380,null,1842677,null,3081,null,24129,null,2892,null,1818548,null,4196,null,377957,null,2427,null,39674,null,2940,null,338283,null,3207,null,0400000US24,Maryland,24
6398787,null,1461,null,3100477,null,3330,null,728767,null,1752,null,5491,null,1328,null,723276,null,2344,null,2033228,null,2451,null,43583,null,3851,null,1989645,null,4614,null,338482,null,2112,null,55019,null,2945,null,283463,null,3446,null,3298310,null,3038,null,697901,null,1802,null,4243,null,984,null,693658,null,2133,null,2126860,null,2230,null,31120,null,2993,null,2095740,null,3524,null,473549,null,2283,null,60761,null,3188,null,412788,null,3908,null,0400000US25,Massachusetts,25
9866139,null,1394,null,4829165,null,5291,null,1221909,null,3284,null,9551,null,1551,null,1212358,null,3674,null,3067338,null,4110,null,88355,null,4017,null,2978983,null,5138,null,539918,null,2006,null,107417,null,3182,null,432501,null,3563,null,5036974,null,4851,null,1166601,null,3124,null,6606,null,1134,null,1159995,null,3355,null,3154634,null,4427,null,55098,null,3865,null,3099536,null,6080,null,715739,null,1928,null,93478,null,3440,null,622261,null,3640,null,0400000US26,Michigan,26
5150617,null,1173,null,2557810,null,3342,null,636692,null,2209,null,3782,null,819,null,632910,null,2309,null,1655901,null,2368,null,41101,null,2403,null,1614800,null,3571,null,265217,null,1581,null,52247,null,2332,null,212970,null,2636,null,2592807,null,2857,null,611349,null,2148,null,3604,null,908,null,607745,null,2426,null,1636276,null,2152,null,24230,null,2079,null,1612046,null,2745,null,345182,null,1889,null,38681,null,2066,null,306501,null,2691,null,0400000US27,Minnesota,27
2867519,null,2708,null,1379535,null,4879,null,395008,null,4098,null,3228,null,997,null,391780,null,4217,null,840338,null,4106,null,36418,null,3496,null,803920,null,5888,null,144189,null,1933,null,31682,null,2159,null,112507,null,2458,null,1487984,null,4761,null,367879,null,4201,null,2800,null,911,null,365079,null,4263,null,915206,null,3194,null,23084,null,2591,null,892122,null,4124,null,204899,null,2056,null,32641,null,2982,null,172258,null,3487,null,0400000US28,Mississippi,28
5795164,null,1816,null,2815864,null,5052,null,725858,null,3128,null,5373,null,1245,null,720485,null,3266,null,1766168,null,4046,null,64189,null,3773,null,1701979,null,5290,null,323838,null,2441,null,72890,null,3281,null,250948,null,3275,null,2979300,null,5211,null,692484,null,3082,null,3346,null,843,null,689138,null,2981,null,1853404,null,4677,null,35921,null,2730,null,1817483,null,5251,null,433412,null,2733,null,54907,null,3093,null,378505,null,3943,null,0400000US29,Missouri,29
950414,null,1527,null,470519,null,2486,null,111137,null,1850,null,387,null,260,null,110750,null,1843,null,299971,null,1963,null,11815,null,1410,null,288156,null,2488,null,59411,null,741,null,16262,null,1337,null,43149,null,1418,null,479895,null,2479,null,110692,null,1997,null,603,null,350,null,110089,null,2003,null,299161,null,1446,null,4656,null,1026,null,294505,null,1699,null,70042,null,864,null,9721,null,1223,null,60321,null,1341,null,0400000US30,Montana,30
1749849,null,1212,null,864904,null,2929,null,227887,null,2035,null,1676,null,640,null,226211,null,2049,null,541169,null,2332,null,18176,null,1820,null,522993,null,2984,null,95848,null,1078,null,21121,null,1526,null,74727,null,1897,null,884945,null,2543,null,216916,null,1902,null,1356,null,540,null,215560,null,2025,null,540393,null,1924,null,6303,null,1115,null,534090,null,2247,null,127636,null,1438,null,15854,null,1466,null,111782,null,1796,null,0400000US31,Nebraska,31
2568111,null,1749,null,1298598,null,3328,null,343194,null,1952,null,1962,null,946,null,341232,null,2172,null,819165,null,2552,null,21165,null,2597,null,798000,null,4000,null,136239,null,966,null,24499,null,2284,null,111740,null,2528,null,1269513,null,2735,null,323743,null,1925,null,1103,null,507,null,322640,null,2106,null,790906,null,1849,null,12048,null,1996,null,778858,null,2916,null,154864,null,1460,null,16600,null,1804,null,138264,null,2102,null,0400000US32,Nevada,32
1299356,null,749,null,640056,null,1978,null,149345,null,1295,null,1502,null,829,null,147843,null,1554,null,420752,null,1677,null,13497,null,1854,null,407255,null,2683,null,69959,null,624,null,13582,null,1533,null,56377,null,1606,null,659300,null,1787,null,143247,null,1214,null,774,null,486,null,142473,null,1293,null,426653,null,1252,null,6306,null,1431,null,420347,null,1780,null,89400,null,1054,null,11472,null,1450,null,77928,null,1796,null,0400000US33,New Hampshire,33
8557279,null,2156,null,4171171,null,4571,null,1048200,null,2819,null,8640,null,1618,null,1039560,null,3429,null,2662754,null,3686,null,46029,null,3254,null,2616725,null,4640,null,460217,null,2246,null,65218,null,3436,null,394999,null,3712,null,4386108,null,3956,null,997134,null,2455,null,3898,null,1139,null,993236,null,2492,null,2747912,null,2715,null,35065,null,3273,null,2712847,null,3777,null,641062,null,2656,null,72803,null,3654,null,568259,null,4133,null,0400000US34,New Jersey,34
1951866,null,1611,null,954515,null,2898,null,258012,null,2248,null,2769,null,833,null,255243,null,2330,null,582849,null,2553,null,22978,null,2448,null,559871,null,3360,null,113654,null,1456,null,28439,null,2179,null,85215,null,2451,null,997351,null,2871,null,242982,null,2518,null,2063,null,847,null,240919,null,2596,null,611932,null,2062,null,12831,null,1857,null,599101,null,2707,null,142437,null,1456,null,21772,null,1853,null,120665,null,2241,null,0400000US35,New Mexico,35
19207057,null,2618,null,9283250,null,5349,null,2251272,null,3139,null,13537,null,2049,null,2237735,null,3740,null,5996473,null,5315,null,111944,null,5241,null,5884529,null,6885,null,1035505,null,2373,null,155034,null,5328,null,880471,null,5256,null,9923807,null,5076,null,2150911,null,3005,null,9488,null,1773,null,2141423,null,3504,null,6318786,null,3715,null,77390,null,4190,null,6241396,null,5773,null,1454110,null,4106,null,174056,null,6015,null,1280054,null,7061,null,0400000US36,New York,36
9004442,null,4686,null,4347638,null,8007,null,1145217,null,6326,null,6279,null,1420,null,1138938,null,6046,null,2745023,null,5882,null,85853,null,5060,null,2659170,null,7973,null,457398,null,1831,null,93581,null,3555,null,363817,null,4256,null,4656804,null,7853,null,1092077,null,5835,null,5576,null,1415,null,1086501,null,6294,null,2935321,null,5071,null,50142,null,3820,null,2885179,null,6046,null,629406,null,2845,null,84959,null,3791,null,544447,null,4571,null,0400000US37,North Carolina,37
