B25006_001E,B25006_001EA,B25006_001M,B25006_001MA,B25006_002E,B25006_002EA,B25006_002M,B25006_002MA,B25006_003E,B25006_003EA,B25006_003M,B25006_003MA,B25006_004E,B25006_004EA,B25006_004M,B25006_004MA,B25006_005E,B25006_005EA,B25006_005M,B25006_005MA,B25006_006E,B25006_006EA,B25006_006M,B25006_006MA,B25006_007E,B25006_007EA,B25006_007M,B25006_007MA,B25006_008E,B25006_008EA,B25006_008M,B25006_008MA,B25006_009E,B25006_009EA,B25006_009M,B25006_009MA,B25006_010E,B25006_010EA,B25006_010M,B25006_010MA,GEO_ID,NAME,state
1815865,null,10024,null,1312845,null,8415,null,451795,null,6440,null,9438,null,1202,null,14114,null,1435,null,461,null,461,null,8236,null,1353,null,18976,null,2342,null,533,null,305,null,18443,null,2374,null,0400000US01,Alabama,01
237607,null,2898,null,179499,null,2875,null,7643,null,1183,null,25666,null,1421,null,8877,null,770,null,902,null,358,null,2300,null,971,null,12720,null,1820,null,1158,null,581,null,11562,null,1735,null,0400000US02,Alaska,02
2273842,null,11467,null,1924225,null,11411,null,75831,null,2981,null,73580,null,3152,null,48382,null,2461,null,2235,null,677,null,115905,null,5957,null,33684,null,2571,null,7566,null,1235,null,26118,null,2404,null,0400000US04,Arizona,04
1114041,null,8021,null,899265,null,6781,null,168867,null,4410,null,4715,null,968,null,9693,null,971,null,412,null,147,null,15019,null,1683,null,16070,null,1994,null,1458,null,732,null,14612,null,1863,null,0400000US05,Arkansas,05
12176760,null,21139,null,8307546,null,23840,null,794033,null,10381,null,103299,null,4576,null,1408868,null,11857,null,34287,null,2600,null,1259697,null,17268,null,269030,null,7987,null,65574,null,3382,null,203456,null,6995,null,0400000US06,California,06
1897835,null,9244,null,1656516,null,8854,null,71916,null,2765,null,18400,null,2588,null,44177,null,2341,null,1792,null,700,null,68402,null,3909,null,36632,null,3198,null,7027,null,1383,null,29605,null,2959,null,0400000US08,Colorado,08
1329305,null,5895,null,1105250,null,5968,null,115174,null,3588,null,3255,null,1005,null,39099,null,1848,null,210,null,210,null,48532,null,2563,null,17785,null,2218,null,3138,null,797,null,14647,null,2010,null,0400000US09,Connecticut,09
328654,null,3672,null,247864,null,3046,null,63689,null,2595,null,939,null,397,null,8098,null,644,null,0,null,263,null,4281,null,949,null,3783,null,959,null,518,null,361,null,3265,null,931,null,0400000US10,Delaware,10
249996,null,3353,null,102601,null,2759,null,126831,null,2803,null,995,null,503,null,8479,null,954,null,245,null,270,null,6649,null,1645,null,4196,null,1140,null,523,null,381,null,3673,null,969,null,0400000US11,District of Columbia,11
7057285,null,24241,null,5753871,null,22654,null,935761,null,11089,null,19217,null,2275,null,131216,null,4088,null,2192,null,637,null,135210,null,6872,null,79818,null,4411,null,16938,null,1610,null,62880,null,4327,null,0400000US12,Florida,12
